Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,This film is a staple on my top ten list!,"There were 10 reviews for this film before mine and they all rated it 10 out of 10 stars. If that's not enough to convince you about how powerful this film is, then read on. It's one of the best films to ever come out of India and can also boast some of the best acting talents as well. The narrative is quite simple. This is the story of the legendary Bhagat Singh and his friends, a group of young boys who idolized Ghandhi as children but became disillusioned as they grew into teenagers and witnessed that none of Gandhi's peaceful tactics seemed to have worked on getting the British colonialists out of India nor stop the oppression. Steadily, they begin to rebel and form their own group and politics and soon emerge as freedom fighters. The incomparable Ajay Devgan stars as the grown up Bhaghat Singh and he is just flawless, he shoots this character into the stratosphere of acting that you eventually find yourself believing that this man might very well be Bhaghat Singh. He owns the character, he becomes the character, he inhabits the very essence of this freedom fighter and makes it his own life for the duration of the entire film. Amrita Rao is a dream to see, a breath of fresh air after viewing hours of the violence, bloodshed and senseless British nonsensical banter and poor excuse for logic. She stars here as the suitor for Bhagat but is rebuffed by the man she now loves and respects. You've heard the stories, now see it for yourself in The Legend of Bhagat Singh.",this film is staple my top ten list,there were 10 reviews this film before mine they all rated it 10 out 10 stars if thats not enough convince you about how powerful this film is then read its one best films ever come out india can also boast some best acting talents as well narrative is quite simple this is story legendary bhagat singh his friends group young boys who idolized ghandhi as children but became disillusioned as they grew into teenagers witnessed that none gandhis peaceful tactics seemed have worked getting british colonialists out india nor stop oppression steadily they begin rebel form their own group politics soon emerge as freedom fighters incomparable ajay devgan stars as grown up bhaghat singh he is just flawless he shoots this character into stratosphere acting that you eventually find yourself believing that this man might very well be bhaghat singh he owns character he becomes character he inhabits very essence this freedom fighter makes it his own life duration entire film amrita rao is dream see breath fresh air after viewing hours violence bloodshed senseless british nonsensical banter poor excuse logic she stars here as suitor bhagat but is rebuffed by man she now loves respects youve heard stories now see it yourself legend bhagat singh,0.4532857142857143,0.2866666666666667,Positive,"{'Happy': 0.18, 'Angry': 0.11, 'Surprise': 0.29, 'Sad': 0.11, 'Fear': 0.32}"
,Bhagat Singh's Story,"Santoshi's 'The Legend of Bhagat Singh' tells a detailed biography of the martyred hero. He does provide both the good side and the dark side (his obsession blinding him to the fact that it's wrong to teach children to make bombs). Santoshi also shows the clash between Bhagat Singh's and Gandhi's viewpoints quite effectively. He has tried to stay historically accurate and even though it was released during the same time as Guddu Dhanoa's snoozefest '1930 Shaheed', 'The Legend of Bhagat Singh' triumphs above that and is a masterpiece in comparison.Ajay Devgan, though intense roles are his strength, may seem like an odd choice to play the title role, especially because there is no physical resemblance and he is too old for the part. Otherwise, he delivers a winning performance. Sushant Singh and Akhilendra Mishra are equally powerful. The supporting cast that includes an excellent Raj Babbar, a sincere Farida Jalal and dusky beauty Amrita Rao leave a mark. I liked the actress that played Durga who seems to be an important female figure in Indian history. I would like to see a movie about this woman. The actors who play the Brits are horrendous.The cinematography is fine and A.R. Rahman's soundtrack is another winner. Most of the songs are patriotic but there are a few different numbers too. The background score, though beautiful, is intrusive at times and kind of adds a melodramatic feel (when that isn't necessary).'The Legend of Bhagat Singh' is one of the fewer biopics in Indian cinema that tells a good story while attempting to stay true to the facts. Some might find it difficult to watch due to the violent content but it is a movie that is worth viewing.",bhagat singhs story,santoshis legend bhagat singh tells detailed biography martyred hero he does provide both good side dark side his obsession blinding him fact that its wrong teach children make bombs santoshi also shows clash between bhagat singhs gandhis viewpoints quite effectively he has tried stay historically accurate even though it was released during same time as guddu dhanoas snoozefest 1930 shaheed legend bhagat singh triumphs above that is masterpiece comparison ajay devgan though intense roles are his strength may seem like odd choice play title role especially because there is no physical resemblance he is too old part otherwise he delivers winning performance sushant singh akhilendra mishra are equally powerful supporting cast that includes excellent raj babbar sincere farida jalal dusky beauty amrita rao leave mark i liked actress that played durga who seems be important female figure indian history i would like see movie about this woman actors who play brits are horrendous cinematography is fine r rahmans soundtrack is another winner most songs are patriotic but there are few different numbers too background score though beautiful is intrusive at times kind adds melodramatic feel when that isnt necessary legend bhagat singh is one fewer biopics indian cinema that tells good story while attempting stay true facts some might find it difficult watch due violent content but it is movie that is worth viewing,0.6086134453781513,0.2125,Positive,"{'Happy': 0.23, 'Angry': 0.13, 'Surprise': 0.05, 'Sad': 0.33, 'Fear': 0.26}"
8.0,Not the easiest Indian film to watch....but a very important film.,"s an American, I had no idea who Bhagat Singh was, though I was familiar with the sort of repression that led to his movement. The British were brutal when it came to controlling India. The nation was huge...and the Brits realized that the only way to control such a large nation was through terror and violence. The film ""The Legend of Bhagat Singh"" does a great job in showing the massacres, the torture of prisoners and the coercion of confessions through beatings...and this is something folks outside of India must know about and accept that it happened. And, as a retired history teacher, I really thought this was a very good and important film. My only reservations were the singing. I know that most Indian films have a lot of singing...that is almost expected. But to throw in a fluffy love song in the middle and a song as the three men are being led to the gallows sure did a lot to deflate the otherwise powerful film. Ajay Devgn was great in the lead and the likeness to Singh was definitely present. The script also was very powerful and I found myself tearing up many times. But the songs...well, a couple of them just had to go. Otherwise, a very powerful and memorable film.",not easiest indian film watch but very important film,s american i had no idea who bhagat singh was though i was familiar with sort repression that led his movement british were brutal when it came controlling india nation was huge brits realized that only way control such large nation was through terror violence film legend bhagat singh does great job showing massacres torture prisoners coercion confessions through beatings this is something folks outside india must know about accept that it happened as retired history teacher i really thought this was very good important film my only reservations were singing i know that most indian films have lot singing that is almost expected but throw fluffy love song middle song as three men are being led gallows sure did lot deflate otherwise powerful film ajay devgn was great lead likeness singh was definitely present script also was very powerful i found myself tearing up many times but songs well couple them just had go otherwise very powerful memorable film,0.6124092970521543,0.2508673469387755,Positive,"{'Happy': 0.28, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.16, 'Fear': 0.28}"
,Simple narrative and top notch acting,"This movie would top my list of all the patriotic movies I have ever watched. To say the least I have seen a lot of this genre. Rajkumar Santoshi as already mentioned in the other comments must have done a lot of research to come out with such minute details. The narrative was very simple and the fact that it could reach out to the larger mass is evident. That indeed did cut down on the international appeal. But no complains as the objective set out is achieved. Now talking about the acting. It would be only fair to say that Ajay's acting in this movie is at par with his role as Mallik in RGV's ""Company"" if not better. To get into the skin of such a legendary character and to act like him was an ardent task and Ajay looked effortless while doing the scenes which according to me would give the Khans a run for their money. I had tears in my eyes, when the three martyrs break into that ""Rang de basanti"" mood in the climax. It will be remembered for a long long time from now. Last but not the least the supporting cast did a splendid job, which is crucial in such a huge feature. Everyone lived out their respective characters. With special mention to the Court Room scenes and the Hunger strike scenes in the cell. There is a lot the young Indians should learn from this movie which in turn would make Bhagat's sacrifices worthwhile. A sure winner from the first shot to the last. A highly recommended must see which should get nothing less but 8/10.",simple narrative top notch acting,this movie would top my list all patriotic movies i have ever watched say least i have seen lot this genre rajkumar santoshi as already mentioned other comments must have done lot research come out with such minute details narrative was very simple fact that it could reach out larger mass is evident that indeed did cut down international appeal but no complains as objective set out is achieved now talking about acting it would be only fair say that ajays acting this movie is at par with his role as mallik rgvs company if not better get into skin such legendary character act like him was ardent task ajay looked effortless while doing scenes which according me would give khans run their money i had tears my eyes when three martyrs break into that rang de basanti mood climax it will be remembered long long time now last but not least supporting cast did splendid job which is crucial such huge feature everyone lived out their respective characters with special mention court room scenes hunger strike scenes cell there is lot young indians should learn this movie which turn would make bhagats sacrifices worthwhile sure winner first shot last highly recommended must see which should get nothing less but 8 10,0.43470969089390143,0.14087510442773601,Positive,"{'Happy': 0.03, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.19, 'Fear': 0.46}"
,Students can use this movie as a reference for study on Martyr Bhagat Singh.,"Assalam O Alaikum! This movie is on the third number in my favorite movie list after Sholay and Lagaan. After watching this movie one can say that the director has done a lot of research on the life of the legend because each scene and every aspect of the film reveal the hard work of the director and his research team (writer Anjum Rajabali) who has done a great job. RajKumar Santoshi has given his 100 percent in making this Masterpiece and will be remembered till the Indian Film Industry exists. Everything was too perfect costume, sets, cinematography, music and performances. Ajay Devgan performance for this role will be rated number one in his acting career. Right from his first movie (Phool aur Kaante) he has proved that he is a good actor and brilliant performer but Indian audiences, critics and directors came to know after so many years. This movie deserved 5 out of 5. Allah Hafiz",students can use this movie as reference study martyr bhagat singh,assalam o alaikum this movie is third number my favorite movie list after sholay lagaan after watching this movie one can say that director has done lot research life legend because each scene every aspect film reveal hard work director his research team writer anjum rajabali who has done great job rajkumar santoshi has given his 100 percent making this masterpiece will be remembered till indian film industry exists everything was too perfect costume sets cinematography music performances ajay devgan performance this role will be rated number one his acting career right his first movie phool aur kaante he has proved that he is good actor brilliant performer but indian audiences critics directors came know after so many years this movie deserved 5 out 5 allah hafiz,0.5691558441558442,0.42218614718614716,Positive,"{'Happy': 0.14, 'Angry': 0.04, 'Surprise': 0.32, 'Sad': 0.14, 'Fear': 0.36}"
10.0,Brilliant Film,"The legend of Bhagat Singh is one of the finest movies of Indian film history.The film shows the lifetime of great freedom fighter Bhagat Singh.The film depicts his life,his struggle and his determination brillantly..The film not only shows the freedom fighter's struggle,but also his ideologies and his idea of a progressive nation and how he moved the entire nation. The photography,the script,the dialogues(power packed and very thought-provoking)everything about this movie is splendid.A lot of research has gone into making this film.Brilliant performance by Ajay Devagan as Bhagat singh,Sushant singh as Sukhdev.Ajay literally lived the freedom fighter's life.The music adds to the film's beauty. Raj Kumar Santoshi's brilliant effort and a fitting tribute to the son of the soil.Bollywood should be proud of this masterpiece.",brilliant film,legend bhagat singh is one finest movies indian film history film shows lifetime great freedom fighter bhagat singh film depicts his life his struggle his determination brillantly film not only shows freedom fighters struggle but also his ideologies his idea progressive nation how he moved entire nation photography script dialogues power packed very thought provoking everything about this movie is splendid lot research has gone into making this film brilliant performance by ajay devagan as bhagat singh sushant singh as sukhdev ajay literally lived freedom fighters life music adds films beauty raj kumar santoshis brilliant effort fitting tribute son soil bollywood should be proud this masterpiece,0.8175000000000001,0.5833333333333333,Positive,"{'Happy': 0.38, 'Angry': 0.1, 'Surprise': 0.1, 'Sad': 0.19, 'Fear': 0.24}"
10.0,A LEGENDARY FILM,"Reavan recommends The Legend Of Bhagat Singh Product Rating : Plot revealed in review : Somewhat revealed`The Legend of Bhagat Singh' is an excellent example for flawless filming of the life of a magnificent martyr. Raj Kumar Santhoshi is a director known for raising many quiescent questions and not supplementing the same with adequate answers, but this film was entirely different. The director did the film under petrifying pressure rapidly racing it out with five other filmmakers in bringing the brilliant Bhagat to tinsel town. The superceding selection of authentic actors would have greatly given initial comfort to the director. Ajay Devgan as Bhagat Singh, Susan Singh as Sukhdev, Santhosh as Rajguru, Akilendra Mishra as Chandrasekar Azad, Raj Babbar and Farida Jalal as Bhagat's parents all of them made a mind-blowing mark for themselves in this miraculous movie and in the history of Bollywood. The sub cast lead by Amrita Rao, who plays fiancée were no inferior in delivering the goods. A particular mention to be made of the jailor, and the actors who played the roles of Emerson and Gandhiji .The soundest strength of the film was the amazing ability of Rajkumar Santhoshi to impeccably interweave sentiments and dramatic scenes amidst the course of the film , jubilantly justifying history all the way. The suitable sequences for the former fact are the court scene where gosh approves, Sarfaroshi Ki Tamana song, Bhagat's farewell to his mother etc. The cinematography and art direction have done wonderfully well to keep up with the classy cinema. The lyricist and dialogue writer have been efficiently equal to the tumultuous task and their resourceful role has been a pivotal point in the film. One phenomenal personality who had lent the cutting edge to this memorable movie is `Music Midas' a r rahman. The way rahman marvelously meddles with our minds, moods and music is yet another record of his activating ability and acquaintable acumen. He deserves a resolute round of applause for unbelievably using Sonu Nigam and Sukhwinder Singh. Though the film had not tipped TIPS, the producers benevolently at the baffling box office, the immaculate impact it created is not negligible. It is slowly and steadily creating a sound stardom for Bhagat Singh amongst the youth of the country, which was the cause of the film.",legendary film,reavan recommends legend bhagat singh product rating plot revealed review somewhat revealed legend bhagat singh is excellent example flawless filming life magnificent martyr raj kumar santhoshi is director known raising many quiescent questions not supplementing same with adequate answers but this film was entirely different director did film under petrifying pressure rapidly racing it out with five other filmmakers bringing brilliant bhagat tinsel town superceding selection authentic actors would have greatly given initial comfort director ajay devgan as bhagat singh susan singh as sukhdev santhosh as rajguru akilendra mishra as chandrasekar azad raj babbar farida jalal as bhagats parents all them made mind blowing mark themselves this miraculous movie history bollywood sub cast lead by amrita rao who plays fianc e were no inferior delivering goods particular mention be made jailor actors who played roles emerson gandhiji soundest strength film was amazing ability rajkumar santhoshi impeccably interweave sentiments dramatic scenes amidst course film jubilantly justifying history all way suitable sequences former fact are court scene where gosh approves sarfaroshi ki tamana song bhagats farewell his mother etc cinematography art direction have done wonderfully well keep up with classy cinema lyricist dialogue writer have been efficiently equal tumultuous task their resourceful role has been pivotal point film one phenomenal personality who had lent cutting edge this memorable movie is music midas r rahman way rahman marvelously meddles with our minds moods music is yet another record his activating ability acquaintable acumen he deserves resolute round applause unbelievably using sonu nigam sukhwinder singh though film had not tipped tips producers benevolently at baffling box office immaculate impact it created is not negligible it is slowly steadily creating sound stardom bhagat singh amongst youth country which was cause film,0.6661458333333332,0.3830729166666667,Positive,"{'Happy': 0.15, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.23, 'Fear': 0.31}"
10.0,"A Fantastic Bio-pic on an Intriguing Figure, but Not Without Flaws","The Legend of Bhagat Singh is one of Indian cinema's most ambitious projects to date. After three years of painstaking research and set construction, veteran film maker Raj Kumar Santoshi and actor Ajay Devgan shot the film in a short stretch of six months. The film released early due to competition from other films dealing with roughly the same subject. Overall it's a pretty solid film but one can't help shake the feeling that it could have been a far superior product if it had been worked on for a short while longer.The film tells the entire life story of Indian freedom fighter and martyr Bhagat Singh who, in a nut shell, grew disillusioned with Gandhi's passive movement and lead an independent violent struggle against the British.Colonial India is recreated magnificently in the film and the British atrocities committed are portrayed with aplomb by the director. One can truly get a sense of how such frustrating conditions could drive youngsters to violence and revolt. Some of the film's strengths are its hard hitting portrayal of British atrocities, its court scenes and its action scenes.The film's biggest highlight is its lead performer, Indian actor Ajay Devgan. The actor single handedly manages to uplift even the most dull and unconvincing scenes in the film to a high quality level. His every expression and mannerism is carefully calculated to maximize his impact on the viewer. This man can move audiences to tears or wide smiles with just a few short lines and quick glances from his intense eyes. His work here is par excellence and can easily rival any work done by any grade-A actors the world over.The supporting cast is good as well, with fellow revolutionary Sukhdev (Indian stage actor Sushant Singh) Bhagat Singh's mother (Indian diva Farida Jalal) leaving lasting impressions as well.The last excellent thing about the movie is the music by renowned composer A.R. Rahman. The music is not as festive as Bollywood movies usually boast, but that's to be expected considering the subject of the film. The well crafted, soothing ethnic tunes manage to evoke the right emotions without seeming rash and distasteful.The film isn't without its weaknesses, however. For one, it's obviously a rushed effort. Segments of the script seem under developed and the impact of certain national tragedies on Bhagat Singh's mindset is never fleshed out as one would want them to be.Also, Bhagat Singh's political ideology (he was a communist, by the way) is never really spelled out for viewers. Instead, they are left to put together pieces for themselves connecting the dots from dialogs and incidents in the film to really figure out the main character's mindset and view points.The second half of the film moves at an awkward pace, sometimes lingering on minute details and other times racing ahead and skipping crucial events (which are referenced in later dialog). Finally, for a film that remains very objective in presenting most events, viewers will be surprised by a very negative portrayal of Mahatma Gandhi and India's first Prime Minister Nehru. This angle of the film stuck out like a sore thumb to say the least.For all its faults however, Legend of Bhagat Singh has plenty of strengths to make it a superb film. It tells a great story with style and conviction. It has wonderful performances including one of finest performances ever in Indian cinema by Devgan. It has great action, moving drama, soothing music, and is (overall) a thoroughly rewarding and entertaining experience. It comes highly recommended by me.",fantastic bio pic intriguing figure but not without flaws,legend bhagat singh is one indian cinemas most ambitious projects date after three years painstaking research set construction veteran film maker raj kumar santoshi actor ajay devgan shot film short stretch six months film released early due competition other films dealing with roughly same subject overall its pretty solid film but one cant help shake feeling that it could have been far superior product if it had been worked short while longer film tells entire life story indian freedom fighter martyr bhagat singh who nut shell grew disillusioned with gandhis passive movement lead independent violent struggle against british colonial india is recreated magnificently film british atrocities committed are portrayed with aplomb by director one can truly get sense how such frustrating conditions could drive youngsters violence revolt some films strengths are its hard hitting portrayal british atrocities its court scenes its action scenes films biggest highlight is its lead performer indian actor ajay devgan actor single handedly manages uplift even most dull unconvincing scenes film high quality level his every expression mannerism is carefully calculated maximize his impact viewer this man can move audiences tears or wide smiles with just few short lines quick glances his intense eyes his work here is par excellence can easily rival any work done by any grade actors world over supporting cast is good as well with fellow revolutionary sukhdev indian stage actor sushant singh bhagat singhs mother indian diva farida jalal leaving lasting impressions as well last excellent thing about movie is music by renowned composer r rahman music is not as festive as bollywood movies usually boast but thats be expected considering subject film well crafted soothing ethnic tunes manage evoke right emotions without seeming rash distasteful film isnt without its weaknesses however one its obviously rushed effort segments script seem under developed impact certain national tragedies bhagat singhs mindset is never fleshed out as one would want them be also bhagat singhs political ideology he was communist by way is never really spelled out viewers instead they are left put together pieces themselves connecting dots dialogs incidents film really figure out main characters mindset view points second half film moves at awkward pace sometimes lingering minute details other times racing ahead skipping crucial events which are referenced later dialog finally film that remains very objective presenting most events viewers will be surprised by very negative portrayal mahatma gandhi indias first prime minister nehru this angle film stuck out like sore thumb say least all its faults however legend bhagat singh has plenty strengths make it superb film it tells great story with style conviction it has wonderful performances including one finest performances ever indian cinema by devgan it has great action moving drama soothing music is overall thoroughly rewarding entertaining experience it comes highly recommended by me,0.46636829415310416,0.10865280289330921,Positive,"{'Happy': 0.17, 'Angry': 0.14, 'Surprise': 0.16, 'Sad': 0.18, 'Fear': 0.36}"
,Excellent representation of one of India's freedom fighters,"The Legend of Bhagat Singh is a wonderful representation of India, in the middle of its struggle to throw the British out. As with any with movie with a historical basis, I was a nervous that Bollywood would use artistic license to cheapen the story. In fact, the director, Santoshi shows in details how Bhagat came to develop his views of the British with very little outside distraction.Ajay Devgan is excellent as a the title character, bringing the necessary passion that only he can provide with his steel-y stare. Of particular note is the scene showing the freedom fighters telling Gandhi to stop working within the British framework. Westerners can see the parallel between Gandhi's nonviolent methods and the more revolutionary Bhagat Singh with Martin Luther King's methods vs Malcolm X ""by any means necessary"" credo.As the last reviewer mentioned, it's a great reference for those interested in India's independence struggle and it truly reinvigorated my interest in Indian history.See this movie if you enjoy eastern history, but won't go for the traditional Bollywood flick.",excellent representation one indias freedom fighters,legend bhagat singh is wonderful representation india middle its struggle throw british out as with any with movie with historical basis i was nervous that bollywood would use artistic license cheapen story fact director santoshi shows details how bhagat came develop his views british with very little outside distraction ajay devgan is excellent as title character bringing necessary passion that only he can provide with his steel y stare particular note is scene showing freedom fighters telling gandhi stop working within british framework westerners can see parallel between gandhis nonviolent methods more revolutionary bhagat singh with martin luther kings methods vs malcolm x by any means necessary credo as last reviewer mentioned its great reference those interested indias independence struggle it truly reinvigorated my interest indian history see this movie if you enjoy eastern history but wont go traditional bollywood flick,0.508695652173913,0.24375,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.44}"
10.0,Damn this movie needs to be re-released!!,"I was 10 years old when i first saw this film.. and now i'm back after 10 years to write a review about it why i felt a need,? i don't know but i guess i just wanted to.. Well the movie starts off from the ending,yeah you'll know when you see it yourself.. and right from the first minute you are glued to the screen i wouldn't spoil it any further..Because of the time of it's release i don't think a lot of audience was able to see such an important film especially for us Indians. I beg the makers to re release this gem so that our generation remembers what it took to get freedom and are we actually free?I Thank each and every person involved to make this movie come possible..",damn this movie needs be re released,i was 10 years old when i first saw this film now im back after 10 years write review about it why i felt need i dont know but i guess i just wanted well movie starts off ending yeah youll know when you see it yourself right first minute you are glued screen i wouldnt spoil it any further because time its release i dont think lot audience was able see such important film especially us indians i beg makers re release this gem so that our generation remembers what it took get freedom are we actually free i thank each every person involved make this movie come possible,0.5689484126984127,0.18214285714285713,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.25, 'Fear': 0.19}"
