Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,One of my favorite movies of all time!,"Seriously, I know that sounds stupid as this is an animated movie, but why can't we have a favorite movie that's animated? If you ask me this is Disney's best animated film of all time. Why do you ask? The animation is just beautiful, the story is powerful and moving, the characters are terrific, the villain is one of Disney's most monstrous and the songs are out of this world incredible! Not only is it my favorite animated movie, this is one of my favorite soundtracks, with the strong power of Elton John The Lion King is absolutely beautiful and a pleasure to watch still to this day. I have to say also that this story is just so beautiful, it's still one of the movies that will always bring a tear to my eye. When I was 17 years old, I begged my dad to take me to the re-release of The Lion King, him and I being the only adults besides the parents who took their children to see the movie, Simba's father dies and I started balling! My dad looks around and said ""Krissy, stop it!"" and I just said ""But it's so saaaaad! Simba's daddy!"", yes I'm a sap, I can't help it, this is a powerful movie.In the Pride Lands, Rafiki, a wise old monkey, anoints Simba, the newborn cub of King Mufasa and Queen Sarabi, and presents him to a gathering of animals at Pride Rock. Taking advantage of the cub's naive nature, Simba's scheming uncle Scar, who is very angry because Simba's birth means that he's no longer next in line to the throne tells him about the elephant graveyard, a place where Mufasa has forbidden Simba to go. Simba asks his mother if he can go to the water-hole with his best friend, Nala, but they go to the graveyard instead. There, the cubs are met by Shenzi, Banzai and Ed, 3 hyenas who try to kill them, but they are rescued by Mufasa. But Scar doesn't give up there, he lures Simba into a gorge for a ""surprise from his father"" while the hyenas create a wildebeest stampede. Alerted by Scar, Mufasa races to rescue Simba from the stampede. He saves his son but is left clinging to the edge of a steep cliff. Scar flings his brother into the stampede below. Simba sees his father fall and rushes down the cliff after him, only to find him dead. Scar convinces Simba that he was responsible for his father's death and recommends that he runs away from the Pride Lands to avoid punishment. In a distant desert, Simba is found unconscious by Timon and Pumbaa, a duo who adopt and raise the cub under their worry-free philosophy, Hakuna Matata. When Simba has grown into an adult he is discovered by Nala, who tells him that Scar, through his irresponsibility, has turned the Pride Lands into a barren wasteland. She asks Simba to return and take his place as king but Simba refuses, still believing he caused his father's death. Rafiki arrives and persuades Simba to return to the Pride Lands, and face Scar once and for all.I know that still that Beauty and the Beast is the only animated film to get a best picture nomination, but I don't understand why The Lion King didn't get the same treatment. I adore this film with such a passion, I will always defend it to the high end. I still watch this movie, ever since it's theatrical release in 1994, I still sing, dance, and rehears the lines back and forth. How could you not at least with Hakuna Matata? Timon is my idol, he's so care free, funny, and awesome during his drag hula scene ""Luau! If you're hungry for a hunk of fat and juicy meat, eat my buddy Pumbaa here, 'cause he's a tasty treat come on down and dine, on this tasty swine, all you gotta is get in line, are you achin',? For some bacon? He's a big pig. You can be a big pig, too. Oy! Ahhhh!"", best scene ever in film history! OK, not in history, but one of my favorites, it always has me on the floor laughing till my stomach hurts. If you seriously haven't seen this movie, see it! Who said that animated movies can't be true art? The Lion King is a fantastic film and deserves all it's praise and more.10/10",one my favorite movies all time,seriously i know that sounds stupid as this is animated movie but why cant we have favorite movie thats animated if you ask me this is disneys best animated film all time why do you ask animation is just beautiful story is powerful moving characters are terrific villain is one disneys most monstrous songs are out this world incredible not only is it my favorite animated movie this is one my favorite soundtracks with strong power elton john lion king is absolutely beautiful pleasure watch still this day i have say also that this story is just so beautiful its still one movies that will always bring tear my eye when i was 17 years old i begged my dad take me re release lion king him i being only adults besides parents who took their children see movie simbas father dies i started balling my dad looks around said krissy stop it i just said but its so saaaaad simbas daddy yes im sap i cant help it this is powerful movie pride lands rafiki wise old monkey anoints simba newborn cub king mufasa queen sarabi presents him gathering animals at pride rock taking advantage cubs naive nature simbas scheming uncle scar who is very angry because simbas birth means that hes no longer next line throne tells him about elephant graveyard place where mufasa has forbidden simba go simba asks his mother if he can go water hole with his best friend nala but they go graveyard instead there cubs are met by shenzi banzai ed 3 hyenas who try kill them but they are rescued by mufasa but scar doesnt give up there he lures simba into gorge surprise his father while hyenas create wildebeest stampede alerted by scar mufasa races rescue simba stampede he saves his son but is left clinging edge steep cliff scar flings his brother into stampede below simba sees his father fall rushes down cliff after him only find him dead scar convinces simba that he was responsible his fathers death recommends that he runs away pride lands avoid punishment distant desert simba is found unconscious by timon pumbaa duo who adopt raise cub under their worry free philosophy hakuna matata when simba has grown into adult he is discovered by nala who tells him that scar through his irresponsibility has turned pride lands into barren wasteland she asks simba return take his place as king but simba refuses still believing he caused his fathers death rafiki arrives persuades simba return pride lands face scar once all i know that still that beauty beast is only animated film get best picture nomination but i dont understand why lion king didnt get same treatment i adore this film with such passion i will always defend it high end i still watch this movie ever since its theatrical release 1994 i still sing dance rehears lines back forth how could you not at least with hakuna matata timon is my idol hes so care free funny awesome during his drag hula scene luau if youre hungry hunk fat juicy meat eat my buddy pumbaa here cause hes tasty treat come down dine this tasty swine all you gotta is get line are you achin some bacon hes big pig you can be big pig too oy ahhhh best scene ever film history ok not history but one my favorites it always has me floor laughing till my stomach hurts if you seriously havent seen this movie see it who said that animated movies cant be true art lion king is fantastic film deserves all its praise more 10 10,0.6023686868686868,0.23028282828282826,Positive,"{'Happy': 0.21, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.2, 'Fear': 0.29}"
10.0,The Best Animated Film I Have Ever Seen,"The Lion King is a great film. Along with a great story (inspired by William Shakespeare's Hamlet), terrific animation, and an all star cast of voices, there are the lessons that are learned from this film (despite being a little rough for the younger children). Like responsibility and honor.I rank this animated film among the great films I have ever seen. It was part of my childhood and it is a film experience I will never forget. And hopefully, you won't either. A++",best animated film i have ever seen,lion king is great film along with great story inspired by william shakespeares hamlet terrific animation all star cast voices there are lessons that are learned this film despite being little rough younger children like responsibility honor i rank this animated film among great films i have ever seen it was part my childhood it is film experience i will never forget hopefully you wont either,0.5944444444444444,0.2569444444444444,Positive,"{'Happy': 0.33, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.08, 'Fear': 0.08}"
10.0,A Film For All Ages,"This is a film that can entertain anyone young or old, I usually don't care for animated movies but this film is the real deal, this is one of disney's best animated movies. The animation is top notch and flawless. This film also features superb work from the vocal cast James Earl Jones, Jeremy Irons, Whoopi Goldberg. This is a standout.",film all ages,this is film that can entertain anyone young or old i usually dont care animated movies but this film is real deal this is one disneys best animated movies animation is top notch flawless this film also features superb work vocal cast james earl jones jeremy irons whoopi goldberg this is standout,0.49375,0.45625,Positive,"{'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
,"simply a wonderful, heartfelt tale for all ages","Delightful animated feature from Walt Disney Pictures about a naive young lion cub destined for greatness. Born the son of a beloved and authoritative king he's groomed to be the next ruler of the kingdom, but along the way he encounters tragic detours at the hands of his villainous uncle and scheming hyena henchmen. Years later—as an adult—he decides to embrace his destiny and take his proper place in the Circle of Life. Warm, intelligent, laugh-out loud funny film is a triumph in every aspect; unforgettable songs, snappy dialogue, remarkable animation, and a stellar cast of voices make this a treat for all ages. A rousing adventure that you can enjoy again and again, and arguably one of the finest animated films ever made. ****",simply wonderful heartfelt tale all ages,delightful animated feature walt disney pictures about naive young lion cub destined greatness born son beloved authoritative king hes groomed be next ruler kingdom but along way he encounters tragic detours at hands his villainous uncle scheming hyena henchmen years later as adult he decides embrace his destiny take his proper place circle life warm intelligent laugh out loud funny film is triumph every aspect unforgettable songs snappy dialogue remarkable animation stellar cast voices make this treat all ages rousing adventure that you can enjoy again again arguably one finest animated films ever made,0.6357142857142858,0.30476190476190473,Positive,"{'Happy': 0.2, 'Angry': 0.12, 'Surprise': 0.16, 'Sad': 0.28, 'Fear': 0.24}"
,So Good in So Many Ways.,"Outstanding animated feature from Disney that sports outstanding songs by Elton John, a compelling story and first-class animation. Young lion cub Simba is to be king, but he leaves after he believes he was the reason for his father's death (of course this is not so). As he grows up, he goes on a journey of love, friendship and discovery which will lead him back to his rightful place in the world. Excellent. 5 stars out of 5.",so good so many ways,outstanding animated feature disney that sports outstanding songs by elton john compelling story first class animation young lion cub simba is be king but he leaves after he believes he was reason his fathers death course this is not so as he grows up he goes journey love friendship discovery which will lead him back his rightful place world excellent 5 stars out 5,0.5783333333333334,0.43499999999999994,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.23, 'Fear': 0.23}"
10.0,The Lion King,"A film that only get better with repeat viewings and age, The Lion King is a fantastic animated masterpiece that is among Disney's finest achievements. Stellar voice work, great musical score, beautiful to look at and emotionally complex and riveting.",lion king,film that only get better with repeat viewings age lion king is fantastic animated masterpiece that is among disneys finest achievements stellar voice work great musical score beautiful look at emotionally complex riveting,0.6444444444444445,0.3333333333333333,Positive,"{'Happy': 0.27, 'Angry': 0.18, 'Surprise': 0.27, 'Sad': 0.0, 'Fear': 0.27}"
9.0,The Lion King: 9/10,"Released Christmas Day in 2002 to IMAX and large format screens, The Lion King makes a triumphant return to the screen after eight years. Its every bit as majestic and great as it has been before.The Lion King Mufasa (James Earl Jones) just had a baby cub named Simba. All of the animals come to the ceremony, except for Mufasa's brother Scar (Jeremy Irons). Scar desperately wants to be King, but can't. As long as Mufasa and Simba are there. Soon Simba is able to walk and talk and is voiced by Jonathon Taylor Thomas. After hearing about an elephant graveyard from Scar, he and his friend Nala (Niketa Calame) visit it. They meet three bumbling hyenas: Banzai (Cheech Marin), Shenzi (Whoopi Goldberg), and Ed (Jim Cummings), but they manage to leave unhurt. Scar is upset that the hyenas didn't do the job, so he orders a stampede to wipe out both of them, but it only takes care of Mufasa. Scar convinces Simba that he killed Mufasa, not Scar. So Simba flees into exile.The Lion King really benefits from the larger screen. Its lavish landscapes will be able to capture you more, and you can really savor the animation. Disney didn't need any humans, so they could spend all of the time on a great story and lush landscapes. In fact, its camera movement was so majestic that you actually felt like you were part of the pride of lions.The music boomed and really created the atmosphere. Although I had seen this picture before, I still was tense because of the way the music played out. Most of the time, I would just roll my eyes at the attempt to make me nervous. But Hans Zimmer's music really bowled me over and made my heart do calisthenics. Unlike such new Disney pics like Lilo and Stitch, the songs actually did some good. They took you out of a somewhat dreary mood and put a smile on your face and made your feet want to tap along. There were only a few, but they were very entertaining. And the Circle of Life song at the beginning was beautiful, with its perfect pictures and perfect sound.I really like James Earl Jones (he's pretty diverse), and this time was no exception. He seemed to act like he didn't want to do this role, but he couldn't contain his excitement for wanting to do voice-overs again (he had done some work in The Simpsons before). Matthew Broderick redeemed himself for me (after the atrocious Ferris Bueller's Day Off) by showing a strong voicing as the adult Simba. Cheech Marin, Whoopi Goldberg, and Jim Cummings really had good chemistry together, even though they didn't have much screen time. Irons was really good and creepy as Scar (one of those who you can't help but hate), and if that is him really singing, brava!Be warned, The Lion King isn't really for youngsters. It had intense thematic elements that should have warranted a PG, instead of those that don't deserve it (Lilo and Stitch, again). The mood that the music and the script brought out could damper your day, so be warned.This is one movie where you can feel for the characters. You don't say `haha, he's dead', you say `Gasp! I'm so sad!' If it weren't for the gifted scriptwriters, this movie would be kaput and a nothing, not the best Disney movie ever made.The Lion King is a majestic movie, not without humor, that is for almost all to see.My rating: 9/10Rated G for intense thematic elements.",lion king 9 10,released christmas day 2002 imax large format screens lion king makes triumphant return screen after eight years its every bit as majestic great as it has been before lion king mufasa james earl jones just had baby cub named simba all animals come ceremony except mufasas brother scar jeremy irons scar desperately wants be king but cant as long as mufasa simba are there soon simba is able walk talk is voiced by jonathon taylor thomas after hearing about elephant graveyard scar he his friend nala niketa calame visit it they meet three bumbling hyenas banzai cheech marin shenzi whoopi goldberg ed jim cummings but they manage leave unhurt scar is upset that hyenas didnt do job so he orders stampede wipe out both them but it only takes care mufasa scar convinces simba that he killed mufasa not scar so simba flees into exile lion king really benefits larger screen its lavish landscapes will be able capture you more you can really savor animation disney didnt need any humans so they could spend all time great story lush landscapes fact its camera movement was so majestic that you actually felt like you were part pride lions music boomed really created atmosphere although i had seen this picture before i still was tense because way music played out most time i would just roll my eyes at attempt make me nervous but hans zimmers music really bowled me over made my heart do calisthenics unlike such new disney pics like lilo stitch songs actually did some good they took you out somewhat dreary mood put smile your face made your feet want tap along there were only few but they were very entertaining circle life song at beginning was beautiful with its perfect pictures perfect sound i really like james earl jones hes pretty diverse this time was no exception he seemed act like he didnt want do this role but he couldnt contain his excitement wanting do voice overs again he had done some work simpsons before matthew broderick redeemed himself me after atrocious ferris buellers day off by showing strong voicing as adult simba cheech marin whoopi goldberg jim cummings really had good chemistry together even though they didnt have much screen time irons was really good creepy as scar one those who you cant help but hate if that is him really singing brava be warned lion king isnt really youngsters it had intense thematic elements that should have warranted pg instead those that dont deserve it lilo stitch again mood that music script brought out could damper your day so be warned this is one movie where you can feel characters you dont say haha hes dead you say gasp im so sad if it werent gifted scriptwriters this movie would be kaput nothing not best disney movie ever made lion king is majestic movie not without humor that is almost all see my rating 9 10rated g intense thematic elements,0.5127632116311361,0.1934084783141386,Positive,"{'Happy': 0.17, 'Angry': 0.02, 'Surprise': 0.3, 'Sad': 0.26, 'Fear': 0.26}"
10.0,"By far, the greatest Disney movie ever made...","This movie is, quite seriously, the Citizen Kane of Disney animation. Every animated movie from Disney ever since has been a failed attempt to recreate the masterpiece that this film is. This movie is an anomaly in a market usually dominated by formulaic kiddie-fare. Unlike most films from animation studios, this movie will enthrall you, whether you're 5 years old, or 50. An epic plot, intriguing characters, great music and hillarious moments make this film a family classic that will endure through the ages. 10/10",by far greatest disney movie ever made,this movie is quite seriously citizen kane disney animation every animated movie disney ever since has been failed attempt recreate masterpiece that this film is this movie is anomaly market usually dominated by formulaic kiddie fare unlike most films animation studios this movie will enthrall you whether youre 5 years old or 50 epic plot intriguing characters great music hillarious moments make this film family classic that will endure through ages 10 10,0.4694444444444445,0.1652777777777778,Positive,"{'Happy': 0.13, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.13, 'Fear': 0.4}"
10.0,The best Disney animated film ever...,"The best Disney animated film ever...This film had it all, it was funny, emotional, had family drama, and above all, great animation and songs! My personal favorite character is Rafiki, the Baboon! I still cant forget the line he says to Simbe, ""Past can hurt, but as I see it, you can either run from it, or learn from it!"" it is so true! i loved Zazu's weirdness, and shenzi's humor, above all, i loved Pumba's innocence and Timon's intelligence! In short, i found the film the best film ever... The voice cast is also great. Mathew did complete justice to Simba, and what can I say about Mufasa, He is the best King, and dad anyone can ever get! The movie is not meant for kids, its meant to teach every adult a lesson...to find our place in the great ""Circle Of Life"". I give this film a perfect 10.",best disney animated film ever,best disney animated film ever this film had it all it was funny emotional had family drama above all great animation songs my personal favorite character is rafiki baboon i still cant forget line he says simbe past can hurt but as i see it you can either run it or learn it it is so true i loved zazus weirdness shenzis humor above all i loved pumbas innocence timons intelligence short i found film best film ever voice cast is also great mathew did complete justice simba what can i say about mufasa he is best king dad anyone can ever get movie is not meant kids its meant teach every adult lesson find our place great circle life i give this film perfect 10,0.5285714285714287,0.46904761904761905,Positive,"{'Happy': 0.21, 'Angry': 0.06, 'Surprise': 0.35, 'Sad': 0.15, 'Fear': 0.24}"
,This is what kid's movies should be like...,"I find it hard to believe that kid's movies these days will ever be called classics in years to come (excluding Pixar movies). In my mind, this is the last classic hand drawn film, and it upsets me that I have to wait for another five years for it to come out on DVD. This film deals with great issues and involves a huge conflict for the main character, something that recent kid/family films lack. It is funny and lighthearted when it should be, and heartfelt and serious when it needs it. I believe that everybody should see this movie, regardless of your age. It may just be the last good movie that Disney will ever do without the help of Pixar.",this is what kids movies should be like,i find it hard believe that kids movies these days will ever be called classics years come excluding pixar movies my mind this is last classic hand drawn film it upsets me that i have wait another five years it come out dvd this film deals with great issues involves huge conflict main character something that recent kid family films lack it is funny lighthearted when it should be heartfelt serious when it needs it i believe that everybody should see this movie regardless your age it may just be last good movie that disney will ever do without help pixar,0.5284722222222222,0.15486111111111114,Positive,"{'Happy': 0.3, 'Angry': 0.09, 'Surprise': 0.3, 'Sad': 0.04, 'Fear': 0.26}"
