Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Outstandingly great movie,"I wonder why there has been so little written and publicized about this movie. This should be seen in every country and its merits trumpeted from the skies.It starts off slowly and the locale is the former East Germany, inhabited by 16 million people who are being spied upon relentlessly by their secret police. In this very real world of the Berlin Wall, there are many Stasi, 90,000, overseeing the populace, aided and abetted by hundreds of thousands of informants. Many of these snitches were blackmailed or other pressures exerted (threats to children and loved ones) and a few obliged voluntarily.What is truly amazing is that this is Florian Henckel von Donnersmarck's directorial debut, and he maintains a masterful hand throughout and keeps the story and the tension rolling from the first scene of interrogation which is filmed back and forth between a tape educating new Stasi as to interview techniques and to the actual cell itself where it was recorded.The movie circles around three main characters and there is a wider circle of the powerful who pull the puppet strings for a variety of reasons which become clear as the movie unfolds.First is Georg Dreyman, a playwright on the verge of celebrating his 40th birthday. Sebastian Koch, a tall,handsome actor dressed in writerly rumple, shares an apartment with his actress girlfriend, Christa-Maria Sieland (Martina Gedeck), and exists within the strictures of the state-sponsored theatre. He is a decent man, and tries to win support for his blacklisted friends.For reasons that become quite clear, Dreyman falls under suspicion and the whole sophisticated Stasi spying system comes into play in the era of 1984. His whole apartment is bugged and every sound is monitored.The man in charge of all this is Captain Gerd Wiesler,(Ulrich Mühe). Ulrich's performance is nothing short of stunning. He starts as an almost robotic presence, dressed in gray, he almost disappears into every scene he's in. But one detects a clear intelligence in his bright eyes, the only part of him that's alive. Captain Wiesler lives in a non-descript arborited apartment, much like himself. He squeezes his food onto a plate from a tube.But the captain starts to awaken slowly as he listens surreptitiously on the state of the art equipment secreted in the attic of Dreyman's building. He starts to fall in love with the couple and then pressure from above is brought to bear on him to dig for the dirt in Dreyman's life.And he is in a dilemma now, as he is drawn further and further into the life of Dreman and his girlfriend.I won't throw spoilers down. Suffice to say is that the story is enthralling right down to the very last frame. The acting is superb, the direction impeccable and the world of East Germany meticulously drawn with the viewer respected enough to find his or her own emotional path through the plot.The ending is truly one of a kind. So right and true that I was left nodding, it was the only one possible.A must see, I will sing the praises of this film to all I know. 10 out of 10 from me. Right up there in my top 50 of all time. I find it so disappointing that these movies don't get wider release AND compete for an Oscar in the best picture of the year and not just for best foreign film. Now there's a heretical thought!",outstandingly great movie,i wonder why there has been so little written publicized about this movie this should be seen every country its merits trumpeted skies it starts off slowly locale is former east germany inhabited by 16 million people who are being spied upon relentlessly by their secret police this very real world berlin wall there are many stasi 90 000 overseeing populace aided abetted by hundreds thousands informants many these snitches were blackmailed or other pressures exerted threats children loved ones few obliged voluntarily what is truly amazing is that this is florian henckel von donnersmarcks directorial debut he maintains masterful hand throughout keeps story tension rolling first scene interrogation which is filmed back forth between tape educating new stasi as interview techniques actual cell itself where it was recorded movie circles around three main characters there is wider circle powerful who pull puppet strings variety reasons which become clear as movie unfolds first is georg dreyman playwright verge celebrating his 40th birthday sebastian koch tall handsome actor dressed writerly rumple shares apartment with his actress girlfriend christa maria sieland martina gedeck exists within strictures state sponsored theatre he is decent man tries win support his blacklisted friends reasons that become quite clear dreyman falls under suspicion whole sophisticated stasi spying system comes into play era 1984 his whole apartment is bugged every sound is monitored man charge all this is captain gerd wiesler ulrich m he ulrichs performance is nothing short stunning he starts as almost robotic presence dressed gray he almost disappears into every scene hes but one detects clear intelligence his bright eyes only part him thats alive captain wiesler lives non descript arborited apartment much like himself he squeezes his food onto plate tube but captain starts awaken slowly as he listens surreptitiously state art equipment secreted attic dreymans building he starts fall love with couple then pressure above is brought bear him dig dirt dreymans life he is dilemma now as he is drawn further further into life dreman his girlfriend i wont throw spoilers down suffice say is that story is enthralling right down very last frame acting is superb direction impeccable world east germany meticulously drawn with viewer respected enough find his or her own emotional path through plot ending is truly one kind so right true that i was left nodding it was only one possible must see i will sing praises this film all i know 10 out 10 me right up there my top 50 all time i find it so disappointing that these movies dont get wider release compete oscar best picture year not just best foreign film now theres heretical thought,0.5066584526584524,0.22212659562659562,Positive,"{'Happy': 0.16, 'Angry': 0.03, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.36}"
10.0,"Masterpiece, a unique lesson on humanity","This is the first full feature film by Florian Henckel von Donnersmarck and won him a Best Foreign Language Film Academy Award as well as an uncountable number of other awards all around the world. The film runs for roughly 2 hours and 15 minutes and does not drag a single second. The reason for this is FHvD's outstanding script and a cast that delivers 100% from minute 1, also including all the actors in smaller roles such as Thomas Thieme, who gives a great performance of an influential figure not scared of using his political power to his own sexual advantage. The standout is Ulrich Mühe showing us his character's transformation from a ruthless Stasi (secret police) agent into a caring human being who puts his own freedom at risk in order to oppose a political system built on fear that is as rotten as it gets and protect the people suffering from it. Merely from the political perspective, in my opinion, this is a movie that everybody needs to see, especially those with an interest in history. And even for those who are not particularly fond of political films, this is highly recommended as the characters and their interaction are written and portrayed with such wit and accuracy that I am not shy of calling it the best German movie ever made. And I have seen lots.I cannot even mention a favorite scene, there are just too many: the joke at the cafeteria table, the boy in the elevator, the interrogation between Mühe and Gedeck, threatening the neighbor('s daughter), the red color on the files near the end, the suicide references and so on. Or I could simply mention the entire epilogue, i.e. everything that happens in the movie after the Fall of the Wall. When Dreyman reads his file or how Wiesler enters the bookstore in the end are maybe the most moving moment of this film. Wiesler's last words are completely genius and I wish all films could end on such a high note. In general, his character and his transformation are one of the most interesting things I have seen in movies in the last years. There are many moments one could analyze, so I will just mention one. Pay attention to how he is looking for real togetherness during his meeting with the prostitute and thus cannot understand the affair between Gedeck's and Thieme's character. His faith in the system crumbles more and more as he realizes everybody is just interested in themselves, while he initially believes in the idea(l) of socialism. But the people in his organization are so different compared to everything he believes in that finally the whole concept of the GDR crumbles in his mind before it crumbles in reality. There is no point anymore in punishing the people who offend his country as he realizes they are the ones who are correct and he uses all the means in his power to help them without becoming part of an investigation himself.It's so sad to see that Ulrich Mühe died so quickly after this film, even before his posthumous BAFTA nomination. But we should be grateful to see the legacy he left us here. What surprises me a bit is that Henckel von Donnersmarck has worked so little in recent years. He only made one movie in the nine years since ""Das Leben der Anderen"" (a forgettable thriller with Johnny Depp and Angelina Jolie) and there is nothing upcoming on his body of work either. Maybe he really was a one-trick pony, but boy was that trick magnificent. A must-see. Perfect score.",masterpiece unique lesson humanity,this is first full feature film by florian henckel von donnersmarck won him best foreign language film academy award as well as uncountable number other awards all around world film runs roughly 2 hours 15 minutes does not drag single second reason this is fhvds outstanding script cast that delivers 100 minute 1 also including all actors smaller roles such as thomas thieme who gives great performance influential figure not scared using his political power his own sexual advantage standout is ulrich m he showing us his characters transformation ruthless stasi secret police agent into caring human being who puts his own freedom at risk order oppose political system built fear that is as rotten as it gets protect people suffering it merely political perspective my opinion this is movie that everybody needs see especially those with interest history even those who are not particularly fond political films this is highly recommended as characters their interaction are written portrayed with such wit accuracy that i am not shy calling it best german movie ever made i have seen lots i cannot even mention favorite scene there are just too many joke at cafeteria table boy elevator interrogation between m he gedeck threatening neighbor s daughter red color files near end suicide references so or i could simply mention entire epilogue i e everything that happens movie after fall wall when dreyman reads his file or how wiesler enters bookstore end are maybe most moving moment this film wieslers last words are completely genius i wish all films could end such high note general his character his transformation are one most interesting things i have seen movies last years there are many moments one could analyze so i will just mention one pay attention how he is looking real togetherness during his meeting with prostitute thus cannot understand affair between gedecks thiemes character his faith system crumbles more more as he realizes everybody is just interested themselves while he initially believes idea l socialism but people his organization are so different compared everything he believes that finally whole concept gdr crumbles his mind before it crumbles reality there is no point anymore punishing people who offend his country as he realizes they are ones who are correct he uses all means his power help them without becoming part investigation himself its so sad see that ulrich m he died so quickly after this film even before his posthumous bafta nomination but we should be grateful see legacy he left us here what surprises me bit is that henckel von donnersmarck has worked so little recent years he only made one movie nine years since das leben der anderen forgettable thriller with johnny depp angelina jolie there is nothing upcoming his body work either maybe he really was one trick pony but boy was that trick magnificent must see perfect score,0.4731630036630036,0.17517032967032964,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.31}"
,The globe's best . . .,"""Who knows the secrets of the human heart?"" Col in The Crying Game WhenI saw 2006's Oscar winning Departed, I was satisfied it could be the best picture of the year; then I saw Pan's Labyrinth and thought it imaginatively superior; then I saw Lives of Others, the Oscar choice for best foreign film, and I knew it was the globe's best film of the year, no argument.Lives of Others is what all movie making should strive to be: interesting characters, thrilling plot, superb acting, and thematic weight. It's set in East Berlin, 1984, five years before the Wall's fall and Gorbachev's ""glasnost"" and still felling the tremors of Nazism, in this case the Stasi, a government agency similar to the SS. Capt. Gerd Wiesler (Ulrich Muehe), a Stasi teacher and coldly efficient information gatherer, surreptitiously watches playwright Georg Dreyman (Sebastian Koch) and his actress girlfriend Christa-Maria Sieland (Martina Gedeck) to get compromising details that would damn Dreyman and open the romantic way for the culture minister, Bruno Hempf (Thomas Thieme). Oddly for an artist, Dreyman is loyal to socialism, so it is through Sieland that the information must come.The dramatic hub of this absorbing intrigue is the growing affection Wiesler gains for the actress and coincidentally the underground freedom movement, mostly as it is represented by artists and their friends. While his efficiency is amply evident in his cool detachment, similar to that of Rafe Fiennes in Schindler's List and Serg Lopez in Pan's Labyrinth, his humanity seeps out at the edges as he becomes vicariously involved in the artists' lives. First-time director Florian Henckel von Donnersmarck misses not a beat in slowly revealing the hearts of all his principals while he creates a plot remarkably interesting for a character-driven piece.Few films could mine the rich conflict between the totalitarian state and artists who yearn for freedom of expression, between the loyalties of friends and lovers and the crushing exigency of survival. Lives of Others shows how difficult it is to watch others' lives unfold and not be drawn to their passion. It's rough out there: No other film of 2006 showed that cliché better. Here's looking at you, best film of the year.",globes best,who knows secrets human heart col crying game wheni saw 2006s oscar winning departed i was satisfied it could be best picture year then i saw pans labyrinth thought it imaginatively superior then i saw lives others oscar choice best foreign film i knew it was globes best film year no argument lives others is what all movie making should strive be interesting characters thrilling plot superb acting thematic weight its set east berlin 1984 five years before walls fall gorbachevs glasnost still felling tremors nazism this case stasi government agency similar ss capt gerd wiesler ulrich muehe stasi teacher coldly efficient information gatherer surreptitiously watches playwright georg dreyman sebastian koch his actress girlfriend christa maria sieland martina gedeck get compromising details that would damn dreyman open romantic way culture minister bruno hempf thomas thieme oddly artist dreyman is loyal socialism so it is through sieland that information must come dramatic hub this absorbing intrigue is growing affection wiesler gains actress coincidentally underground freedom movement mostly as it is represented by artists their friends while his efficiency is amply evident his cool detachment similar that rafe fiennes schindlers list serg lopez pans labyrinth his humanity seeps out at edges as he becomes vicariously involved artists lives first time director florian henckel von donnersmarck misses not beat slowly revealing hearts all his principals while he creates plot remarkably interesting character driven piece few films could mine rich conflict between totalitarian state artists who yearn freedom expression between loyalties friends lovers crushing exigency survival lives others shows how difficult it is watch others lives unfold not be drawn their passion its rough out there no other film 2006 showed that clich better heres looking at you best film year,0.5119658119658119,0.23450854700854698,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.32, 'Sad': 0.21, 'Fear': 0.23}"
10.0,We all have something to hide.,"Das Leben der Anderen (2006) (The Lives of Others) was brilliantly written and directed by Florian Henckel von Donnersmarck. The film is a taut thriller. It's also a dramatization of what happened in East Germany--and could happen here--if we allow the government access to every aspect of our lives. Ulrich Mühe stars as Hauptmann Gerd Wiesler of the Stasi--the dreaded secret police. The Captain is so talented in interrogation that he gives lectures on interrogation techniques to Stasi cadets.For complex reasons, Wiesler is investigating a prominent couple-- Christa-Maria Sieland, a beautiful and talented actor (Martina Gedeck), and Georg Dreyman (Sebastian Koch) an accomplished author and playwright.Artists in East Germany were strictly controlled by the state. Some of them played an intricate cat-and-mouse game with the Stasi--going just far enough to attract notice, but not so far as to bring about arrest. The problem with the cat-and-mouse game was that the cats had very sharp teeth, which they didn't hesitate to use. Blacklisting was just one of the state's weapons--a single word from a high official and you never acted again, or your plays or music were never performed. Although both Christa-Maria and Georg have been careful and discrete, they haven't been careful and discrete enough to escape the Stasi's interest. The movie, although in color, looks as if it were shot in black and white. The mood and the locations are drab and muted. Obviously, the color reflects the political and social situation of the time. The camerwork and editing were outstanding. Every other aspect of the film is equally excellent, particularly the work of the supporting actors. Not only does this film represent a riveting thriller, but it provides a powerful political message. After you've seen The Lives of Others, you won't keep quiet when someone tells you ""I don't care if the government taps my phone; I've got nothing to hide.""This is an extraordinary film--well acted and directed, with a compelling plot and message. Das Leben der Anderen is the finest movie I've seen this year. It's definitely worth seeking out.",we all have something hide,das leben der anderen 2006 lives others was brilliantly written directed by florian henckel von donnersmarck film is taut thriller its also dramatization what happened east germany could happen here if we allow government access every aspect our lives ulrich m he stars as hauptmann gerd wiesler stasi dreaded secret police captain is so talented interrogation that he gives lectures interrogation techniques stasi cadets complex reasons wiesler is investigating prominent couple christa maria sieland beautiful talented actor martina gedeck georg dreyman sebastian koch accomplished author playwright artists east germany were strictly controlled by state some them played intricate cat mouse game with stasi going just far enough attract notice but not so far as bring about arrest problem with cat mouse game was that cats had very sharp teeth which they didnt hesitate use blacklisting was just one states weapons single word high official you never acted again or your plays or music were never performed although both christa maria georg have been careful discrete they havent been careful discrete enough escape stasis interest movie although color looks as if it were shot black white mood locations are drab muted obviously color reflects political social situation time camerwork editing were outstanding every other aspect film is equally excellent particularly work supporting actors not only does this film represent riveting thriller but it provides powerful political message after youve seen lives others you wont keep quiet when someone tells you i dont care if government taps my phone ive got nothing hide this is extraordinary film well acted directed with compelling plot message das leben der anderen is finest movie ive seen this year its definitely worth seeking out,0.6051566416040101,0.14783521303258143,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.06, 'Sad': 0.25, 'Fear': 0.49}"
10.0,Sonata for a Good Man,"This film is set in the Orlwellian year of 1984 in the old German Democratic Republic of what was known as East Berlin. The Stasi are the ""Shield and the Sword"" of the ruling party of this soviet bloc nation, a secret police force of 100,000 that subjugates another 300,000 to spy for them. This totalitarian system is based on a need to know everything about the countries populace of 16 million. Everything is meticulously documented. Big Brother keeps tabs on any it deems worthy of investigation. Captain Gerd Wiesler (Ulrich Mühe) is a button-down bureaucratic establishmentarian who works as a Stasi interrogator and as an instructor in the school for Stasi. His old schoolmate Lt. Col Grubitz (Ulrich Tukur) is now his immediate superior. In an attempt to further his career, Grubitz wants to impress Cultural Minister Bruno Hempf (Thomas Thieme) and orders Wiesler to set up an elaborate eavesdropping stakeout to gather information on playwright George Dreyman (Sebastian Koch). Dreyman is a playwright loyal to the party but most his contemporaries have not been including his favorite director Albert Jerska (Volkmar Leinert) who has been blacklisted. Dreyman's live-in girlfriend is the popular stage actress Christina- Maria Sieland (Martina Gedeck) who is also the object of amorous affection from the sinister, shades of gestapo-like Hemph. This is no ordinary spy thriller. Writer/director Florian Henckel von Donnersmarck in his feature film debut gives the screen this wonderfully compelling story of life behind the Iron Curtain in the years leading to the 1989 fall of the Berlin Wall and continues into 1991 after the reunification of Germany. Wonderful camera work from cinematographer Hagen Bogdanski enhances the stark realism of this film. This is the Academy Award winning Best Foreign Language Film of 2006. I had to see this since it beat out the highly favored Pan's Labyrinth for the Oscar. It's evident to me that Lives of Others is the superior film and the Academy got it right. This film flows so smoothly and your eyes are constantly on every movement on the screen that it's hard to believe you are reading subtitles too. Gabriel Yared's original composition for the film ""Sonata for a Good Man"" is a pivotal piece of it's storyline. I can't help but give this film my highest rating of a 10 out of 10 and I would highly recommend it.",sonata good man,this film is set orlwellian year 1984 old german democratic republic what was known as east berlin stasi are shield sword ruling party this soviet bloc nation secret police force 100 000 that subjugates another 300 000 spy them this totalitarian system is based need know everything about countries populace 16 million everything is meticulously documented big brother keeps tabs any it deems worthy investigation captain gerd wiesler ulrich m he is button down bureaucratic establishmentarian who works as stasi interrogator as instructor school stasi his old schoolmate lt col grubitz ulrich tukur is now his immediate superior attempt further his career grubitz wants impress cultural minister bruno hempf thomas thieme orders wiesler set up elaborate eavesdropping stakeout gather information playwright george dreyman sebastian koch dreyman is playwright loyal party but most his contemporaries have not been including his favorite director albert jerska volkmar leinert who has been blacklisted dreymans live girlfriend is popular stage actress christina maria sieland martina gedeck who is also object amorous affection sinister shades gestapo like hemph this is no ordinary spy thriller writer director florian henckel von donnersmarck his feature film debut gives screen this wonderfully compelling story life behind iron curtain years leading 1989 fall berlin wall continues into 1991 after reunification germany wonderful camera work cinematographer hagen bogdanski enhances stark realism this film this is academy award winning best foreign language film 2006 i had see this since it beat out highly favored pans labyrinth oscar its evident me that lives others is superior film academy got it right this film flows so smoothly your eyes are constantly every movement screen that its hard believe you are reading subtitles too gabriel yareds original composition film sonata good man is pivotal piece its storyline i cant help but give this film my highest rating 10 out 10 i would highly recommend it,0.5696825396825397,0.25859269385585176,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.15, 'Fear': 0.41}"
10.0,Brilliant,"Brilliant. East Berlin, 1984. The Cold War is still raging and the communist bloc does not trust its own citizens. A Secret Police agent is tasked with conducting surveillance on a writer and his lover. Over time, rather than being coldly distant, he finds himself being absorbed by their private lives...A great examination of life in East Germany during Communist rule, and how empathy can overcome fascism. Perfect ending.Great performances all round, especially from the three main actors - Martina Gedeck, Ulrich Muhe and Sebastian Koch.Well deserved its Best Foreign Language Film Oscar in 2007, and should have been nominated for more than just that.",brilliant,brilliant east berlin 1984 cold war is still raging communist bloc does not trust its own citizens secret police agent is tasked with conducting surveillance writer his lover over time rather than being coldly distant he finds himself being absorbed by their private lives great examination life east germany during communist rule how empathy can overcome fascism perfect ending great performances all round especially three main actors martina gedeck ulrich muhe sebastian koch well deserved its best foreign language film oscar 2007 should have been nominated more than just that,0.6754901960784314,0.32598039215686275,Positive,"{'Happy': 0.25, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.1, 'Fear': 0.35}"
10.0,The ghost of authoritarian regimes,"I've been taking German lessons for about 2 months now, and since movies were great in helping me learn English language I'm always looking for German films to watch (as well as German music to listen to) in order to educate my ears.Anyway, I went to this place where I get all sort of rare movies and this one caught my attention... and I had no idea it got the Oscar for foreign language film this year! So I watched it without prejudice and... what did I find? A MASTERPIECE! This is the kind of movie that gets your attention from the first moment, and makes you interested in understanding the characters' psyche, which is very varied: you have the idealistic good guys, the idealistic bad guys, the people that broad their minds understanding that no political dogma is better than individual freedom, etc. And even though the movie has very tough moments it is all so well done and presented with such a good taste that in the end you feel some sort of relieved.In this present day, when the ghost of authoritarian regimes still fly over our heads (in my country we're getting closer and closer to that reality), this movie will make you think about how important love, life and freedom are.A must see!",ghost authoritarian regimes,ive been taking german lessons about 2 months now since movies were great helping me learn english language im always looking german films watch as well as german music listen order educate my ears anyway i went this place where i get all sort rare movies this one caught my attention i had no idea it got oscar foreign language film this year so i watched it without prejudice what did i find masterpiece this is kind movie that gets your attention first moment makes you interested understanding characters psyche which is very varied you have idealistic good guys idealistic bad guys people that broad their minds understanding that no political dogma is better than individual freedom etc even though movie has very tough moments it is all so well done presented with such good taste that end you feel some sort relieved this present day when ghost authoritarian regimes still fly over our heads my country were getting closer closer that reality this movie will make you think about how important love life freedom are must see,0.4578125,0.19716435185185188,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.31, 'Sad': 0.14, 'Fear': 0.31}"
10.0,Excellent,"I do agree with all the other positive comments, and just need to add that this is the very first movie about the former GDR I saw that is not something like a comedy. Flicks like ""Sonnenallee"" or ""Good bye Lenin"" definitely were great and funny, but unconsciously left myself (a West German) with the impression that the GDR has been a sort of ""Mickey Mouse State"" full of stupid but charming characters, not really to be taken seriously. After seeing ""Das Leben der Anderen"" this impression shifted quite a bit: there actually was suffering, killing desperation and a terribly claustrophobic atmosphere behind that wall. This might well be the most realistic depiction of the dark side of the former East Germany. Thanks to the Producers, actors and director for making this movie. 10 out of 10.",excellent,i do agree with all other positive comments just need add that this is very first movie about former gdr i saw that is not something like comedy flicks like sonnenallee or good bye lenin definitely were great funny but unconsciously left myself west german with impression that gdr has been sort mickey mouse state full stupid but charming characters not really be taken seriously after seeing das leben der anderen this impression shifted quite bit there actually was suffering killing desperation terribly claustrophobic atmosphere behind that wall this might well be most realistic depiction dark side former east germany thanks producers actors director making this movie 10 out 10,0.4834911616161615,0.10669191919191917,Positive,"{'Happy': 0.19, 'Angry': 0.1, 'Surprise': 0.33, 'Sad': 0.24, 'Fear': 0.14}"
10.0,Think Twice Before You Hand Over Too Much to Government,"The Cold War is the center of all this. We were guilty of allowing the division of Germany and the splitting of the city of Berlin. What transpired was a Soviet controlled city with as many informants as citizens (exaggeration, but not that great a one). Of course, the true journalist is going to be the first to go. Don't say anything against the government. The focuses of this film is a young author who has to keep a low profile, and a man who lives right next to him, whose job is to use heavy surveillance on him. Eventually, this man begins to realize the results of his actions and he tries to pull back his invasiveness. The scariest part of this film involves the tactics used to get confessions out of those singled out. Of course, when they can't get to the person, they threaten their wives and children. Of course, since this takes place in 1980, we are in the wake of the destruction of the Berlin Wall. Everyone should see this and think about its implications. There is alo a subtlety and a reserved presentation that makes this work well.",think twice before you hand over too much government,cold war is center all this we were guilty allowing division germany splitting city berlin what transpired was soviet controlled city with as many informants as citizens exaggeration but not that great one course true journalist is going be first go dont say anything against government focuses this film is young author who has keep low profile man who lives right next him whose job is use heavy surveillance him eventually this man begins realize results his actions he tries pull back his invasiveness scariest part this film involves tactics used get confessions out those singled out course when they cant get person they threaten their wives children course since this takes place 1980 we are wake destruction berlin wall everyone should see this think about its implications there is alo subtlety reserved presentation that makes this work well,0.4446031746031746,0.06571428571428571,Positive,"{'Happy': 0.1, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.14, 'Fear': 0.43}"
10.0,One word: Magnificent,"Before the Berlin Wall came down, the government was very interested in ""The Lives of Others,"" a brilliant 2006 German film directed and written by Florian Henckel von Donnersmarck.The story concerns a dramatist, Georg Dreyman (Sebastian Koch), and his actress-girlfriend, Christa-Maria Sieland (Martina Gedeck). As artists, they are revered by the party. In private, however, their politics are somewhat different, but they're careful to keep them quiet. The Minister of Culture isn't convinced of Dreyman's loyalty - in part because of his own interest in Christa, so he assigns an agent, Weisler (Ulrich Muhe), to spy on them. This entails wiring their apartment for sound, listening in 24/7, and providing reports to the Minister. Weisler becomes drawn into the lives of these two people and their friends, and therein lies the fascinating story.Poignant, occasionally funny, scary, and thought-provoking, ""The Lives of Others"" is a fantastic film about the human soul in the face of politics, bureaucracy, fear, and desensitization. The director captures the tension-filled, drab atmosphere of East Berlin. I found the ending especially emotionally powerful.The acting is wonderful. Muhe is great as a colorless puppet of the state, and Gedeck and Koch are excellent as the theatrical couple. The entire film is well cast and well acted.This film won 61 awards internationally and deserved every one. Its best foreign film Oscar came as a big surprise - until people saw the film. Don't miss it.",one word magnificent,before berlin wall came down government was very interested lives others brilliant 2006 german film directed written by florian henckel von donnersmarck story concerns dramatist georg dreyman sebastian koch his actress girlfriend christa maria sieland martina gedeck as artists they are revered by party private however their politics are somewhat different but theyre careful keep them quiet minister culture isnt convinced dreymans loyalty part because his own interest christa so he assigns agent weisler ulrich muhe spy them this entails wiring their apartment sound listening 24 7 providing reports minister weisler becomes drawn into lives these two people their friends therein lies fascinating story poignant occasionally funny scary thought provoking lives others is fantastic film about human soul face politics bureaucracy fear desensitization director captures tension filled drab atmosphere east berlin i found ending especially emotionally powerful acting is wonderful muhe is great as colorless puppet state gedeck koch are excellent as theatrical couple entire film is well cast well acted this film won 61 awards internationally deserved every one its best foreign film oscar came as big surprise until people saw film dont miss it,0.5792145593869734,0.28256704980842906,Positive,"{'Happy': 0.24, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.15, 'Fear': 0.27}"
