Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,The best trilogy in the history of cinema,Best movie in the trilogy and sealed in the best possible way,best trilogy history cinema,best movie trilogy sealed best possible way,0.475,0.75,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.75, 'Sad': 0.0, 'Fear': 0.25}"
10.0,Nothing better,The greatest tragedy of the human race is that they will never make a better movie than Return of the King.,nothing better,greatest tragedy human race is that they will never make better movie than return king,0.525,0.5,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25}"
10.0,All Good Things come to an End!,"All the threads of Tolkien's magnum opus come together in the most elegant of fashions in the final part of Peter Jackson's adaptation. Humanity makes a last stand at Minas Tirith, the Hobbits travel through Mordor, our heroes try to by time for Frodo to complete his mission and the Evil Sauron gets tired of the whole game and lashes out with all his might and fury.""Return of the King"" is 4 hours of payoff, a third act in a gigantic epic rather than a mere film of its own. As such it is intensely dramatic and dynamic and you can very much sense that though peter Jackson spared no effort on the previous episodes, this is clearly his favorite. the film floats by at a thunderous pace, taking us through unforgettable moments such as the battle of Minas Tirith itself, a marvel of seamless animation and epic film-making, it demands to be seen, as it has too many jaw-dropping moments to choose from. The quieter character moments keep gaining in potency and the full weight of the stakes and their heartbreaking consequences is never in doubt.The cast of these films have played their parts to perfection and again Jackson deserves overall credit for choosing actors that so perfectly match Tlolkien's creations: Ian McKellen and Christopher Lee are their own usually excellent selves, and the hobbits remain endearing, but of all the uniformly great cast, the true standouts are Viggo Mortensen and David Wenham as the tragic Faramir, whose relationship with his brutish father is the most traumatic of the film. Jackson pushes them even further by having them sing at a few key moments (a practice employed to powerful effect by Tolkien in the books), a daring undertaking that works wonders. And though he may offer one ending too many, he does have the decency to show off each surviving character with the appropriate screen time and respect.Now that the trilogy is complete, it can be viewed as one big film, as it should be. After 8 years, Jackson has done the impossible: he has taken Tolkien's huge legend and made films that stand on their own and have revolutionized film-making, setting the new benchmark for cinematic epics. Changes have been made to Tolkien's source novels, but they make for better, more fluid films, more faithful in spirit to Tolkien's myth than anyone had the right to hope for.A masterpiece, whether as part of a bigger whole or on its own. Well deserving of all the high praise thrown at it, and then some...",all good things come end,all threads tolkiens magnum opus come together most elegant fashions final part peter jacksons adaptation humanity makes last stand at minas tirith hobbits travel through mordor our heroes try by time frodo complete his mission evil sauron gets tired whole game lashes out with all his might fury return king is 4 hours payoff third act gigantic epic rather than mere film its own as such it is intensely dramatic dynamic you can very much sense that though peter jackson spared no effort previous episodes this is clearly his favorite film floats by at thunderous pace taking us through unforgettable moments such as battle minas tirith itself marvel seamless animation epic film making it demands be seen as it has too many jaw dropping moments choose quieter character moments keep gaining potency full weight stakes their heartbreaking consequences is never doubt cast these films have played their parts perfection again jackson deserves overall credit choosing actors that so perfectly match tlolkiens creations ian mckellen christopher lee are their own usually excellent selves hobbits remain endearing but all uniformly great cast true standouts are viggo mortensen david wenham as tragic faramir whose relationship with his brutish father is most traumatic film jackson pushes them even further by having them sing at few key moments practice employed powerful effect by tolkien books daring undertaking that works wonders though he may offer one ending too many he does have decency show off each surviving character with appropriate screen time respect now that trilogy is complete it can be viewed as one big film as it should be after 8 years jackson has done impossible he has taken tolkiens huge legend made films that stand their own have revolutionized film making setting new benchmark cinematic epics changes have been made tolkiens source novels but they make better more fluid films more faithful spirit tolkiens myth than anyone had right hope masterpiece whether as part bigger whole or its own well deserving all high praise thrown at it then some,0.5639592046371706,0.19534595348154668,Positive,"{'Happy': 0.13, 'Angry': 0.03, 'Surprise': 0.17, 'Sad': 0.21, 'Fear': 0.46}"
10.0,Great,"Wonderful on every level. Love the characters and special effects. One of the biggest, most massive battle scenes ever put on the silver screen. A great end to a monumental epic.",great,wonderful every level love characters special effects one biggest most massive battle scenes ever put silver screen great end monumental epic,0.6964285714285715,0.5071428571428571,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.1, 'Fear': 0.1}"
10.0,Pretty much outstanding,"I admit it, I love all three Lord of the Rings films. People may say Return of the King is the best of the trilogy, some may say it is the worst. I personally think Two Towers is the best for its scope and better exploration of some of the characters, but while it is still great Return of the King is better than Fellowship of the Ring.My only slight disappointment is the ending, it does feel overlong and bloated for me, almost as if there was more than one ending filmed. That said, what does make the ending at least watchable for me is the way it is shot, the marvellous score and the performance of Gollum.Despite this minor discrepancy, Return of the King is extremely good and in my view one of the better Best Picture winners last decade. Peter Jackson's direction is very impressive here, and the scope is massive and just dazzling to watch. All three films of the trilogy are very well made, but Return of the King defines the term epic. The cinematography is mind-blowing, the scenery is superb, the costumes and make-up are well tailored, the effects are superb and don't distract too much and the lighting is authentic.The score is phenomenal. Fellowship of the Ring had some ethereal, rousing, haunting and charming themes, whereas Two Towers was somewhat darker and more complex. Return of the King merges these together and the result is a perfect mixture of charm, darkness, etherality and complexity. The story is compelling with themes of friendship, strength and loyalty, the screenplay is well-written and literate and while the film is very long the three hours or so fly by seamlessly. The characters are engaging, Aragorn is even more interesting here than he is in the previous films while Gollum continues to steal every scene he appears in.The acting is very good. Orlando Bloom(who I can find dashing yet uncharismatic and bland) and John Rhys-Davies are given less to do but do carry their parts very well, and Elijah Wood is likable enough. Sean Astin captures Sam perfectly and provides the heart of the picture, and Viggo Mortenssen is at his charismatic best here. Ian McKellen is perfectly cast, while the design of Gollum is still superb and Andy Serkis is equally phenomenal. I was slightly disappointed by the lack of any Sarauman, but I was more than I was satisfied with the final result.All in all, an outstanding entry to a great trilogy. 10/10 Bethany Cox",pretty much outstanding,i admit it i love all three lord rings films people may say return king is best trilogy some may say it is worst i personally think two towers is best its scope better exploration some characters but while it is still great return king is better than fellowship ring my only slight disappointment is ending it does feel overlong bloated me almost as if there was more than one ending filmed that said what does make ending at least watchable me is way it is shot marvellous score performance gollum despite this minor discrepancy return king is extremely good my view one better best picture winners last decade peter jacksons direction is very impressive here scope is massive just dazzling watch all three films trilogy are very well made but return king defines term epic cinematography is mind blowing scenery is superb costumes make up are well tailored effects are superb dont distract too much lighting is authentic score is phenomenal fellowship ring had some ethereal rousing haunting charming themes whereas two towers was somewhat darker more complex return king merges these together result is perfect mixture charm darkness etherality complexity story is compelling with themes friendship strength loyalty screenplay is well written literate while film is very long three hours or so fly by seamlessly characters are engaging aragorn is even more interesting here than he is previous films while gollum continues steal every scene he appears acting is very good orlando bloom who i can find dashing yet uncharismatic bland john rhys davies are given less do but do carry their parts very well elijah wood is likable enough sean astin captures sam perfectly provides heart picture viggo mortenssen is at his charismatic best here ian mckellen is perfectly cast while design gollum is still superb andy serkis is equally phenomenal i was slightly disappointed by lack any sarauman but i was more than i was satisfied with final result all all outstanding entry great trilogy 10 10 bethany cox,0.6057377049180328,0.3766939890710383,Positive,"{'Happy': 0.24, 'Angry': 0.07, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.19}"
10.0,Unprecedented.,"Peter Jackson has done it. He has created an all-encompassing epic saga of Tolkien's Lord of the Rings books, and after coming away from the final chapter, how does this rate not only as a film on its own, but as a part of the whole?Perfect.I've never seen a series like this. A trilogy of movies created with such love and care and utter perfection of craft that you can't help but walk away and wonder how did Peter Jackson make this possible? I have always loved the original ""Star Wars"" and ""Indiana Jones"" series for their epic storytelling, and just for just fitting in as a great moment in cinema. This should be, will be, remembered with as much revered fondness for generations to come. They do not make films like these anymore.As a stand alone film, it picks up immediately where ""Two Towers"" ends, so brush up before seeing it. I've read the books, and the anticipation of seeing some of the more profound moments in this film made me kind of view it with a rushed sense of perspective. I wanted to make sure everything in this film was done ""right"". And when it happened, it was. I will need to see this again to enjoy everything on a more casual level.The cast comes through once more. The musical score retains its beauty, elegance and power. The special effects, notably Gollum again, are nothing less than breathtaking, and simply move the story along. The battles are monumentally huge and exciting. There are some liberties taken with the story, especially during the end with the homecoming, and yet, everything that needed to be covered regarding the main characters was handled. After the greatest moment of the series resolves itself, the story provided a breather. And gives a good-bye to friends seen on screen for the last three years. It was truly a bittersweet feeling in realizing that there will be no ""Rings"" movie in 2004. I will miss this talented group of actors.As with the first two, the film is very long, but goes by without you ever truly realizing it. This film is so much more than a simple ""fantasy"" epic. It's a story about strength of character, friendship, loyalty and love. And while every member of the Fellowship has their part to play, I finally understood why some critics have said this series is a story about Sam. It's his unwavering resolve that led the quest to its victory. Sean Astin is a true credit for adding the inspirational heart to this epic. As as far as the ending goes, they ended it the way that it had to be ended. Jackson ended this film the way it should have been.I will miss looking forward to a new ""Rings"" movie, but these movies provide hope that high-quality films can still be made without special effects taking over a story, bathroom humor, or a ""Top 40"" soundtrack. George Lucas could learn a lot from these films about how not to alienate the fanbase.Each film has earned a ""10"" from me for the last two years, which for me to give is a rarity. This one, however, is as equally deserving as its two predecessors. The Academy had better not look over this film for ""Best Picture"" of 2003. To do so would be greatly disrespectful of the craft and care that anyone involved with these films put into them.",unprecedented,peter jackson has done it he has created all encompassing epic saga tolkiens lord rings books after coming away final chapter how does this rate not only as film its own but as part whole perfect ive never seen series like this trilogy movies created with such love care utter perfection craft that you cant help but walk away wonder how did peter jackson make this possible i have always loved original star wars indiana jones series their epic storytelling just just fitting as great moment cinema this should be will be remembered with as much revered fondness generations come they do not make films like these anymore as stand alone film it picks up immediately where two towers ends so brush up before seeing it ive read books anticipation seeing some more profound moments this film made me kind view it with rushed sense perspective i wanted make sure everything this film was done right when it happened it was i will need see this again enjoy everything more casual level cast comes through once more musical score retains its beauty elegance power special effects notably gollum again are nothing less than breathtaking simply move story along battles are monumentally huge exciting there are some liberties taken with story especially during end with homecoming yet everything that needed be covered regarding main characters was handled after greatest moment series resolves itself story provided breather gives good bye friends seen screen last three years it was truly bittersweet feeling realizing that there will be no rings movie 2004 i will miss this talented group actors as with first two film is very long but goes by without you ever truly realizing it this film is so much more than simple fantasy epic its story about strength character friendship loyalty love while every member fellowship has their part play i finally understood why some critics have said this series is story about sam its his unwavering resolve that led quest its victory sean astin is true credit adding inspirational heart this epic as as far as ending goes they ended it way that it had be ended jackson ended this film way it should have been i will miss looking forward new rings movie but these movies provide hope that high quality films can still be made without special effects taking over story bathroom humor or top 40 soundtrack george lucas could learn lot these films about how not alienate fanbase each film has earned 10 me last two years which me give is rarity this one however is as equally deserving as its two predecessors academy had better not look over this film best picture 2003 do so would be greatly disrespectful craft care that anyone involved with these films put into them,0.6288270803270801,0.3314949494949495,Positive,"{'Happy': 0.19, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.22, 'Fear': 0.36}"
10.0,They saved the best for last,"Obviously, I'm aware of the fact that the Lord of the Rings trilogy is actually one giant movie, but since it was released in parts, that's how I'm judging them. The Return Of The King is the final chapter, and since it is the climax and resolution of the epic journey, it has a little more intensity and urgency than the previous installments.At this point everyone has come to know and love all of the characters, and the stakes have become tremendously high. Kingdoms are at their knees, and the only two characters who can save the day are getting weaker and weaker. The tension was very high in this episode and I can honestly say that out of all 3 this was the only one that had me on the edge of my seat. There were many memorable scenes (one of my favourites including the part with the giant spider)that made this the classic that it is sure to stay for decades to come.This is the longest of the series, mostly because of the ending that seems to last a while. This was a good ending, and I can see why Frodo did what he did. He, and us the audience, have gone through an incredible ordeal and I think we needed that 20 minute linger. When the battle is over, and the celebrations have ended, there is a sad emptiness felt. The films spanned over 3 years, there have been the extended cuts of course, but after that, it's all over. Peter Jackson gave us an ending that was both appropriate and admirable.These were some amazing movies and this one in particular is the best, in my opinion. As whole, the Lord Of The Rings is a phenomenon. An absolute phenomenon. Much more than just movies. They have a universal appeal and have touched the hearts and imaginations of millions. I'm one of them.Sorry if I'm being all fanboyish and kissing this movie's ass, but I really admire it. It may not be among my personal favourites but generally this seems to be the movie event of the century. There will never be another Lord of the Rings film, and that's a bit depressing.My rating: 10/10",they saved best last,obviously im aware fact that lord rings trilogy is actually one giant movie but since it was released parts thats how im judging them return king is final chapter since it is climax resolution epic journey it has little more intensity urgency than previous installments at this point everyone has come know love all characters stakes have become tremendously high kingdoms are at their knees only two characters who can save day are getting weaker weaker tension was very high this episode i can honestly say that out all 3 this was only one that had me edge my seat there were many memorable scenes one my favourites including part with giant spider that made this classic that it is sure stay decades come this is longest series mostly because ending that seems last while this was good ending i can see why frodo did what he did he us audience have gone through incredible ordeal i think we needed that 20 minute linger when battle is over celebrations have ended there is sad emptiness felt films spanned over 3 years there have been extended cuts course but after that its all over peter jackson gave us ending that was both appropriate admirable these were some amazing movies this one particular is best my opinion as whole lord rings is phenomenon absolute phenomenon much more than just movies they have universal appeal have touched hearts imaginations millions im one them sorry if im being all fanboyish kissing this movies ass but i really admire it it may not be among my personal favourites but generally this seems be movie event century there will never be another lord rings film thats bit depressing my rating 10 10,0.5738689458689458,0.21915811965811968,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.23, 'Sad': 0.25, 'Fear': 0.37}"
10.0,Perfect way to finish the trilogy,"Finally, the last movie in the series. Finally, Peter Jackson makes his intentions clear. Now we realise that the first two movies in this series were just the build up to this epic of a film. A masterful masterpiece, a flawless work of cinema whose only fault is that it seems too short. I don't have much to say about this; I don't want to spoil anything. But this is the big one. It completely blows the other two great movies out of the water. Suddenly, everything is more adult, more dramatic, and ten times the emotion. You could call it an emotional roller-coaster ride; certainly Jackson touches the nerves and heart-strings on more than one occasion.The centrepiece of the film is the battle for Minas Tirith, a huge war scene which features amazing special effects unlike anything ever seen before. An army of 300,000 riders on the heroes who defend their city with courage and spirit. Dragons fly down from the sky, huge boulders are tossed back and forth, and an army of trolls and oliphants are sent in to obliterate the heroes. Everything is dark and gruesome; Jackson reveals his origins by including many graphic and gruesome deaths which somehow make the 12A certificate a bit of a joke. Men are decapitated, crushed, impaled, and burnt. Heads fly over city walls and the viewer just sits and gapes at the magnificence of it all.The casting is excellent. Ian McKellen and Viggo Mortensen come into their own. Billy Boyd is given serious stuff to deal with now, not just comic relief: his singing over the death of the soldiers is extremely moving and a stand against all generals who sit back and send their men to certain death. Miranda Otto comes into her own. The new character of Denethor is great, just as in the book. Legolas and Gimli are still there, although on the sidelines as always. But the real emotion comes from Elijah Wood and Sean Astin: this pair are brilliant, and their final journey to Mount Doom will bring tears to anybody's eyes through the heartache involved. Gollum is a force to be reckoned with this time and cannot be forgotten.After the slow build-up of the initial hour, things explode in cinematic heaven. The battles are amazing, topped by the arrival of the ghost army, sheer brilliance. Shelob is a wonderful special effect and extremely frightening. There is so much to love and thankfully the powerhouse ending doesn't disappoint. The only problem with this film is that it properly ends about 30 minutes before the credits, and Jackson fills the final 30 minutes with endless mawkish sentimentality which becomes truly sickening. Sadly, it doesn't spoil what's come before; I just tune out at this part.",perfect way finish trilogy,finally last movie series finally peter jackson makes his intentions clear now we realise that first two movies this series were just build up this epic film masterful masterpiece flawless work cinema whose only fault is that it seems too short i dont have much say about this i dont want spoil anything but this is big one it completely blows other two great movies out water suddenly everything is more adult more dramatic ten times emotion you could call it emotional roller coaster ride certainly jackson touches nerves heart strings more than one occasion centrepiece film is battle minas tirith huge war scene which features amazing special effects unlike anything ever seen before army 300 000 riders heroes who defend their city with courage spirit dragons fly down sky huge boulders are tossed back forth army trolls oliphants are sent obliterate heroes everything is dark gruesome jackson reveals his origins by including many graphic gruesome deaths which somehow make 12a certificate bit joke men are decapitated crushed impaled burnt heads fly over city walls viewer just sits gapes at magnificence it all casting is excellent ian mckellen viggo mortensen come into their own billy boyd is given serious stuff deal with now not just comic relief his singing over death soldiers is extremely moving stand against all generals who sit back send their men certain death miranda otto comes into her own new character denethor is great just as book legolas gimli are still there although sidelines as always but real emotion comes elijah wood sean astin this pair are brilliant their final journey mount doom will bring tears anybodys eyes through heartache involved gollum is force be reckoned with this time cannot be forgotten after slow build up initial hour things explode cinematic heaven battles are amazing topped by arrival ghost army sheer brilliance shelob is wonderful special effect extremely frightening there is so much love thankfully powerhouse ending doesnt disappoint only problem with this film is that it properly ends about 30 minutes before credits jackson fills final 30 minutes with endless mawkish sentimentality which becomes truly sickening sadly it doesnt spoil whats come before i just tune out at this part,0.61672952468407,0.17624240237876598,Positive,"{'Happy': 0.08, 'Angry': 0.06, 'Surprise': 0.21, 'Sad': 0.3, 'Fear': 0.36}"
10.0,The first great cinematic masterpiece of the twenty-first century.,"I am, I admit, an unlikely convert to the religion of Tolkienism. I have never read the books, having, I thought, been put off them for life by the sort of obsessive freaks who read them when I was at school. (One classmate, then aged about sixteen, told me with great pride that he had read the whole of 'The Lord of the Rings' at least fifty times). I also have never been a great admirer of the 'sword and sorcery' school of fantasy writing or film-making; indeed, some of this genre (mostly those starring the current governor of California) struck me as being among the worst films ever made. I was, however, persuaded to see the first in the trilogy, 'The Fellowship of the Ring', by its overwhelmingly positive reception from the critics, and was quickly won over by the scope of Peter Jackson's vision. I had been expecting some twee tale of elves, gnomes and fairies; what I experienced was a genuine epic (in the true sense of that overused word). Ever since December 2001, I have been waiting for parts two and three of the trilogy to be released. Neither has disappointed me. The story of 'The Lord of the Rings' is too complex to be told in a review such as this. Suffice it to say that it revolves around a magic ring which will give its possessor immense power. The power-hungry Dark Lord Sauron (a figure who is never actually seen on screen) desires to obtain the ring in order to dominate Middle Earth. His enemies, led by the wizard Gandalf, are seeking to destroy the ring, which can only be used for evil purposes, not for good. At the beginning of the final part of the trilogy, Sauron's forces are massing for an attack on the kingdom of Gondor. The film relates the story of the conflict which follows, and this leads to some of the most spectacular battle sequences I have seen, even more impressive than those in 'The Two Towers'. Inevitably, the film makes much use of computer-generated effects, but unlike many films dominated by special effects, plot and character are not neglected. The acting is uniformly good, and in some cases outstanding. Special mentions must also go to the camera-work, which made the best possible use of the magnificent New Zealand scenery, and to Howard Shore's memorable musical score. So, looking forward to the Oscar ceremony, I have no doubt that this should be the best film and that Peter Jackson, who has amply fulfilled the promise shown in the excellent 'Heavenly Creatures', should be best director. Best Actor? I would find it difficult to decide between the competing claims of Sir Ian McKellen, who brings wisdom, kindliness and the required touch of steel to his portrait of Gandalf, and of Elijah Wood, who plays the brave and resourceful hobbit Frodo to whom falls the dangerous task of ensuring the ring's destruction. Best Supporting Actor? My own nomination would be for Sean Astin, as Frodo's loyal companion Sam, but several others might have claims, notably Viggo Mortensen or Bernard Hill. Is this the best movie ever made, as some of its admirers have claimed? Possibly not- that is, after all, a very large claim to make. I have no doubt, however, that the trilogy as a whole is the first great cinematic masterpiece of the twenty-first century. It has certainly inspired me to start reading Tolkien's original novels. 10/10.",first great cinematic masterpiece twenty first century,i am i admit unlikely convert religion tolkienism i have never read books having i thought been put off them life by sort obsessive freaks who read them when i was at school one classmate then aged about sixteen told me with great pride that he had read whole lord rings at least fifty times i also have never been great admirer sword sorcery school fantasy writing or film making indeed some this genre mostly those starring current governor california struck me as being among worst films ever made i was however persuaded see first trilogy fellowship ring by its overwhelmingly positive reception critics was quickly won over by scope peter jacksons vision i had been expecting some twee tale elves gnomes fairies what i experienced was genuine epic true sense that overused word ever since december 2001 i have been waiting parts two three trilogy be released neither has disappointed me story lord rings is too complex be told review such as this suffice it say that it revolves around magic ring which will give its possessor immense power power hungry dark lord sauron figure who is never actually seen screen desires obtain ring order dominate middle earth his enemies led by wizard gandalf are seeking destroy ring which can only be used evil purposes not good at beginning final part trilogy saurons forces are massing attack kingdom gondor film relates story conflict which follows this leads some most spectacular battle sequences i have seen even more impressive than those two towers inevitably film makes much use computer generated effects but unlike many films dominated by special effects plot character are not neglected acting is uniformly good some cases outstanding special mentions must also go camera work which made best possible use magnificent new zealand scenery howard shores memorable musical score so looking forward oscar ceremony i have no doubt that this should be best film that peter jackson who has amply fulfilled promise shown excellent heavenly creatures should be best director best actor i would find it difficult decide between competing claims sir ian mckellen who brings wisdom kindliness required touch steel his portrait gandalf elijah wood who plays brave resourceful hobbit frodo whom falls dangerous task ensuring rings destruction best supporting actor my own nomination would be sean astin as frodos loyal companion sam but several others might have claims notably viggo mortensen or bernard hill is this best movie ever made as some its admirers have claimed possibly not that is after all very large claim make i have no doubt however that trilogy as whole is first great cinematic masterpiece twenty first century it has certainly inspired me start reading tolkiens original novels 10 10,0.573952380952381,0.26816594516594516,Positive,"{'Happy': 0.13, 'Angry': 0.06, 'Surprise': 0.35, 'Sad': 0.22, 'Fear': 0.24}"
10.0,I lived to see them all!,"I am in awe of the knowledge of some of the reviewers. I've been disappointed with virtually every film version of a beloved book that I have seen. I have not studied ""The Lord of the Rings"" though I have read the trilogy twice and parts several times. I know what a scholar Tolkien was and admire his work in linguistics as well as storytelling. The two entities do not need to cross over. If one really wanted to make the book you would have about two hours of poetry and a 56 hour movie. Movie-making is, unfortunately, forced to play by different rules. First of all, this film could not have been made until now. Imagine people dressed as trees. Remember those old Superman serials where whenever the Man of Steel flies, he becomes animated. Now that is genuinely bad. What Peter Jackson did here will be his legacy; had he died the day the film was complete, he would go down in film history. Everything is set up. The ring must be returned. Frodo is drunk with power and is latched on by the forces of evil. Those continuing the quest must face the ultimate and some do. Gollum is in the way, using his wiles to drive the ring back to him. The visual magnificence of Mount Doom and Mordor are unbelievable. One thing that is never mentioned is the incredible acting of most of the characters. Jackson may be a master of spectacle, but Frodo's character is a mass of impulses and expressions. He believes he is going to die and is afraid. Do you see a little bit of Christianity mixed in here? I'm not going down that road because, of course, the Bible is an epic too and has its own story. This is a movie about how friendship, loyalty, and sacrifice will out against evil. The evil is so remarkable and so oppressive.I can't begin to talk in the terms of other reviewers, but I do need to make sure that I weigh in on this film and the other two because this is a product of our society that we can all be proud of.",i lived see them all,i am awe knowledge some reviewers ive been disappointed with virtually every film version beloved book that i have seen i have not studied lord rings though i have read trilogy twice parts several times i know what scholar tolkien was admire his work linguistics as well as storytelling two entities do not need cross over if one really wanted make book you would have about two hours poetry 56 hour movie movie making is unfortunately forced play by different rules first all this film could not have been made until now imagine people dressed as trees remember those old superman serials where whenever man steel flies he becomes animated now that is genuinely bad what peter jackson did here will be his legacy had he died day film was complete he would go down film history everything is set up ring must be returned frodo is drunk with power is latched by forces evil those continuing quest must face ultimate some do gollum is way using his wiles drive ring back him visual magnificence mount doom mordor are unbelievable one thing that is never mentioned is incredible acting most characters jackson may be master spectacle but frodos character is mass impulses expressions he believes he is going die is afraid do you see little bit christianity mixed here im not going down that road because course bible is epic too has its own story this is movie about how friendship loyalty sacrifice will out against evil evil is so remarkable so oppressive i cant begin talk terms other reviewers but i do need make sure that i weigh this film other two because this is product our society that we can all be proud,0.5519607843137255,-0.03966503267973857,Negative,"{'Happy': 0.09, 'Angry': 0.07, 'Surprise': 0.13, 'Sad': 0.31, 'Fear': 0.4}"
