Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,An Epic in every sense of the word.,"Peter Jackson truly outdid himself when creating the Lord of the Rings: The Fellowship of the Ring and he fails to disappoint us in the 2nd part of the Trilogy. The Two Towers shows us that he is not a one-hit wonder, like so many directors are. I actually think that The Two Towers reaches the same level as the Fellowship of the Ring, and sometimes even surpasses it.This film is the biggest film in the trilogy. What do I mean by that? Well this film has so many things going like the amazing Battle of Helms Deep. Frodo and Sam journey to Mount Doom, to destroy the Ring. But the one who's leading them through the way is Gollum, he looks so creepy and realistic, that he doesn't feel disconnected from us. A powerful performance by Andy Serkis as Gollum, he should of been nominated for an Oscar for Best Supporting Actor.The Best part of the film, is quite easily and everyone knows it the ending. The ending of the battle of Helm's Deep is quite breathtaking, and as Gandalf the White comes in the distance with another army to defeat the Orcs. When Treebeard and his army of Entz tear down Isengard, the destruction and the battle is so immense in size, that you truly have to see to believe.In size and scale, Peter Jackson has truly redefined the word ""epic"" and he also pays attention to the small things that truly elevate this movie from great to amazing. I definitely recommend this film to everyone, but you really should watch the first movie to truly understand what's going on.10/10",epic every sense word,peter jackson truly outdid himself when creating lord rings fellowship ring he fails disappoint us 2nd part trilogy two towers shows us that he is not one hit wonder like so many directors are i actually think that two towers reaches same level as fellowship ring sometimes even surpasses it this film is biggest film trilogy what do i mean by that well this film has so many things going like amazing battle helms deep frodo sam journey mount doom destroy ring but one whos leading them through way is gollum he looks so creepy realistic that he doesnt feel disconnected us powerful performance by andy serkis as gollum he should been nominated oscar best supporting actor best part film is quite easily everyone knows it ending ending battle helms deep is quite breathtaking as gandalf white comes distance with another army defeat orcs when treebeard his army entz tear down isengard destruction battle is so immense size that you truly have see believe size scale peter jackson has truly redefined word epic he also pays attention small things that truly elevate this movie great amazing i definitely recommend this film everyone but you really should watch first movie truly understand whats going 10 10,0.4700462962962963,0.1960648148148148,Positive,"{'Happy': 0.03, 'Angry': 0.09, 'Surprise': 0.45, 'Sad': 0.15, 'Fear': 0.27}"
10.0,Great,"The Two Towers is worth watching just to see the Battle of Helm's Deep. It is one of the most impressive battle sequences to hit the big screen. But then there's so much more than that-this movie also features amazing special effects with Gollum, dramatic political tension in Rohan, and fantastic moments with the Ents. This is probably my favorite chapter of the Lord of the Rings film trilogy.",great,two towers is worth watching just see battle helms deep it is one most impressive battle sequences hit big screen but then theres so much more than that this movie also features amazing special effects with gollum dramatic political tension rohan fantastic moments with ents this is probably my favorite chapter lord rings film trilogy,0.5708791208791208,0.34798534798534797,Positive,"{'Happy': 0.33, 'Angry': 0.08, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.25}"
10.0,Great movie,Great movie I really enjoyed watching and better than the first part,great movie,great movie i really enjoyed watching better than first part,0.6066666666666667,0.5700000000000001,Positive,"{'Happy': 0.43, 'Angry': 0.0, 'Surprise': 0.57, 'Sad': 0.0, 'Fear': 0.0}"
10.0,"""There's some good in this world Mr. Frodo, and it's worth fighting for.""","""The Lord of the Rings"" continues it's epic quest in this second installment of the trilogy, as the original fellowship is disbanded and it's various members must continue the good fight. While Frodo and Sam pursue their mission to Mordor, Pippin and Merry manage to escape the Uruk hai into the Fangorn Forest and their own adventure with the Ents. Aragorn, Legolas and Gimli traverse the Riddermark into the realm of Rohan.The One Ring begins to deepen it's spell over Frodo who questions his worthiness and stomach for the mission. This facet of his character allows Sam (Sean Astin) to portray his devotion and loyalty to his master, particularly when Gollum makes his appearance and becomes their guide. Gollum's looks are rivaled only by his treachery, and the duality of his personality is given emphasis in the tortured conversations he has with himself. I was a bit surprised at the way Gollum was portrayed in ""The Two Towers""; his cameo appearance in the first film as a slinky black cave denizen more closely resembled Tolkien's description and corresponded to the mental image I took away when reading about it. At the same time though, there was almost a comic element to it, whereas his physical features presented here more accurately allowed for a menacing but tortured creature.Even more fantastic creatures find CGI life in the film; I found the presentation of the Ents to be masterfully done. The ""olyphants"" were a neat touch and I was happy to see them included. Of course the orcs, wargs and Uruk hai all personify the evil that befalls Middle Earth in this dire time, and their presence instills fear and dread for the heroes all along the way.There's a lot going on in the film, and repeated viewings are helpful, along with an understanding created by reading Tolkien's story. Though not entirely necessary to enjoy the movie, I feel it grounds the viewer in the rich background of the characters and locations. Actually, the books and the film complement each other nicely, even though the movie of necessity must leave out some elements.There is no doubt that ""The Lord of the Rings"" has earned it's reputation as one of the greatest epic films of all time and the best fantasy film of them all. At the same time, it does a wonderful job of examining such themes as honor, loyalty, friendship and love as it's characters interact with each other and find common ground against a threat to their very existence.",theres some good this world mr frodo its worth fighting,lord rings continues its epic quest this second installment trilogy as original fellowship is disbanded its various members must continue good fight while frodo sam pursue their mission mordor pippin merry manage escape uruk hai into fangorn forest their own adventure with ents aragorn legolas gimli traverse riddermark into realm rohan one ring begins deepen its spell over frodo who questions his worthiness stomach mission this facet his character allows sam sean astin portray his devotion loyalty his master particularly when gollum makes his appearance becomes their guide gollums looks are rivaled only by his treachery duality his personality is given emphasis tortured conversations he has with himself i was bit surprised at way gollum was portrayed two towers his cameo appearance first film as slinky black cave denizen more closely resembled tolkiens description corresponded mental image i took away when reading about it at same time though there was almost comic element it whereas his physical features presented here more accurately allowed menacing but tortured creature even more fantastic creatures find cgi life film i found presentation ents be masterfully done olyphants were neat touch i was happy see them included course orcs wargs uruk hai all personify evil that befalls middle earth this dire time their presence instills fear dread heroes all along way theres lot going film repeated viewings are helpful along with understanding created by reading tolkiens story though not entirely necessary enjoy movie i feel it grounds viewer rich background characters locations actually books film complement each other nicely even though movie necessity must leave out some elements there is no doubt that lord rings has earned its reputation as one greatest epic films all time best fantasy film them all at same time it does wonderful job examining such themes as honor loyalty friendship love as its characters interact with each other find common ground against threat their very existence,0.5529346622369878,0.23255813953488372,Positive,"{'Happy': 0.21, 'Angry': 0.02, 'Surprise': 0.21, 'Sad': 0.19, 'Fear': 0.37}"
,They Accomplished the Near-Impossible.,"""The Lord of the Rings: The Two Towers"" is another excellent installment in the thus far excellent trilogy. The film picks up immediately where ""The Fellowship of the Ring"" left off as Elijah Wood and Sean Astin continue their long and seemingly hopeless journey to destroy the One Ring in the fires of Mordor. They run into the creature Gollum (played amazingly by Andy Serkis in a revolutionary character-generation). Serkis' motives are unclear as the ring has literally run him insane and created a split personality that combats the character's natural good side. Meanwhile Billy Boyd and Dominic Monaghan have escaped the dark forces that captured them, but now are in another dilemma as they try to convince a forest of living, moving trees to support their cause for good and truth. Viggo Mortensen, Orlando Bloom and John Rhys-Davies receive more help from the likes of Bernard Hill's army and his lovely niece (Mirando Otto). As all this occurs, Ian McKellen comes back and rehashes a role which seemed to have expired late in the first film. Hugo Weaving and daughter Liv Tyler know that victory is not certain and realize that they must leave their true homes forever to protect themselves and the lives of their people. Christopher Lee continues to create chaos with the help of the highly disturbed Brad Dourif (of ""One Flew Over the Cuckoo's Nest"" fame). In the end not one, but two key battles will create the sure-to-be electrifying landscape which will be experienced by all in the franchise's final installment (""The Return of the King""). Many view ""The Two Towers"" as an achievement even more impressive than its predecessor. True the film does go beyond the technical faculties of ""The Fellowship of the Ring"", but it is hard for me to pick this installment over the first (which will likely always be my favorite). This film is more intense and you get the feeling of real danger and peril throughout, while the first was more of an emotional experience due to its nice elements of friendship, love and personal sacrifice. In short, ""The Lord of the Rings: The Two Towers"" is an amazing sequel and it fits in well with the outstanding first film. 5 stars out of 5.",they accomplished near impossible,lord rings two towers is another excellent installment thus far excellent trilogy film picks up immediately where fellowship ring left off as elijah wood sean astin continue their long seemingly hopeless journey destroy one ring fires mordor they run into creature gollum played amazingly by andy serkis revolutionary character generation serkis motives are unclear as ring has literally run him insane created split personality that combats characters natural good side meanwhile billy boyd dominic monaghan have escaped dark forces that captured them but now are another dilemma as they try convince forest living moving trees support their cause good truth viggo mortensen orlando bloom john rhys davies receive more help likes bernard hills army his lovely niece mirando otto as all this occurs ian mckellen comes back rehashes role which seemed have expired late first film hugo weaving daughter liv tyler know that victory is not certain realize that they must leave their true homes forever protect themselves lives their people christopher lee continues create chaos with help highly disturbed brad dourif one flew over cuckoos nest fame end not one but two key battles will create sure be electrifying landscape which will be experienced by all franchises final installment return king many view two towers as achievement even more impressive than its predecessor true film does go beyond technical faculties fellowship ring but it is hard me pick this installment over first which will likely always be my favorite this film is more intense you get feeling real danger peril throughout while first was more emotional experience due its nice elements friendship love personal sacrifice short lord rings two towers is amazing sequel it fits well with outstanding first film 5 stars out 5,0.6105063492063492,0.23739047619047615,Positive,"{'Happy': 0.22, 'Angry': 0.03, 'Surprise': 0.22, 'Sad': 0.18, 'Fear': 0.35}"
10.0,My personal favourite of the trilogy,"I do love all three films of The Lord of the Rings trilogy, all are visually stunning with wonderful music and strong narratives. The Two Towers is my personal favourite of the three for several reasons. For one thing it is less talky than Fellowship of the Ring, and the pace is a little more secure here. Also the final battle is just breathtaking in the action, direction and in its scope, and very compelling and epic. And some of the characters are developed more here than they were in Fellowship of the Ring primarily Frodo and Aragorn, who were played very well there but a little bland in comparison to here. When it comes to the scope The Two Towers is possibly the biggest in the trilogy. The cinematography is one of the strongest assets, while the scenery, costumes, lighting and make up(the orcs look amazing) are all gorgeous. You can tell a lot of effort went into this and it showed. The music is also darker and perhaps more complex, the story is richer and compelling and the dialogue is thought provoking. People may disagree, but I think The Two Towers is the best directed of the trilogy too.The acting is very good. Elijah Wood is likable enough with a stronger-written character, while Sean Astin's bumbling persona suits Sam really well. Viggo Mortensson is as strong and charismatic as ever. Ian McKellen, Christopher Lee and Bernard Hill are also perfectly cast, but the real revelation in my view with this movie is Gollum. Here Gollum is designed superbly, and Andy Serkis's performance is absolutely phenomenal and Oscar-nod worthy.In conclusion, a fine film and for me my personal favourite of the trilogy. 10/10 Bethany Cox",my personal favourite trilogy,i do love all three films lord rings trilogy all are visually stunning with wonderful music strong narratives two towers is my personal favourite three several reasons one thing it is less talky than fellowship ring pace is little more secure here also final battle is just breathtaking action direction its scope very compelling epic some characters are developed more here than they were fellowship ring primarily frodo aragorn who were played very well there but little bland comparison here when it comes scope two towers is possibly biggest trilogy cinematography is one strongest assets while scenery costumes lighting make up orcs look amazing are all gorgeous you can tell lot effort went into this it showed music is also darker perhaps more complex story is richer compelling dialogue is thought provoking people may disagree but i think two towers is best directed trilogy too acting is very good elijah wood is likable enough with stronger written character while sean astins bumbling persona suits sam really well viggo mortensson is as strong charismatic as ever ian mckellen christopher lee bernard hill are also perfectly cast but real revelation my view with this movie is gollum here gollum is designed superbly andy serkiss performance is absolutely phenomenal oscar nod worthy conclusion fine film me my personal favourite trilogy 10 10 bethany cox,0.5750387596899227,0.33042635658914726,Positive,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.31, 'Sad': 0.15, 'Fear': 0.33}"
10.0,"Absolutely, totally fantastic!","Watching this movie is like watching a 179 or 223 minutes long action sequence. The pace is incredibly high. Alright I have to admit that the Extended Edition of the ""The Lord of the Rings: The Two Towers"" takes an awful lot of this pace away and make some of the scene's unnecessary long and the scene's with Treebeard are also a bit dull and long but still...Especially compared to the first that was just too slow at times this is an huge improvement!Luckily there also are some welcome additions in the Extended Edition. Best addition are the scene's with Boromir, Faramir and Denethor in Osgiliath.There also are some newly great characters and actors. David Wenham is a surprisingly talented young actor and I think it's great that they actually have cast someone that really looks like Sean Bean. Bernard Hill also impressed me, he probably is best know for his role as the captain in ""Titanic"" in which he also already impressed me. Viggo Mortensen probably still is the best actor of ""The Lord of the Rings"" movies. Yes sure Ian McKellen and Christopher Lee are also more than great but Mortensen really puts some passion and effort in his character. I know Sean Astin is always being praised a lot but I seriously don't think that he is such a good actor in any of ""The Lord of the Rings"" movies. Andy Serkis also was really good as Gollum/Sméagol and I wouldn't had mind seeing him get an Oscar nod.Strange thing is that the Gimli and Legolas suddenly changed into some comical sidekick characters. It was odd to see but it works! They provide some good comical relief at times.Most fantastic thing about the movie is that it's really action filled. The Battle of Helm's Deep truly is fantastic to see. Still favorite and most powerful moment of the movie is when the Ent's march to war. Also the scene's with the riders of Rohan are a true spectacle.I've never been really a big fan of the editing of ""The Lord of the Rings"" movies and this one is no exception. Problem is that Peter Jackson shot way too many hours of footage with as a result that the editors have difficulties picking the right scene's and the length of them.But ""The Lord of the Rings: The Two Towers"" is one of those movies were the pluses make more than up for the minuses.A spectacular adventure action experience.10/10http://bobafett1138.blogspot.com/",absolutely totally fantastic,watching this movie is like watching 179 or 223 minutes long action sequence pace is incredibly high alright i have admit that extended edition lord rings two towers takes awful lot this pace away make some scenes unnecessary long scenes with treebeard are also bit dull long but still especially compared first that was just too slow at times this is huge improvement luckily there also are some welcome additions extended edition best addition are scenes with boromir faramir denethor osgiliath there also are some newly great characters actors david wenham is surprisingly talented young actor i think its great that they actually have cast someone that really looks like sean bean bernard hill also impressed me he probably is best know his role as captain titanic which he also already impressed me viggo mortensen probably still is best actor lord rings movies yes sure ian mckellen christopher lee are also more than great but mortensen really puts some passion effort his character i know sean astin is always being praised lot but i seriously dont think that he is such good actor any lord rings movies andy serkis also was really good as gollum sm agol i wouldnt had mind seeing him get oscar nod strange thing is that gimli legolas suddenly changed into some comical sidekick characters it was odd see but it works they provide some good comical relief at times most fantastic thing about movie is that its really action filled battle helms deep truly is fantastic see still favorite most powerful moment movie is when ents march war also scenes with riders rohan are true spectacle ive never been really big fan editing lord rings movies this one is no exception problem is that peter jackson shot way too many hours footage with as result that editors have difficulties picking right scenes length them but lord rings two towers is one those movies were pluses make more than up minuses spectacular adventure action experience 10 10,0.5928202947845804,0.3194175170068027,Positive,"{'Happy': 0.2, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.13, 'Fear': 0.34}"
10.0,A standing ovation for all concerned.,"It seems ridiculous to want to add my own comments to a slew of others that are already in IMDB's records, but I feel like I cannot sleep nor cease the throbbing in my chest until I release some of what I have so recently seen.Peter Jackson's The Lord of the Rings is one of the bravest projects ever attempted by a filmmaker. Mr Jackson deserves every ovation he will receive, every award, every bit of the praise and adoration that will be spoken and written.This second installment of the story is a masterpiece in every sense, forget your prejudices about the books, they are another way of looking at this beautiful story (I know this is slightly against the rules, but a I cannot resist saying that a previous writers comment - a comment that compared the Lord of the Rings Films and Books to the difference between Romeo and Juliet in screenplay and ballet formats - was entirely accurate).Gollum was an excellent amalgam, so easily could he have been an annoying Jar-Jar-Binks-Alike. Instead the way that Jackson and Serkis (and doubtless many many others) chose to portray the CGI incarnation of ""Smeagol"" was incredibly emotive and powerful. Gollum is profoundly disturbing, amusing, almost lovable... Not even John Ronald Reuel himself could induce that range of emotions for Smeagol in me...A truly skin-crawling performance by a superb Brad Douris as the evil Grima Wormtongue was just beyond words. Douris _Became_ Wormtongue in a skillful fulfillment of what was already inspired casting.Probably the most definitive casting of this film though was Manchester born Bernard Hill as Theoden, King of Rohan. The casting for ""The Two Towers"" makes one shake ones head and wonder, in retrospect, whether anyone else could have filled these roles. Mr Hill's performance was truly first rate, a performance which contributed greatly to ""The Battle of Helms Deep"", scenes which were a spinning tornado of emotions for the viewer.Viggo Mortensen goes from strength to strength. His performance is visceral and yet sensitive. The overriding emotion that Tolkiens vision of Aragorn induced (at least for me) was awe at his heroics. Mortensen's portrayal in Jackson's frame brings new aspects to the Aragorn character. Mortensen's Aragorn is emotionally dextrous to go with his physical dexterity, he is sensitive, seemingly empathic, warmer and more fundamentally human, and yet super-human in presence and charisma. ""Definitive"" is not strong enough of a word.If you still view Jackson's epic with scepticism I implore you to put down your preconceptions and your prejudices, but most of all put down the books... This is beautiful way to see middle earth, don't pass it up - The books are the ultimate fantasy epic - the pictures you draw in your head are better than anything you can imagine, but The Lord of the Rings ""The Two Towers"" is one wonderful interpretation of that epic story.Go, Laugh, Cry, and Sit in Awe of this cinematic treat.",standing ovation all concerned,it seems ridiculous want add my own comments slew others that are already imdbs records but i feel like i cannot sleep nor cease throbbing my chest until i release some what i have so recently seen peter jacksons lord rings is one bravest projects ever attempted by filmmaker mr jackson deserves every ovation he will receive every award every bit praise adoration that will be spoken written this second installment story is masterpiece every sense forget your prejudices about books they are another way looking at this beautiful story i know this is slightly against rules but i cannot resist saying that previous writers comment comment that compared lord rings films books difference between romeo juliet screenplay ballet formats was entirely accurate gollum was excellent amalgam so easily could he have been annoying jar jar binks alike instead way that jackson serkis doubtless many many others chose portray cgi incarnation smeagol was incredibly emotive powerful gollum is profoundly disturbing amusing almost lovable not even john ronald reuel himself could induce that range emotions smeagol me truly skin crawling performance by superb brad douris as evil grima wormtongue was just beyond words douris became wormtongue skillful fulfillment what was already inspired casting probably most definitive casting this film though was manchester born bernard hill as theoden king rohan casting two towers makes one shake ones head wonder retrospect whether anyone else could have filled these roles mr hills performance was truly first rate performance which contributed greatly battle helms deep scenes which were spinning tornado emotions viewer viggo mortensen goes strength strength his performance is visceral yet sensitive overriding emotion that tolkiens vision aragorn induced at least me was awe at his heroics mortensens portrayal jacksons frame brings new aspects aragorn character mortensens aragorn is emotionally dextrous go with his physical dexterity he is sensitive seemingly empathic warmer more fundamentally human yet super human presence charisma definitive is not strong enough word if you still view jacksons epic with scepticism i implore you put down your preconceptions your prejudices but most all put down books this is beautiful way see middle earth dont pass it up books are ultimate fantasy epic pictures you draw your head are better than anything you can imagine but lord rings two towers is one wonderful interpretation that epic story go laugh cry sit awe this cinematic treat,0.583170274170274,0.20717171717171717,Positive,"{'Happy': 0.16, 'Angry': 0.06, 'Surprise': 0.2, 'Sad': 0.22, 'Fear': 0.36}"
,Sophomore effort shines as brightly as the first.,"After Fellowship, the world wondered if Peter Jackson could sustain the momentum. The Two Towers is the shortest segment and the story is split into parallel tales. More characters enter the story, including one of the most important. Can Jackson do it? Of course he can.Spoilers: Two Towers sustains the magic of Fellowship, while expanding the scope of the story. Gollum enters the picture, in full view not shadow, and is a triumph to behold.The story cuts back and forth between Merry and Pippin's encounter with Treebeard and the Ents; Gimli, Legolas and Aragorn and their attempts to locate the hobbits and free them; and Sam Frodo and Gollum as they move closer to Mordor. Each aspect is well covered, without losing track of the other story. Rohan provides the setting for the first great battle (aside from the prologue in Fellowship) and what a battle it is. Gandalf returns, much changed from his encounter with the balrog. The evil of Wormtongue appears, and Theoden, Eowyn and Eomer take the stage.There are many great moments, from the mounted battles to Gollum and Smeagol's dialogue, Legolas' surf archery to Theoden's cure. Helm's Deep is a spectacular segment that takes one back to the epic films of the past. Darkness looms for Frodo and Sam, as Frodo slips deeper under the spell of the ring. He finds new, and sometimes strange, allies; as well as new foes. His journey becomes more difficult with each step.The quality of the production continues. The Rohirrum are a sight to behold and do conjure images of the lost Anglo-Saxons. The battle scenes are engaging and terrifying. War is depicted with all of its consequences. Your heart is torn as you see the young separated from their parents, innocents are killed, and destruction abounds. At the same time, strength and hope come to those in desperate need and courage comes in the unlikeliest of moments. You find yourself in the lowest depths, as all seems lost; and then your heart soars, as hope comes at the last moment. This is storytelling at its finest.This is not a sequel, it is another chapter in an epic saga. As such, it builds on the previous chapter and advances the story. The pace quickens as the conflict rises. The stakes are higher and the danger greater. The audience is on the edge of their seat, as darkness looms, while the threads of hope begin to weave together. The stage is set for the final battle.",sophomore effort shines as brightly as first,after fellowship world wondered if peter jackson could sustain momentum two towers is shortest segment story is split into parallel tales more characters enter story including one most important can jackson do it course he can spoilers two towers sustains magic fellowship while expanding scope story gollum enters picture full view not shadow is triumph behold story cuts back forth between merry pippins encounter with treebeard ents gimli legolas aragorn their attempts locate hobbits free them sam frodo gollum as they move closer mordor each aspect is well covered without losing track other story rohan provides setting first great battle aside prologue fellowship what battle it is gandalf returns much changed his encounter with balrog evil wormtongue appears theoden eowyn eomer take stage there are many great moments mounted battles gollum smeagols dialogue legolas surf archery theodens cure helms deep is spectacular segment that takes one back epic films past darkness looms frodo sam as frodo slips deeper under spell ring he finds new sometimes strange allies as well as new foes his journey becomes more difficult with each step quality production continues rohirrum are sight behold do conjure images lost anglo saxons battle scenes are engaging terrifying war is depicted with all its consequences your heart is torn as you see young separated their parents innocents are killed destruction abounds at same time strength hope come those desperate need courage comes unlikeliest moments you find yourself lowest depths as all seems lost then your heart soars as hope comes at last moment this is storytelling at its finest this is not sequel it is another chapter epic saga as such it builds previous chapter advances story pace quickens as conflict rises stakes are higher danger greater audience is edge their seat as darkness looms while threads hope begin weave together stage is set final battle,0.49895104895104897,0.11233488733488733,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.23, 'Fear': 0.43}"
10.0,My precious...,"Seriously, I never thought a movie could get better than the Fellowship of the Ring, but it did. This movie should be #1 on the IMDb top 250. This movie, as long as it was, captivated me from start to finish, and those who are not entertained by this movie can not be entertained period. Yes, I have read the book. Any chapters cut out at the end of books III and IV will probably themselves in the next installment. If you haven't noticed, the beginning of the Two Towers was actually closed the Fellowship of the Ring on the big screen.Gollum was a CG masterpiece. He added some light to this incredibly dark movie. At the same time, there are areas where you feel sorry for the poor guy, or just want to kill him. Smeagol was probably the most diverse character I've ever seen.Elijah Wood put on a better performance than he did in the first movie, as did Sean Astin. Ian McKellen, who captivated us in the last movie, captivated us even more in this one. Viggo Mortensen, John Rhys-Davies, and Orlando Bloom made a great trio. They laughed together, cried together, prospered together, and suffered together. This trio gave life to Aragorn, Gimli, and Legolas. Eowyn expressed her emotions clearly through Miranda Otto. The music need not be discussed. Its greatness speaks for itself.Favorite Scene: The Battle of Helms Deep. Possibly the greatest scene in the book, 50% of the trailer, and action packed climax to this beautiful movie. The movie, like its predecessor, fails to bring us closure, but that's ok. Closure will come next year. I look forward to the Return of the King.The Two Towers is now my favorite movie of all time.The scale is broken. 10 is not a capacity sufficient enough to hold this movie... my movie... my... precious...",my precious,seriously i never thought movie could get better than fellowship ring but it did this movie should be imdb top 250 this movie as long as it was captivated me start finish those who are not entertained by this movie can not be entertained period yes i have read book any chapters cut out at end books iii iv will probably themselves next installment if you havent noticed beginning two towers was actually closed fellowship ring big screen gollum was cg masterpiece he added some light this incredibly dark movie at same time there are areas where you feel sorry poor guy or just want kill him smeagol was probably most diverse character ive ever seen elijah wood put better performance than he did first movie as did sean astin ian mckellen who captivated us last movie captivated us even more this one viggo mortensen john rhys davies orlando bloom made great trio they laughed together cried together prospered together suffered together this trio gave life aragorn gimli legolas eowyn expressed her emotions clearly through miranda otto music need not be discussed its greatness speaks itself favorite scene battle helms deep possibly greatest scene book 50 trailer action packed climax this beautiful movie movie like its predecessor fails bring us closure but thats ok closure will come next year i look forward return king two towers is now my favorite movie all time scale is broken 10 is not capacity sufficient enough hold this movie my movie my precious,0.5007575757575757,0.22020202020202018,Positive,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.2, 'Fear': 0.27}"
