Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7.0,I Actually Sort of Liked This,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity.After the box office failure of ""Aparajito"", Ray desperately needed a hit film and decided to make a film based on both a popular piece of literature and a film that would incorporate Indian music. It was the first film to extensively incorporate classical Indian music and dancing.For the life of me, I haven't found an Indian film -- classic or contemporary -- that I really liked. The ""Apu trilogy"" does nothing for me, and Bollywood is a disaster. But ""Music Room"" may be the first exception... and it is precisely because of the traditional music. The cinematography is really good, but that music!",i actually sort liked this,depicts end days decadent zamindar landlord bengal his efforts uphold his family prestige even when faced with economic adversity after box office failure aparajito ray desperately needed hit film decided make film based both popular piece literature film that would incorporate indian music it was first film extensively incorporate classical indian music dancing life me i havent found indian film classic or contemporary that i really liked apu trilogy does nothing me bollywood is disaster but music room may be first exception it is precisely because traditional music cinematography is really good but that music,0.47395833333333337,0.18854166666666666,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.36}"
10.0,The Greatest Film You Never Heard Of,"At the time I post this, only 123 people have cast a vote of any kind for The Music Room. What a shame.Satyajit Ray is one of the greatest directors of all-time and The Music Room is his masterpiece. Correction: The Music Room is a masterpiece of world cinema.How to describe this movie? In Hollywood lingo, you could call it Citizen Kane meets Black Narcissus with a big dose of King Lear. Of course, if you called it that, they'd shelve the project and spend the money on the sequel to XXX.Pity poor Biswambhar Roy, a king in a lonely castle. He's lost not only his family but his entire way of life. He is a mistake. A forgotten man waiting in his empty shell of a world.He spends the last remnants of his once vast fortune on a final, lavish musical performance in his crumbling home, a last-ditch attempt to connect to the pride and joy he once felt in his life.Not that he is innocent. He is proud and oblivious, spoiled and selfish. But surely not a bad man. Merely a displaced man. So we can cheer as he is granted one last moment of happiness and weep for him as he meets his inevitable end.How is that Satyajit Ray remains unknown even to many die-hard cineastes in the States? I hope one of the companies will come along soon and release some of his work on DVD.",greatest film you never heard,at time i post this only 123 people have cast vote any kind music room what shame satyajit ray is one greatest directors all time music room is his masterpiece correction music room is masterpiece world cinema how describe this movie hollywood lingo you could call it citizen kane meets black narcissus with big dose king lear course if you called it that theyd shelve project spend money sequel xxx pity poor biswambhar roy king lonely castle hes lost not only his family but his entire way life he is mistake forgotten man waiting his empty shell world he spends last remnants his once vast fortune final lavish musical performance his crumbling home last ditch attempt connect pride joy he once felt his life not that he is innocent he is proud oblivious spoiled selfish but surely not bad man merely displaced man so we can cheer as he is granted one last moment happiness weep him as he meets his inevitable end how is that satyajit ray remains unknown even many die hard cineastes states i hope one companies will come along soon release some his work dvd,0.5919540229885056,0.13764367816091955,Positive,"{'Happy': 0.24, 'Angry': 0.06, 'Surprise': 0.15, 'Sad': 0.21, 'Fear': 0.33}"
7.0,Adored the musical performances,"Beautifully shot and with a great soundtrack, but a rather dreary story, which is a critique of idle members of the traditional zamindar (aristocrat) class, a celebration of traditional Indian music, and a depiction of the end of an era. In the film, a damn fool of a middle-aged man (Chhabi Biswas) squanders his family fortune as the portraits of four generations of his ancestors look on in his music room, where he hosts large groups of friends to lavish performances despite his dwindling funds. He likes lolling about, smoking a hookah and drinking cognac, and it's clear he likes the music as well, but what he likes even more is the prestige and status that he has, and lording it over one of his neighbors he views (and treats) as inferior.I loved seeing and hearing the various musical instruments, the wonderful vocalizations, and the performances - especially that dancer towards the end - they were something special. The rest of it had meaning, but was less compelling for me, despite all the craft and attention to detail director Satyajit Ray put in. It would have been more interesting had we had gotten more depth and insight into some of the other characters. Certainly worth watching though.",adored musical performances,beautifully shot with great soundtrack but rather dreary story which is critique idle members traditional zamindar aristocrat class celebration traditional indian music depiction end era film damn fool middle aged man chhabi biswas squanders his family fortune as portraits four generations his ancestors look his music room where he hosts large groups friends lavish performances despite his dwindling funds he likes lolling about smoking hookah drinking cognac its clear he likes music as well but what he likes even more is prestige status that he has lording it over one his neighbors he views treats as inferior i loved seeing hearing various musical instruments wonderful vocalizations performances especially that dancer towards end they were something special rest it had meaning but was less compelling me despite all craft attention detail director satyajit ray put it would have been more interesting had we had gotten more depth insight into some other characters certainly worth watching though,0.4989130434782609,0.27085921325051754,Positive,"{'Happy': 0.21, 'Angry': 0.12, 'Surprise': 0.27, 'Sad': 0.15, 'Fear': 0.24}"
,A study of the nature of privilege in society -- PLOT DISCUSSED,"WARNING -- PLOT DISCUSSED -- The jalsaghar is a great music hall in the mansion of the main character, a scion of a great landowning family. It's almost all he has left of the Ray family's legacy. Over the years his land has been slowly eaten away by one of the great rivers of Bengal. But he still has the trappings of aristocracy -- his retainers address him as ""Hujur"" (""my lord""); even his wealthy neighbour, Ganguli, addresses him as ""Thakurda"" (""(paternal) grandfather""). He lives only for his jalsaghar, where he can recreate his family's past glory and where he can still win a game of one-upmanship against Ganguli. Meanwhile, Ganguli is up-and-coming. He's a businessman, the new aristocrat, land-poor but cash-rich. He gets electric lights for his house; he gets a motor car, the first in the region. Satyajit Ray, the legendary director, masterfully contrasts the hollowness of the old aristocrat with the shallowness of the new aristocrat. How is privilege earned? Who is due respect? What is worthy of pride? What will pride get you? These are the questions that are explored with subtlety. The focus of the film is the performance of Chhabi Biswas, a legend of the Calcutta stage. (An interesting aside -- ""chhabi"" is Bengali for ""picture"" and ""biswas"" means ""belief."") He fit the mold of a classic actor -- temperamental, undependable, a raging alcoholic, a master. Almost every scene is wholly dependent on him, as he preens and boasts and rages and pines away for lost glory. When you read that Biswas was in real life completely tone-deaf, his creation of a music-lover is an astonishing accomplishment, both by him and by Satyajit Ray.",study nature privilege society plot discussed,warning plot discussed jalsaghar is great music hall mansion main character scion great landowning family its almost all he has left ray familys legacy over years his land has been slowly eaten away by one great rivers bengal but he still has trappings aristocracy his retainers address him as hujur my lord even his wealthy neighbour ganguli addresses him as thakurda paternal grandfather he lives only his jalsaghar where he can recreate his familys past glory where he can still win game one upmanship against ganguli meanwhile ganguli is up coming hes businessman new aristocrat land poor but cash rich he gets electric lights his house he gets motor car first region satyajit ray legendary director masterfully contrasts hollowness old aristocrat with shallowness new aristocrat how is privilege earned who is due respect what is worthy pride what will pride get you these are questions that are explored with subtlety focus film is performance chhabi biswas legend calcutta stage interesting aside chhabi is bengali picture biswas means belief he fit mold classic actor temperamental undependable raging alcoholic master almost every scene is wholly dependent him as he preens boasts rages pines away lost glory when you read that biswas was real life completely tone deaf his creation music lover is astonishing accomplishment both by him by satyajit ray,0.5524080086580087,0.2621212121212121,Positive,"{'Happy': 0.28, 'Angry': 0.1, 'Surprise': 0.25, 'Sad': 0.1, 'Fear': 0.28}"
10.0,A Potpourri of Vestiges Review: Indian master filmmaker Satyajit Ray's profoundly evocative film that pays homage to classical Indian art forms,"Jalsaghar (aka ""The Music Room"") is a 1958 drama film directed by master Indian filmmaker Satyajit Ray. Based on a short story of the same name by Bangla writer Tarashankar Bandopadhyay, Jalsaghar presents the tale of decline of a feudal lord in the pre-independence India. Jalsaghar stars veteran Bangla actor Chhabi Biswas in the lead role of Huzur Biswambhar Roy. Huzur is the last of Zamindars—a dying breed of landlords who once formed the very basis of the Indian Feudal System. Huzur's glory days are over but his sense of superiority remains intact. He lives in the past neither acknowledging the present nor anticipating the future. He continues to be a servant of his refined tastes even as his coffers are getting empty.Jalsaghar was Ray's fourth film which he made after the commercial failure of Aparijito—the finally film in Ray's much acclaimed ""The Apu Trilogy"". Ray had initially thought of making a commercial film, based on some popular work of literature, which would incorporate popular Indian music. But, what eventually transpired was something that was totally different. It was more of an art-house work than a commercial movie that Ray had initially intended to make. The movie failed to do well at the Indian box-office. But, it received both critical and financial success in Europe and the US and helped Ray earn international reputation. The music of Jalsaghar was written by the Indian composer and sitar maestro Ustad Vilayat Ali Khan who was encouraged by Ray to compose musical pieces that would gel well with the movie's dark and gloomy tone. The movie's melancholic musical composition and sombre art direction—the sublime use of mirrors, chandeliers, etc.—gives it a Gothic feel in the vein of American Film-Noir films of the '40s and '50s.In Jalsaghar, Ray highlights the perpetual conflict of tradition versus modernity while simultaneously examining the Indian caste system. Jalsaghar is a sublime work of cinema that, having stood the test of time for over five decades, continues to inspire the budding filmmakers as well as enthrall the audiences worldwide. Jalsaghar is widely regarded as Satyajit Ray's most evocative film. It serves to be a great means of getting acquainted with Ray's oeuvre. Jalsaghar with its universal motifs is also the most accessible of Ray's films, especially for foreign viewers. Jalsaghar is not a movie that would woo a casual viewer. Restless viewers should best stay away from it. But, a patient viewer would be thoroughly rewarded. The movie owing to its slow pace may pose impediments to the uninitiated viewer. Jalsaghar is a deeply thought-provoking work of cinema that demands multiple viewings. The movie is a must watch for every student of cinema. Jalsaghar.is an essential watch for all Satyajit Ray fans as well as those who understand and appreciate intelligent cinema. 10/10A more in-depth review of the film can be read at:http://www.apotpourriofvestiges.com/",potpourri vestiges review indian master filmmaker satyajit rays profoundly evocative film that pays homage classical indian art forms,jalsaghar aka music room is 1958 drama film directed by master indian filmmaker satyajit ray based short story same name by bangla writer tarashankar bandopadhyay jalsaghar presents tale decline feudal lord pre independence india jalsaghar stars veteran bangla actor chhabi biswas lead role huzur biswambhar roy huzur is last zamindars dying breed landlords who once formed very basis indian feudal system huzurs glory days are over but his sense superiority remains intact he lives past neither acknowledging present nor anticipating future he continues be servant his refined tastes even as his coffers are getting empty jalsaghar was rays fourth film which he made after commercial failure aparijito finally film rays much acclaimed apu trilogy ray had initially thought making commercial film based some popular work literature which would incorporate popular indian music but what eventually transpired was something that was totally different it was more art house work than commercial movie that ray had initially intended make movie failed do well at indian box office but it received both critical financial success europe us helped ray earn international reputation music jalsaghar was written by indian composer sitar maestro ustad vilayat ali khan who was encouraged by ray compose musical pieces that would gel well with movies dark gloomy tone movies melancholic musical composition sombre art direction sublime use mirrors chandeliers etc gives it gothic feel vein american film noir films 40s 50s jalsaghar ray highlights perpetual conflict tradition versus modernity while simultaneously examining indian caste system jalsaghar is sublime work cinema that having stood test time over five decades continues inspire budding filmmakers as well as enthrall audiences worldwide jalsaghar is widely regarded as satyajit rays most evocative film it serves be great means getting acquainted with rays oeuvre jalsaghar with its universal motifs is also most accessible rays films especially foreign viewers jalsaghar is not movie that would woo casual viewer restless viewers should best stay away it but patient viewer would be thoroughly rewarded movie owing its slow pace may pose impediments uninitiated viewer jalsaghar is deeply thought provoking work cinema that demands multiple viewings movie is must watch every student cinema jalsaghar is essential watch all satyajit ray fans as well as those who understand appreciate intelligent cinema 10 10a more depth review film can be read at,0.31616666666666676,0.10183333333333333,Positive,"{'Happy': 0.11, 'Angry': 0.07, 'Surprise': 0.15, 'Sad': 0.28, 'Fear': 0.39}"
9.0,Fire And Light,"For me the most rewarding films (or any art for that matter) are those that are acutely mindful of life and death and themselves in the midst of it. In the words of Harold Bloom, ""We all fear loneliness, madness, dying. Shakespeare and Walt Whitman, Leopardi and Hart Crane will not cure those fears. And yet these poets bring us fire and light."" The same with all art, much of which this film epitomizes.""The Music Room"", as it is known in English, is as much about the power of cinema as it is about that of music. It is as much about life as it is about death, both elliptically consummate by reason of each other: art as a life of inspiration, inspiration as regained strength. Art as addiction, addiction as loneliness, loneliness as death.The ending is one of the most filmically mesmerizing moments I know of. Light and shadow, derangement and perspicuity, again life and death. And as for the Blu-ray (Region A) released by the Criterion Collection in 2011, it's phenomenal to the hilt, a cultural act in itself, in my books among their most enduring and best releases so far (perhaps only the complete Jean Vigo compares).",fire light,me most rewarding films or any art that matter are those that are acutely mindful life death themselves midst it words harold bloom we all fear loneliness madness dying shakespeare walt whitman leopardi hart crane will not cure those fears yet these poets bring us fire light same with all art much which this film epitomizes music room as it is known english is as much about power cinema as it is about that music it is as much about life as it is about death both elliptically consummate by reason each other art as life inspiration inspiration as regained strength art as addiction addiction as loneliness loneliness as death ending is one most filmically mesmerizing moments i know light shadow derangement perspicuity again life death as blu ray region released by criterion collection 2011 its phenomenal hilt cultural act itself my books among their most enduring best releases so far perhaps only complete jean vigo compares,0.5272727272727273,0.33295454545454545,Positive,"{'Happy': 0.0, 'Angry': 0.07, 'Surprise': 0.13, 'Sad': 0.3, 'Fear': 0.5}"
8.0,A subtle look at ageing + the pre-Independence Indian caste system,"This was seen in the monthly Foreign Film Series in a society for retired university (KU) peeps. This 1958 story is remarkably subtle, about the advancing age and declining wealth of a higher caste Indian man, a Zamindar (landlord), whose income from his inherited lands is dropping from the previous levels of his wealthy ancestors because increasing river floods have lessened his rentable property and income. He's unable to adjust his manner of living to either that change or simultaneous changes in the Indian economy that lead to new economic benefits and social mobility for many in lower castes. He's especially irritated at his nouveau riche lower caste new next door neighbor whose income comes from money lending rather than through inherited property and wealth; he engages in expensive rival concerts which he cannot truly afford and these leave him even poorer. Through two extended flashbacks we learn he had been married and had a son (16? 18?); both wife and son died together on a trip. So he's alone for many years. While Indian music is his primary comfort (played in ""the music room"" of his palatial home), he also begins to use it as his primary club against his ""upstart"" neighbor. As he ages we see his memory decline, e.g., asking one of his two remaining servants, ""What month is this?"" before he presents one last concert for invited guests (and to belittle his rival, his lower caste neighbor, an included guest) before he then embarks on an activity which leads to his death. Great examples of Indian music (but the closed captions on the DVD we saw had white type/lettering which sometimes was not very legible against its background). The movie also very subtly raises the question -- to what extent is this person (one's self or relative or friend) going through parallel sequences in the getting old process?",subtle look at ageing pre independence indian caste system,this was seen monthly foreign film series society retired university ku peeps this 1958 story is remarkably subtle about advancing age declining wealth higher caste indian man zamindar landlord whose income his inherited lands is dropping previous levels his wealthy ancestors because increasing river floods have lessened his rentable property income hes unable adjust his manner living either that change or simultaneous changes indian economy that lead new economic benefits social mobility many lower castes hes especially irritated at his nouveau riche lower caste new next door neighbor whose income comes money lending rather than through inherited property wealth he engages expensive rival concerts which he cannot truly afford these leave him even poorer through two extended flashbacks we learn he had been married had son 16 18 both wife son died together trip so hes alone many years while indian music is his primary comfort played music room his palatial home he also begins use it as his primary club against his upstart neighbor as he ages we see his memory decline e g asking one his two remaining servants what month is this before he presents one last concert invited guests belittle his rival his lower caste neighbor included guest before he then embarks activity which leads his death great examples indian music but closed captions dvd we saw had white type lettering which sometimes was not very legible against its background movie also very subtly raises question what extent is this person ones self or relative or friend going through parallel sequences getting old process,0.38020104895104895,0.05848110223110224,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.05, 'Sad': 0.1, 'Fear': 0.65}"
10.0,Hypnotic,"The Music Room is my favorite S. Ray film, and I came around to seeing it very late in the game. I do not hesitate when I say that it is perfect, and contains the single greatest musical number ever set to film. It amazes me when I pop in a picture made 50 years ago and learn so much from it, and am moved and shocked and carried by its honest emotions in a way that makes the Music Room feel so modern. It is now available in a tremendous Criterion version, so there should be no excuse on the part of cinephiles to miss this film. I introduce it to as many people as I can, and I consider it an act of kindness paid forward.",hypnotic,music room is my favorite s ray film i came around seeing it very late game i do not hesitate when i say that it is perfect contains single greatest musical number ever set film it amazes me when i pop picture made 50 years ago learn so much it am moved shocked carried by its honest emotions way that makes music room feel so modern it is now available tremendous criterion version so there should be no excuse part cinephiles miss this film i introduce it as many people as i can i consider it act kindness paid forward,0.5696190476190477,0.21312698412698414,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.43, 'Fear': 0.19}"
10.0,Treasure this movie; it's a masterpiece,"Satyajit Ray made ""The Music Room"" in 1958, a few years after ""Pather Panchali"" and before completing the rest of the Apu Trilogy and like them, it too is a masterpiece. It's about the sin of pride and how it destroys the supercilious old landlord Biswambhar Roy, (a magnificent performance from Chhabi Biswas), whose idea of 'keeping up with the Jones'' is to squander all he has on musical evenings that will outdo those of his nearest neighbour. It's also about the transformative affect of music, of which there is much and all of it wonderful. Although you might say it destroys him Biswambhar is also redeemed by opening up his music room for one last great concert.This is also one of the cinema's greatest studies of obsession and of loneliness. If ""Pather Panchali"" were not enough this confirmed Ray's stature as one of world cinema's greatest directors and it is a film that remains as powerful today as it did when it first appeared. Treasure it.",treasure this movie its masterpiece,satyajit ray made music room 1958 few years after pather panchali before completing rest apu trilogy like them it too is masterpiece its about sin pride how it destroys supercilious old landlord biswambhar roy magnificent performance chhabi biswas whose idea keeping up with jones is squander all he has musical evenings that will outdo those his nearest neighbour its also about transformative affect music which there is much all it wonderful although you might say it destroys him biswambhar is also redeemed by opening up his music room one last great concert this is also one cinemas greatest studies obsession loneliness if pather panchali were not enough this confirmed rays stature as one world cinemas greatest directors it is film that remains as powerful today as it did when it first appeared treasure it,0.5821428571428572,0.41785714285714287,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.24, 'Fear': 0.29}"
10.0,"Mesmerized, entertained, and provoked","The film is a masterpiece, a definite 10. As with the Apu trilogy, I am mesmerized and absorbed by the pacing and drama of the film. Even though the film uses music, its appreciation, and its status as the vehicle for its themes, there is no (or very little?) background music for the spoken portions of the film. This provides not only realism, but sets off the intense and magnificent performance of the protagonist. There is also a great deal of entertainment in this film: the music performances are excellent. I wonder if Ray found the best musicians of the region and gave them roles as performers in the musical soirees: performers playing performers. I have the sense that there is very little artifice in the cinematography. That is, I feel that the filming techniques were not highly sophisticated. But the eye, the light, the composition are almost perfect. I think that the other commenter (the only other one!) stated the themes quite well for me. I would only one: the obsession and self-destructiveness that come with pride and jealousy of one's status.",mesmerized entertained provoked,film is masterpiece definite 10 as with apu trilogy i am mesmerized absorbed by pacing drama film even though film uses music its appreciation its status as vehicle its themes there is no or very little background music spoken portions film this provides not only realism but sets off intense magnificent performance protagonist there is also great deal entertainment this film music performances are excellent i wonder if ray found best musicians region gave them roles as performers musical soirees performers playing performers i have sense that there is very little artifice cinematography that is i feel that filming techniques were not highly sophisticated but eye light composition are almost perfect i think that other commenter only other one stated themes quite well me i would only one obsession self destructiveness that come with pride jealousy ones status,0.7333333333333333,0.26180555555555557,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.3, 'Sad': 0.11, 'Fear': 0.41}"
