Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Fitting plan,"Suspend your disbelief - it is possible to do so. Especially because the actors and the setting is so well chosen, that you will just fit right into it. No pun intended - and even though there are certain things that seem quite coincidental and based on luck rather on skill or whatever else you would want to call it, the movie and the characters in it, really draw you in - I guess that could also be considered a pun.While the not tailor (don't call him that, he is a cutter) is at the center of the story and many things seem simple ... there are quite a few revelations that might be able to surprise you. Again do not worry about what makes sense or not too much - just enjoy how well woven it all is - ah another pun. Well I can't help it, it feels good when I put them on and they work like a charm ... charm(e) also something that can be said about the actors involved in this. Not many people in it, but those who are give it their best ... great thriller, with touches of evil and Hitchcock ...",fitting plan,suspend your disbelief it is possible do so especially because actors setting is so well chosen that you will just fit right into it no pun intended even though there are certain things that seem quite coincidental based luck rather skill or whatever else you would want call it movie characters it really draw you i guess that could also be considered pun while not tailor dont call him that he is cutter is at center story many things seem simple there are quite few revelations that might be able surprise you again do not worry about what makes sense or not too much just enjoy how well woven it all is ah another pun well i cant help it it feels good when i put them they work like charm charm e also something that can be said about actors involved this not many people it but those who are give it their best great thriller with touches evil hitchcock,0.512593984962406,0.21842105263157893,Positive,"{'Happy': 0.2, 'Angry': 0.02, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.34}"
7.0,Great movie,The Outfit proves that you don't need a bunch of over paid actors and a huge budget to make a great film. A good script and solid acting works just as well. 7 stars.,great movie,outfit proves that you dont need bunch over paid actors huge budget make great film good script solid acting works just as well 7 stars,0.4428571428571429,0.42857142857142855,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.17, 'Fear': 0.33}"
7.0,"Impressive character play, that starts out unassuming, but slowly descends into a story of mischief and pure evil.","Starts out slow and unassuming. Nothing much happens at first. Is this another boring movie? No way.The good: excellent acting performances. And a truly surprising and original story, which I did not see coming. Lots of twists that spun my mind. Really enticing to watch, with a shocking final.Any bad? One has got to have the patience to bridge the first minutes of this movie, because at first looks this movie might seem a bit slow and even a bit boring, but that doesnt make it less intrigueing and surprising.The story: a gentleman tailor is pressed by the mob, to hide an important briefcase in his premises. What is in it? And what dangers will come of keeping it?",impressive character play that starts out unassuming but slowly descends into story mischief pure evil,starts out slow unassuming nothing much happens at first is this another boring movie no way good excellent acting performances truly surprising original story which i did not see coming lots twists that spun my mind really enticing watch with shocking final any bad one has got have patience bridge first minutes this movie because at first looks this movie might seem bit slow even bit boring but that doesnt make it less intrigueing surprising story gentleman tailor is pressed by mob hide important briefcase his premises what is it what dangers will come keeping it,0.5909722222222222,0.019692460317460317,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.3, 'Sad': 0.27, 'Fear': 0.21}"
,No thriller out there now can compete with this spare thriller teeming with superior acting.,"""Anyone can be tailor."" Leonard (Mark Rylance)Although sometimes I can't tell if I love film more than theater, with The Outfit I found a film that satisfies both affections. Writer-director Grahame Moore brings a Hitchcock frame of mind with one dominant location, an atelier holding no more than four or five characters, just like a theater stage, and a sense of foreboding coming from history and the characters themselves, just like the modern psychological thrillers do.Just watch out for those scissors-Hitch would love the touch.Underneath the simple set is a rumbling of sin as the meek tailor, Leonard, contends with three mobs threatening him and his secretary, Mable (Zoey Deutch). He is required to stitch around those who want to kill each other and destroy his business, with different crooks coming in the front door intent on finding a tape that allegedly would send them to jail.The joy of this neo-noir thriller is the suspense that Hitchcock virtually patented because his non-mob characters are seemingly innocent types, and his sinners not quite in control of their ambitions. What Hitch and other thriller directors like Moore want is to show the vulnerability of the common citizen and the weaknesses of the seasoned mobsters.Although it's up to Leonard, small haberdashery owner in Chicago, to protect his shop, he also, in a narcotic-like voice over, explains the allegorical implications of his cutting and sewing. For instance, he is not a tailor but rather a cutter. The former artless, the latter a professional trained for years on London's iconic Saville Row.No recent film has surpassed The Outfit's ability to reveal the wickedness of humanity and its adaptability while supplying a dose of old-time noir. Delight in the spare set, the super acting, and the innumerable closeups that do as much to reveal character as the uncomplicated, Pinter-like dialogue.Although this tidy feature, similar to Leonard in its meticulous revelation of character and motive, seems suited to streaming, it is a euphoric experience on the big screen as the spare audiences can be enveloped by the powerful characters and story, in a setting that puts all in a dynamic room with mystery aplenty.",no thriller out there now can compete with this spare thriller teeming with superior acting,anyone can be tailor leonard mark rylance although sometimes i cant tell if i love film more than theater with outfit i found film that satisfies both affections writer director grahame moore brings hitchcock frame mind with one dominant location atelier holding no more than four or five characters just like theater stage sense foreboding coming history characters themselves just like modern psychological thrillers do just watch out those scissors hitch would love touch underneath simple set is rumbling sin as meek tailor leonard contends with three mobs threatening him his secretary mable zoey deutch he is required stitch around those who want kill each other destroy his business with different crooks coming front door intent finding tape that allegedly would send them jail joy this neo noir thriller is suspense that hitchcock virtually patented because his non mob characters are seemingly innocent types his sinners not quite control their ambitions what hitch other thriller directors like moore want is show vulnerability common citizen weaknesses seasoned mobsters although its up leonard small haberdashery owner chicago protect his shop he also narcotic like voice over explains allegorical implications his cutting sewing instance he is not tailor but rather cutter former artless latter professional trained years londons iconic saville row no recent film has surpassed outfits ability reveal wickedness humanity its adaptability while supplying dose old time noir delight spare set super acting innumerable closeups that do as much reveal character as uncomplicated pinter like dialogue although this tidy feature similar leonard its meticulous revelation character motive seems suited streaming it is euphoric experience big screen as spare audiences can be enveloped by powerful characters story setting that puts all dynamic room with mystery aplenty,0.361156462585034,0.11523809523809526,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.19, 'Sad': 0.25, 'Fear': 0.42}"
7.0,"a cutter, not a tailor","Greetings again from the darkness. Graham Moore won an Oscar for his screenplay on Alan Turing's life in THE IMITATION GAME (2014). Now he has directed his first feature film, one he co-wrote with Johnathan McClain. The final product is a bit unusual in that it takes place almost entirely in one spot ... a tailor's shop ... and features only a handful of characters. It's a film that would transition easily to the stage for live performances.Mark Rylance (Oscar winner for BRIDGE OF SPIES, 2015) excels here as Leonard, a Savile Row-trained tailor now working his craft in his own shop in 1956 Chicago. His path from London to the windy city is a bit murky, but we immediately take note of Leonard's calm and elegant presence accompanied by his soothing voice. Rylance uses that voice as narrator to explain the intricacies involved with creating a man's suit, and the importance of reading the man prior to utilizing the 4 fabrics and 38 pieces that make-up the outfit. Leonard is also protective of Mable (Zoey Deutch, ZOMBIELAND: DOUBLE TAP, 2019), his assistant who dreams of traveling the globe.An early montage shows us how the mob utilizes Leonard's shop for drops, and trusts him due to his 'see no evil, hear no evil, speak no evil' demeanor. Leonard is one cool dude, and it's obvious we (and the mob) are underestimating him ... but we can't quite figure out why or by how much. One crazy night changes everything. Richie (Dylan O'Brien, THE MAZE RUNNER franchise) is brought into the tailor shop after being shot by a rival gang ambush. He's accompanied by Francis (Johnny Flynn, EMMA., 2020), and the dynamics between these two is quite interesting. Richie is the son of the Boyle family patriarch and has been seeing Mable on the side, while Francis is the favored employee after saving Roy Boyle (Simon Russell Beale) by taking gun fire. Richie is a whiny, spoiled wannabe tough guy, while Francis is volatile and constantly sneering.What follows is a bit Hitchcockian. We have plot twists, murder, backstabbing, danger, and surprises. When it's discovered the Boyle family has a rat that is feeding details to the rival cross-town gang and the FBI, things get tense thanks partially to a MacGuffin audio tape. It all leads to confrontations in the shop, and some nice scene-chewing from Simon Russell Beale and Nikki Amuka-Bird as the leader of the rival gang. An elaborate plan by one of the characters is a pleasant surprise (to us, not the others). As Leonard points out on a couple of occasions, he's a ""cutter"", not a tailor - a distinction he takes as seriously as his skill with shears. The film's title has double meaning: the suits Leonard crafts, and the national syndicate that involves the Boyle family. Most of this we've seen before, but it's Rylance's portrayal of Leonard that offers a different look and feel. Fans of deceptive thrillers will find some joy here.Opens in theaters on March 18, 2022.",cutter not tailor,greetings again darkness graham moore won oscar his screenplay alan turings life imitation game 2014 now he has directed his first feature film one he co wrote with johnathan mcclain final product is bit unusual that it takes place almost entirely one spot tailors shop features only handful characters its film that would transition easily stage live performances mark rylance oscar winner bridge spies 2015 excels here as leonard savile row trained tailor now working his craft his own shop 1956 chicago his path london windy city is bit murky but we immediately take note leonards calm elegant presence accompanied by his soothing voice rylance uses that voice as narrator explain intricacies involved with creating mans suit importance reading man prior utilizing 4 fabrics 38 pieces that make up outfit leonard is also protective mable zoey deutch zombieland double tap 2019 his assistant who dreams traveling globe early montage shows us how mob utilizes leonards shop drops trusts him due his see no evil hear no evil speak no evil demeanor leonard is one cool dude its obvious we mob are underestimating him but we cant quite figure out why or by how much one crazy night changes everything richie dylan obrien maze runner franchise is brought into tailor shop after being shot by rival gang ambush hes accompanied by francis johnny flynn emma 2020 dynamics between these two is quite interesting richie is son boyle family patriarch has been seeing mable side while francis is favored employee after saving roy boyle simon russell beale by taking gun fire richie is whiny spoiled wannabe tough guy while francis is volatile constantly sneering what follows is bit hitchcockian we have plot twists murder backstabbing danger surprises when its discovered boyle family has rat that is feeding details rival cross town gang fbi things get tense thanks partially macguffin audio tape it all leads confrontations shop some nice scene chewing simon russell beale nikki amuka bird as leader rival gang elaborate plan by one characters is pleasant surprise us not others as leonard points out couple occasions hes cutter not tailor distinction he takes as seriously as his skill with shears films title has double meaning suits leonard crafts national syndicate that involves boyle family most this weve seen before but its rylances portrayal leonard that offers different look feel fans deceptive thrillers will find some joy here opens theaters march 18 2022,0.5716666666666667,0.17222853535353533,Positive,"{'Happy': 0.14, 'Angry': 0.09, 'Surprise': 0.25, 'Sad': 0.08, 'Fear': 0.44}"
8.0,What a surprise this was!,"You don't see many movies like this in theatres these days! And this is exactly why I loved it, it's the kind of film that I really miss seeing a lot of; they type that typically gets dumped on streaming these days. It's an old-fashioned crime thriller that takes place in one location and is a dialogue driven story... and believe it or not it's not part of a franchise! It's a very well done film and is certainly going to be one of the most underrated films of 2022. If you're reading this, don't sleep on it, go see it right away! I didn't even watch a trailer for it, I went in pretty much blind, and absolutely loved it! I ate it right up; it was a huge, pleasant surprise! It's a perfect classic day-in-the-life of a mobster tale!Writer-director Graham Moore really brings a Hitchcock frame of mind to this film. It takes place all in one location, has a small cast and yet could not be more intense and impressive! The script is immaculate, one of the best crime thriller scripts I've seen in ages and feels like it actually has a high quality feel to it. There are so many awesome twists and turns throughout, and some truly electric dialogue. I also loved how it uses the concept of Chekhov's gun to cleverly setup and subvert expectations, it made the twists even more satisfying! Every time I thought I had the film figured out, it turned the tables on me, keeping me in suspense. Moore handles the suspense so well, in very Hitchcockian ways and the movie is constantly gripping, interesting and intense! However while the films abundance and reliance on its twists is its greatest strength, it's also its greatest flaw as it slightly pushed my suspension of disbelief a little far and messed with the pacing at times. But the pros far outweigh the cons. I also loved how cleverly Moore made use of the space (the tailor shop), which was immaculately and thoroughly utilized throughout. I was constantly surprised how they kept finding new ways to use the space and evolve the story! The only downside was that this didn't allow for the cinematography to be as impressive or eye popping as it could have been; it was good but not overly creative, just purely functional.Another huge strength of the film is it's impressive cast and stellar performances! Mark Rylance kills it in this movie, he delivers such a daring and phenomenal performance as Leonard. It's incredibly nuanced and I just love how he slowly revealed more about his character through ways he behaved and slight tendencies in dialogue delivery. The story also really helped here, I loved how it slowly pulled back the curtain on the character as the film went on, and you couldn't help but root for him. Zoey Deutch was also such a surprise, she was so good in this, and Dylan O'Brien and Johnny Flynn were also great and need to be in more stuff! All the acting in the film was incredible, it blew me away. The actors alongside the great script truly carry the film and are the reason I loved it as much as I did!The Outfit isn't flashy, but it's a very solid story with a tightly tailored performance from Mark Rylance. It's perfect for fans of old-school thrillers; it's very well made and very enjoyable. Don't miss this one, it's rare we get films as special as this one these days!",what surprise this was,you dont see many movies like this theatres these days this is exactly why i loved it its kind film that i really miss seeing lot they type that typically gets dumped streaming these days its old fashioned crime thriller that takes place one location is dialogue driven story believe it or not its not part franchise its very well done film is certainly going be one most underrated films 2022 if youre reading this dont sleep it go see it right away i didnt even watch trailer it i went pretty much blind absolutely loved it i ate it right up it was huge pleasant surprise its perfect classic day life mobster tale writer director graham moore really brings hitchcock frame mind this film it takes place all one location has small cast yet could not be more intense impressive script is immaculate one best crime thriller scripts ive seen ages feels like it actually has high quality feel it there are so many awesome twists turns throughout some truly electric dialogue i also loved how it uses concept chekhovs gun cleverly setup subvert expectations it made twists even more satisfying every time i thought i had film figured out it turned tables me keeping me suspense moore handles suspense so well very hitchcockian ways movie is constantly gripping interesting intense however while films abundance reliance its twists is its greatest strength its also its greatest flaw as it slightly pushed my suspension disbelief little far messed with pacing at times but pros far outweigh cons i also loved how cleverly moore made use space tailor shop which was immaculately thoroughly utilized throughout i was constantly surprised how they kept finding new ways use space evolve story only downside was that this didnt allow cinematography be as impressive or eye popping as it could have been it was good but not overly creative just purely functional another huge strength film is its impressive cast stellar performances mark rylance kills it this movie he delivers such daring phenomenal performance as leonard its incredibly nuanced i just love how he slowly revealed more about his character through ways he behaved slight tendencies dialogue delivery story also really helped here i loved how it slowly pulled back curtain character as film went you couldnt help but root him zoey deutch was also such surprise she was so good this dylan obrien johnny flynn were also great need be more stuff all acting film was incredible it blew me away actors alongside great script truly carry film are reason i loved it as much as i did outfit isnt flashy but its very solid story with tightly tailored performance mark rylance its perfect fans old school thrillers its very well made very enjoyable dont miss this one its rare we get films as special as this one these days,0.6107683982683982,0.35798533807462374,Positive,"{'Happy': 0.24, 'Angry': 0.06, 'Surprise': 0.31, 'Sad': 0.14, 'Fear': 0.25}"
,"He's not a tailor, he's a cutter.","Set in 1956 Chicago, the central character is a Bespoke suit maker played expertly by Mark Rylance. As he has established his business, central to that are the crime ring members who use his services and also his business as a drop off point for some mysterious packages. Presumably some packages of cash, to be picked up by the boss' men.On this night there is a tape, supposedly made by a ""rat"" to expose the crime operations. The identity of this rat is central to the story. We see a number of characters enter the story, some smarter than the others, but the only really smart one is the suit maker who is quick to clarify, ""I'm not a tailor, they just sew on buttons and stitch hems. I am a cutter.""As the story moves along it exposes itself somewhat as a dark comedy and we witness how the cutter is able to manipulate everything to get the results he needs for him and his young female receptionist.Very interesting movie that takes place essentially in one place, the suit maker's shop. My wife and I watched it at home, streaming on Peacock.",hes not tailor hes cutter,set 1956 chicago central character is bespoke suit maker played expertly by mark rylance as he has established his business central that are crime ring members who use his services also his business as drop off point some mysterious packages presumably some packages cash be picked up by boss men this night there is tape supposedly made by rat expose crime operations identity this rat is central story we see number characters enter story some smarter than others but only really smart one is suit maker who is quick clarify im not tailor they just sew buttons stitch hems i am cutter as story moves along it exposes itself somewhat as dark comedy we witness how cutter is able manipulate everything get results he needs him his young female receptionist very interesting movie that takes place essentially one place suit makers shop my wife i watched it at home streaming peacock,0.49496336996337004,0.12673992673992673,Positive,"{'Happy': 0.03, 'Angry': 0.03, 'Surprise': 0.34, 'Sad': 0.21, 'Fear': 0.38}"
8.0,"Mark Rylance is, as always, quietly brilliant","This 'little' film very much has the feeling of a stage play. There is really only one set (the tailor Leonard's shop) in which everything happens. To go along with that, it has an almost claustrophobic atmosphere as the different Chicago gangster characters come and go, threaten Leonard and his receptionist Mable (nicely done by Zoey Deutch), argue, leave again. Leonard basically has to outwit them at every twist and turn (and there are lots of twists and turns), and that is about it for the plot. Add to that the fact that no one is entirely who they seem and we get a fascinating hour and a half of intense 'locked room' drama.I wouldn't quite call this minimalist (""Wating for Godot"" would classify as minimalist in my books). It's continually absorbing and yet built out of nothing but carefully rendered dialog. Mark Rylance is as always superb, he somehow builds a character out of measured dialog and changes in expression that might not be anything more than a raised eyebrow or a tightening of the mouth. Amazing to watch.I first noticed Zoey Deutch in Before I Fall (2017) in which she was about the only standout. Nice to see that bigger and better roles are coming her way.Saying anything more at all would give away too much since The Outfit is, in part, a mystery as well as suspense drama. Just go see it!",mark rylance is as always quietly brilliant,this little film very much has feeling stage play there is really only one set tailor leonards shop which everything happens go along with that it has almost claustrophobic atmosphere as different chicago gangster characters come go threaten leonard his receptionist mable nicely done by zoey deutch argue leave again leonard basically has outwit them at every twist turn there are lots twists turns that is about it plot add that fact that no one is entirely who they seem we get fascinating hour half intense locked room drama i wouldnt quite call this minimalist wating godot would classify as minimalist my books its continually absorbing yet built out nothing but carefully rendered dialog mark rylance is as always superb he somehow builds character out measured dialog changes expression that might not be anything more than raised eyebrow or tightening mouth amazing watch i first noticed zoey deutch before i fall 2017 which she was about only standout nice see that bigger better roles are coming her way saying anything more at all would give away too much since outfit is part mystery as well as suspense drama just go see it,0.7015217391304348,0.2524275362318841,Positive,"{'Happy': 0.07, 'Angry': 0.05, 'Surprise': 0.3, 'Sad': 0.23, 'Fear': 0.35}"
9.0,The Game According to Boyle,"Leonard Burley (Mark Rylance) left London and opened up a shop making fine suits in Chicago as the film opens in 1956. The back room of the shop has a drop box used by the Boyle mob to collect money and pass along messages. The La Fontaines are a rival gang. Leonard's receptionist (Zoey Deutch daughter of Lea Thompson and Howard the Deutch) is the girlfriend of the mob boss's son.All the action takes place in the shop, making this an excellent play. I loved the writing which twists things away from the norm of Hollywood predictability. Enjoyable film.Guide: F-word. No sex or nudity.",game according boyle,leonard burley mark rylance left london opened up shop making fine suits chicago as film opens 1956 back room shop has drop box used by boyle mob collect money pass along messages la fontaines are rival gang leonards receptionist zoey deutch daughter lea thompson howard deutch is girlfriend mob bosss son all action takes place shop making this excellent play i loved writing which twists things away norm hollywood predictability enjoyable film guide f word no sex or nudity,0.425,0.2895833333333333,Positive,"{'Happy': 0.21, 'Angry': 0.21, 'Surprise': 0.16, 'Sad': 0.11, 'Fear': 0.32}"
8.0,The Pursuit of Perfection...,"An English tailor in Chicago makes a dime, stitching up a bespoke suit can take some time, with a trusty tape and thimble, his cutting sheers are nimble, several threads becoming frayed then intertwined.",pursuit perfection,english tailor chicago makes dime stitching up bespoke suit can take some time with trusty tape thimble his cutting sheers are nimble several threads becoming frayed then intertwined,0.4375,-0.03749999999999999,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
