Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
6.0,"Great scenes, great setting, decent story, mediocre direction...","Rum Diary (2011)If you're looking for the craziness of later Hunter S. Thompson, you'll find shreds of it here. In a way this is a more cogent movie than say ""Fear and Loathing"" but it's also a bit prosaic beneath the wilder stuff that peppers the surface. Johnny Depp stars and runs the show in his usual strong if uninspired way as a new, hard-drinking reporter with a failing English language newspaper in Puerto Rico.There is a true surface here that's pretty amazing--the cars, the low down rot of the apartments, the racism between the rich white Americans and the indigenous Puerto Ricans. The depth you might expect and want here is slim, however, even though all the pieces are in play for a great drama--a charming troubled writer in a land filled with prejudice and violence and great natural beauty. It pushes the clichés too hard, and it's generally agreed (even by Thompson) that the material is weak and ""rambling."" The movie doesn't rearrange it enough to make it work.You can in a way watch this for those surfaces, if you don't need too much more. There are several secondary characters who do their best to be a bit insane, including Giovanni Ribisi as a drugged out waif of a reporter, something like what Thompson himself might have become later in life. (See of course the Depp in the imperfect 1998 ""Fear and Loathing in Las Vegas"" for a sense of the famous freewheeling selfish addled sometimes brilliant Thompson.)The director here also adapted Thompson's book and if he gets the credit for the nice ambiance of the film he also gets the burden of how clunky, choppy, and sometimes slow it is, even with such exciting material. It's not a horror, it's watchable, but you'll flag here and there. Even the end, without giving a thing away, is a bit deflating.",great scenes great setting decent story mediocre direction,rum diary 2011 if youre looking craziness later hunter s thompson youll find shreds it here way this is more cogent movie than say fear loathing but its also bit prosaic beneath wilder stuff that peppers surface johnny depp stars runs show his usual strong if uninspired way as new hard drinking reporter with failing english language newspaper puerto rico there is true surface here thats pretty amazing cars low down rot apartments racism between rich white americans indigenous puerto ricans depth you might expect want here is slim however even though all pieces are play great drama charming troubled writer land filled with prejudice violence great natural beauty it pushes clich s too hard its generally agreed even by thompson that material is weak rambling movie doesnt rearrange it enough make it work you can way watch this those surfaces if you dont need too much more there are several secondary characters who do their best be bit insane including giovanni ribisi as drugged out waif reporter something like what thompson himself might have become later life see course depp imperfect 1998 fear loathing las vegas sense famous freewheeling selfish addled sometimes brilliant thompson director here also adapted thompsons book if he gets credit nice ambiance film he also gets burden how clunky choppy sometimes slow it is even with such exciting material its not horror its watchable but youll flag here there even end without giving thing away is bit deflating,0.5985250229568412,0.12342745638200182,Positive,"{'Happy': 0.2, 'Angry': 0.15, 'Surprise': 0.2, 'Sad': 0.17, 'Fear': 0.28}"
,A labor of love for Johnny Depp who came to know Hunter S Thompson very well.,"For me the backstory was even more interesting than the movie. In his younger days Thompson wrote the manuscript for ""Rum Diary"" but it had been left unfinished and unpublished. In more recent years Depp discovered it in Thompson's basement among other things and through a collaborative effort with others trimmed, polished and published the book. Now it is this movie, a very interesting one.It is set in 1960 and Johnny Depp as Kemp is a struggling author who goes to Puerto Rico for a newspaper job. He gets hired then finds out he was the only applicant. The newspaper wasn't doing that well and the office morale wasn't particularly high. As Kemp gets around he gets into the social circle of Aaron Eckhart as Sanderson, a wealthy man with a pretty young girlfriend. Kemp is smitten with the girl, and tolerates Sanderson. But Sanderson and his associates are putting together a land deal, to build hotels and a resort, not totally above-board. They hire Kemp as a writer who can help them make their case look favorable. We never really get into the real estate deal, it just provides the reason for the scenes that come after.Kemp's sidekick is Michael Rispoli as news photographer Sala. He must be a New Yorker, I kept imagining I was hearing Danny Devito in ""Romancing the Stone."" He was a good addition to the story.Very pretty Amber Heard, who looks a lot like Scarlett Johansson but prettier and more refined is Sanderson's girlfriend, Chenault. Her face was very familiar as I saw her this season on the now cancelled TV series ""Playboy Club"" as one of the bunnies. She is a good enough actress and with her looks I think we will be seeing her in more roles.Befitting the title there is a lot of rum-drinking in the movie, plus some cock-fighting, nude swimming, and sailing. While it is not autobiographical the fictional Kemp is certainly quite close to the author's own character. Depp is of course quite good. The critic Ebert has a very fair and accurate review.",labor love johnny depp who came know hunter s thompson very well,me backstory was even more interesting than movie his younger days thompson wrote manuscript rum diary but it had been left unfinished unpublished more recent years depp discovered it thompsons basement among other things through collaborative effort with others trimmed polished published book now it is this movie very interesting one it is set 1960 johnny depp as kemp is struggling author who goes puerto rico newspaper job he gets hired then finds out he was only applicant newspaper wasnt doing that well office morale wasnt particularly high as kemp gets around he gets into social circle aaron eckhart as sanderson wealthy man with pretty young girlfriend kemp is smitten with girl tolerates sanderson but sanderson his associates are putting together land deal build hotels resort not totally above board they hire kemp as writer who can help them make their case look favorable we never really get into real estate deal it just provides reason scenes that come after kemps sidekick is michael rispoli as news photographer sala he must be new yorker i kept imagining i was hearing danny devito romancing stone he was good addition story very pretty amber heard who looks lot like scarlett johansson but prettier more refined is sandersons girlfriend chenault her face was very familiar as i saw her this season now cancelled tv series playboy club as one bunnies she is good enough actress with her looks i think we will be seeing her more roles befitting title there is lot rum drinking movie plus some cock fighting nude swimming sailing while it is not autobiographical fictional kemp is certainly quite close authors own character depp is course quite good critic ebert has very fair accurate review,0.5041462948815889,0.2953377259994907,Positive,"{'Happy': 0.28, 'Angry': 0.03, 'Surprise': 0.23, 'Sad': 0.17, 'Fear': 0.3}"
1.0,Waste of time,"This movie can be summed up in one word: boring. There's no story line, no jokes, no drama, no excitement, the dialogues are shale, bordering, to the ridicule. The characters are shallow and predictable, clichés all along. Depp is at his lowest, he seems like bored by himself. I've never seen him acting so lousy, he seems to have totally lost it. As for Amer Heard, the less screen time she gets the better. It's beyond me why she has been cast in the first place. It's obvious her talent lies with another movie genre with a more visual focus and very little dialogues. A most disappointing experience. So spare yourself this disappointment and employ your time with a more useful endeavor. For example reading the book.",waste time,this movie can be summed up one word boring theres no story line no jokes no drama no excitement dialogues are shale bordering ridicule characters are shallow predictable clich s all along depp is at his lowest he seems like bored by himself ive never seen him acting so lousy he seems have totally lost it as amer heard less screen time she gets better its beyond me why she has been cast first place its obvious her talent lies with another movie genre with more visual focus very little dialogues most disappointing experience so spare yourself this disappointment employ your time with more useful endeavor example reading book,0.445,-0.0896875,Negative,"{'Happy': 0.06, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.47, 'Fear': 0.24}"
,A review for people who don't know about Hunter S Thompson,"I'm one of the uncultured folks who never read a word of Hunter S. Thompson in my life. If that describes you, too, then read on.The appeal of this film is geared toward the cult following of HST, capitalizing on the quirky ""Fear & Loathing in Las Vegas"" vibe that Johnny Depp created for the character. Apparently Depp was HST's friend in life, so we can expect a respectful, if not accurate, portrayal. Who knows if that's truly the case, but the Depp character is very likable and unique.The character comes across as intelligent, always seeming to understand things 1 level deeper than everyone else; however he never comes across as condescending, judgmental or cynical. That's the real beauty to me. For example he can sit and listen to his friend, a drunken Hitler fan, say some pretty racy and racist things, and he doesn't say a word. But in that deer-eyed look that only Depp can do, we feel the comedy of the awkward situation without feeling the bitterness of, say, someone rolling their eyes or sighing in exasperation.It's that innocent-yet-worldly approach that makes his performance such a treat to watch. The opening scene sets the character's tone for the entire film: he awakens in a hotel room looking like he had just spent the night drinking a small bathtub of booze. The locked mini bar has been ravaged as if by a pack of crazed ferrets. The room service guy stares in disbelief as Depp says, ""I avoid alcohol"" and then with that boyish smile ""when I can."" What can I say, that had me rolling right off the bat. The whole movie is somewhat low-key like that. There are no big punchlines, pratfalls or sight gags, but there are some absolutely classic moments like that which make you feel like you're part of an inside joke.The story itself? Well here's where I do know something about the book: many things were changed, and the ending itself was watered down. But it's still entertaining with a message: it's the story of a lone crusader who uses the power of journalism to battle the corrupt commercial powers invading Puerto Rico. I have to admit that the ending left me a little unsatisfied but not because it was weak. I didn't like it because it sorta injected a clichéd, Hallmark-channel-type scene when this film is certainly not Hallmark-channel material. But really that was just a 30 second scene, and aside from that I thought the film was well presented.Of course there will be comparisons to Terry Gilliam's ""Fear & Loathing"" which established the HST-Depp character and his surreal adventures. Hardcore Gilliam fans might be offended by the mimicry, but I thought it was well played in the same way I enjoyed Peter Hyams' film ""2010"" which was a fan-doomed followup to Kubrick's untouchable ""2001"".""The Rum Diary"" doesn't have quite as much surrealism & quirk, but it certainly has its fair share. There's a psychedelic drug-induced line about a man's tongue that had me in stitches. I won't spoil it, you gotta hear it for yourself.If you're a casual fan of ""Fear & Loathing"" (or maybe even a hardcore fan, who knows), if you like early Depp characterizations like ""Ed Wood"", if you like existentialist comedies about people who seem to be adrift in their own isolated world with their equally outcast friends, you might want to check this out.WARNING: One thing I didn't care for was the way it glorified cockfighting (all the characters seem to enjoy & profit from it). But at least there's no blood or mutilation shown, and the American Humane Association did monitor film production. Still it might be a little unsettling for people who don't like depictions of animal abuse.",review people who dont know about hunter s thompson,im one uncultured folks who never read word hunter s thompson my life if that describes you too then read appeal this film is geared toward cult following hst capitalizing quirky fear loathing las vegas vibe that johnny depp created character apparently depp was hsts friend life so we can expect respectful if not accurate portrayal who knows if thats truly case but depp character is very likable unique character comes across as intelligent always seeming understand things 1 level deeper than everyone else however he never comes across as condescending judgmental or cynical thats real beauty me example he can sit listen his friend drunken hitler fan say some pretty racy racist things he doesnt say word but that deer eyed look that only depp can do we feel comedy awkward situation without feeling bitterness say someone rolling their eyes or sighing exasperation its that innocent yet worldly approach that makes his performance such treat watch opening scene sets characters tone entire film he awakens hotel room looking like he had just spent night drinking small bathtub booze locked mini bar has been ravaged as if by pack crazed ferrets room service guy stares disbelief as depp says i avoid alcohol then with that boyish smile when i can what can i say that had me rolling right off bat whole movie is somewhat low key like that there are no big punchlines pratfalls or sight gags but there are some absolutely classic moments like that which make you feel like youre part inside joke story itself well heres where i do know something about book many things were changed ending itself was watered down but its still entertaining with message its story lone crusader who uses power journalism battle corrupt commercial powers invading puerto rico i have admit that ending left me little unsatisfied but not because it was weak i didnt like it because it sorta injected clich d hallmark channel type scene when this film is certainly not hallmark channel material but really that was just 30 second scene aside that i thought film was well presented course there will be comparisons terry gilliams fear loathing which established hst depp character his surreal adventures hardcore gilliam fans might be offended by mimicry but i thought it was well played same way i enjoyed peter hyams film 2010 which was fan doomed followup kubricks untouchable 2001 rum diary doesnt have quite as much surrealism quirk but it certainly has its fair share theres psychedelic drug induced line about mans tongue that had me stitches i wont spoil it you gotta hear it yourself if youre casual fan fear loathing or maybe even hardcore fan who knows if you like early depp characterizations like ed wood if you like existentialist comedies about people who seem be adrift their own isolated world with their equally outcast friends you might want check this out warning one thing i didnt care was way it glorified cockfighting all characters seem enjoy profit it but at least theres no blood or mutilation shown american humane association did monitor film production still it might be little unsettling people who dont like depictions animal abuse,0.5286103330220977,0.07605820105820107,Positive,"{'Happy': 0.11, 'Angry': 0.1, 'Surprise': 0.22, 'Sad': 0.24, 'Fear': 0.34}"
5.0,Lacks Coherency or Flair,"The film begins with main character Paul Kemp (Johnny Depp) waking up in a luxurious hotel room in Puerto Rico after a heavy night of drinking. After chomping down a few aspirin, Kemp stumbles into the editors office of the San Juan Star and is given a dead end writing job. After a few chance encounters, Kemp becomes the center of intrigue and corruption while consuming copious amounts of alcohol.""The Rum Diary"" was originally a novella from the twisted mind of Hunter S. Thompson an eccentric journalist and novelist who in addition to smoking, snorting, injecting, drinking every drug, alcohol and carcinogen known to man, managed to change the face of journalism by calling it as he sees it. His writing can repel and enchant with equal measure and has a breakneck spontaneity which is rivaled by its frazzled incoherency.Incoherency would be the best word to describe this film. The story lacks any kind of focus jumping from a love story, a corrupt land deal, drunken antics, workplace politics and racial tensions. Watching ""The Rum Diary"" was like talking to a drunk grad student; little flashes of genius may linger but after what seems like four hours you realize you're talking to a drunken idiot and looking for the door.Thompson's other work adapted to screen shares a similar inconsistency but say what you will about ""Fear and Loathing in Las Vegas"" at least it was interesting. Director Bruce Robinson seems unsure behind the camera trying desperately to balance themes and while Terry Gilliam threw spaghetti at the wall to see what sticks, Robinson compensates by drawing out its screen time and keeping the camera-work and editing as dull and uninspiring as possible.The films only saving grace is the inclusion of Giovanni Ribisi as a cirrhosis addled, syphilitic cohort who takes LSD while listening to records of Nazi propaganda. His arguments with the Star's head editor (Richard Jenkins) provide some of the few precious moments of humor.The epilogue appears while Johnny Depp sails into the horizon explaining that while its the end of the story ""...its the beginning of another."" I would have liked to have seen the other story. At least by then the sardonic wit of Thompson was finally present.http://theyservepopcorninhell.blogspot.com/",lacks coherency or flair,film begins with main character paul kemp johnny depp waking up luxurious hotel room puerto rico after heavy night drinking after chomping down few aspirin kemp stumbles into editors office san juan star is given dead end writing job after few chance encounters kemp becomes center intrigue corruption while consuming copious amounts alcohol rum diary was originally novella twisted mind hunter s thompson eccentric journalist novelist who addition smoking snorting injecting drinking every drug alcohol carcinogen known man managed change face journalism by calling it as he sees it his writing can repel enchant with equal measure has breakneck spontaneity which is rivaled by its frazzled incoherency incoherency would be best word describe this film story lacks any kind focus jumping love story corrupt land deal drunken antics workplace politics racial tensions watching rum diary was like talking drunk grad student little flashes genius may linger but after what seems like four hours you realize youre talking drunken idiot looking door thompsons other work adapted screen shares similar inconsistency but say what you will about fear loathing las vegas at least it was interesting director bruce robinson seems unsure behind camera trying desperately balance themes while terry gilliam threw spaghetti at wall see what sticks robinson compensates by drawing out its screen time keeping camera work editing as dull uninspiring as possible films only saving grace is inclusion giovanni ribisi as cirrhosis addled syphilitic cohort who takes lsd while listening records nazi propaganda his arguments with stars head editor richard jenkins provide some few precious moments humor epilogue appears while johnny depp sails into horizon explaining that while its end story its beginning another i would have liked have seen other story at least by then sardonic wit thompson was finally present,0.5401587301587303,-0.06313492063492063,Negative,"{'Happy': 0.07, 'Angry': 0.11, 'Surprise': 0.18, 'Sad': 0.16, 'Fear': 0.49}"
10.0,"LIKE ENGLAND, EXCEPT WITH TROPICAL FRUIT","Ohnny Depp plays Paul Kemp, a New Yorker hired to work at a newspaper in San Juan (1960). The paper is going down hill. The editor, Richard Jenkins, wants new blood, even though Paul appears to be everything he doesn't want in an employee. There is unrest outside, but no one at the newspaper knows what is going on. The humor is fast and witty. The man Paul is replacing was ""artistic"" and ""raped to death"" by sailors.Paul Kemp is a Hunter S.Thompson clone. He was hired because the editor likes his style of writing. He is placed in charge of writing horoscopes, something he makes up. He describes the obese Yankee tourists as ""great whites"" the most deadly creature known to man. They are afraid to venture outside of their hotel, spending their days bowling, gambling, and duty free shopping. The more you spend, the more you save. His writings tend to be cynical.Aaron Eckhart is a wealthy mobster/businessman, Amber Heard is his free spirited gf who causes everyone grief. Aaron needs a writer (PR man) with new eyes, and Paul sets his bloodshot eyes on Amber, a woman who considers clothes optional. There is also criticism of today's conservatives as Paul remarks about Nixon, ""Some day some filthy hoar-beast will make him look like a liberal."" While watching the Nixon-Kennedy debate, through a pair of binoculars on a neighbors TV, Paul is able to predict a Kennedy victory because ""I do horoscopes."" The humor is off-beat, cynical, and hard hitting like Thompson. A local proclaims, ""This country was founded on genocide and slavery...then they brought in Jesus like a bar of soap.""The movie is also critical of the dummy-down media who kills stories so as to not offend their advertisers. In the film, capitalism is destroying Puerto Rico, creating a war of haves vs. have-nots while Cuba turns to communism. A rich man claims, ""Liberals are college educated communists with Negro thoughts."" To them the problem with the world is the communists. The movie takes a leftist look at the world as it plays out in the microcosm of Puerto Rico.Paul is caught between the two worlds and must make a choice.The movie is not all political. Just as you think Paul has reached bottom, he discovers ""a drug so powerful that the FBI gives it to communists."" NOTE: LSD in liquid form, administered to the eye should be done in split drops with three full drops being way too much, possibly causing hallucinations...or so I've been told.Good acting, good script, funny and very entertaining. Staunch conservatives might be critical of the leftist views contained in this Hollywood film. A must view for Hunter S. Thompson fans.F-bomb, excessive drinking, drug use. Was that Amber topless is a dimly lit love scene?",like england except with tropical fruit,ohnny depp plays paul kemp new yorker hired work at newspaper san juan 1960 paper is going down hill editor richard jenkins wants new blood even though paul appears be everything he doesnt want employee there is unrest outside but no one at newspaper knows what is going humor is fast witty man paul is replacing was artistic raped death by sailors paul kemp is hunter s thompson clone he was hired because editor likes his style writing he is placed charge writing horoscopes something he makes up he describes obese yankee tourists as great whites most deadly creature known man they are afraid venture outside their hotel spending their days bowling gambling duty free shopping more you spend more you save his writings tend be cynical aaron eckhart is wealthy mobster businessman amber heard is his free spirited gf who causes everyone grief aaron needs writer pr man with new eyes paul sets his bloodshot eyes amber woman who considers clothes optional there is also criticism todays conservatives as paul remarks about nixon some day some filthy hoar beast will make him look like liberal while watching nixon kennedy debate through pair binoculars neighbors tv paul is able predict kennedy victory because i do horoscopes humor is off beat cynical hard hitting like thompson local proclaims this country was founded genocide slavery then they brought jesus like bar soap movie is also critical dummy down media who kills stories so as not offend their advertisers film capitalism is destroying puerto rico creating war haves vs have nots while cuba turns communism rich man claims liberals are college educated communists with negro thoughts them problem with world is communists movie takes leftist look at world as it plays out microcosm puerto rico paul is caught between two worlds must make choice movie is not all political just as you think paul has reached bottom he discovers drug so powerful that fbi gives it communists note lsd liquid form administered eye should be done split drops with three full drops being way too much possibly causing hallucinations or so ive been told good acting good script funny very entertaining staunch conservatives might be critical leftist views contained this hollywood film must view hunter s thompson fans f bomb excessive drinking drug use was that amber topless is dimly lit love scene,0.6014800175669742,0.11770970575318401,Positive,"{'Happy': 0.16, 'Angry': 0.08, 'Surprise': 0.2, 'Sad': 0.16, 'Fear': 0.39}"
3.0,"does not mix well, read the book instead.","Depp is Journalist Paul Kemp who arrives in Puerto Rico to write for the The San Juan Star. Kemp Immerses himself in the island's rum-soaked lifestyle, Aaron Eckhart is the shady property developer who recruits Kemp to write favourable things about his latest scheme, and it's down to the journalist to take the money or the moral high ground... 'The Rum Diary has loads of attractive elements the director 'Bruce Robinson responsible for 'Withnail & i' the beautiful setting, the excellent and faultless production design.The Tagline reads ''One part outrage. One part justice. Three parts rum. Mix well''. sadly this does not mix well, the screen adaptation of the late Hunter S. Thompson does hold one's attention with a superb cast Johnny Depp, Aaron Eckhart Richard Jenkins, Giovanni Ribisi and Amber Heard. the film would have been a far better experience if they perhaps were given a longer running time, the book was excellent but this adaptation is rather rushed, perhaps the cutting room floor has a lot to answer for?",does not mix well read book instead,depp is journalist paul kemp who arrives puerto rico write san juan star kemp immerses himself islands rum soaked lifestyle aaron eckhart is shady property developer who recruits kemp write favourable things about his latest scheme its down journalist take money or moral high ground rum diary has loads attractive elements director bruce robinson responsible withnail i beautiful setting excellent faultless production design tagline reads one part outrage one part justice three parts rum mix well sadly this does not mix well screen adaptation late hunter s thompson does hold ones attention with superb cast johnny depp aaron eckhart richard jenkins giovanni ribisi amber heard film would have been far better experience if they perhaps were given longer running time book was excellent but this adaptation is rather rushed perhaps cutting room floor has lot answer,0.7737581699346405,0.3120261437908497,Positive,"{'Happy': 0.26, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.07, 'Fear': 0.44}"
9.0,"'Heres to Pretty women, with dirty thoughts'","I adored the novel, The Rum Diary and as an aid worker I related to many of the character's struggles. Although the film does stray quite a bit from the book itself, I think it's a perfect homage to Hunter S Thompson. The language still reeks of his Gonzo fury writing and manages to transport the audience into a drunken rant, as well as secretly educating them on the struggles of a free press. It had me laughing out loud on more than one occasion, as well as the packed out cinema that I viewed it with. I rated this movie a 9 and the last film I rated that high was The Shining. I personally think this film was perfect. The leading actress/actors were perfect and the supporting cast phenomenal, especially Giovanni Ribisi. The only problem with this film in my opinion is that if you are not a fan of the gibbering, artistically nervous tone of most of Thompson's work, this film may be too heavy for you. Although it's easier to follow that Fear and Loathing (which scrupulously stuck to the dialogue from the novel Fear and loathing), many would find the dialogue bizarre.Personally I loved every minute of this film and think it's already truly underrated.",heres pretty women with dirty thoughts,i adored novel rum diary as aid worker i related many characters struggles although film does stray quite bit book itself i think its perfect homage hunter s thompson language still reeks his gonzo fury writing manages transport audience into drunken rant as well as secretly educating them struggles free press it had me laughing out loud more than one occasion as well as packed out cinema that i viewed it with i rated this movie 9 last film i rated that high was shining i personally think this film was perfect leading actress actors were perfect supporting cast phenomenal especially giovanni ribisi only problem with this film my opinion is that if you are not fan gibbering artistically nervous tone most thompsons work this film may be too heavy you although its easier follow that fear loathing which scrupulously stuck dialogue novel fear loathing many would find dialogue bizarre personally i loved every minute this film think its already truly underrated,0.6546376811594203,0.28521739130434787,Positive,"{'Happy': 0.12, 'Angry': 0.15, 'Surprise': 0.18, 'Sad': 0.18, 'Fear': 0.38}"
1.0,Drear and Loafing,"By the film's intentional anti-climax we learn that Hunter S. Thompson, who wrote THE RUM DIARY about his stint as a journalist in Puerto Rico in 1960, would go onto better things, taking on all the ""bastards"" he let slip by in his youth.The problem is, there's none in this movie worth troubling over, or for the audience to root against. Which means Johnny Depp's Paul Kemp (Thompson with a fake name) has nothing for an audience to root for: other than he's a popular actor that played a pirate who loved rum, and so does this character. (Every time Depp mentions drinking, he's practically winking at the audience.) Doing the same Walter Cronkite mumble from FEAR AND LOATHING IN LAS VEGAS, Johnny's performance is so low-key it hardly registers at all. His porky photographer sidekick Sala (Michael Rispoli) has more interesting and memorable qualities since he's sloppy and somewhat humorous. But in this film, there's a lack of anything meaningful beneath the surface... which is an existential odyssey misadventure, sort of... yet it sporadically plants a political flag; but other than clips of Nixon, or shots of poor people being exploited, there's nothing substantial to hold onto.The ""plot"" has Kemp hired as a journalist at a fledgling Puerto Rico newspaper, with the task of making the country seem like an accessible tourist trap, and then conned by a millionaire to be his propagandist – a man who seems nice at first, but has his eyes on turning the gorgeous exterior into a real estate landmine. He has a sexy girlfriend who Kemp lusts after, leading to a brief romance more lacking in chemistry than the film does purpose.As a Thompson fan, and having read his posthumous novel, it's a understandably difficult work to base a movie on. Making it that much more annoying when cinematic clichés – like the scruffy underdogs battling the greedy rich guys, or a drug trip that too easily propels a creative edge – are shoved at the screen: turning a subtle book never intended for publication into a ponderous film trying way too hard to make a point: whatever that might be.For More Movie Reviews: http://cultfilmfreakreviews.blogspot.com/",drear loafing,by films intentional anti climax we learn that hunter s thompson who wrote rum diary about his stint as journalist puerto rico 1960 would go onto better things taking all bastards he let slip by his youth problem is theres none this movie worth troubling over or audience root against which means johnny depps paul kemp thompson with fake name has nothing audience root other than hes popular actor that played pirate who loved rum so does this character every time depp mentions drinking hes practically winking at audience doing same walter cronkite mumble fear loathing las vegas johnnys performance is so low key it hardly registers at all his porky photographer sidekick sala michael rispoli has more interesting memorable qualities since hes sloppy somewhat humorous but this film theres lack anything meaningful beneath surface which is existential odyssey misadventure sort yet it sporadically plants political flag but other than clips nixon or shots poor people being exploited theres nothing substantial hold onto plot has kemp hired as journalist at fledgling puerto rico newspaper with task making country seem like accessible tourist trap then conned by millionaire be his propagandist man who seems nice at first but has his eyes turning gorgeous exterior into real estate landmine he has sexy girlfriend who kemp lusts after leading brief romance more lacking chemistry than film does purpose as thompson fan having read his posthumous novel its understandably difficult work base movie making it that much more annoying when cinematic clich s like scruffy underdogs battling greedy rich guys or drug trip that too easily propels creative edge are shoved at screen turning subtle book never intended publication into ponderous film trying way too hard make point whatever that might be more movie reviews,0.6166666666666667,0.14342105263157898,Positive,"{'Happy': 0.1, 'Angry': 0.08, 'Surprise': 0.18, 'Sad': 0.37, 'Fear': 0.27}"
10.0,The Movie That Johnny Depp Intended It To Be,"It's important to remember why this movie was made. It is for Hunter S. Thompson. That was really Johnny Depp's main focus. His goal is never to make the number one movie. He doesn't want to be a box office star. He wants to make movies that mean something to him and that is exactly what he did with The Rum Diary.With that said, he made a beautiful film for his late friend. He played Hunter S. Thompson so wonderfully and stayed true to his character. Johnny honored his friend in the best way that he could, and did a phenomenal job in my opinion. Aside from the film's purpose, if I had gone to see this with no knowledge of it's back story, I still would have enjoyed it. It was funnier than I was expecting and there was romance throughout. I was definitely interested the entire two hours. It is worth the price of a ticket because as usual, Johnny Depp delivered.",movie that johnny depp intended it be,its important remember why this movie was made it is hunter s thompson that was really johnny depps main focus his goal is never make number one movie he doesnt want be box office star he wants make movies that mean something him that is exactly what he did with rum diary with that said he made beautiful film his late friend he played hunter s thompson so wonderfully stayed true his character johnny honored his friend best way that he could did phenomenal job my opinion aside films purpose if i had gone see this with no knowledge its back story i still would have enjoyed it it was funnier than i was expecting there was romance throughout i was definitely interested entire two hours it is worth price ticket because as usual johnny depp delivered,0.4886574074074074,0.2835648148148148,Positive,"{'Happy': 0.25, 'Angry': 0.04, 'Surprise': 0.18, 'Sad': 0.18, 'Fear': 0.36}"
