Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Tied for the best movie I have ever seen,"Why do I want to write the 234th comment on The Shawshank Redemption? I am not sure - almost everything that could be possibly said about it has been said. But like so many other people who wrote comments, I was and am profoundly moved by this simple and eloquent depiction of hope and friendship and redemption. The only other movie I have ever seen that effects me as strongly is To Kill a Mockingbird. Both movies leave me feeling cleaner for having watched them.I didn't intend to see this movie at all: I do not like prison movies and I don't normally watch them. I work at a branch library and one day as I was checking The Shawshank Redemption out to one of our older patrons, she said to me, ""Whenever I feel down or depressed, I check out this movie and watch it and it always makes me feel better."" At the time, I thought that was very strange. One day there was nothing on TV except things I absolutely would not watch under any circumstance or things that I had seen too many times already. I remembered what she said, so I watched it. I have watched it many many times since then and it gets better with every showing.No action, no special effects - just men in prison uniforms talking to each other.The Shawshank Redemption and To Kill a Mockingbird are the best movies I have ever seen. I do not judge it by it's technical merits - I don't really care about that. I have read that Citizen Kane or The Godfather or this or that movie is the best movie ever made. They may have the best technique or be the most influential motion pictures ever made, but not the best. The best movies are ones that touch the soul. It takes a movie like The Shawshank Redemption to touch the soul.",tied best movie i have ever seen,why do i want write 234th comment shawshank redemption i am not sure almost everything that could be possibly said about it has been said but like so many other people who wrote comments i was am profoundly moved by this simple eloquent depiction hope friendship redemption only other movie i have ever seen that effects me as strongly is kill mockingbird both movies leave me feeling cleaner having watched them i didnt intend see this movie at all i do not like prison movies i dont normally watch them i work at branch library one day as i was checking shawshank redemption out one our older patrons she said me whenever i feel down or depressed i check out this movie watch it it always makes me feel better at time i thought that was very strange one day there was nothing tv except things i absolutely would not watch under any circumstance or things that i had seen too many times already i remembered what she said so i watched it i have watched it many many times since then it gets better with every showing no action no special effects just men prison uniforms talking each other shawshank redemption kill mockingbird are best movies i have ever seen i do not judge it by its technical merits i dont really care about that i have read that citizen kane or godfather or this or that movie is best movie ever made they may have best technique or be most influential motion pictures ever made but not best best movies are ones that touch soul it takes movie like shawshank redemption touch soul,0.47558115719406047,0.2632002048131081,Positive,"{'Happy': 0.03, 'Angry': 0.02, 'Surprise': 0.6, 'Sad': 0.16, 'Fear': 0.19}"
10.0,Some birds aren't meant to be caged.,"The Shawshank Redemption is written and directed by Frank Darabont. It is an adaptation of the Stephen King novella Rita Hayworth and Shawshank Redemption. Starring Tim Robbins and Morgan Freeman, the film portrays the story of Andy Dufresne (Robbins), a banker who is sentenced to two life sentences at Shawshank State Prison for apparently murdering his wife and her lover. Andy finds it tough going but finds solace in the friendship he forms with fellow inmate Ellis ""Red"" Redding (Freeman). While things start to pick up when the warden finds Andy a prison job more befitting his talents as a banker. However, the arrival of another inmate is going to vastly change things for all of them.There was no fanfare or bunting put out for the release of the film back in 94, with a title that didn't give much inkling to anyone about what it was about, and with Columbia Pictures unsure how to market it, Shawshank Redemption barely registered at the box office. However, come Academy Award time the film received several nominations, and although it won none, it stirred up interest in the film for its home entertainment release. The rest, as they say, is history. For the film finally found an audience that saw the film propelled to almost mythical proportions as an endearing modern day classic. Something that has delighted its fans, whilst simultaneously baffling its detractors. One thing is for sure, though, is that which ever side of the Shawshank fence you sit on, the film continues to gather new fans and simply will never go away or loose that mythical status.It's possibly the simplicity of it all that sends some haters of the film into cinematic spasms. The implausible plot and an apparent sentimental edge that makes a nonsense of prison life, are but two chief complaints from those that dislike the film with a passion. Yet when characters are this richly drawn, and so movingly performed, it strikes me as churlish to do down a human drama that's dealing in hope, friendship and faith. The sentimental aspect is indeed there, but that acts as a counterpoint to the suffering, degradation and shattering of the soul involving our protagonist. Cosy prison life you say? No chance. The need for human connection is never more needed than during incarceration, surely? And given the quite terrific performances of Robbins (never better) & Freeman (sublimely making it easy), it's the easiest thing in the world to warm to Andy and Red.Those in support aren't faring too bad either. Bob Gunton is coiled spring smarm as Warden Norton, James Whitmore is heart achingly great as the ""Birdman Of Shawshank,"" Clancy Brown is menacing as antagonist Capt. Byron Hadley, William Sadler amusing as Heywood & Mark Rolston is impressively vile as Bogs Diamond. Then there's Roger Deakins' lush cinematography as the camera gracefully glides in and out of the prison offering almost ethereal hope to our characters (yes, they are ours). The music pings in conjunction with the emotional flow of the movie too. Thomas Newman's score is mostly piano based, dovetailing neatly with Andy's state of mind, while the excellently selected soundtrack ranges from the likes of Hank Williams to the gorgeous Le Nozze di Figaro by Mozart.If you love Shawshank then it's a love that lasts a lifetime. Every viewing brings the same array of emotions - anger - revilement - happiness - sadness - inspiration and a warmth that can reduce the most hardened into misty eyed wonderment. Above all else, though, Shawshank offers hope - not just for characters in a movie - but for a better life and a better world for all of us. 10/10",some birds arent meant be caged,shawshank redemption is written directed by frank darabont it is adaptation stephen king novella rita hayworth shawshank redemption starring tim robbins morgan freeman film portrays story andy dufresne robbins banker who is sentenced two life sentences at shawshank state prison apparently murdering his wife her lover andy finds it tough going but finds solace friendship he forms with fellow inmate ellis red redding freeman while things start pick up when warden finds andy prison job more befitting his talents as banker however arrival another inmate is going vastly change things all them there was no fanfare or bunting put out release film back 94 with title that didnt give much inkling anyone about what it was about with columbia pictures unsure how market it shawshank redemption barely registered at box office however come academy award time film received several nominations although it won none it stirred up interest film its home entertainment release rest as they say is history film finally found audience that saw film propelled almost mythical proportions as endearing modern day classic something that has delighted its fans whilst simultaneously baffling its detractors one thing is sure though is that which ever side shawshank fence you sit film continues gather new fans simply will never go away or loose that mythical status its possibly simplicity it all that sends some haters film into cinematic spasms implausible plot apparent sentimental edge that makes nonsense prison life are but two chief complaints those that dislike film with passion yet when characters are this richly drawn so movingly performed it strikes me as churlish do down human drama thats dealing hope friendship faith sentimental aspect is indeed there but that acts as counterpoint suffering degradation shattering soul involving our protagonist cosy prison life you say no chance need human connection is never more needed than during incarceration surely given quite terrific performances robbins never better freeman sublimely making it easy its easiest thing world warm andy red those support arent faring too bad either bob gunton is coiled spring smarm as warden norton james whitmore is heart achingly great as birdman shawshank clancy brown is menacing as antagonist capt byron hadley william sadler amusing as heywood mark rolston is impressively vile as bogs diamond then theres roger deakins lush cinematography as camera gracefully glides out prison offering almost ethereal hope our characters yes they are ours music pings conjunction with emotional flow movie too thomas newmans score is mostly piano based dovetailing neatly with andys state mind while excellently selected soundtrack ranges likes hank williams gorgeous le nozze di figaro by mozart if you love shawshank then its love that lasts lifetime every viewing brings same array emotions anger revilement happiness sadness inspiration warmth that can reduce most hardened into misty eyed wonderment above all else though shawshank offers hope not just characters movie but better life better world all us 10 10,0.5152330693997361,0.16555548361103914,Positive,"{'Happy': 0.1, 'Angry': 0.07, 'Surprise': 0.19, 'Sad': 0.26, 'Fear': 0.38}"
10.0,A classic piece of unforgettable film-making.,"In its Oscar year, Shawshank Redemption (written and directed by Frank Darabont, after the novella Rita Hayworth and the Shawshank Redemption, by Stephen King) was nominated for seven Academy Awards, and walked away with zero. Best Picture went to Forrest Gump, while Shawshank and Pulp Fiction were ""just happy to be nominated."" Of course hindsight is 20/20, but while history looks back on Gump as a good film, Pulp and Redemption are remembered as some of the all-time best. Pulp, however, was a success from the word ""go,"" making a huge splash at Cannes and making its writer-director an American master after only two films. For Andy Dufresne and Co., success didn't come easy. Fortunately, failure wasn't a life sentence.After opening on 33 screens with take of $727,327, the $25M film fell fast from theatres and finished with a mere $28.3M. The reasons for failure are many. Firstly, the title is a clunker. While iconic to fans today, in 1994, people knew not and cared not what a 'Shawshank' was. On the DVD, Tim Robbins laughs recounting fans congratulating him on ""that 'Rickshaw' movie."" Marketing-wise, the film's a nightmare, as 'prison drama' is a tough sell to women, and the story of love between two best friends doesn't spell winner to men. Worst of all, the movie is slow as molasses. As Desson Thomson writes for the Washington Post, ""it wanders down subplots at every opportunity and ignores an abundance of narrative exit points before settling on its finale."" But it is these same weaknesses that make the film so strong.Firstly, its setting. The opening aerial shots of the prison are a total eye-opener. This is an amazing piece of architecture, strong and Gothic in design. Immediately, the prison becomes a character. It casts its shadow over most of the film, its tall stone walls stretching above every shot. It towers over the men it contains, blotting out all memories of the outside world. Only Andy (Robbins) holds onto hope. It's in music, it's in the sandy beaches of Zihuatanejo; ""In here's where you need it most,"" he says. ""You need it so you don't forget. Forget that there are places in the world that aren't made out of stone. That there's a - there's a - there's something inside that's yours, that they can't touch."" Red (Morgan Freeman) doesn't think much of Andy at first, picking ""that tall glass o' milk with the silver spoon up his ass"" as the first new fish to crack. Andy says not a word, and losing his bet, Red resents him for it. But over time, as the two get to know each other, they quickly become the best of friends. This again, is one of the film's major strengths. Many movies are about love, many flicks have a side-kick to the hero, but Shawshank is the only one I can think of that looks honestly at the love between two best friends. It seems odd that Hollywood would skip this relationship time and again, when it's a feeling that weighs so much into everyone's day to day lives. Perhaps it's too sentimental to seem conventional, but Shawshank's core friendship hits all the right notes, and the film is much better for it.It's pacing is deliberate as well. As we spend the film watching the same actors, it is easy to forget that the movie's timeline spans well over 20 years. Such a huge measure of time would pass slowly in reality, and would only be amplified in prison. And it's not as if the film lacks interest in these moments. It still knows where it's going, it merely intends on taking its sweet time getting there. It pays off as well, as the tedium of prison life makes the climax that much more exhilarating. For anyone who sees it, it is a moment never to be forgotten.With themes of faith and hope, there is a definite religious subtext to be found here. Quiet, selfless and carefree, Andy is an obvious Christ figure. Warden Norton (Bob Gunton) is obviously modeled on Richard Nixon, who, in his day, was as close to a personified Satan as they come. But if you aren't looking for subtexts, the movie speaks to anyone in search of hope. It is a compelling drama, and a very moving film, perfectly written, acted and shot. They just don't come much better than this.OVERALL SCORE: 9.8/10 = A+ The Shawshank Redemption served as a message of hope to Hollywood as well. More than any film in memory, it proved there is life after box office. Besting Forrest and Fiction, it ran solely on strong word of mouth and became the hottest rented film of 1995. It currently sits at #2 in the IMDb's Top 250 Films, occasionally swapping spots with The Godfather as the top ranked film of all time -- redemption indeed. If you haven't seen it yet, what the hell are you waiting for? As Andy says, ""It comes down a simple choice, really. Either get busy living, or get busy dying.""",classic piece unforgettable film making,its oscar year shawshank redemption written directed by frank darabont after novella rita hayworth shawshank redemption by stephen king was nominated seven academy awards walked away with zero best picture went forrest gump while shawshank pulp fiction were just happy be nominated course hindsight is 20 20 but while history looks back gump as good film pulp redemption are remembered as some all time best pulp however was success word go making huge splash at cannes making its writer director american master after only two films andy dufresne co success didnt come easy fortunately failure wasnt life sentence after opening 33 screens with take 727 327 25m film fell fast theatres finished with mere 28 3m reasons failure are many firstly title is clunker while iconic fans today 1994 people knew not cared not what shawshank was dvd tim robbins laughs recounting fans congratulating him that rickshaw movie marketing wise films nightmare as prison drama is tough sell women story love between two best friends doesnt spell winner men worst all movie is slow as molasses as desson thomson writes washington post it wanders down subplots at every opportunity ignores abundance narrative exit points before settling its finale but it is these same weaknesses that make film so strong firstly its setting opening aerial shots prison are total eye opener this is amazing piece architecture strong gothic design immediately prison becomes character it casts its shadow over most film its tall stone walls stretching above every shot it towers over men it contains blotting out all memories outside world only andy robbins holds onto hope its music its sandy beaches zihuatanejo heres where you need it most he says you need it so you dont forget forget that there are places world that arent made out stone that theres theres theres something inside thats yours that they cant touch red morgan freeman doesnt think much andy at first picking that tall glass o milk with silver spoon up his ass as first new fish crack andy says not word losing his bet red resents him it but over time as two get know each other they quickly become best friends this again is one films major strengths many movies are about love many flicks have side kick hero but shawshank is only one i can think that looks honestly at love between two best friends it seems odd that hollywood would skip this relationship time again when its feeling that weighs so much into everyones day day lives perhaps its too sentimental seem conventional but shawshanks core friendship hits all right notes film is much better it its pacing is deliberate as well as we spend film watching same actors it is easy forget that movies timeline spans well over 20 years such huge measure time would pass slowly reality would only be amplified prison its not as if film lacks interest these moments it still knows where its going it merely intends taking its sweet time getting there it pays off as well as tedium prison life makes climax that much more exhilarating anyone who sees it it is moment never be forgotten with themes faith hope there is definite religious subtext be found here quiet selfless carefree andy is obvious christ figure warden norton bob gunton is obviously modeled richard nixon who his day was as close personified satan as they come but if you arent looking subtexts movie speaks anyone search hope it is compelling drama very moving film perfectly written acted shot they just dont come much better than this overall score 9 8 10 shawshank redemption served as message hope hollywood as well more than any film memory it proved there is life after box office besting forrest fiction it ran solely strong word mouth became hottest rented film 1995 it currently sits at imdbs top 250 films occasionally swapping spots with godfather as top ranked film all time redemption indeed if you havent seen it yet what hell are you waiting as andy says it comes down simple choice really either get busy living or get busy dying,0.47819402819402806,0.22619107083392803,Positive,"{'Happy': 0.16, 'Angry': 0.12, 'Surprise': 0.24, 'Sad': 0.19, 'Fear': 0.29}"
10.0,Don't Rent Shawshank.,"I'm trying to save you money; this is the last film title that you should consider borrowing. Renting Shawshank will cost you five bucks... just plunk down the $25 and own the title. You'll wind up going back to this gem time and time again. This is one of few movies that are truly timeless. And it's entertaining and moving, no matter how many times you view it.Forget about what others (including myself) might suggest you'll discover in ""The Shawshank Redemption;"" when you watch it, you'll identify something very personal in your own life with a scene, a character, or a moment in this uncomplicated movie. When you need hope, you'll look for Shawshank. When you want to believe in the will of overcoming even the greatest obstacles, Shawshank will uplift you in ways that you can't find in movies today. Some liken the film to some kind of spiritual awakening. Of course, some can go to a church or mosque to find enlightenment and Faith in humanity, but most places of worship are open only certain days or times. But when you need affirmation of the lasting bond of friendships that prevail over the most dire circumstances, Shawshank will give it to you. It makes grown men (like me) cry, still. I wonder whether Shawshank was truly meant for viewing in the privacy of the home, because it is a personal experience that really makes you look inward. Nominated for seven, this is the best film that never one a single Oscar. How ironic that an innocent man winds up being surrounded by the corruption of the legal system. Shawshank itself is similar to the character of Andy Dufresne. Prejudging this classic film, critics couldn't get past the title. The public followed suit, initially dismissing Shawshank, which failed in the box office just like ""It's a Wonderful Life"" and ""Citizen Kane."" It could have just whithered away on the store shelves, like Andy Dufresne could have in his own cell. But the characters prevailed, because Andy -- And Shawshank -- stayed true. Now, these movies are right up there as the most popular films of all time. Anyone who has yet to watch Shawshank may be so jaded of movies, or the film's title, or how a 2-1/2- hour movie set inside the walls of a prison can manage to tap the soul of such a wide range of people. Shawshank has not one explosion. I wonder if it even has a single special effect or digitally- enhanced frame. But every aspect of Shawshank fit together. The acting from the top to the bit part. The musical score. The editing. The photography. The story, from opening credits to final scene. All involved, including the town of Mansfield, Ohio (where Shawshank was actually filmed) played their roles perfectly. Shawshank is a must- see, must- own title.",dont rent shawshank,im trying save you money this is last film title that you should consider borrowing renting shawshank will cost you five bucks just plunk down 25 own title youll wind up going back this gem time time again this is one few movies that are truly timeless its entertaining moving no matter how many times you view it forget about what others including myself might suggest youll discover shawshank redemption when you watch it youll identify something very personal your own life with scene character or moment this uncomplicated movie when you need hope youll look shawshank when you want believe will overcoming even greatest obstacles shawshank will uplift you ways that you cant find movies today some liken film some kind spiritual awakening course some can go church or mosque find enlightenment faith humanity but most places worship are open only certain days or times but when you need affirmation lasting bond friendships that prevail over most dire circumstances shawshank will give it you it makes grown men like me cry still i wonder whether shawshank was truly meant viewing privacy home because it is personal experience that really makes you look inward nominated seven this is best film that never one single oscar how ironic that innocent man winds up being surrounded by corruption legal system shawshank itself is similar character andy dufresne prejudging this classic film critics couldnt get past title public followed suit initially dismissing shawshank which failed box office just like its wonderful life citizen kane it could have just whithered away store shelves like andy dufresne could have his own cell but characters prevailed because andy shawshank stayed true now these movies are right up there as most popular films all time anyone who has yet watch shawshank may be so jaded movies or films title or how 2 1 2 hour movie set inside walls prison can manage tap soul such wide range people shawshank has not one explosion i wonder if it even has single special effect or digitally enhanced frame but every aspect shawshank fit together acting top bit part musical score editing photography story opening credits final scene all involved including town mansfield ohio where shawshank was actually filmed played their roles perfectly shawshank is must see must own title,0.4592032368502957,0.23677248677248683,Positive,"{'Happy': 0.08, 'Angry': 0.09, 'Surprise': 0.23, 'Sad': 0.16, 'Fear': 0.44}"
10.0,This is How Movies Should Be Made,"This movie is not your ordinary Hollywood flick. It has a great and deep message. This movie has a foundation and just kept on being built on from their and that foundation is hope.Other than just the message of this movie the acting was phenomenal. Tim Robbins gave one of the greatest performances ever. He was inspiring, intelligent and most of all positive. His performance just made me smile. Robbins plays Andy Dufresne who was wrongfully convicted of murdering his wife and her lover. He is gets to life sentences but yet never gives up hope. In he becomes friends with Ellis Boyd ""Red"" Redding played by Morgan Freeman. Freeman who gives the finest performance of his career has unlike Robbins lost hope. He is in deep regret of the crime that he committed. His way of deflecting the pain away is by trying to not feel anything at all. With his friendship with Andy he learns that without our hopes and dreams we have nothing. Andy also becomes friends with the rest of Red's group. James Whitmore also gave a great performance as Brooks Halten who gets out of prison parole but in the words of Red he has been ""institutionalized"". The directing by Frank Darabont was just magnificent. He kept this movie at a great steady pace along with the writing and great cinematography. He portrayed prison life in such a horrifying way, but not in terms of the physical pain but the stress and pain that wares mentally on the inmates, some of which deserve a second chance. Whatever you do, don't listen to the people who say this movie is overrated because this is one of the most inspiring and greatest movies ever. It has everything you could possibly want.",this is how movies should be made,this movie is not your ordinary hollywood flick it has great deep message this movie has foundation just kept being built their that foundation is hope other than just message this movie acting was phenomenal tim robbins gave one greatest performances ever he was inspiring intelligent most all positive his performance just made me smile robbins plays andy dufresne who was wrongfully convicted murdering his wife her lover he is gets life sentences but yet never gives up hope he becomes friends with ellis boyd red redding played by morgan freeman freeman who gives finest performance his career has unlike robbins lost hope he is deep regret crime that he committed his way deflecting pain away is by trying not feel anything at all with his friendship with andy he learns that without our hopes dreams we have nothing andy also becomes friends with rest reds group james whitmore also gave great performance as brooks halten who gets out prison parole but words red he has been institutionalized directing by frank darabont was just magnificent he kept this movie at great steady pace along with writing great cinematography he portrayed prison life such horrifying way but not terms physical pain but stress pain that wares mentally inmates some which deserve second chance whatever you do dont listen people who say this movie is overrated because this is one most inspiring greatest movies ever it has everything you could possibly want,0.5539072995969547,0.3041013584117032,Positive,"{'Happy': 0.22, 'Angry': 0.11, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.37}"
10.0,The Shawshank Redemption,"One of the finest films made in recent years. It's a poignant story about hope. Hope gets me. That's what makes a film like this more than a movie. It tells a lesson about life. Those are the films people talk about 50 or even 100 years from you. It's also a story for freedom. Freedom from isolation, from rule, from bigotry and hate. Freeman and Robbins are majestic in their performances. Each learns from the other. Their relationship is strong and you feel that from the first moment they make contact with one another. There is also a wonderful performance from legend James Whitmore as Brooks.He shines when it is his time to go back into the world, only to find that the world grew up so fast he never even got a chance to blink. Stephen King's story is brought to the screen with great elegance and excitement. It is an extraordinary motion that people ""will"" be talking about in 50 or 100 years.",shawshank redemption,one finest films made recent years its poignant story about hope hope gets me thats what makes film like this more than movie it tells lesson about life those are films people talk about 50 or even 100 years you its also story freedom freedom isolation rule bigotry hate freeman robbins are majestic their performances each learns other their relationship is strong you feel that first moment they make contact with one another there is also wonderful performance legend james whitmore as brooks he shines when it is his time go back into world only find that world grew up so fast he never even got chance blink stephen kings story is brought screen with great elegance excitement it is extraordinary motion that people will be talking about 50 or 100 years,0.6108974358974358,0.19935897435897437,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.37, 'Fear': 0.32}"
10.0,An incredible movie. One that lives with you.,"It is no wonder that the film has such a high rating, it is quite literally breathtaking. What can I say that hasn't said before? Not much, it's the story, the acting, the premise, but most of all, this movie is about how it makes you feel. Sometimes you watch a film, and can't remember it days later, this film loves with you, once you've seen it, you don't forget.The ultimate story of friendship, of hope, and of life, and overcoming adversity.I understand why so many class this as the best film of all time, it isn't mine, but I get it. If you haven't seen it, or haven't seen it for some time, you need to watch it, it's amazing. 10/10.",incredible movie one that lives with you,it is no wonder that film has such high rating it is quite literally breathtaking what can i say that hasnt said before not much its story acting premise but most all this movie is about how it makes you feel sometimes you watch film cant remember it days later this film loves with you once youve seen it you dont forget ultimate story friendship hope life overcoming adversity i understand why so many class this as best film all time it isnt mine but i get it if you havent seen it or havent seen it some time you need watch it its amazing 10 10,0.5283333333333334,0.38000000000000006,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.17}"
10.0,Stephen King's best adapted movie,"Misery and Stand By Me were the best adaptations up until this one, now you can add Shawshank to that list.This is simply one of the best films ever made and I know I am not the first to say that and I certainly won't be the last. The standing on the IMDb is a true barometer of that. #3 as of this date and I'm sure it could be number 1. So I'll just skip all the normal praise of the film because we all know how great it is. But let me perhaps add that what I find so fascinating about Shawshank is that Stephen King wrote it.King is one of the best writers in the world. Books like IT and the Castle Rock series are some of the greatest stories ever told. But his best adaptations are always done by the best directors. The Shining was brilliantly interpreted by Kubrick and of course the aforementioned Misery and Stand By Me are both by Rob Reiner. Now Frank Darabont comes onto the scene and makes arguably the best King film ever. He seems to understand what King wants to say and he conveys that beautifully. What makes this film one of the best ever made is the message it conveys. It is one of eternal hope. Andy Dufresne, played by Tim Robbins, has been sent to prison for a crime he did not commit. But he never loses hope. He never gives up his quest to become a free man again. His years of tenacity, patience and wits keep him not only sane, but it gives his mind and a spirit a will to live. This film has a different feel to it. There has never been anything like it before and I don't know if there will again.I'm not going to say any more about this film, it has already been said, but just suffice to say that I am glad that Forrest Gump won best picture in 94. I would have been equally glad if Pulp Fiction or Shawshank would have won. It is that good of a movie and one that will be appreciated for years to come.",stephen kings best adapted movie,misery stand by me were best adaptations up until this one now you can add shawshank that list this is simply one best films ever made i know i am not first say that i certainly wont be last standing imdb is true barometer that as this date im sure it could be number 1 so ill just skip all normal praise film because we all know how great it is but let me perhaps add that what i find so fascinating about shawshank is that stephen king wrote it king is one best writers world books like it castle rock series are some greatest stories ever told but his best adaptations are always done by best directors shining was brilliantly interpreted by kubrick course aforementioned misery stand by me are both by rob reiner now frank darabont comes onto scene makes arguably best king film ever he seems understand what king wants say he conveys that beautifully what makes this film one best ever made is message it conveys it is one eternal hope andy dufresne played by tim robbins has been sent prison crime he did not commit but he never loses hope he never gives up his quest become free man again his years tenacity patience wits keep him not only sane but it gives his mind spirit will live this film has different feel it there has never been anything like it before i dont know if there will again im not going say any more about this film it has already been said but just suffice say that i am glad that forrest gump won best picture 94 i would have been equally glad if pulp fiction or shawshank would have won it is that good movie one that will be appreciated years come,0.5328664799253037,0.5036955691367456,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.37, 'Sad': 0.27, 'Fear': 0.27}"
10.0,"Enthralling, fantastic, intriguing, truly remarkable!","Shawshank Redemption is without doubt one of the best films ever made, and definitely the best film of 1994. Yes, it is better than Lion King, and I really like that too. It is not only enthralling but powerful and moving too. I will confess that I didn't understand it when I first saw it as a lot happens in the film, and I have now seen it three times. I seriously hope, that those who ignored the film when it was first released now recognise it as a great film, as it really is. The dialogue was extremely well-written, with lines that really stick in your mind. The cinematography and music are both gorgeous, and the prison itself is like a character that dominates the film. In the script, there are some true elements of Stephen King Now I admit I am not a huge king fan, and usually don't like coarse language in books. But in his books like It, which is very good, I have accepted the language represents brutality and rebellion, shown perfectly in the film with the battle of acceptance I suppose between the inmates and the superiors(like the scene with the warden yelling coarse language at the new inmates lined up in a row at the beginning.)The acting was exceptional. I am not hugely familiar with Tim Robbins, but he did a great job in a very demanding role. The best performance however, comes from Morgan Freeman as Red, who was seriously robbed of that Oscar, that he lost to Tom Hanks for Forrest Gump. Freeman reminds me very strongly, or his style of acting does, remind me of that of Sean Connery, suave yet very charismatic. Acting isn't just about your vocal range, it's about depth, which was what Freeman certainly had. In short, Freeman was brilliant in what could be his best performance. The scene where the inmates are listening to the Mozart aria over the speakers was a beautiful profound moment, and I actually cried in Brook's death scene. Very rarely do King adaptations translate-to screen well, because of the large scale of the author's books, with the exception of this and the Shining. Some like It and Dreamcatcher are genuinely memorable but have a number of flaws that prevent them from being classed as outstanding. And some, like Thinner and Tommyknockers that border on unwatchable. In conclusion Shawshank is a brilliant film, that is worthy of the credit it has been denied for so-long. 10/10 of course. Bethany Cox.",enthralling fantastic intriguing truly remarkable,shawshank redemption is without doubt one best films ever made definitely best film 1994 yes it is better than lion king i really like that too it is not only enthralling but powerful moving too i will confess that i didnt understand it when i first saw it as lot happens film i have now seen it three times i seriously hope that those who ignored film when it was first released now recognise it as great film as it really is dialogue was extremely well written with lines that really stick your mind cinematography music are both gorgeous prison itself is like character that dominates film script there are some true elements stephen king now i admit i am not huge king fan usually dont like coarse language books but his books like it which is very good i have accepted language represents brutality rebellion shown perfectly film with battle acceptance i suppose between inmates superiors like scene with warden yelling coarse language at new inmates lined up row at beginning acting was exceptional i am not hugely familiar with tim robbins but he did great job very demanding role best performance however comes morgan freeman as red who was seriously robbed that oscar that he lost tom hanks forrest gump freeman reminds me very strongly or his style acting does remind me that sean connery suave yet very charismatic acting isnt just about your vocal range its about depth which was what freeman certainly had short freeman was brilliant what could be his best performance scene where inmates are listening mozart aria over speakers was beautiful profound moment i actually cried brooks death scene very rarely do king adaptations translate screen well because large scale authors books with exception this shining some like it dreamcatcher are genuinely memorable but have number flaws that prevent them being classed as outstanding some like thinner tommyknockers that border unwatchable conclusion shawshank is brilliant film that is worthy credit it has been denied so long 10 10 course bethany cox,0.5924093879976233,0.34377323656735415,Positive,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.37, 'Sad': 0.1, 'Fear': 0.28}"
10.0,IMDb and the Greatest Film of All Time,"Two imprisoned men (Tim Robbins and Morgan Freeman) bond over a number of years, finding solace and eventual redemption through acts of common decency.Is this the greatest film of all time? IMDb would have you believe so. Despite being a box office flop (that barely recouped its budget), the film received multiple award nominations and outstanding reviews from critics for its acting, story, and realism. It has since been successful on cable television, VHS, DVD, and Blu-ray.And it deserves this praise that seems to be growing each year. Now twenty years old, the film has not aged a day, and instead seems to be getting better. This is Tim Robbins' best role, and a fine performance from the always wonderful Morgan Freeman.",imdb greatest film all time,two imprisoned men tim robbins morgan freeman bond over number years finding solace eventual redemption through acts common decency is this greatest film all time imdb would have you believe so despite being box office flop that barely recouped its budget film received multiple award nominations outstanding reviews critics its acting story realism it has since been successful cable television vhs dvd blu ray it deserves this praise that seems be growing each year now twenty years old film has not aged day instead seems be getting better this is tim robbins best role fine performance always wonderful morgan freeman,0.5232142857142857,0.4333333333333334,Positive,"{'Happy': 0.18, 'Angry': 0.12, 'Surprise': 0.24, 'Sad': 0.18, 'Fear': 0.29}"
