Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,"Awesome movie, watched it multiple times","This film is every definition of the word ""impeccable."" Scorcese's fantastic storytelling ability mixed with phenomenal acting from DiCaprio, Hill and the rest of the cast makes for an awesome combination. The film is never boring and gives you a glimpse into the life of a man who had everything in the world only to have it taken away.",awesome movie watched it multiple times,this film is every definition word impeccable scorceses fantastic storytelling ability mixed with phenomenal acting dicaprio hill rest cast makes awesome combination film is never boring gives you glimpse into life man who had everything world only have it taken away,0.64,0.41500000000000004,Positive,"{'Happy': 0.07, 'Angry': 0.13, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.2}"
,"High energy and wonderfully excessive as it delivers an engaging true story, but the lack of morality anywhere was a limiting factor","This film arrived in the UK with awards and Oscar nominations all around it, adding an expectation which it really didn't need adding since even without any of that it is ultimately a Scorsese film with a big name cast. It also arrives with some other stuff because the film has been criticized for near glamorization of the excesses that Belfort was able to experience with his ill-gotten funds and, to be honest, it is an impression that isn't helped when you consider that this film was put forward to the Golden Globes in the Musical/Comedy section. Now I am sure that was a political move by the studio, but it does say something about the film because indeed for most of it we have stuff so unbelievable and so excessive that it is hard not to laugh at it. It is hard not to enjoy it.And this is a problem, because the first 2 hours and a bit of this film is really engaging and enchanting in how much of a rush it gives you, how enticing it is and just how much vibrant energy it all has. The viewer is swept along and I guess to a point this is the film doing its job well because not only are we being told a story but we are first hand seeing how easy it is to get caught up in the grab for success, for money, for status. In this regard the film works really well because throughout the film I really was glad to be part of it and wanted it for myself; I don't think the film goes out of its way to glamorize this excess and this life, but for sure it doesn't do much to balance it – and this really is my problem with the film.The structure, subjects and delivery of this film is so inherently similar to Goodfellas that it is hard not to mention it. If you remember the opening of Goodfellas you'll remember that it opens with a memorably violent scene where an near-dead man in the back of a car is stabbed by Hill and his colleagues in a scene that is oppressive and violent but yet ends with the narration telling us ""as far back as I can remember I wanted to be a gangster"" and snaps to credits under a big track from Tony Bennett. This scene is important because it works as a microcosm of the whole film – the appeal but also the cost, all in one place. Wolf of Wall Street never has any of that and it hurts it. I suspect the message of the film is that our financial systems are screwed and that ultimately the rich will never be in the same world as the average person, because this is what I took from the rather sobering final scenes. However if this is the point it is trying to make then it really hurts itself with the rest of the film seeming to say ""so why not get on board"". I know this is not the case but the lack of a ""point"" or an agenda it the film means that it naturally fills it with its own, which is a weird feeling.But then again – I guess it is a comedy. So the infamous Quaalude scene is not horrific but rather hilarious, the scenes of excess and of criminality are not equally appealing and repulsive – they are almost totally appealing, we hardly get the other side or get to see a victim here, and a few seconds on the subway with the FBI agent really does nothing but yet again make the suggestion that ""it's all broken so why not at least get rich yourself"". Getting away from this, it is a well made film. Scorsese makes this award season's second film to owe a massive debt to Goodfellas (American Hustle being the other) and he directs the film with energy; music is used well as one would expect and the editing makes the film pop. DiCaprio is great in the lead – OK he doesn't find the heart of the character, but the film doesn't ask him to. Instead he is charismatic and energetic, drawing the viewer in and giving the film its energy. The supporting cast is deep with names and familiar faces and it is a statement about how well the film holds the viewer, because it isn't distracting no matter how many famous faces or supporting character from TV appear (although I did notice that this and American Hustle had lots of faces from HBO's Boardwalk Empire). Jonah Hill is over the top in a way that works, although I am surprised to see him getting an Oscar nomination for it in such a crowded year.Wolf of Wall Street has had a lot of praise and this will continue as the Oscars approach and are awarded. Personally I enjoyed the film as a funny true story delivered with energy and excess but in many ways it is not Goodfellas and the most important of these is that the film lacks a moral core to itself, to its characters and to its message. I don't mind the ""it's all screwed so who cares"" message that it ultimately seems to give, but I didn't feel comfortable with how wide a smile it had on its face while it was delivering it.",high energy wonderfully excessive as it delivers engaging true story but lack morality anywhere was limiting factor,this film arrived uk with awards oscar nominations all around it adding expectation which it really didnt need adding since even without any that it is ultimately scorsese film with big name cast it also arrives with some other stuff because film has been criticized near glamorization excesses that belfort was able experience with his ill gotten funds be honest it is impression that isnt helped when you consider that this film was put forward golden globes musical comedy section now i am sure that was political move by studio but it does say something about film because indeed most it we have stuff so unbelievable so excessive that it is hard not laugh at it it is hard not enjoy it this is problem because first 2 hours bit this film is really engaging enchanting how much rush it gives you how enticing it is just how much vibrant energy it all has viewer is swept along i guess point this is film doing its job well because not only are we being told story but we are first hand seeing how easy it is get caught up grab success money status this regard film works really well because throughout film i really was glad be part it wanted it myself i dont think film goes out its way glamorize this excess this life but sure it doesnt do much balance it this really is my problem with film structure subjects delivery this film is so inherently similar goodfellas that it is hard not mention it if you remember opening goodfellas youll remember that it opens with memorably violent scene where near dead man back car is stabbed by hill his colleagues scene that is oppressive violent but yet ends with narration telling us as far back as i can remember i wanted be gangster snaps credits under big track tony bennett this scene is important because it works as microcosm whole film appeal but also cost all one place wolf wall street never has any that it hurts it i suspect message film is that our financial systems are screwed that ultimately rich will never be same world as average person because this is what i took rather sobering final scenes however if this is point it is trying make then it really hurts itself with rest film seeming say so why not get board i know this is not case but lack point or agenda it film means that it naturally fills it with its own which is weird feeling but then again i guess it is comedy so infamous quaalude scene is not horrific but rather hilarious scenes excess criminality are not equally appealing repulsive they are almost totally appealing we hardly get other side or get see victim here few seconds subway with fbi agent really does nothing but yet again make suggestion that its all broken so why not at least get rich yourself getting away this it is well made film scorsese makes this award seasons second film owe massive debt goodfellas american hustle being other he directs film with energy music is used well as one would expect editing makes film pop dicaprio is great lead ok he doesnt find heart character but film doesnt ask him instead he is charismatic energetic drawing viewer giving film its energy supporting cast is deep with names familiar faces it is statement about how well film holds viewer because it isnt distracting no matter how many famous faces or supporting character tv appear although i did notice that this american hustle had lots faces hbos boardwalk empire jonah hill is over top way that works although i am surprised see him getting oscar nomination it such crowded year wolf wall street has had lot praise this will continue as oscars approach are awarded personally i enjoyed film as funny true story delivered with energy excess but many ways it is not goodfellas most important these is that film lacks moral core itself its characters its message i dont mind its all screwed so who cares message that it ultimately seems give but i didnt feel comfortable with how wide smile it had its face while it was delivering it,0.5334277777777776,0.12118333333333334,Positive,"{'Happy': 0.1, 'Angry': 0.09, 'Surprise': 0.24, 'Sad': 0.22, 'Fear': 0.35}"
9.0,SELL ME THIS PEN,"Golden Globe winner Leonardo DiCaprio stars in the title role of Jordan Belfort. Belfort works his way up the ladder making money in penny stocks, i.e. ""selling garbage to garbage men."" His scheme is to sell these garbage stocks to rich investors due to the high commissions. Along the way he does some illegal transactions as he runs his corporation like a frat party in ""Animal House."" Having not known money, he and his crew are ill equipped to handle it.I thought that Jonah Hill gave one of his best performances. The production is awfully long, not wanting to miss out on any details. The film goes into detail to explain to the audience things like IPO and the history and effects of quaaludes. If you note the ludes he took early in the film were crumbly. Those were non-prescription ludes made from a pill press in uncle Vinnie's garage and not too potent. Later they score some real ludes. Having taken the fake ones for so long, they didn't know how to handle them causing them to crash, like the money it was too much too fast.The main criticism of the film is that it featured over 500 F-bombs. It really didn't seem like that many due to the length of the production. Besides you get numb to it after the first few hundred or so.",sell me this pen,golden globe winner leonardo dicaprio stars title role jordan belfort belfort works his way up ladder making money penny stocks i e selling garbage garbage men his scheme is sell these garbage stocks rich investors due high commissions along way he does some illegal transactions as he runs his corporation like frat party animal house having not known money he his crew are ill equipped handle it i thought that jonah hill gave one his best performances production is awfully long not wanting miss out any details film goes into detail explain audience things like ipo history effects quaaludes if you note ludes he took early film were crumbly those were non prescription ludes made pill press uncle vinnies garage not too potent later they score some real ludes having taken fake ones so long they didnt know how handle them causing them crash like money it was too much too fast main criticism film is that it featured over 500 f bombs it really didnt seem like that many due length production besides you get numb it after first few hundred or so,0.4568115942028985,0.06528985507246376,Positive,"{'Happy': 0.0, 'Angry': 0.03, 'Surprise': 0.27, 'Sad': 0.24, 'Fear': 0.45}"
10.0,Oscar worthy,"The movie Leonardo DiCaprio should have gotten an Oscar for. His portrayal of the character is perfect. The movie is well-written, leaving no details out of the original story. Martin Scorsese never fails to impress. One of the only example where the movie is better than the book. The movie never gets boring, I could watch this anytime.",oscar worthy,movie leonardo dicaprio should have gotten oscar his portrayal character is perfect movie is well written leaving no details out original story martin scorsese never fails impress one only example where movie is better than book movie never gets boring i could watch this anytime,0.7928571428571428,0.2083333333333333,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.17}"
9.0,"""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""","It's no surprise that Scorsese is associated with the gangster genre with films such as The Departed, Goodfellas and Casino, of which the last two are possibly the best pure examples of the genre. In Goodfellas the gangsters are dangerous but they operate on a more underground level, in Casino they practically run a major city and can do whatever they like. The gangsters were and will always be a part in America's system. Now, the gangsters are not just accepted by the system, but are considered to be an integral part of it. In the first two films, the gangster is threatening and dangerous, but avoidable. In The Wolf of Wall Street, he's calling to hustle you at home and you don't even know it. Some people view The Wolf of Wall Street as a glorification of Jordan Belfort's lifestyle and want to be like him, as Scorsese portrays this life by its nature, enticing. That's the way it works, and it's impossible to portray it accurately without showing how a charismatic man like Belfort can suck an unsuspecting person into a world of money and fame. The film though, shows us just how empty and destructive that life can be.There is an undeniable similarity between the instantaneous joy, energy and euphoria that we have while watching The Wolf of Wall Street and how Jordan Belfort lives his life, this is a movie where the director skillfully mixes form and content to create an experience which is as hyper and as instantly ecstatic as the life of its flashy and opportunistic characters.The direction by Martin Scorsese which still has infectious energy and power is impeccable, there is no other director who has mastered pacing like he has. This is a three-hour movie that moves lightning fast and always manages to keep the audience invested in the story throughout the whole duration. Each scene is packed with so much visual information, and it is fast paced and quickly edited, which complements the general tone of the film. The cinematography by Rodrigo Prieto is gorgeous as well and displays an optimal color palette throughout the whole film. Each shot also looks precise, even during some of the more chaotic scenes.The script is fantastic, filled with many great and memorable lines of dialogue. Every character has a well-defined arc and motives, and the story is given proper breathing room to blossom. The performances are also exquisite, especially Leonardo DiCaprio who gives one of the best performances of his career and portrays the opportunistic nature of Jordan Belfort's character with great commitment as you can see a lustful, hedonistic and impulsive sex & drug-addict man who only wants to have more fun. Supporting him with equal passion is Jonah Hill as Donnie Azoff, Belfort's sidekick, and even he manages to make a mark of his own. Margot Robbie plays Naomi, Belfort's second wife and she does an alluring job in her given role. Matthew McConaughey is in for a very short duration as Mark Hanna, Belfort's mentor, but even in that little time, he is the show-stealer and he dominates the screen unlike anyone else.Martin Scorsese and Terence Winter set out to create a film about the Wall Street excess, and by definition, it contains an excessive amount of everything, such as cursing, sex, nudity, drugs, alcohol and partying. But the film is not really about those things. The story of The Wolf of Wall Street boils down to money, that ""most-addictive drug"" Belfort speaks of, and not just what it can buy, but what it can do to people. Not just how it changes one's lifestyle but the effects it has on one's morals, beliefs, and values, and how it can effectively change not just how a person thinks and feels but how they operate at their core.With a collection of truly incredible films, The Wolf of Wall Street stands out as one of Scorsese's best films, my personal favorite and by far his most humorous film to date. He truly went all out and it paid off in a hilarious satire on the reverence of money, drugs, women, and the admiration of a criminal money-maker. The Wolf of Wall Street is maddening cinema that's already high on coke but still continues to snort more white powder every 5 minutes for 3 hours. This is a fascinating vignette of excess, greed, abuse and decay and it's one of the best movies of the decade and surely one of the most entertaining movies ever made.",money is oxygen capitalism i wanna breathe more than any other human being alive,its no surprise that scorsese is associated with gangster genre with films such as departed goodfellas casino which last two are possibly best pure examples genre goodfellas gangsters are dangerous but they operate more underground level casino they practically run major city can do whatever they like gangsters were will always be part americas system now gangsters are not just accepted by system but are considered be integral part it first two films gangster is threatening dangerous but avoidable wolf wall street hes calling hustle you at home you dont even know it some people view wolf wall street as glorification jordan belforts lifestyle want be like him as scorsese portrays this life by its nature enticing thats way it works its impossible portray it accurately without showing how charismatic man like belfort can suck unsuspecting person into world money fame film though shows us just how empty destructive that life can be there is undeniable similarity between instantaneous joy energy euphoria that we have while watching wolf wall street how jordan belfort lives his life this is movie where director skillfully mixes form content create experience which is as hyper as instantly ecstatic as life its flashy opportunistic characters direction by martin scorsese which still has infectious energy power is impeccable there is no other director who has mastered pacing like he has this is three hour movie that moves lightning fast always manages keep audience invested story throughout whole duration each scene is packed with so much visual information it is fast paced quickly edited which complements general tone film cinematography by rodrigo prieto is gorgeous as well displays optimal color palette throughout whole film each shot also looks precise even during some more chaotic scenes script is fantastic filled with many great memorable lines dialogue every character has well defined arc motives story is given proper breathing room blossom performances are also exquisite especially leonardo dicaprio who gives one best performances his career portrays opportunistic nature jordan belforts character with great commitment as you can see lustful hedonistic impulsive sex drug addict man who only wants have more fun supporting him with equal passion is jonah hill as donnie azoff belforts sidekick even he manages make mark his own margot robbie plays naomi belforts second wife she does alluring job her given role matthew mcconaughey is very short duration as mark hanna belforts mentor but even that little time he is show stealer he dominates screen unlike anyone else martin scorsese terence winter set out create film about wall street excess by definition it contains excessive amount everything such as cursing sex nudity drugs alcohol partying but film is not really about those things story wolf wall street boils down money that most addictive drug belfort speaks not just what it can buy but what it can do people not just how it changes ones lifestyle but effects it has ones morals beliefs values how it can effectively change not just how person thinks feels but how they operate at their core with collection truly incredible films wolf wall street stands out as one scorseses best films my personal favorite by far his most humorous film date he truly went all out it paid off hilarious satire reverence money drugs women admiration criminal money maker wolf wall street is maddening cinema thats already high coke but still continues snort more white powder every 5 minutes 3 hours this is fascinating vignette excess greed abuse decay its one best movies decade surely one most entertaining movies ever made,0.5676334776334774,0.25776489383632245,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.21, 'Sad': 0.18, 'Fear': 0.41}"
9.0,DiCaprio gives the best performance of his career.,"In the mid-1990s, Jordan Belfort (Leonardo DiCaprio) and the rest of his associates from brokerage firm Stratton Oakmont became the very definition of excess and debauchery, their offices a boiler room fueled by cocaine and greed. High pressure sales tactic and less-than-legal behind-the-scenes manipulation bred plenty of twenty-something millionaires, and Belfort built himself an empire at the top of the heap. His rise and fall is chronicled in The Wolf of Wall Street, based on the memoir of the same name.Under most circumstances, the actions of Belfort and his cronies (including Jonah Hill in a howlingly funny turn as Belfort's business partner) would be viewed as disgustingly abhorrent, but Martin Scorsese frames this tale of greed with a comedic lens that allows us to laugh at things we probably shouldn't find humorous. Whether it's a clumsy attempt at fisticuffs between two characters overdosing on Quaaludes, or the categorization of prostitutes using stock market terminology (""blue chip"" hookers make you wear a condom and typically accept credit cards), the film is outrageous from start to finish, and rarely falters in its quest to entertain the audience for three hours.Belfort manages to delude himself and his pals into thinking they can live like this forever, but the audience knows better, and Belfort's eventual comeuppance is hardly surprising. But the path is paved with hilarity, especially in a scene aboard the mogul's luxury yacht, where he surreptitiously offers a pair of FBI agents everything from booze to girls to cold hard cash in exchange for their silence. And let's not forget his punishment for drunkenly piloting a helicopter into the backyard of his estate at 3am, raising the ire of his trophy wife (Margot Robbie).Scorsese has always managed to elicit astounding performances from his actors, and his fifth collaboration with Leonardo DiCaprio results in one of the most charismatic, despicable, offensive and captivating characters to ever appear on screen. As financial bad boy Belfort, DiCaprio swaggers from scene to scene ingesting eye-popping amounts of narcotics, groping and fondling nearly every female within reach, and spouting more profanity in three hours than an entire season of The Sopranos. Belfort is the kind of person that any sane person would detest in real life, but thanks to Scorses and DiCaprio, we can't take our eyes off him.-- Brent Hankins, www.nerdrep.com",dicaprio gives best performance his career,mid 1990s jordan belfort leonardo dicaprio rest his associates brokerage firm stratton oakmont became very definition excess debauchery their offices boiler room fueled by cocaine greed high pressure sales tactic less than legal behind scenes manipulation bred plenty twenty something millionaires belfort built himself empire at top heap his rise fall is chronicled wolf wall street based memoir same name under most circumstances actions belfort his cronies including jonah hill howlingly funny turn as belforts business partner would be viewed as disgustingly abhorrent but martin scorsese frames this tale greed with comedic lens that allows us laugh at things we probably shouldnt find humorous whether its clumsy attempt at fisticuffs between two characters overdosing quaaludes or categorization prostitutes using stock market terminology blue chip hookers make you wear condom typically accept credit cards film is outrageous start finish rarely falters its quest entertain audience three hours belfort manages delude himself his pals into thinking they can live like this forever but audience knows better belforts eventual comeuppance is hardly surprising but path is paved with hilarity especially scene aboard moguls luxury yacht where he surreptitiously offers pair fbi agents everything booze girls cold hard cash exchange their silence lets not forget his punishment drunkenly piloting helicopter into backyard his estate at 3am raising ire his trophy wife margot robbie scorsese has always managed elicit astounding performances his actors his fifth collaboration with leonardo dicaprio results one most charismatic despicable offensive captivating characters ever appear screen as financial bad boy belfort dicaprio swaggers scene scene ingesting eye popping amounts narcotics groping fondling nearly every female within reach spouting more profanity three hours than entire season sopranos belfort is kind person that any sane person would detest real life but thanks scorses dicaprio we cant take our eyes off him brent hankins www nerdrep com,0.5182916666666666,0.11303409090909093,Positive,"{'Happy': 0.06, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.37}"
9.0,It really is a comedy,"There is a reason this is called Wolf of Wall Street and not Lion of Wall Street. This is not supposed to be a story about some good guy or misunderstood guy doing things that are a little off. And therefor it was important to make this a comedy. When I watched it, I didn't think it would qualify as comedy. Thought of it more of a drama with some comedic moments thrown in.The way it starts should indicate if this is something you want to watch. Never forget, as someone else also stated, this is supposed to be entertainment and does not take itself seriously. If you are not on that level with the movie, you will call it names. And that is OK, because obviously the movie is out there and it will not be everyones taste. That's why you have to decide early on, if you actually want to watch it or not.If you don't feel like it, don't watch it. Save yourself some time and watch something else that interests you instead. If it hits a nerve with you though, you will revel in it. Especially in the performance Leonardo Di Caprio is giving. There is a scene involving him driving ""carefully"", that has to be seen to be believed ...",it really is comedy,there is reason this is called wolf wall street not lion wall street this is not supposed be story about some good guy or misunderstood guy doing things that are little off therefor it was important make this comedy when i watched it i didnt think it would qualify as comedy thought it more drama with some comedic moments thrown way it starts should indicate if this is something you want watch never forget as someone else also stated this is supposed be entertainment does not take itself seriously if you are not that level with movie you will call it names that is ok because obviously movie is out there it will not be everyones taste thats why you have decide early if you actually want watch it or not if you dont feel like it dont watch it save yourself some time watch something else that interests you instead if it hits nerve with you though you will revel it especially performance leonardo di caprio is giving there is scene involving him driving carefully that has be seen be believed,0.5722222222222222,0.1482638888888889,Positive,"{'Happy': 0.14, 'Angry': 0.11, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.29}"
10.0,Leo's best performance of all time!!,"Di caprio was robbed in the oscars whether you like it or not, the only reason why people give this movie a low rating is because of the over nudity, and it's the same reason why leo didn't get the oscar in my opinion, which is what I don't understand!!!, it's an r rated movie, so obviously there will be nudity, it's not a kid's movie!!!! , it's easily leo's best performance and scorcese's second best movie after goodfellas.",leos best performance all time,di caprio was robbed oscars whether you like it or not only reason why people give this movie low rating is because over nudity its same reason why leo didnt get oscar my opinion which is what i dont understand its r rated movie so obviously there will be nudity its not kids movie its easily leos best performance scorceses second best movie after goodfellas,0.40648148148148144,0.38148148148148153,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.3, 'Fear': 0.3}"
9.0,The Wolf of Wall Street,"One of my favourite films of all time. An extravaganza of black comedy, debauchery, and crime, this retelling of Jordan Belfort's criminal activities is nothing short of a masterpiece.Cast members all perform exceptional, the direction is great & the film takes you on a journey that leaves you realising just how far Belfort has gone.I love that it's all drinking & drugs, expensive parties, & more money than sense until things get nasty at home & you see the bad side to this lifestyle. All in all, a solid film that is one of DiCaprio's best.",wolf wall street,one my favourite films all time extravaganza black comedy debauchery crime this retelling jordan belforts criminal activities is nothing short masterpiece cast members all perform exceptional direction is great film takes you journey that leaves you realising just how far belfort has gone i love that its all drinking drugs expensive parties more money than sense until things get nasty at home you see bad side this lifestyle all all solid film that is one dicaprios best,0.6076923076923076,0.06153846153846155,Positive,"{'Happy': 0.19, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.31, 'Fear': 0.12}"
9.0,The Wolf of Wall Street is Leonardo DiCaprio's Crowning Work,"Martin Scorsese has done it again. His newest and most refreshing effort he's contributed to the world of cinema in years, The Wolf of Wall Street is a roaring thrill ride that is both absolutely hilarious and meticulously constructed. It also presents Academy Award nominee Leonardo DiCaprio in possibly his finest acting performance of his career. At one-minute shy of three hours, I was both engaged and hypnotized nearly the entire duration. A comedic epic that studies the behavior and cultures of a time in America, feels like the uncovering of a time capsule that was buried and dug up to give insight into our current financial crisis. Much more than just laughs, it turns on the dramatic elements early enough in the film to warrant considerable reactions about the choices of our key characters. Expertly paced with intelligent moral questions presented, The Wolf of Wall Street is one of the best films of the year.Telling the story of Jordan Belfort, a young Wall Street broker that gets involved in drugs, money, and even more drugs during the 80's and 90's. In his tenure trading (and stealing), Jordan marries, divorces, does drugs, marries again, does even more drugs, makes solid friendships, and believe it or not, does a lot more drugs. Watching the destruction of Jordan acted as a documentarian's insight that felt like I was watching ""Intervention"" without the family that cares. The Wolf of Wall Street is a black comedy, giving hints of drama. Natural comparisons will fly to Oliver Stone's Wall Street which is accurate but you can see subtle hints of films like Trading Places, Glengarry Glen Ross, and even American Psycho. That's a testament to Scorsese's outstanding direction and Terence Winter's masterful screenplay. Scorsese keeps Wolf life-size, sprinkled with characters that are both geniuses and morons, but functioning morons. They're like the frat pack group that sat in a corner on my college campus, being loud and obnoxious, and made terrible life choices that they still aren't aware of until this day. Scorsese puts together an all-star cast to inhabit these beings that includes DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Jon Bernathal, and Kyle Chandler. All of which seem to be having the time of their lives.A lot of the credit of the film's overall success has to be awarded to Leonardo DiCaprio. I've never seen him truly ""go for it"" in a way that he exhibits as Jordan Belfort. In his breaking of the fourth wall, to his long but completely engaging monologues about life, money, and greed, it's the most assured and compelling work by the actor to date. When DiCaprio unleashed his talents in the mid-90's in What's Eating Gilbert Grape? and later stole the hearts of tween girls everywhere in Titanic, who knew this is the role he'd been gearing up to play. This is the role of his career and something that the Academy Awards should look to for his long overdue recognition. It's a charming and adventurous turn that presents a conundrum to the audience as we find ourselves both enamored and loathing the pure essence of Jordan. A sequence of DiCaprio crawling on the floor will probably be the scene of the year. This is DiCaprio's crowning achievement.As the magnetic and cheesy-minded right-hand man, Jonah Hill's performance as Donnie Azoff is another great turn for the 30-year-old actor. He's allowed to explore some of his comedic ticks and beats that he may not have ever had the opportunity to explore in films like Superbad or 21 Jump Street. In Wolf, he relies on his own instincts, and his chemistry with DiCaprio, which has helped him before for his Oscar-nominated work in Moneyball opposite Brad Pitt. Matthew McConaughey, is one scene shy of winning the Oscar for Best Supporting Actor. While his work in Dallas Buyers Club will bring him the acclaim and recognition that he deserves, The Wolf of Wall Street is a prime example of what he should be doing when he's not working or seeking out the strong, independent features that are geared for awards recognition. Stealing every frame and focus from DiCaprio in his ten minute screen time, McConaughey utilizes all his charm and spunk as Mark Hanna, the mentor to young Jordan as he started out.Like any great Scorsese film, the women are in full-force and given the opportunity to shine like the others. Cristin Millotti, a toned down and tragic version of Marisa Tomei in My Cousin Vinny, is sensational in her brief appearances on screen. Beautiful and sympathetic, she offers much needed serious and dramatic elements to Jordan's outrageous antics. In the end, a star is born in the gorgeous and vivacious Margot Robbie as Naomi Lapaglia, Jordan's second wife. Whoever was going to be cast as Naomi, had to be an actress of considerable talent and had the ability to really be the sexy kitten but still warrant an emotional reaction from the audience when called upon. Margot Robbie was the perfect choice and she'll need to owe Scorsese royalties for years to come with the roles she'll be offered following this. Robbie is pure magic and is everything she's required to be. She's the more elusive, compelling, and more thought out version of Scarlett Johansson's character in Don Jon.I loved every second of The Wolf of Wall Street. Terence Winter's script is a natural and well-oiled machine that produces the words of a demigod. You couldn't make these things up. Thelma Schoonmaker is the utmost professional and continues to shine film after film. You won't find another dedicated and glossed editing work this year. The other supporting actors do sensational work especially Kyle Chandler, who has a very well-constructed exchange on a boat with DiCaprio, has us asking more and more, why is this guy not helming his own films on a consistent basis yet?",wolf wall street is leonardo dicaprios crowning work,martin scorsese has done it again his newest most refreshing effort hes contributed world cinema years wolf wall street is roaring thrill ride that is both absolutely hilarious meticulously constructed it also presents academy award nominee leonardo dicaprio possibly his finest acting performance his career at one minute shy three hours i was both engaged hypnotized nearly entire duration comedic epic that studies behavior cultures time america feels like uncovering time capsule that was buried dug up give insight into our current financial crisis much more than just laughs it turns dramatic elements early enough film warrant considerable reactions about choices our key characters expertly paced with intelligent moral questions presented wolf wall street is one best films year telling story jordan belfort young wall street broker that gets involved drugs money even more drugs during 80s 90s his tenure trading stealing jordan marries divorces does drugs marries again does even more drugs makes solid friendships believe it or not does lot more drugs watching destruction jordan acted as documentarians insight that felt like i was watching intervention without family that cares wolf wall street is black comedy giving hints drama natural comparisons will fly oliver stones wall street which is accurate but you can see subtle hints films like trading places glengarry glen ross even american psycho thats testament scorseses outstanding direction terence winters masterful screenplay scorsese keeps wolf life size sprinkled with characters that are both geniuses morons but functioning morons theyre like frat pack group that sat corner my college campus being loud obnoxious made terrible life choices that they still arent aware until this day scorsese puts together all star cast inhabit these beings that includes dicaprio jonah hill margot robbie matthew mcconaughey jon bernathal kyle chandler all which seem be having time their lives lot credit films overall success has be awarded leonardo dicaprio ive never seen him truly go it way that he exhibits as jordan belfort his breaking fourth wall his long but completely engaging monologues about life money greed its most assured compelling work by actor date when dicaprio unleashed his talents mid 90s whats eating gilbert grape later stole hearts tween girls everywhere titanic who knew this is role hed been gearing up play this is role his career something that academy awards should look his long overdue recognition its charming adventurous turn that presents conundrum audience as we find ourselves both enamored loathing pure essence jordan sequence dicaprio crawling floor will probably be scene year this is dicaprios crowning achievement as magnetic cheesy minded right hand man jonah hills performance as donnie azoff is another great turn 30 year old actor hes allowed explore some his comedic ticks beats that he may not have ever had opportunity explore films like superbad or 21 jump street wolf he relies his own instincts his chemistry with dicaprio which has helped him before his oscar nominated work moneyball opposite brad pitt matthew mcconaughey is one scene shy winning oscar best supporting actor while his work dallas buyers club will bring him acclaim recognition that he deserves wolf wall street is prime example what he should be doing when hes not working or seeking out strong independent features that are geared awards recognition stealing every frame focus dicaprio his ten minute screen time mcconaughey utilizes all his charm spunk as mark hanna mentor young jordan as he started out like any great scorsese film women are full force given opportunity shine like others cristin millotti toned down tragic version marisa tomei my cousin vinny is sensational her brief appearances screen beautiful sympathetic she offers much needed serious dramatic elements jordans outrageous antics end star is born gorgeous vivacious margot robbie as naomi lapaglia jordans second wife whoever was going be cast as naomi had be actress considerable talent had ability really be sexy kitten but still warrant emotional reaction audience when called upon margot robbie was perfect choice shell need owe scorsese royalties years come with roles shell be offered following this robbie is pure magic is everything shes required be shes more elusive compelling more thought out version scarlett johanssons character don jon i loved every second wolf wall street terence winters script is natural well oiled machine that produces words demigod you couldnt make these things up thelma schoonmaker is utmost professional continues shine film after film you wont find another dedicated glossed editing work this year other supporting actors do sensational work especially kyle chandler who has very well constructed exchange boat with dicaprio has us asking more more why is this guy not helming his own films consistent basis yet,0.5265483971366324,0.1916705571117336,Positive,"{'Happy': 0.11, 'Angry': 0.1, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.35}"
