Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,A fast paced action thriller,"I don't remember when I last saw a fast paced action thriller like this in Tamil. We are thoroughly absorbed in this movie that interval alone indicates that we are at the halfway mark. The only minus point in this movie is the romantic segment, which I personally feel as unnecessary for an action movie like this. So I reduce one star for that. The theme of this movie so unique and original. It's a ghost haunting from the past. The director had cleverly linked the past history to the present fiction. Even though Karthi is a super actor, super heroism, like flying in the air, hitting ten persons in one hit, etc. are minimal in this movie. This is an important plus point in this movie, because it makes you believe that you are actually watching a true story rather than a fiction. Acting by Karthi is excellent, doing his part perfectly without overdoing it. Many scenes in this movie, make you a participant in the ongoing action,than a mere spectator. A real gem among Tamil action movies.",fast paced action thriller,i dont remember when i last saw fast paced action thriller like this tamil we are thoroughly absorbed this movie that interval alone indicates that we are at halfway mark only minus point this movie is romantic segment which i personally feel as unnecessary action movie like this so i reduce one star that theme this movie so unique original its ghost haunting past director had cleverly linked past history present fiction even though karthi is super actor super heroism like flying air hitting ten persons one hit etc are minimal this movie this is important plus point this movie because it makes you believe that you are actually watching true story rather than fiction acting by karthi is excellent doing his part perfectly without overdoing it many scenes this movie make you participant ongoing action than mere spectator real gem among tamil action movies,0.47070707070707063,0.1404040404040404,Positive,"{'Happy': 0.1, 'Angry': 0.07, 'Surprise': 0.28, 'Sad': 0.24, 'Fear': 0.31}"
9,A movie with a exceptionally good story and super involving screenplay.,"Theeran Adhigaram ondru is destined to become one of the best cop movies ever to be made in Tamil film industry. A lot of effort has been put into writing the script and the screenplay that one can clearly see it's effect on the screen. All through the movie there was no plot holes or logical blunders which bothered me as there was nothing big enough to notice. For example, the mobile phones used by the characters were representative of the time period the movie is in. From the Nokia 1100 and Motorola Flip phones to Touch Screen smart phones, the mobile phones gradually changed in the hands of the characters.One of the main success of this movie as I see is the way in which they have established every character in the movie. Almost all the prominent characters have a back story and the director has done a great deal of research about the dacoits and criminal investigation techniques used by the crime solvers. The first part of the movie features some cold blooded murder cum robbery sequence, which are shot very realistically and the screenplay so involving that I felt like I witnessed everything first hand and they have not over done or exaggerated any action sequence in the movie, they all look very realistic. Unlike other cop stories where the protagonist will be able to miraculously able to solve crime almost like Sherlock Holmes with out explaining us how it is done, in this movie though there is a reference to Sherlock Holmes the whole investigation process is bound by the realism of this material world. The director did a great job in explaining the actions of the characters without boring us with lengthy voice overs.The movie could have been made without the female lead, Rakul Preet Singh. But, that doesn't mean that the character was a low point in the movie or that the character had no role to play in the movie. The character was there to establish the character of Theeran and show his temperament and reaffirm that he is no super human crime solving machine but a normal cop who does an exceptional job. The Back ground score is very engaging and really sets the tone for every scene. It was instrumental in carrying the emotions depicted on the screen to the audience. The placement of the songs too were reasonable. They came like a much needed breather in between the cold blooded action in the first half. Overall, Theeran Adhigaram Ondru is going to be a career best movie for Karthi as this has indeed over shone his performance in Paruthiveeran. This is a must watch movie if only you could stomach a little bit of gore and spine chilling violence (They did not over do it). Hats off to the team...",movie with exceptionally good story super involving screenplay,theeran adhigaram ondru is destined become one best cop movies ever be made tamil film industry lot effort has been put into writing script screenplay that one can clearly see its effect screen all through movie there was no plot holes or logical blunders which bothered me as there was nothing big enough notice example mobile phones used by characters were representative time period movie is nokia 1100 motorola flip phones touch screen smart phones mobile phones gradually changed hands characters one main success this movie as i see is way which they have established every character movie almost all prominent characters have back story director has done great deal research about dacoits criminal investigation techniques used by crime solvers first part movie features some cold blooded murder cum robbery sequence which are shot very realistically screenplay so involving that i felt like i witnessed everything first hand they have not over done or exaggerated any action sequence movie they all look very realistic unlike other cop stories where protagonist will be able miraculously able solve crime almost like sherlock holmes with out explaining us how it is done this movie though there is reference sherlock holmes whole investigation process is bound by realism this material world director did great job explaining actions characters without boring us with lengthy voice overs movie could have been made without female lead rakul preet singh but that doesnt mean that character was low point movie or that character had no role play movie character was there establish character theeran show his temperament reaffirm that he is no super human crime solving machine but normal cop who does exceptional job back ground score is very engaging really sets tone every scene it was instrumental carrying emotions depicted screen audience placement songs too were reasonable they came like much needed breather between cold blooded action first half overall theeran adhigaram ondru is going be career best movie karthi as this has indeed over shone his performance paruthiveeran this is must watch movie if only you could stomach little bit gore spine chilling violence they did not over do it hats off team,0.48191716269841267,0.1272767857142857,Positive,"{'Happy': 0.04, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.26, 'Fear': 0.42}"
10,Theeran - Where the director takes you to the Horror world of notorious robbery gang,"H.Vinoth has given a cult movie !! PERIOD.The film is a horror-thriller roller coaster. The director gradually holds your hand and takes you to the ride and pushes from a dizzying height of horror and thriller to narrate his true story on notorious Bawaria robbery gang.As a person who have watched few of the top horror thriller genre movies , but this movie will send chills down your spine , mainly because it has the element of locality, something close happening in India.Director has taken lots of pain in detailing the movie and as far as i remember, there aren't much holes left , eve in the scene were the gang will stop the train , if you listen closely , the passengers will say "" this is the usual mischief done by the train traveler"" , so there the director has given us a reason that this thing is common , so the train after a short while starts to move. Or else we know it will take much longer time for the train to start after emergency stop is activated.Small things like these and also not deviating from the core and giving us the whole anatomy of this notorious gang right from their root has only strengthened the story and it makes the whole narration and the gang stick close to our heart. In most movie the enemy will be hyped till a certain point and after that his fate nose dives from there. But here the director has kept the hype - and it sticks too till almost three quarter of the movie , there my making us tremble each time we learn about the gang.Karti has done EXCELLENT EXCELLENT acting. He has played it aptly. I don't think anyone would have fit the role , may be Kamal ?Love sequence are the only downers in this movie. Overall i would say this is the BEST MOVIE in TAMIL FOR 2017 !! Movies like these elate the Tamil industry to new heights.Not for the faint hearted though..",theeran where director takes you horror world notorious robbery gang,h vinoth has given cult movie period film is horror thriller roller coaster director gradually holds your hand takes you ride pushes dizzying height horror thriller narrate his true story notorious bawaria robbery gang as person who have watched few top horror thriller genre movies but this movie will send chills down your spine mainly because it has element locality something close happening india director has taken lots pain detailing movie as far as i remember there arent much holes left eve scene were gang will stop train if you listen closely passengers will say this is usual mischief done by train traveler so there director has given us reason that this thing is common so train after short while starts move or else we know it will take much longer time train start after emergency stop is activated small things like these also not deviating core giving us whole anatomy this notorious gang right their root has only strengthened story it makes whole narration gang stick close our heart most movie enemy will be hyped till certain point after that his fate nose dives there but here director has kept hype it sticks too till almost three quarter movie there my making us tremble each time we learn about gang karti has done excellent excellent acting he has played it aptly i dont think anyone would have fit role may be kamal love sequence are only downers this movie overall i would say this is best movie tamil 2017 movies like these elate tamil industry new heights not faint hearted though,0.49613035113035125,0.2215824915824916,Positive,"{'Happy': 0.11, 'Angry': 0.02, 'Surprise': 0.37, 'Sad': 0.21, 'Fear': 0.3}"
9,Interesting movie,"Great Attempt and succeeded as inspired by True Events Kudos to Director H. Vinoth . Director worked hard to create such a nice movie, his research and background work are amazing also he created a new style Tamil movie. The effort taken for the night action scenes in Rajasthan has to be appreciated with a special note. This movie is violent at first but then gets very interesting. I wouldn't request taking any child below the age of 10 . This is not one of the other police movies with full masala mix. Good work and it is impressive",interesting movie,great attempt succeeded as inspired by true events kudos director h vinoth director worked hard create such nice movie his research background work are amazing also he created new style tamil movie effort taken night action scenes rajasthan has be appreciated with special note this movie is violent at first but then gets very interesting i wouldnt request taking any child below age 10 this is not one other police movies with full masala mix good work it is impressive,0.5875541125541125,0.2987133237133237,Positive,"{'Happy': 0.38, 'Angry': 0.1, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.19}"
10,Theeran Adhikaram Ondru Movie Review: Karthi Delivers a Power-packed Performance in This Gripping Cop Story,"In a seminal scene in Theeran-Adhikaram Ondru, DSP Theeran (Actor Karthi plays an upright police officer endowed equally with brains and rippling muscles) storms into a den of outlaws in the badlands of Rajasthan. He advises his team to stay inside the car as he walks on purposefully, the dusty hamlet is all eyes; it's the territory of Omah Singh, a much-feared highway dacoit responsible for a breakout of murders in rural Tamil Nadu. As the dust motes ripple upward in the desert air, Theeran slams one after the other until Singh sits up and takes notice, his hookah forgottenThe face-off defines the movie. Can a district police chief trace murders all the way to the North-West, surmount the crippling bureaucracy of multiple governments and bring to book a dacoit gang wreaking havoc on the crime numbers in TN? An emphatic Yes!H Vinoth, who deftly portrayed the lives and tricks of a gifted conman in Sathuranga Vettai is telling us a cop story this time. The usual clichés are in order: Theeran is transfer magnet, courtesy his sky- high morals and commitment to policing. His stay-at-home wife (Rakul Preet) is content with chiding him now and then about not being home most days. He chooses to go after the criminals when a dilemma presents itself after he gets to know his wife is dying. Even during training days, Theeran shows signs of precocity – he knows how to handle a crime-scene weapon (We are informed the usual handkerchief method of securing it will not protect the prints! Theeran holds it between two fingers at points where the criminal might not have touched the weapon).Neatly parted hair and a razor-sharp mush and almost-always wearing a dark shirt straining against his chest, Karthi looks every inch the ideal police officer. Assisted by a team of devoted cops, Theeran leads a national hunt for fingerprints that lead them into the history of Indian outlaws with origins in the British era. These huntsmen have no targets but gold, unless you leave out savagery. How Theeran bumps off each one of them form the crux of the story.Negatives include a bit of drag in the scenes describing the Rajasthani outlaws, or when the action sequences gets a little too long – Theeran beats the villain to pulp in searing Rajasthani heat before dragging him through the desert sands on a horse! Classic. A few songs are plugged here and there in the movie and they pass without causing inconvenience. The background scores for the Dakotas are particularly effective in accentuating their bestiality. Overall, music director Gibran is very good in many parts.The story itself rests on actual history. Dacoity at homes along the highways was a menace in Tamil Nadu during the late 90s. Apparently, Tamil Nadu had ranked high in taking it seriously and wiping such crimes off its map, although the policemen behind the job had gotten little credit.True to that, Theeran spends the twilight of his career behind a desk, complaining about a rickety chair not replaced for months. A young officer having known his deeds drops by just to salute him, and Theeran betrays that old glint of uprightness still bright in his eyes.After all these years? If you are Theeran, You would say ""Always.""",theeran adhikaram ondru movie review karthi delivers power packed performance this gripping cop story,seminal scene theeran adhikaram ondru dsp theeran actor karthi plays upright police officer endowed equally with brains rippling muscles storms into den outlaws badlands rajasthan he advises his team stay inside car as he walks purposefully dusty hamlet is all eyes its territory omah singh much feared highway dacoit responsible breakout murders rural tamil nadu as dust motes ripple upward desert air theeran slams one after other until singh sits up takes notice his hookah forgotten face off defines movie can district police chief trace murders all way north west surmount crippling bureaucracy multiple governments bring book dacoit gang wreaking havoc crime numbers tn emphatic yes h vinoth who deftly portrayed lives tricks gifted conman sathuranga vettai is telling us cop story this time usual clich s are order theeran is transfer magnet courtesy his sky high morals commitment policing his stay at home wife rakul preet is content with chiding him now then about not being home most days he chooses go after criminals when dilemma presents itself after he gets know his wife is dying even during training days theeran shows signs precocity he knows how handle crime scene weapon we are informed usual handkerchief method securing it will not protect prints theeran holds it between two fingers at points where criminal might not have touched weapon neatly parted hair razor sharp mush almost always wearing dark shirt straining against his chest karthi looks every inch ideal police officer assisted by team devoted cops theeran leads national hunt fingerprints that lead them into history indian outlaws with origins british era these huntsmen have no targets but gold unless you leave out savagery how theeran bumps off each one them form crux story negatives include bit drag scenes describing rajasthani outlaws or when action sequences gets little too long theeran beats villain pulp searing rajasthani heat before dragging him through desert sands horse classic few songs are plugged here there movie they pass without causing inconvenience background scores dakotas are particularly effective accentuating their bestiality overall music director gibran is very good many parts story itself rests actual history dacoity at homes along highways was menace tamil nadu during late 90s apparently tamil nadu had ranked high taking it seriously wiping such crimes off its map although policemen behind job had gotten little credit true that theeran spends twilight his career behind desk complaining about rickety chair not replaced months young officer having known his deeds drops by just salute him theeran betrays that old glint uprightness still bright his eyes after all these years if you are theeran you would say always,0.45807539682539666,0.08186507936507936,Positive,"{'Happy': 0.08, 'Angry': 0.14, 'Surprise': 0.14, 'Sad': 0.32, 'Fear': 0.32}"
8,Theeram Adhigaaram Ondru is one of the most intense cop-dramas of Indian Cinema but love track is irritating.,"Theeran Adhigaaram Ondru (2017): Most of the Indian Cop films treat the lead role as a super-hero and has all the extra sensory abilities to find the antagonist without any proper investigation.But Theeram Adhigaaram Ondru is a rare realistic cop thriller where the villain's whereabouts are found only during the climax by one of the most interesting investigations I had seen in Indian Cinema.Plot: Theeran (Karthi), a police officer, tries to decode a series of cold blood events based on same pattern. Who's behind those ruthless events? How Theeran and team traces them? Did they succeed? forms the story of this crime action thriller. The story is based on true incidents handled by Police department in 1990s.My Review: ""Khakee"" deals with the subject of organised bandits and also reveals the history of dacoit gangs in India from the British era to the recent times.Director H Vinoth has done huge research on several tribes of dacoit gangs, their crimes, how they indulge in robbery, how they hide, and their lifestyle.Not only has he done deep research, but has shown all these in the movie, making it more interesting as we involve more into the investigation.These kind of cop dramas will work only if they have nail-biting scenes and this movie succeeded in providing us such intense experience.The film has full on edge of the seat moments which will keep you hooked till the end.The interval bang and bus chasing sequence in the second half literally gives you goosebumps.Even the scene where Karthi and his team are attacked by the whole village and the pre-climax scene where villain gang attack hero and his team in an abandoned village are shot exceptionally well.The major drawback with the film is the torturous love track between Karthi and Rakul.The typical ""Loose Ponnu"" obsession of Kollywood had went overboard here as we get irritated by Rakul's characterization.The first 30 or 40 mins of the movie is just about their clichéd love story which tests our patience.Director has done a very good job with the film. His detailing with the case is awesome and the way he narrated the film with ample action elements and racy chasing episodes make this film click big time. He keeps the film quite realistic which makes things even more interesting for the audience.Dhilip Subburayan's action scenes especially in the desserts of Rajasthan are superbly choreographed and Sathyan Sooryan's camera work is in sync with the story including the grey tone. Ghibran's music and background score creates the gritty feel.The film, despite its long run time, runs at a pace that makes it hard for one to look away.Karthi is stupendous in his role as the protagonist cop who will not rest until he nabs the criminals and brings the killings to a halt.He has shown his mettle in the gruelling episodes shot in Rajasthan desert in the second half of the movie.All his team members have played their roles perfectly.Rakul is irritating.So,Theeram Adhigaaram Ondru is one of the most intense cop-dramas of Indian Cinema but love track is irritating.My Rating 7.5/10",theeram adhigaaram ondru is one most intense cop dramas indian cinema but love track is irritating,theeran adhigaaram ondru 2017 most indian cop films treat lead role as super hero has all extra sensory abilities find antagonist without any proper investigation but theeram adhigaaram ondru is rare realistic cop thriller where villains whereabouts are found only during climax by one most interesting investigations i had seen indian cinema plot theeran karthi police officer tries decode series cold blood events based same pattern whos behind those ruthless events how theeran team traces them did they succeed forms story this crime action thriller story is based true incidents handled by police department 1990s my review khakee deals with subject organised bandits also reveals history dacoit gangs india british era recent times director h vinoth has done huge research several tribes dacoit gangs their crimes how they indulge robbery how they hide their lifestyle not only has he done deep research but has shown all these movie making it more interesting as we involve more into investigation these kind cop dramas will work only if they have nail biting scenes this movie succeeded providing us such intense experience film has full edge seat moments which will keep you hooked till end interval bang bus chasing sequence second half literally gives you goosebumps even scene where karthi his team are attacked by whole village pre climax scene where villain gang attack hero his team abandoned village are shot exceptionally well major drawback with film is torturous love track between karthi rakul typical loose ponnu obsession kollywood had went overboard here as we get irritated by rakuls characterization first 30 or 40 mins movie is just about their clich d love story which tests our patience director has done very good job with film his detailing with case is awesome way he narrated film with ample action elements racy chasing episodes make this film click big time he keeps film quite realistic which makes things even more interesting audience dhilip subburayans action scenes especially desserts rajasthan are superbly choreographed sathyan sooryans camera work is sync with story including grey tone ghibrans music background score creates gritty feel film despite its long run time runs at pace that makes it hard one look away karthi is stupendous his role as protagonist cop who will not rest until he nabs criminals brings killings halt he has shown his mettle gruelling episodes shot rajasthan desert second half movie all his team members have played their roles perfectly rakul is irritating so theeram adhigaaram ondru is one most intense cop dramas indian cinema but love track is irritating my rating 7 5 10,0.5352828054298644,0.1613320135746606,Positive,"{'Happy': 0.13, 'Angry': 0.12, 'Surprise': 0.23, 'Sad': 0.24, 'Fear': 0.28}"
9,JUST WOW!,"I can't remember the last time I was so engrossed in watching a Tamil film!The events leading to catching the criminals are taken so well and keeps you on the edge the whole time. The movie is taken from the police point of view and is refreshingly good! They could've done away with the romance which I felt was unnecessary. Overall,Great movie!!!",just wow,i cant remember last time i was so engrossed watching tamil film events leading catching criminals are taken so well keeps you edge whole time movie is taken police point view is refreshingly good they couldve done away with romance which i felt was unnecessary overall great movie,0.5770833333333334,0.24999999999999997,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.38, 'Sad': 0.23, 'Fear': 0.15}"
9,One of the Most Engaging Thrillers Ever.,"Theeran Adhigaram Ondru is capable of making you bite your nails and keeping you at the edge of your seats. Only flaw (totally forgivable) is the commercialization of the movie with little unrealistic fights and cheesy romance. But that's okay. The rest of the movie is outstanding. Especially the sequence before the interval. Those scenes are so gripping that it won't even let you blink once. Karthi did really well. The Villain deserves our applause. Rakul Preet was okay but there was nothing much for her to do. Thank you, H.Vinoth, for gifting us such a thriller.",one most engaging thrillers ever,theeran adhigaram ondru is capable making you bite your nails keeping you at edge your seats only flaw totally forgivable is commercialization movie with little unrealistic fights cheesy romance but thats okay rest movie is outstanding especially sequence before interval those scenes are so gripping that it wont even let you blink once karthi did really well villain deserves our applause rakul preet was okay but there was nothing much her do thank you h vinoth gifting us such thriller,0.6640624999999999,0.14453125,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.44, 'Fear': 0.22}"
8,AN EXCELLENT WATCH !,"After a long time, A VERY SATISFYING action thriller. Director H. Vinoth (of Sathuranga Vettai fame) has presented a well made action movie which ticks almost all the right boxes of the genre with minimal compromises.The movie, which is based on true incidents, recounts an episode in the life of a tough cop from Tamil Nadu who sets out with his team to capture a dreaded gang of thugs that was involved in multiple gruesome, armed robberies and murders in Tamil Nadu as well as other states.Karthi fits the role of the daring cop and breathes life into the character in every frame. Abhimanyu Singh and his gang are utterly convincing as the brutally intense baddies.The pulsating score by Ghibran, cinematography by Sathyan Sooryan, nifty editing by Shivanandeeswaran and well executed action sequences choreographed by Dhilip Subbarayan elevate the impact of the proceedings.Director Vinoth deserves praise for his skillful combination of commercial elements with detailed research, stunning action set pieces and for shunning the regular trappings of super hero machismo and melodrama.While the movie has its fair share of blemishes including its run-time resulting in some drag and some logical pole vaulting, for the most parts, it remains a riveting watch. I hope more such chapters are added to this cop story which has the potential to evolve into a franchise.",excellent watch,after long time very satisfying action thriller director h vinoth sathuranga vettai fame has presented well made action movie which ticks almost all right boxes genre with minimal compromises movie which is based true incidents recounts episode life tough cop tamil nadu who sets out with his team capture dreaded gang thugs that was involved multiple gruesome armed robberies murders tamil nadu as well as other states karthi fits role daring cop breathes life into character every frame abhimanyu singh his gang are utterly convincing as brutally intense baddies pulsating score by ghibran cinematography by sathyan sooryan nifty editing by shivanandeeswaran well executed action sequences choreographed by dhilip subbarayan elevate impact proceedings director vinoth deserves praise his skillful combination commercial elements with detailed research stunning action set pieces shunning regular trappings super hero machismo melodrama while movie has its fair share blemishes including its run time resulting some drag some logical pole vaulting most parts it remains riveting watch i hope more such chapters are added this cop story which has potential evolve into franchise,0.5402823565323565,0.16683862433862437,Positive,"{'Happy': 0.07, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.22, 'Fear': 0.46}"
8,A captivating thriller,"A captivating police thriller! While it's a highly dramatized version of a police operation, a commoner like me gets bits of information about the police ways of investigation and nabbing the criminals. The importance of technology, especially, digitisation of the police files, the crucial nature of coordination between the police departments of different states etc. have been portrayed well. Highlights the exasperating state of the security apparatus in out country and the utter disregard and oblivion towards the honest and brave police officers. If one ignores the brief relapses of typical Indian(Tamil cinema no exception!) masala, the movie is an engrossing experience. It's high time that Bollywood takes a cue from the regional film industries and reinvents itself.",captivating thriller,captivating police thriller while its highly dramatized version police operation commoner like me gets bits information about police ways investigation nabbing criminals importance technology especially digitisation police files crucial nature coordination between police departments different states etc have been portrayed well highlights exasperating state security apparatus out country utter disregard oblivion towards honest brave police officers if one ignores brief relapses typical indian tamil cinema no exception masala movie is engrossing experience its high time that bollywood takes cue regional film industries reinvents itself,0.7779487179487178,0.24256410256410257,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.22, 'Fear': 0.56}"
