Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,Mindblowing action movie with vijay's power packed performance,"First of all hats off to A.R. Murugadoss for his wonderful direction and shaping Vijay into a new dimension and a super meaningful movie. Vijay->Vijay has given life to the character as Captain Jagdish. He looks too stylish and he has carried the movie right from the beginning till the end. He is so comfortable and he admires a lot with his stylish dialogue deliveries and peppy dance moves. Vijay has found a new avatar with this movie. Kajal->Kajal looks so cute and embarrassing. She portrayed her character very well and proved to worth her character as the female lead. She has also danced well with Vijay. Vidyut->A villain who should be in a Hollywood. Mind-blowing performance by him and the scenes between him and Vijay are the highlights. Technicians->Santosh sivan has proved his legendary work again. He has showed a pleasant mumbai to the audience. Background score is well used in the movie by Harris. Every frame is credited for its technical value. Drawbacks-> Songs should have visualized much better. Alaikaa laikaa, google google looks good.. Others doesn't found new to the viewers... The screenplay of the movie which is very racy slows down a bit after the Antarctica song. Highlight-> Vijay targeting the 12 sleeper cell with 12 men is speechless. The interval block portraying the dialogue- I'm waiting and the climax scene dialogues looks for a high standard. Verdict---10/10 Vijay---10/10 Kajal--8/10 ARM--10/10 Santosh Sivan--10/10Bottomline--> A thoughtful movie with high standard with a mass hero in the lead for a sure hit.",mindblowing action movie with vijays power packed performance,first all hats off r murugadoss his wonderful direction shaping vijay into new dimension super meaningful movie vijay vijay has given life character as captain jagdish he looks too stylish he has carried movie right beginning till end he is so comfortable he admires lot with his stylish dialogue deliveries peppy dance moves vijay has found new avatar with this movie kajal kajal looks so cute embarrassing she portrayed her character very well proved worth her character as female lead she has also danced well with vijay vidyut villain who should be hollywood mind blowing performance by him scenes between him vijay are highlights technicians santosh sivan has proved his legendary work again he has showed pleasant mumbai audience background score is well used movie by harris every frame is credited its technical value drawbacks songs should have visualized much better alaikaa laikaa google google looks good others doesnt found new viewers screenplay movie which is very racy slows down bit after antarctica song highlight vijay targeting 12 sleeper cell with 12 men is speechless interval block portraying dialogue im waiting climax scene dialogues looks high standard verdict 10 10 vijay 10 10 kajal 8 10 arm 10 10 santosh sivan 10 10bottomline thoughtful movie with high standard with mass hero lead sure hit,0.5203607503607504,0.3267557346867692,Positive,"{'Happy': 0.12, 'Angry': 0.07, 'Surprise': 0.17, 'Sad': 0.12, 'Fear': 0.51}"
9,A perfect entertainer with a cause,"Thuppaki, an awesome movie ! Vijay's bold and charismatic appearance drives us crazy :) :) Scenes were perfectly scripted and doesn't bore us anywhere, except the Vennilavae song. Dialogues were evenly poised and fits impeccably. Stunts !! Vj has given his best and the best ever, with reduced Gun shots and using knives & muscles also.Murugadoss, as a director, achieves better than his previous movies Santosh Sivan's Cinematography brings delight and freshness. Harris Jayaraj's BGM and songs were rocking on screen and stylishly made, Kajal, the charming lady, molds with Vj perfectly, Vidyut, as a sleeper cell head, portrays manliness superbly, and Overall its Illayathalapathy Vijay who deserves the applaud for an wholesome entertainer.Thuppaki is a 'must watch' movie and I Luv to watch it again..",perfect entertainer with cause,thuppaki awesome movie vijays bold charismatic appearance drives us crazy scenes were perfectly scripted doesnt bore us anywhere except vennilavae song dialogues were evenly poised fits impeccably stunts vj has given his best best ever with reduced gun shots using knives muscles also murugadoss as director achieves better than his previous movies santosh sivans cinematography brings delight freshness harris jayarajs bgm songs were rocking screen stylishly made kajal charming lady molds with vj perfectly vidyut as sleeper cell head portrays manliness superbly overall its illayathalapathy vijay who deserves applaud wholesome entertainer thuppaki is must watch movie i luv watch it again,0.7055555555555555,0.5677777777777777,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.16, 'Fear': 0.32}"
7,Definitely One Of The Best Movies Of 2012 And A Landmark Movie FOR Vijay After Ghilli And Pokkiri,"Thuppakki My Review : (This Is Definitely One Of The Best Movies Of 2012 And A Landmark Movie FOR Vijay After Ghilli And Pokkiri)A completely refreshing movie for Vijay . Brilliant efforts from everyone especially AR Murugadoss, Vijay and Santhosh Sivan. good screen play and superb cinematography did all good to the film. CAST: Vijay : He has done a good job and is totally different from all his films. his expressions are really nice. and all his dialogues including the Hindi lines were greeted with whistles :) Kajal : She has a very little scope in the movie and just comes to create refreshment in the movie.. but she was as usual cute and hot :) Vidyut : he has done a fantastic job and he suited his role very well!! he was just awesome Satyan : he has done his job really well wherever he got chance.. timely dialogues was good and ,and everyone laugh. Jayaram : he was good .. but had little scope in this movie.. overall Cast rating will be : 8/10Story: Story was nicely scripted ARM.. though it didn't go in a fast pace, the story was nicely taken towards the end..a i ll give story a 8.5/10Direction and Cinematography: ARM has done a brilliant screenplay in this movie. He has taken the story in a interesting and a gripping way.. Santhosh Sivan was extraordinary with his cinematography and every scene was shown beautifully.. Overall i'll give them a 9/10Music: The main drawback of the movie is the songs.. Songs were a big letdown expect Google Google.. many people went out during songs which were so boring.. The theme of thuppakki was very good and BGM in the climax was nice.. I ll give Harris 6/10 .Overall the movie was a treat for Vijay fans who were treated with a refreshing story.. definitely ARM has given a new life for Vijay.. only if the songs were nice the film would have been much more nice. Hope vijay does much more films like this.. this is definitely one of the bes movies in 2012 and a landmark movie for Vijay after Ghilli and Pokirioverall verdict of the movie will be 7.5/10",definitely one best movies 2012 landmark movie vijay after ghilli pokkiri,thuppakki my review this is definitely one best movies 2012 landmark movie vijay after ghilli pokkiri completely refreshing movie vijay brilliant efforts everyone especially ar murugadoss vijay santhosh sivan good screen play superb cinematography did all good film cast vijay he has done good job is totally different all his films his expressions are really nice all his dialogues including hindi lines were greeted with whistles kajal she has very little scope movie just comes create refreshment movie but she was as usual cute hot vidyut he has done fantastic job he suited his role very well he was just awesome satyan he has done his job really well wherever he got chance timely dialogues was good everyone laugh jayaram he was good but had little scope this movie overall cast rating will be 8 10story story was nicely scripted arm though it didnt go fast pace story was nicely taken towards end i ll give story 8 5 10direction cinematography arm has done brilliant screenplay this movie he has taken story interesting gripping way santhosh sivan was extraordinary with his cinematography every scene was shown beautifully overall ill give them 9 10music main drawback movie is songs songs were big letdown expect google google many people went out during songs which were so boring theme thuppakki was very good bgm climax was nice i ll give harris 6 10 overall movie was treat vijay fans who were treated with refreshing story definitely arm has given new life vijay only if songs were nice film would have been much more nice hope vijay does much more films like this this is definitely one bes movies 2012 landmark movie vijay after ghilli pokirioverall verdict movie will be 7 5 10,0.6513309566250743,0.349315953654189,Positive,"{'Happy': 0.34, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.12, 'Fear': 0.34}"
10,A Mindblowing show with some heart touching scenes,"first i need to talk about home work done by Ar.Murugadoss and his directors...such a simple script with an amazing nd intelligent screenplay which engages u till the end without even single bore sequence...a extravagance show from Vijay what a changeover every frame he looks so handsome resembling hard work in action sequences which he carries the movie on his shoulders through out the end with a stylish acting,he shines in dance steps too and such a mannerisms only Vijay can do that.Kajal Agarwal is so gorgeous.Love track between Vijay and Kajal will make u laughter and executed nicely technically movie is brilliant.camera hand-held by Santhosh Sivan is the top notch of the movie which his hidden camera made to wonder how they made this scenes in huge crowd,such an awesome work by him.Sreekarprasad editing is slick and stylish.songs are already Chartbusters,Especially Harris scores in background music which he gave terrific scores for hero as well as villain Vidyut who didn't Hav any scope in Billa 2 steals the show with his performance in this movie.An intelligent attempt by Ar.Murugadoss and once again proved he is the master of screenplay,in each and every frame his Hardwork is there which he gave as racy action thriller we can't find even one minus through out the movie its a special Diwali treat for all moviegoers and as well as Vijay fans once again hats off to Murugadoss and Vijay for making this movie to be grand and stylish venture go and enjoy the experienceCASTING-10 MUSIC-8 TECHNICAL WORKS-10 DIRECTION-10",mindblowing show with some heart touching scenes,first i need talk about home work done by ar murugadoss his directors such simple script with amazing nd intelligent screenplay which engages u till end without even single bore sequence extravagance show vijay what changeover every frame he looks so handsome resembling hard work action sequences which he carries movie his shoulders through out end with stylish acting he shines dance steps too such mannerisms only vijay can do that kajal agarwal is so gorgeous love track between vijay kajal will make u laughter executed nicely technically movie is brilliant camera hand held by santhosh sivan is top notch movie which his hidden camera made wonder how they made this scenes huge crowd such awesome work by him sreekarprasad editing is slick stylish songs are already chartbusters especially harris scores background music which he gave terrific scores hero as well as villain vidyut who didnt hav any scope billa 2 steals show with his performance this movie intelligent attempt by ar murugadoss once again proved he is master screenplay each every frame his hardwork is there which he gave as racy action thriller we cant find even one minus through out movie its special diwali treat all moviegoers as well as vijay fans once again hats off murugadoss vijay making this movie be grand stylish venture go enjoy experiencecasting 10 music 8 technical works 10 direction 10,0.6093197278911565,0.2722108843537415,Positive,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.26, 'Sad': 0.24, 'Fear': 0.28}"
10,"Thuppakki: Honestly and Proudly, A Distinctive Vijay Movie Ever","Among all the 54 movies including Thuppakki, this one stands separate as the best performer. Poove Unakaga, Kadhaluku Mariyadhai, Ghilli were huge turning points in Vijay's career and set new benchmarks. And now Vijay has put himself into more trouble by raising the bar higher in Thuppakki.For second movie in a row Vijay's name came after the movie name, which in my view is good and the title cards was good, showing different places in Mumbai.A decent introduction song, Kutti Puli Kootam but the next song, Antartica came rather quickly and chilled me a lot. I never finished listening Alaika Laika song but in my view that was the best choreographed song in the movie. Google Google meets expectation, Vennilave okayyy, poi varava was heart touching.The movie flows well in first 20 mins with the regular hero heroine introduction comedies. As soon as antartica song is over, movie enters main story and rest is just THE GAME. A game with thrill, ideas, lot of smartness, team work and the Gun.Interval block amazing, Vijay's Hindi superb, stunning camera-work, enthralling background score, pacy editing, perfect climax with a touching end :)Kajal satisfies with her role, Vidyut is smart, Jayaram was too good in his comedies and Ilayathalapathy Vijay was just the best in his career, with his attitude driven performance.Undoubtedly to be the biggest hit in Vijay's Career... Thank you thalaiva :)",thuppakki honestly proudly distinctive vijay movie ever,among all 54 movies including thuppakki this one stands separate as best performer poove unakaga kadhaluku mariyadhai ghilli were huge turning points vijays career set new benchmarks now vijay has put himself into more trouble by raising bar higher thuppakki second movie row vijays name came after movie name which my view is good title cards was good showing different places mumbai decent introduction song kutti puli kootam but next song antartica came rather quickly chilled me lot i never finished listening alaika laika song but my view that was best choreographed song movie google google meets expectation vennilave okayyy poi varava was heart touching movie flows well first 20 mins with regular hero heroine introduction comedies as soon as antartica song is over movie enters main story rest is just game game with thrill ideas lot smartness team work gun interval block amazing vijays hindi superb stunning camera work enthralling background score pacy editing perfect climax with touching end kajal satisfies with her role vidyut is smart jayaram was too good his comedies ilayathalapathy vijay was just best his career with his attitude driven performance undoubtedly be biggest hit vijays career thank you thalaiva,0.5209537588847934,0.3937005523212419,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.3, 'Sad': 0.23, 'Fear': 0.3}"
7,"Vijay's best movie... which isn't saying much. But really, it's good.","This is possibly Vijay's best movie ever. If you don't know Vijay, you need to know that it's not a huge testimony up there - Vijay's movies usually set a pretty low bar, so a halfway decent movie could have gotten that tag. But Thuppakki is a very entertaining masala movie.Vijay is an army captain on holiday in Mumbai with his parents and sisters. They drag him to a prospective bride right from the train station, in his army uniform. This starts off the romantic background for the movie.But the story's crux is that Vijay is actually on a mission to track down and destroy terrorists operating in Mumbai. The fact that he directs this mission by driving around with his policeman friend and eventually stumbling onto a terrorist who bombs a bus, or that his senior officer does not seem to have a clue about this mission, does not detract from the thrill.The movie is implausible, the improvised plans are all too convenient, and we still have a grandiose element that is standard fare for masala movies. But it is entertaining from start to finish. Solid entertainer. My thumbs up to Vijay. See, Vijay? You don't HAVE to make sucky movies. Nobody expects you to make great movies, but you can use Thuppakki as a career guidance chart for yourself.",vijays best movie which isnt saying much but really its good,this is possibly vijays best movie ever if you dont know vijay you need know that its not huge testimony up there vijays movies usually set pretty low bar so halfway decent movie could have gotten that tag but thuppakki is very entertaining masala movie vijay is army captain holiday mumbai with his parents sisters they drag him prospective bride right train station his army uniform this starts off romantic background movie but storys crux is that vijay is actually mission track down destroy terrorists operating mumbai fact that he directs this mission by driving around with his policeman friend eventually stumbling onto terrorist who bombs bus or that his senior officer does not seem have clue about this mission does not detract thrill movie is implausible improvised plans are all too convenient we still have grandiose element that is standard fare masala movies but it is entertaining start finish solid entertainer my thumbs up vijay see vijay you dont have make sucky movies nobody expects you make great movies but you can use thuppakki as career guidance chart yourself,0.43964105339105336,0.22031024531024526,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.34, 'Sad': 0.14, 'Fear': 0.28}"
10,Thupakki a racy entertainer that keeps you hooked till the end.,"Thupakki, the much awaited Vijay-murugadoss combo hit the screens yesterday and luckily I got a ticket for a early morning special screening at a local multiplex. Right from the first frame, Vijay mesmerizes the audience with his sleek looks and awesome style. A big thumbs up to his costume designer who has done the job with utmost care.The strength of the movie lies in the flawless screenplay and dialogues by murugadoss. The Cat and mouse game between the protagonist and villain has been scripted immaculately. Especially the scene before intermission and climax got electrifying response in the theater. Vijay seems more mature on the screen and his scenes involving kajal and satyan cracks up the audience. Actions sequence seems more vivid and dynamic in Santhosh sivan's camera who has once again showed the world that he has not won the national awards for nothing. Harris Jayaraj has done a commendable job with his BGM score and it makes some scenes even more striking. Songs are good and murugadoss has taken a special care in choosing the locations for it. Especially Vennilave song's backdrop is mindblowing. Though Kajal agarwall didn't have a big role to play,she along with sathyan and Jayaram provide comic relief at regular intervals. One more person who if not mention here would be unfair is editor Sreekar Prasad. He has chiseled the movie perfectly and the audience doesn't feel like a watching a movie that is almost 3hrs. Villain Vidyut Jamwal robust and does a laudable job. He has portrayed a character who is brainy and evil.On the downside the romance track between Vijay and Kajal is Clichéd. Even though songs are good, the situations they appear are not relevant. On the whole Thupakki is a racy entertainer that keeps you hooked till the end. It is one of the Vijay's best movie in the recent times. With Nanban already a hit and now along with thupakki 2012 is surely belongs to Ilayathalapathy.",thupakki racy entertainer that keeps you hooked till end,thupakki much awaited vijay murugadoss combo hit screens yesterday luckily i got ticket early morning special screening at local multiplex right first frame vijay mesmerizes audience with his sleek looks awesome style big thumbs up his costume designer who has done job with utmost care strength movie lies flawless screenplay dialogues by murugadoss cat mouse game between protagonist villain has been scripted immaculately especially scene before intermission climax got electrifying response theater vijay seems more mature screen his scenes involving kajal satyan cracks up audience actions sequence seems more vivid dynamic santhosh sivans camera who has once again showed world that he has not won national awards nothing harris jayaraj has done commendable job with his bgm score it makes some scenes even more striking songs are good murugadoss has taken special care choosing locations it especially vennilave songs backdrop is mindblowing though kajal agarwall didnt have big role play she along with sathyan jayaram provide comic relief at regular intervals one more person who if not mention here would be unfair is editor sreekar prasad he has chiseled movie perfectly audience doesnt feel like watching movie that is almost 3hrs villain vidyut jamwal robust does laudable job he has portrayed character who is brainy evil downside romance track between vijay kajal is clich d even though songs are good situations they appear are not relevant whole thupakki is racy entertainer that keeps you hooked till end it is one vijays best movie recent times with nanban already hit now along with thupakki 2012 is surely belongs ilayathalapathy,0.5565061922204778,0.2530952380952381,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.29, 'Sad': 0.2, 'Fear': 0.29}"
9,Thuppakki: Hits the correct target!,"Movie: ThuppakkiRating: 4.5/5In Tamil cinema, two names are very popular. One is Vijay, and other is A.R. Murugadoss. As we all know, Vijay is a great actor and Murugadoss is a very a very talented and creative director. So just imagine what would happen if they come together? Can't imagine? Then just do one thing- Watch Thuppakki, you will get the answers to all your questions.Written and directed by Murugadoss, Thuppakki is one of the finest Tamil films ever. It's evident from every bit of the film's screenplay. Murugadoss has used the army concept very well and Vijay fits in it. I think that except Vijay anyone would have done this role but not with that perfection with which Vijay has done it. It's true, not just for Vijay, but for the entire film. The film scores well in every department and the occasional thrills in the film make you sit by the edge of the seat. It is the style of Murugadoss to make every scene look amazing. This thing is visible even in the intermission scene.The fights, performances, VFX and screenplay are all amazing. You don't get a chance to blink at all. After all, the focus remains only on the storyline, and nothing except it. It's a very good point. Besides, there are no scenes that would actually hinder the film's screenplay. However, it's nothing except the music, that hinders a bit. If a few songs would have been removed, the pace would have been well. But still, you forget these small blemishes and go on to watch the film.Overall, Thuppakki is a mind blowing entertainer, as well as a very different film by Vijay. If you like action thrillers and want great thrill in your movies along with some brainstorming puzzles, then watch Thuppakki. As I said before, you will get all your answers. Today it's a blockbuster, but for tomorrow, it's going to be a classic film.",thuppakki hits correct target,movie thuppakkirating 4 5 5in tamil cinema two names are very popular one is vijay other is r murugadoss as we all know vijay is great actor murugadoss is very very talented creative director so just imagine what would happen if they come together cant imagine then just do one thing watch thuppakki you will get answers all your questions written directed by murugadoss thuppakki is one finest tamil films ever its evident every bit films screenplay murugadoss has used army concept very well vijay fits it i think that except vijay anyone would have done this role but not with that perfection with which vijay has done it its true not just vijay but entire film film scores well every department occasional thrills film make you sit by edge seat it is style murugadoss make every scene look amazing this thing is visible even intermission scene fights performances vfx screenplay are all amazing you dont get chance blink at all after all focus remains only storyline nothing except it its very good point besides there are no scenes that would actually hinder films screenplay however its nothing except music that hinders bit if few songs would have been removed pace would have been well but still you forget these small blemishes go watch film overall thuppakki is mind blowing entertainer as well as very different film by vijay if you like action thrillers want great thrill your movies along with some brainstorming puzzles then watch thuppakki as i said before you will get all your answers today its blockbuster but tomorrow its going be classic film,0.5478030303030302,0.290530303030303,Positive,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.47, 'Sad': 0.09, 'Fear': 0.3}"
7,Thuppakki seems to be a better Vijay film and it's worth-watching,"A.R.Murugadoss's Thuppakki is a fresh action thriller that stands tall with its strong content and racy screenplay. First of all, Vijay looks really fresh on-screen with his stylish appearance which is definitely something new to witness. A.R.Murugadoss had brought a slightly different Vijay in this action flick which depends on his screen presence and larger than life persona. Vijay looks fit and he is ready to fight the bad guys in his new form. He plays Jagadish, a military officer who is on holiday with his family. Vijay's role in Thuppakki is really different from what he used to do. We have seen Vijay being the mass hero who throws countless punch dialogue to the villain but here, Vijay doesn't do anything. While the villain threatens him, he ends the conversation with a simple ""I'm waiting"". Can you believe that? It's unusual to see Vijay underplay in such a massy role. Well, he is the same superhero that he use to be but with some different shades and mannerisms. Except for Vijay, we don't have any stronger characters who can lift the film. The villain Vidyut Jamwal is menacing at times and he is intellectually a perfect antagonist for Vijay. He is muscular and he doesn't need to speak much to create that evilness of his character. The other supporting actors are just there for some of the scenes. The background score is another electrifying element in Thuppakki. Harris Jayaraj has the right tunes to elevate Vijay's superhero character. Unfortunately, except for the popular Google google song sung by Vijay and Andrea, the other songs are just average. Coming to director A.R.Murugadoss's work, we have to say that he had presented a refreshing Vijay film after a while. The film is really interesting to watch but there are few elements that he could have easily removed from the film like the unnecessary comedy scenes because it slows down the pace of the film which is supposed to be racy. After all, Thuppakki seems to be a better Vijay film and it's worth-watching.",thuppakki seems be better vijay film its worth watching,r murugadosss thuppakki is fresh action thriller that stands tall with its strong content racy screenplay first all vijay looks really fresh screen with his stylish appearance which is definitely something new witness r murugadoss had brought slightly different vijay this action flick which depends his screen presence larger than life persona vijay looks fit he is ready fight bad guys his new form he plays jagadish military officer who is holiday with his family vijays role thuppakki is really different what he used do we have seen vijay being mass hero who throws countless punch dialogue villain but here vijay doesnt do anything while villain threatens him he ends conversation with simple im waiting can you believe that its unusual see vijay underplay such massy role well he is same superhero that he use be but with some different shades mannerisms except vijay we dont have any stronger characters who can lift film villain vidyut jamwal is menacing at times he is intellectually perfect antagonist vijay he is muscular he doesnt need speak much create that evilness his character other supporting actors are just there some scenes background score is another electrifying element thuppakki harris jayaraj has right tunes elevate vijays superhero character unfortunately except popular google google song sung by vijay andrea other songs are just average coming director r murugadosss work we have say that he had presented refreshing vijay film after while film is really interesting watch but there are few elements that he could have easily removed film like unnecessary comedy scenes because it slows down pace film which is supposed be racy after all thuppakki seems be better vijay film its worth watching,0.5112210141279907,0.11557099231517837,Positive,"{'Happy': 0.07, 'Angry': 0.02, 'Surprise': 0.38, 'Sad': 0.14, 'Fear': 0.4}"
10,An Action packed Deepavali Cracker which bursts Louder,"If you come to watch this film for Vijay or ARM or Harris or Santosh or Vidyut. The result is you will return home with an idea of Watching it again. I watched FDFS at 5:00 am in Velan theater in Nanganallur. I saw not only ardent fans but also families who came to watch this film with so much interest. Well you can see this only Vijay movies after Rajini.Now what about this ""Thuppakki""??? Is it fighting for terrorism? or Vijayism? or Patriotism?. One word for ever thing is ""Sacrifice"". Yes this film tells how an army officer would be in border or with his family, he should not back step for sacrifice. He must be alert and cautious and he must work not only with his muscle but also mind.The plot: Jagdish(Vijay) who is an Army officer returns home for a vacation to his family. But his family decides to make him get married. But he rejects Nisha(Kajal). Soon he discovers a bombing plot which makes assails whole Mumbai. Then rest of the story how he gets the leader and master mind behind this plot.Vijay with his unique style of acting excels well in this role. He has stunning physique and active gestures makes fit to the role of Secret Agent. Whether its humor,action,sentiment he delivers with ease and no doubt its one of the best performance of Vijay as all rounder in recent times. Kajal looks mesmerizing with her eyes and dance moves. She is lovable. Satyan supports well the story and his final lines on end of the movie gives kudos to whole Indian Army. Vidyut the brain of sleeper cells made huge impact with his cunning plots and problem solving skills in making quick decisions. His martial background adds extra ARM's intelligent screen play and the execution was so brilliant. We can see as he so cautious in screen play after his box office debacle Ezham arivu. Harrish music is so peppy and everything shot well with Santhosh sivan's cinematography especially ""GOOGLE GOOGLE"" and ""Kutti puli kootam"". BG score is major plus point in this film and thanks to Harrish Jayaraj.So over all this film is best of recent times and its sure winner of Deepavali. If you are a Vijay fan nor ARM fan nor any one, you will watch this film and enjoy with a salute to Indian army.My over all rating for this film is 10/10",action packed deepavali cracker which bursts louder,if you come watch this film vijay or arm or harris or santosh or vidyut result is you will return home with idea watching it again i watched fdfs at 5 00 am velan theater nanganallur i saw not only ardent fans but also families who came watch this film with so much interest well you can see this only vijay movies after rajini now what about this thuppakki is it fighting terrorism or vijayism or patriotism one word ever thing is sacrifice yes this film tells how army officer would be border or with his family he should not back step sacrifice he must be alert cautious he must work not only with his muscle but also mind plot jagdish vijay who is army officer returns home vacation his family but his family decides make him get married but he rejects nisha kajal soon he discovers bombing plot which makes assails whole mumbai then rest story how he gets leader master mind behind this plot vijay with his unique style acting excels well this role he has stunning physique active gestures makes fit role secret agent whether its humor action sentiment he delivers with ease no doubt its one best performance vijay as all rounder recent times kajal looks mesmerizing with her eyes dance moves she is lovable satyan supports well story his final lines end movie gives kudos whole indian army vidyut brain sleeper cells made huge impact with his cunning plots problem solving skills making quick decisions his martial background adds extra arms intelligent screen play execution was so brilliant we can see as he so cautious screen play after his box office debacle ezham arivu harrish music is so peppy everything shot well with santhosh sivans cinematography especially google google kutti puli kootam bg score is major plus point this film thanks harrish jayaraj so over all this film is best recent times its sure winner deepavali if you are vijay fan nor arm fan nor any one you will watch this film enjoy with salute indian army my over all rating this film is 10 10,0.5371913580246913,0.21631944444444448,Positive,"{'Happy': 0.07, 'Angry': 0.05, 'Surprise': 0.31, 'Sad': 0.24, 'Fear': 0.32}"
