Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Technically impressive with great script and sharp wit,"Andy's toys live a reasonable life of fun and peace, their only worries are birthdays and Christmases, when new toys could easily replace those already there. One such birthday Andy's top toy, Woody the cowboy, finds himself in direct competition with Andy's new Buzz Lightyear doll. When rivalries boil over Woody tries to hide Buzz down the side of the bed but accidentally pushes him out the window, the other tops expel Woody, and he leaves with no choice but to find Buzz and return him to the house. But with only two days before Andy moves house, time is of the essence.Given how often the same mix of animation, wit, jokes and kids humour has been used since Toy Story (Ice Age, Monsters Inc, Bugs Life) it is easy to forget how refreshing it was when it first came out. I have just watched it again and it is dating a little in comparison to more recent twists on the formula. It seems each one has to be sharper and have more references etc in the background. However it is still very funny and deserves praise for being the first of a successful formula.The plot is simple but effective and actually has genuine drama and excitement to it. The main story is fun but the degree of character development is what really shores it up. The conflict between Buzz and Woody is taken deeper than this and, when confronted by the truth of his status as a toy, Buzz's turmoil is very real as opposed to him being a cartoon character and nothing more. Despite the two strong leads there is a real depth in the support cast. They may not actually have that many lines, but they have all the funniest lines. Most of the `adult' wit comes from the Potato Head, dinosaur, the pig and slinky dog. They are funny and are very well used. In fact the majority of this humour and plot will go right over kids heads.Looking back on it, I do feel a cynical edge on it in so much as this film must really have helped sales of the toy companies in the film. It's hard not to see the marketing department standing behind this film rubbing their hands. However the actual product is so wonderfully fun that I forgot this quickly. The voice work is excellent and the characters match the actors. Hanks is good as Woody and Allen has a good B-movie type voice for Buzz. Varney, Ratzenberger, Ermey (doing his usual), Rickles and others are all really good in the support roles and, probably, come out as the favourite characters for adults.Overall this is a classic film that will appeal to adults as much as to kids (if not more). A good plot and a really sharp script make the already short running time fly by. The only downside is that your kids will want you to go out and buy the damn things!",technically impressive with great script sharp wit,andys toys live reasonable life fun peace their only worries are birthdays christmases when new toys could easily replace those already there one such birthday andys top toy woody cowboy finds himself direct competition with andys new buzz lightyear doll when rivalries boil over woody tries hide buzz down side bed but accidentally pushes him out window other tops expel woody he leaves with no choice but find buzz return him house but with only two days before andy moves house time is essence given how often same mix animation wit jokes kids humour has been used since toy story ice age monsters inc bugs life it is easy forget how refreshing it was when it first came out i have just watched it again it is dating little comparison more recent twists formula it seems each one has be sharper have more references etc background however it is still very funny deserves praise being first successful formula plot is simple but effective actually has genuine drama excitement it main story is fun but degree character development is what really shores it up conflict between buzz woody is taken deeper than this when confronted by truth his status as toy buzzs turmoil is very real as opposed him being cartoon character nothing more despite two strong leads there is real depth support cast they may not actually have that many lines but they have all funniest lines most adult wit comes potato head dinosaur pig slinky dog they are funny are very well used fact majority this humour plot will go right over kids heads looking back it i do feel cynical edge it so much as this film must really have helped sales toy companies film its hard not see marketing department standing behind this film rubbing their hands however actual product is so wonderfully fun that i forgot this quickly voice work is excellent characters match actors hanks is good as woody allen has good b movie type voice buzz varney ratzenberger ermey doing his usual rickles others are all really good support roles probably come out as favourite characters adults overall this is classic film that will appeal adults as much as kids if not more good plot really sharp script make already short running time fly by only downside is that your kids will want you go out buy damn things,0.5056401489010186,0.2251702846268063,Positive,"{'Happy': 0.17, 'Angry': 0.1, 'Surprise': 0.28, 'Sad': 0.12, 'Fear': 0.33}"
10.0,"Excellent Viewing, Every Time!","This is a very clever animated story that was a big hit, and justifiably so. It had a terrific sequel and if a third film came out, that would probably be a hit, too.When this came out, computer technology just was beginning to strut its stuff. Man, this looked awesome. Now, it's routine because animation, which took a giant leap with this movie, has made a lot more giant strides.The humor in here, however, is what made this so popular. There are tons of funny lines, issued by characters voiced by Tom Hanks, Tim Allen, Jim Varney, Don Rickles, Wallace Shawn and John Ratzenberger, among others. As good as Hanks is as ""Woody"" and Allen as ""Buzz Armstrong,"" I think the supporting characters just about stole the show: Mr. Potato Head, Slinky, Rex the dinosaur, etc.Multiple viewings don't diminish the entertainment, either. There are so many things to catch, audibly and visually, that you always seem to discover something new. The colors in here are beautiful, too. This is a guaranteed ""winner"" as is the sequel.",excellent viewing every time,this is very clever animated story that was big hit justifiably so it had terrific sequel if third film came out that would probably be hit too when this came out computer technology just was beginning strut its stuff man this looked awesome now its routine because animation which took giant leap with this movie has made lot more giant strides humor here however is what made this so popular there are tons funny lines issued by characters voiced by tom hanks tim allen jim varney don rickles wallace shawn john ratzenberger among others as good as hanks is as woody allen as buzz armstrong i think supporting characters just about stole show mr potato head slinky rex dinosaur etc multiple viewings dont diminish entertainment either there are so many things catch audibly visually that you always seem discover something new colors here are beautiful too this is guaranteed winner as is sequel,0.628030303030303,0.3335016835016835,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.35, 'Sad': 0.18, 'Fear': 0.29}"
9.0,"Created a decade ago, but still stunning","I am a big fan of the animated movies coming from the Pixar Studios. They are always looking for the newest technological possibilities to use in their movies, creating movies that are more than just worth a watch, even when they were made a decade ago.The movie is about toys that come to life when their owner is asleep or not in the same room. When the young boy's birthday is coming up, all the toys are nervous. They don't want to be ignored when the new one arrives. Woody the cowboy is their ""leader"" because he's the most popular one of them all. He's the only one that hasn't got to be afraid, but than a new favorite arrives ... Buzz Lightyear. He hates him and tries everything possible to get rid of him, but as the time passes by they learn to appreciate each other...When you see Toy Story, you may think that the different human like characters (Woody the cowboy for instance) aren't always as perfect as we are used to see in todays animated movies. Perhaps that's true, but if you keep in mind that all this was done in 1995, when computers weren't yet as strong and the technology for creating such movies was almost unknown, than you can only have a lot of respect for what the creators did. I loved the story and liked the animations a lot. I give it an 8.5/10.",created decade ago but still stunning,i am big fan animated movies coming pixar studios they are always looking newest technological possibilities use their movies creating movies that are more than just worth watch even when they were made decade ago movie is about toys that come life when their owner is asleep or not same room when young boys birthday is coming up all toys are nervous they dont want be ignored when new one arrives woody cowboy is their leader because hes most popular one them all hes only one that hasnt got be afraid but than new favorite arrives buzz lightyear he hates him tries everything possible get rid him but as time passes by they learn appreciate each other when you see toy story you may think that different human like characters woody cowboy instance arent always as perfect as we are used see todays animated movies perhaps thats true but if you keep mind that all this was done 1995 when computers werent yet as strong technology creating such movies was almost unknown than you can only have lot respect what creators did i loved story liked animations lot i give it 8 5 10,0.6150932400932402,0.2088869463869464,Positive,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.33}"
10.0,"""I can safely say that I have not enjoyed animated films quite so much over the years as I have enjoyed Pixar films.""","Toy Story – 5/5 starsChildren play with toys. It is a known fact. At one time or another, we all played with toys, whether they were action figures, dolls, little green soldiers, etc But what if toys were real? What if they could talk?Pixar and Disney serve us this theory in what was the first full-length computer-animated film ever, 'Toy Story,' chronicling the events in the life of a cowboy doll, Woody (voiced by Tom Hanks).Woody is the favorite toy of his owner, a small child named Andy. Andy brings Woody everywhere, and cherishes him, as we see in the beginning of the film. However, this all changes on Andy's birthday when Andy gets a new toy: a Buzz Lightyear doll (voiced by Tim Allen). Woody is suddenly forgotten, left with the rest of his friends: Mr. Potato Head (Don Rickles), Rex (Wallace Shawn), Slinky Dog (Jim Varney, better known as Ernest) and Ham (see if you can guess the voice of this one? I'll give you a hint: 'Cheers'). But after Buzz accidentally gets knocked out an upstairs window, Woody is the prime suspect. Now, after Woody and Buzz end up next door, in toy killer Sid's house, Woody must prove his innocence by getting both Buzz and him back to Andy's house safely.'Toy Story' builds on an element we all shrug off carelessly and thoughtlessly. Much like they did last year with monsters under the bed, Pixar took the theory of live toys to a new level in 'Toy Story,' filling our minds with endless possibilities.What Pixar does is a strange thing. It doesn't just try to expand our mind, but also out world. I respect and enjoy that. In 'Monsters, Inc.,' Pixar managed to preach to us 'What if monsters under the bed are real, and what if they have a world much like ours, and have feelings like humans,' while never forgetting the equally important formula of humor. Much is the same with their earlier film 'Toy Story.' What if those wooden and plastic toys we all played with as kids are real? What if they have feelings, emotions, voices, and human qualities? An interesting idea by itself, but when mixed with a wicked sense of humor and reality, you've got yourself one of the best films ever.Tom Hanks is perfect as Woody. Pixar must have modeled the doll's expressions and movements after Hanks, because after a while, I feel like I AM watching Hanks on screen, and NOT a computer-generated image. When you get to the point of not being able to tell animation from reality, you know that the voices are good.The same goes for Tim Allen, though the body gestures were most likely not modeled after Allen's physical expressions (Buzz is a short, pot-bellied toy).The rest of the cast is excellent, all very believable and entertaining. You begin to love each character for their distinguishing traits, and that is always refreshing.I can safely say that I have not enjoyed animated films quite so much over the years as I have enjoyed Pixar films. The only film they made that I named forgettable was 'A Bug's Life,' which was in and of it not horrible, but lacking the sense of humor the other Pixar films have and had.Pixar makes very refreshing films. In an era of cheap, made-for-video Disney sequels, rip-off cartoons and television babysitters (i.e. 'The Jungle Book 2), Pixar holds true to the values that made Disney films so entertaining back in the 30's-60's: Respect for the audience's intelligence, humor, provocative ideas to base the film upon, and respect for the audience (not the exact same thing as the first element), all of which are forgotten in this day and age of money-makers. I respect Pixar very much, and after hearing how little Disney does in helping with their films, I feel that Disney is just trying to cash in on their ideas by having their name branded on the posters for Pixar films. Shame on you, Disney. Proof that Disney has no respect for audiences is the fact that they will not let another sequel be made – something that fans like me would rather have than something like 'Finding Nemo.''Toy Story' 1 & 2 are both on my 'favorite films' list. It may sound stupid, but if I made up a top 250 list like IMDb.com, both of those films would be on there; so would 'Monsters Inc.' After an unpromising trailer for Pixar's upcoming film 'Finding Nemo,' I think that after their licensing deal with Disney is disputed (they have to cough up five more ORIGINAL films – not sequels – by 2005), they should definitely try to make a 'Toy Story 3.' I'll be first in line for it, anyway.",i can safely say that i have not enjoyed animated films quite so much over years as i have enjoyed pixar films,toy story 5 5 starschildren play with toys it is known fact at one time or another we all played with toys whether they were action figures dolls little green soldiers etc but what if toys were real what if they could talk pixar disney serve us this theory what was first full length computer animated film ever toy story chronicling events life cowboy doll woody voiced by tom hanks woody is favorite toy his owner small child named andy andy brings woody everywhere cherishes him as we see beginning film however this all changes andys birthday when andy gets new toy buzz lightyear doll voiced by tim allen woody is suddenly forgotten left with rest his friends mr potato head don rickles rex wallace shawn slinky dog jim varney better known as ernest ham see if you can guess voice this one ill give you hint cheers but after buzz accidentally gets knocked out upstairs window woody is prime suspect now after woody buzz end up next door toy killer sids house woody must prove his innocence by getting both buzz him back andys house safely toy story builds element we all shrug off carelessly thoughtlessly much like they did last year with monsters under bed pixar took theory live toys new level toy story filling our minds with endless possibilities what pixar does is strange thing it doesnt just try expand our mind but also out world i respect enjoy that monsters inc pixar managed preach us what if monsters under bed are real what if they have world much like ours have feelings like humans while never forgetting equally important formula humor much is same with their earlier film toy story what if those wooden plastic toys we all played with as kids are real what if they have feelings emotions voices human qualities interesting idea by itself but when mixed with wicked sense humor reality youve got yourself one best films ever tom hanks is perfect as woody pixar must have modeled dolls expressions movements after hanks because after while i feel like i am watching hanks screen not computer generated image when you get point not being able tell animation reality you know that voices are good same goes tim allen though body gestures were most likely not modeled after allens physical expressions buzz is short pot bellied toy rest cast is excellent all very believable entertaining you begin love each character their distinguishing traits that is always refreshing i can safely say that i have not enjoyed animated films quite so much over years as i have enjoyed pixar films only film they made that i named forgettable was bugs life which was it not horrible but lacking sense humor other pixar films have had pixar makes very refreshing films era cheap made video disney sequels rip off cartoons television babysitters i e jungle book 2 pixar holds true values that made disney films so entertaining back 30s 60s respect audiences intelligence humor provocative ideas base film upon respect audience not exact same thing as first element all which are forgotten this day age money makers i respect pixar very much after hearing how little disney does helping with their films i feel that disney is just trying cash their ideas by having their name branded posters pixar films shame you disney proof that disney has no respect audiences is fact that they will not let another sequel be made something that fans like me would rather have than something like finding nemo toy story 1 2 are both my favorite films list it may sound stupid but if i made up top 250 list like imdb com both those films would be there so would monsters inc after unpromising trailer pixars upcoming film finding nemo i think that after their licensing deal with disney is disputed they have cough up five more original films not sequels by 2005 they should definitely try make toy story 3 ill be first line it anyway,0.5044201839826841,0.17805113636363634,Positive,"{'Happy': 0.17, 'Angry': 0.04, 'Surprise': 0.23, 'Sad': 0.18, 'Fear': 0.38}"
10.0,One of the Best Animated Films Ever!,"Toy Story is a sheer delight to view on the screen. The characters are well done, the plot is exceptional, and the best thing of all, the film is entirely produced on the computer. The animation is extraordinary in it's ability to bring such great entertainment to the screen. The film also teaches some good lessons for the kids like friendship (mainly between Woody and Buzz Light-year). Spectacular entertainment all around and one of the best films Disney has come with.",one best animated films ever,toy story is sheer delight view screen characters are well done plot is exceptional best thing all film is entirely produced computer animation is extraordinary its ability bring such great entertainment screen film also teaches some good lessons kids like friendship mainly between woody buzz light year spectacular entertainment all around one best films disney has come with,0.6198717948717949,0.5128205128205129,Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.19, 'Fear': 0.12}"
10.0,As Good as It Gets!,"What a wonderful integration of classic toys and a superb plot. It's a new height in animation (though things have gotten even more impressive long since). The voicings of Tim Allen as Buzz and Tom Hanks as Woody, with their inherent connection to their toy beings, with an incredible supporting cast, make this a romp to end all romps. There is a strain between the realities of the world and the fact that even though they are sentient beings, they are still toys. Buzz has lights that flash but he can't really fly. Woody has the ludicrous string on his back that allows him to deliver his catch phrases. Then there is the neighborhood villain, Sid, who is a maimer and destroyer of toys. There is the quest for the mishandled and lost. And a finale that is worthy of everything that has been set up. What really makes this work is the ""humanity"" of the characters. There is love and a true connection among them. If you have never seen this, it is worth every minute.",as good as it gets,what wonderful integration classic toys superb plot its new height animation though things have gotten even more impressive long since voicings tim allen as buzz tom hanks as woody with their inherent connection their toy beings with incredible supporting cast make this romp end all romps there is strain between realities world fact that even though they are sentient beings they are still toys buzz has lights that flash but he cant really fly woody has ludicrous string his back that allows him deliver his catch phrases then there is neighborhood villain sid who is maimer destroyer toys there is quest mishandled lost finale that is worthy everything that has been set up what really makes this work is humanity characters there is love true connection among them if you have never seen this it is worth every minute,0.5718360071301247,0.47566844919786094,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.24, 'Fear': 0.32}"
,Falling With Style,"""I believe that a filmmaker's entire work is contained within his first film; not that it can all be foreseen, but that it can afterwards be verified."" – Francois Truffaut (The Films In My Life) Buzz Lightyear, a glossy action figure with a sexy sheen, is not a mere toy. He's a Space Ranger, tasked with protecting the universe from the evil Emperor Zurg! His life has meaning, he is unique, his existence has grand purpose! Woody, a dated cowboy doll, thinks otherwise. He was once a youthful and exuberant toy, the favourite plaything of his owner Andy, but years of existence have shown him the truth: everyone is just a toy, soon to be forgotten and discarded. No one is unique. There is no grand purpose. No universe to save. Better to be a realist, seeing the world without its fake plastic facade and tacky ipod veneer.Of course Buzz thinks Woody is just a crazy old timer. Doesn't Woody realise that Buzz is a genuine Space Ranger?! That he's a member of the Elite Universe Protection Unit! That he alone has information that reveals Emperor Zurg's weakness! That stupid fool! Naturally, we the audience identify with Woody. Buzz seems like an idiot, brainwashed and in desperate need of identity and purpose. The Elite Universe Protection Unit merely elevates believers into a position of exaggerated importance. This is an idle fantasy, an other-worldly hope adopted by those who can't face the dour reality that is the ""real world of toys"".Midway in the film, our heroes stumble across a horde of green alien toys. These aliens worship a giant claw, a mechanical God which they believe will descend and pluck the ""chosen ones"", taking them to some kind of toy heaven. In reality, the claw chooses only deluded souls, and offers them to the devilish Cid Phillips, a sadistic child who mutilates toys. ""Nirvana is coming!"" the aliens whisper, watching as the ""chosen ones"" are airlifted to their deaths.Buzz Lightyear faces a similar scenario later in the film. Having witnessed a television commercial which advertises a vast range of Buzz Lightyear action figures, Buzz must confront the fact that he really is ""just an ordinary toy"" who ""can not fly"". ""Flying"" thus becomes a sort of Nietzschean metaphor, the ability to transcend the ""flesh"" (in this case, injection moulded plastic) and become ""something more"".Buzz's first reaction upon seeing the commercial is to seek refuge in denial. ""I am not a toy!"" he says to himself, before climbing to the top of a staircase. Seeking to validate himself by flying, by defying the laws of toy-dom, he takes a giant jump – a literal leap of faith – and of course falls promptly to the ground. He can't fly.Cue the fastest existential crisis ever seen in a children's film, Buzz Lightyear promptly falling into a deep depression, his faith completely destroyed. His entire existence was based on a lie, a social framework which indoctrinated him into believing that the fate of the whole universe depended on his actions. How can he continue living? Why do anything? What's the point? And more importantly, how the hell did this become a kid's franchise? It's like a demented cartoon by Philip K. Dick (""Do Plastic Toys Dream of Suicide Switches?"").Then comes the message of the film. Woody tells Buzz that being a Space Ranger doesn't define who he is. His value, status and worth can only be found within the community of toys, on ground level, and not ""up in the skies"". There is no purpose beyond ground zero and our importance lies solely in our ability to bring good to those immediately around us.Buzz heeds Woody's words and quickly gets over his loss of faith. He stages a daring rescue mission, straps a rocket to his back and flies spectacularly in the air, his newfound love for the ""greater good of his family"" quite literally giving him wings.In true Zarathustran fashion, Buzz becomes a pint sized Ubermensch figure, a superman who reaches for the sky but is then brought depressingly back down to Earth. If he would just lower his sights, Woody then says, Buzz would find enough reasons to live. Set free of the ""moral code"" imprinted on him by his makers, Buzz thus adopts a new code which, though it puts limits upon him, negating some of his wild ambitions and reducing him, in an existential sense, to a chunk of plastic, still allows for a Nietzschean war cry. This cry, which Buzz yells every time he jumps across that dark abyss, sums up humanity best: ""To Infinity and Beyond!"" 8.9/10 – With its revolutionary visuals, consistent humour, genuine sense of adventure, memorable characters, slick camera work and a couple action/adventure scenes worthy of George Lucas, ""Toy Story"" is a milestone in cinema, and one of the most influential animated films since ""Snow White"".Most interesting, though, is in observing how Brad Bird reverses Lasseter's themes here with his first Pixar feature, ""The Incredibles"". Brad Bird seems to be the bad boy of Pixar, subverting them from within. Viva la Resistance. Worth multiple viewings.",falling with style,i believe that filmmakers entire work is contained within his first film not that it can all be foreseen but that it can afterwards be verified francois truffaut films my life buzz lightyear glossy action figure with sexy sheen is not mere toy hes space ranger tasked with protecting universe evil emperor zurg his life has meaning he is unique his existence has grand purpose woody dated cowboy doll thinks otherwise he was once youthful exuberant toy favourite plaything his owner andy but years existence have shown him truth everyone is just toy soon be forgotten discarded no one is unique there is no grand purpose no universe save better be realist seeing world without its fake plastic facade tacky ipod veneer course buzz thinks woody is just crazy old timer doesnt woody realise that buzz is genuine space ranger that hes member elite universe protection unit that he alone has information that reveals emperor zurgs weakness that stupid fool naturally we audience identify with woody buzz seems like idiot brainwashed desperate need identity purpose elite universe protection unit merely elevates believers into position exaggerated importance this is idle fantasy other worldly hope adopted by those who cant face dour reality that is real world toys midway film our heroes stumble across horde green alien toys these aliens worship giant claw mechanical god which they believe will descend pluck chosen ones taking them some kind toy heaven reality claw chooses only deluded souls offers them devilish cid phillips sadistic child who mutilates toys nirvana is coming aliens whisper watching as chosen ones are airlifted their deaths buzz lightyear faces similar scenario later film having witnessed television commercial which advertises vast range buzz lightyear action figures buzz must confront fact that he really is just ordinary toy who can not fly flying thus becomes sort nietzschean metaphor ability transcend flesh this case injection moulded plastic become something more buzzs first reaction upon seeing commercial is seek refuge denial i am not toy he says himself before climbing top staircase seeking validate himself by flying by defying laws toy dom he takes giant jump literal leap faith course falls promptly ground he cant fly cue fastest existential crisis ever seen childrens film buzz lightyear promptly falling into deep depression his faith completely destroyed his entire existence was based lie social framework which indoctrinated him into believing that fate whole universe depended his actions how can he continue living why do anything whats point more importantly how hell did this become kids franchise its like demented cartoon by philip k dick do plastic toys dream suicide switches then comes message film woody tells buzz that being space ranger doesnt define who he is his value status worth can only be found within community toys ground level not up skies there is no purpose beyond ground zero our importance lies solely our ability bring good those immediately around us buzz heeds woodys words quickly gets over his loss faith he stages daring rescue mission straps rocket his back flies spectacularly air his newfound love greater good his family quite literally giving him wings true zarathustran fashion buzz becomes pint sized ubermensch figure superman who reaches sky but is then brought depressingly back down earth if he would just lower his sights woody then says buzz would find enough reasons live set free moral code imprinted him by his makers buzz thus adopts new code which though it puts limits upon him negating some his wild ambitions reducing him existential sense chunk plastic still allows nietzschean war cry this cry which buzz yells every time he jumps across that dark abyss sums up humanity best infinity beyond 8 9 10 with its revolutionary visuals consistent humour genuine sense adventure memorable characters slick camera work couple action adventure scenes worthy george lucas toy story is milestone cinema one most influential animated films since snow white most interesting though is observing how brad bird reverses lasseters themes here with his first pixar feature incredibles brad bird seems be bad boy pixar subverting them within viva la resistance worth multiple viewings,0.5334507869391589,0.10804850833920604,Positive,"{'Happy': 0.08, 'Angry': 0.05, 'Surprise': 0.36, 'Sad': 0.17, 'Fear': 0.33}"
10.0,Best animated movies ever made,"Toy Story is one of my favourite animated films! Even as an adult I can still watch it and be entertained. This film is not only nostalgic but is relatable, emotional and a lot of fun!",best animated movies ever made,toy story is one my favourite animated films even as adult i can still watch it be entertained this film is not only nostalgic but is relatable emotional lot fun,0.5750000000000001,0.15000000000000002,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.44, 'Fear': 0.0}"
10.0,Witty Sweet Fun For All Ages. Forever Changed Animated Film,"This is as close to perfection as any animated film has come, entertained parents on a equal plane with their children, and set the bar to the top of the animation film industry. No film has yet come close to Toy Story in legitimizing animation as a film art on the level of movies with live actors. Great comedies are hard to come by - Toy Story strikes gold on that basis alone, but is so much more. One of the Top 100 Greatest Films of All Time, and currently resides on my ""Top 10 Greatest Comedy Films (1960-Present)"" list.",witty sweet fun all ages forever changed animated film,this is as close perfection as any animated film has come entertained parents equal plane with their children set bar top animation film industry no film has yet come close toy story legitimizing animation as film art level movies with live actors great comedies are hard come by toy story strikes gold that basis alone but is so much more one top 100 greatest films all time currently resides my top 10 greatest comedy films 1960 present list,0.5527777777777778,0.38631313131313133,Positive,"{'Happy': 0.31, 'Angry': 0.15, 'Surprise': 0.31, 'Sad': 0.08, 'Fear': 0.15}"
9.0,Plastic Fantastic.,"Y'know, I always suspected that my toys were coming to life when I wasn't looking! In Andy's Room, his toys lead lives of noisy desperation come every birthday and Christmas - no one wants to be one-upped by a new addition to the toy box. Nominally led by Cowboy Woody (there's a Brokeback joke in there just waiting to happen), Mr. Potato Head, Rex the Dinosaur, Ham the piggybank, Bo Peep, Slinky the dog and a smattering of other playthings go about their toy business of playing checkers, hanging with the hometoys and ""plastic corrosion awareness meetings,"" until Andy's birthday party, when they gather expectantly around a transistor radio, listening to the reports of their toy soldier troops ""in the field"" (downstairs watching Andy's gift-opening), hoping that no gift will be exciting enough to cause Andy to neglect *them.* There is. His name is Buzz Lightyear, Space Ranger.Directed by Pixar mainstay John Lasseter, with the voice talents of Tom Hanks (as Woody), Don Rickles, John Ratzenberger (forever Cliff from *Cheers*), R. Lee Ermey, Annie Potts, Jim Varney and Tim Allen (as Buzz), *Toy Story* is that *rara avis* that succeeds on all levels  in its animation, storyline, character development, its messages of friendship and self-realization and, most importantly, its entertainment value. The fact that this is a cartoon (or animated feature  just what DO we call this new wave of computer-generated movies?) is incidental. Which makes the slightly dodgy animation (of the ""real people"") irrelevant - it gets the point across with or without the technological finesse.The ""Disney Movie"" has become synonymous with maudlin messages, redneck fundamentalism, anachronistic family values, boneheaded parents, smart-mouthing youngsters, too-hip-to-be-smart teens and insufferable pets. Though Disney's tyrannical umbrella overarches this film's production studio, Pixar Animation, *Toy Story* somehow avoided all trace of Disney's craven hand, which is doubly surprising, considering this is Pixar's first feature length film, after years of experimentation. Right outa the gate and right outa the field.Sure, there are ""messages,"" but they are heartfelt, rather than maudlin (Woody tells Buzz during Buzz's greatest depression that it matters not what Buzz thinks of himself, what makes him important is what his owner, Andy, thinks of him); there are emotional segments, which are truly heartbreaking, rather than cheesy (when Buzz's escape attempt lands him with a broken arm, proving he is Not A Flying Toy, the lyric, ""Clearly I will go sailing no more,"" launches a thousand hankies); and the portrayal of Andy's family was Pixar's triumphal achievement. Boldly contravening Disney's *idée fixe* of the 1950's nuclear family and Norman Rockwell fantasies, one of the many incarnations of a modern-day family is presented: a single mother with two kids, who are neither geniuses nor monsters, just normal children; happy to visit Pizza Planet and disappointed when favorite toys are lost.Buzz  who believes he is a real life space ranger on a mission to save the universe - become Andy's favorite toy over Woody. The funny thing is: though Buzz believes he is real, he still adheres to toy protocol of ""playing inert"" when humans are in the area. (Maybe it's instinct?) When he mentions saving a toy from Sid, the vicious boy next door, how does he propose to do it if he is to adhere to the inert protocol? Buzz's ingenuousness regarding his role as a toy infuriates Woody to the point of attempted toy-assassination. Through a concatenation of accidents, both he and Buzz become lost and must use teamwork, trust and ingenuity to beat their path back to Andy, which finds them ensconced in scorchingly funny vignettes (Buzz fastening himself in an over-sized seatbelt; both falling in with green, three-eyed aliens; Buzz hyperventilating as ""Mrs. Nesbitt""). During a climactic rocket ride, the callback line, ""This is not flying - this is falling with style,"" simply seals this movie's greatness.At least I now have a plausible explanation as to why my toys always got lost: after going about their toy business, they would just go inert anywhere they happened to be, instead of paying attention to their master's infallible toy filing system.",plastic fantastic,yknow i always suspected that my toys were coming life when i wasnt looking andys room his toys lead lives noisy desperation come every birthday christmas no one wants be one upped by new addition toy box nominally led by cowboy woody theres brokeback joke there just waiting happen mr potato head rex dinosaur ham piggybank bo peep slinky dog smattering other playthings go about their toy business playing checkers hanging with hometoys plastic corrosion awareness meetings until andys birthday party when they gather expectantly around transistor radio listening reports their toy soldier troops field downstairs watching andys gift opening hoping that no gift will be exciting enough cause andy neglect them there is his name is buzz lightyear space ranger directed by pixar mainstay john lasseter with voice talents tom hanks as woody don rickles john ratzenberger forever cliff cheers r lee ermey annie potts jim varney tim allen as buzz toy story is that rara avis that succeeds all levels its animation storyline character development its messages friendship self realization most importantly its entertainment value fact that this is cartoon or animated feature just what do we call this new wave computer generated movies is incidental which makes slightly dodgy animation real people irrelevant it gets point across with or without technological finesse disney movie has become synonymous with maudlin messages redneck fundamentalism anachronistic family values boneheaded parents smart mouthing youngsters too hip be smart teens insufferable pets though disneys tyrannical umbrella overarches this films production studio pixar animation toy story somehow avoided all trace disneys craven hand which is doubly surprising considering this is pixars first feature length film after years experimentation right outa gate right outa field sure there are messages but they are heartfelt rather than maudlin woody tells buzz during buzzs greatest depression that it matters not what buzz thinks himself what makes him important is what his owner andy thinks him there are emotional segments which are truly heartbreaking rather than cheesy when buzzs escape attempt lands him with broken arm proving he is not flying toy lyric clearly i will go sailing no more launches thousand hankies portrayal andys family was pixars triumphal achievement boldly contravening disneys id e fixe 1950s nuclear family norman rockwell fantasies one many incarnations modern day family is presented single mother with two kids who are neither geniuses nor monsters just normal children happy visit pizza planet disappointed when favorite toys are lost buzz who believes he is real life space ranger mission save universe become andys favorite toy over woody funny thing is though buzz believes he is real he still adheres toy protocol playing inert when humans are area maybe its instinct when he mentions saving toy sid vicious boy next door how does he propose do it if he is adhere inert protocol buzzs ingenuousness regarding his role as toy infuriates woody point attempted toy assassination through concatenation accidents both he buzz become lost must use teamwork trust ingenuity beat their path back andy which finds them ensconced scorchingly funny vignettes buzz fastening himself over sized seatbelt both falling with green three eyed aliens buzz hyperventilating as mrs nesbitt during climactic rocket ride callback line this is not flying this is falling with style simply seals this movies greatness at least i now have plausible explanation as why my toys always got lost after going about their toy business they would just go inert anywhere they happened be instead paying attention their masters infallible toy filing system,0.5826847189092088,0.14883602791766057,Positive,"{'Happy': 0.09, 'Angry': 0.02, 'Surprise': 0.3, 'Sad': 0.22, 'Fear': 0.37}"
