Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,The Holy Grail of bad movies,"This is it, folks: the worst movie ever made.I know, I know, there are many who argue that ""Plan 9 from Outer Space"" and ""Manos: The Hands of Fate"" are worse ""films"" than this one. Well, I'd advise those people to give ""Troll 2"" another viewing, this time with an open mind. As something of a self-made authority on the worst of the worst in modern cinematic torture, I feel qualified to make the bold assertion that ""Troll 2"" is the cream of that particular crop.From its laugh-inducing soundtrack (apparently recorded using only a vintage 1980s Casio keyboard) to its unilaterally awful acting, ""Troll 2"" is a life-changing experience, similar to the Middle Ages' trials by fire. If you succeed at ingesting this festering piece of cinematic detritus in one sitting, you will emerge a new person, like a phoenix rising from its own ashes. The watching itself may be painful, but it is ultimately worth the pain to be able to say, with conviction, ""I survived 'Troll 2,' and I'm still technically alive.""The special effects in this movie are, indeed, special -- like a one-legged blind woman with Alzheimer's. Trivia: one of the various Emmanuelles from the infamous ""Emmanuelle"" series of soft-core porno movies designed this movie's pitiful costumes. That should give you some indication of their quality.The acting -- my God, where do I start? Suffice it to say that, if you set any cast member on fire, I would lay down even money that he or she would have a hard time convincing onlookers that it hurt. They're really that bad. More trivia: One of Elliot's ""boys"" in this movie would later go on to reprise his role (Disposable Character in Bad Movie) in the Lou Diamond Phillips classic ""Bats."" Even more trivia: The father in this movie was a local dentist, and most of the extras were bona fide Utah residents, as well. Talk about low-budget.Back to the soundtrack -- There's not a single scene in the movie where the music is appropriate to the on-screen action. I get the impression that the ""composer"" employed for this stinker was, in fact, a failed auditioner for Def Leppard's still-vacant keytarist position. Seriously, it's rare, even in straight-to-video dogs like this one, to hear music of this woeful caliber.What more can I say that hasn't already been set forth in previous reviews? This is the worst movie I have ever seen, and that's saying something. It's physically, mentally, and emotionally exhausting to watch this film -- I recommend doing it alone, at least the first time you see it...that way, you can concentrate on its truly majestic badness -- and on feeling your brain cells die off, one by one, until you are no longer able to speak.Good luck to you, if you decide to watch this one. It doesn't get any worse than ""Troll 2.""ADDENDUM (October 2007): This is still the worst movie of all time. Its status as such will never change. ""Troll 2"" is simply the perfect storm of bad writing, casting, direction, cinematography, costuming, score, makeup, effects, acting, editing, and inspiration.UPDATE (June 2010): I just watched it again. Alone. In one sitting. God help me, some component of my brain must be fundamentally defective.POSTSCRIPT (September 2013): This film continues to alter the life of each man, woman, and child with the good fortune/taste to bathe in its glory. I could not recommend it more strongly.CODA (February 2021): This magnum opus infests my soul still. Daily, I am haunted by its indelible essence. I will never escape.",holy grail bad movies,this is it folks worst movie ever made i know i know there are many who argue that plan 9 outer space manos hands fate are worse films than this one well id advise those people give troll 2 another viewing this time with open mind as something self made authority worst worst modern cinematic torture i feel qualified make bold assertion that troll 2 is cream that particular crop its laugh inducing soundtrack apparently recorded using only vintage 1980s casio keyboard its unilaterally awful acting troll 2 is life changing experience similar middle ages trials by fire if you succeed at ingesting this festering piece cinematic detritus one sitting you will emerge new person like phoenix rising its own ashes watching itself may be painful but it is ultimately worth pain be able say with conviction i survived troll 2 im still technically alive special effects this movie are indeed special like one legged blind woman with alzheimers trivia one various emmanuelles infamous emmanuelle series soft core porno movies designed this movies pitiful costumes that should give you some indication their quality acting my god where do i start suffice it say that if you set any cast member fire i would lay down even money that he or she would have hard time convincing onlookers that it hurt theyre really that bad more trivia one elliots boys this movie would later go reprise his role disposable character bad movie lou diamond phillips classic bats even more trivia father this movie was local dentist most extras were bona fide utah residents as well talk about low budget back soundtrack theres not single scene movie where music is appropriate screen action i get impression that composer employed this stinker was fact failed auditioner def leppards still vacant keytarist position seriously its rare even straight video dogs like this one hear music this woeful caliber what more can i say that hasnt already been set forth previous reviews this is worst movie i have ever seen thats saying something its physically mentally emotionally exhausting watch this film i recommend doing it alone at least first time you see it that way you can concentrate its truly majestic badness feeling your brain cells die off one by one until you are no longer able speak good luck you if you decide watch this one it doesnt get any worse than troll 2 addendum october 2007 this is still worst movie all time its status as such will never change troll 2 is simply perfect storm bad writing casting direction cinematography costuming score makeup effects acting editing inspiration update june 2010 i just watched it again alone one sitting god help me some component my brain must be fundamentally defective postscript september 2013 this film continues alter life each man woman child with good fortune taste bathe its glory i could not recommend it more strongly coda february 2021 this magnum opus infests my soul still daily i am haunted by its indelible essence i will never escape,0.4916745735238887,-0.029600802546008005,Negative,"{'Happy': 0.07, 'Angry': 0.11, 'Surprise': 0.28, 'Sad': 0.28, 'Fear': 0.26}"
,The Best bad movie EVER! Zero Stars out of 5,"This here is a treasure for bad movie buffs like myself. Absolutely unbelievable.Perhaps my favorite scene is when the family is greeted by complete strangers holding a welcome party in the FAMILY's house. Well... their temporary house that they, uh... well, you'd have to see the movie. Anyways, they are in the house and some old lady is playing country music on the piano. Everyone goes ""La la laaa la la la la la la laaaa"" and there is this fantastic breathtaking shot of a person carrying a cake towards the family. Well maybe my real favorite scene is where little Joshua is snooping during a town meeting. They are all discussing the evils of meat, sausages, and clusters of hemorrhoids.I have never seen a more delightful piece of absolute trash in my entire life. Everything here couldn't be more laugh inducing. It's made on such a technically inept level it's unimaginable. Some of the most memorable (not in a good way) lines of dialog are presented here:""Joshua is not a little s***, he's just very sensitive."" ""If my father discovers you here, he'd cut off your little nuts and eat them.""For a film that's titled ""Troll 2"" didn't it seem kind of strange that there were goblins and no trolls in the film? And don't let this fool you into thinking the original Troll film is terrible. It hasn't anything to do with that film.Yes, my friends, if you want bad film-making, look no farther!""Eggs! BLEH!""",best bad movie ever zero stars out 5,this here is treasure bad movie buffs like myself absolutely unbelievable perhaps my favorite scene is when family is greeted by complete strangers holding welcome party familys house well their temporary house that they uh well youd have see movie anyways they are house some old lady is playing country music piano everyone goes la la laaa la la la la la la laaaa there is this fantastic breathtaking shot person carrying cake towards family well maybe my real favorite scene is where little joshua is snooping during town meeting they are all discussing evils meat sausages clusters hemorrhoids i have never seen more delightful piece absolute trash my entire life everything here couldnt be more laugh inducing its made such technically inept level its unimaginable some most memorable not good way lines dialog are presented here joshua is not little s hes just very sensitive if my father discovers you here hed cut off your little nuts eat them film thats titled troll 2 didnt it seem kind strange that there were goblins no trolls film dont let this fool you into thinking original troll film is terrible it hasnt anything do with that film yes my friends if you want bad film making look no farther eggs bleh,0.6556451612903226,0.16850806451612904,Positive,"{'Happy': 0.18, 'Angry': 0.09, 'Surprise': 0.16, 'Sad': 0.3, 'Fear': 0.27}"
1.0,Forced to watch!,"My sister made me watch this. She insisted it was a contagion, a disease she was compelled to spread. After seeing it, I truly understand, relate, and recommend. It's awful! But a transcendent awfulness...you want to pass it around like milk that might be spoiled, but everyone needs to test it anyway.I've never laughed so much at something that isn't even trying to be remotely comedic; it's a travesty.I'm not surprised there are drinking games built around it, but you'll be more than amused watching it sober.Yes, it's that bad! But fun - you want to see it over and over again, and force other people to watch it too. Rent it on a particularly bad day: you'll forget everything irritating in your life, and be weirdly involved in a world of badly-clad midgets; suddenly wondering if baloney sandwiches or urine could possibly be the solution... If you vote, give it a one - it truly deserves the recognition of being one of the worst movies ever.",forced watch,my sister made me watch this she insisted it was contagion disease she was compelled spread after seeing it i truly understand relate recommend its awful but transcendent awfulness you want pass it around like milk that might be spoiled but everyone needs test it anyway ive never laughed so much at something that isnt even trying be remotely comedic its travesty im not surprised there are drinking games built around it but youll be more than amused watching it sober yes its that bad but fun you want see it over over again force other people watch it too rent it particularly bad day youll forget everything irritating your life be weirdly involved world badly clad midgets suddenly wondering if baloney sandwiches or urine could possibly be solution if you vote give it one it truly deserves recognition being one worst movies ever,0.5708333333333333,-0.2680555555555555,Negative,"{'Happy': 0.07, 'Angry': 0.1, 'Surprise': 0.23, 'Sad': 0.3, 'Fear': 0.3}"
1.0,"Do I give it a ""1"" because it was so bad, or a ""10"" because it was so good?","You often hear of movies that are so bad that they're good. It's hard to point to a single movie that is like this though. What some may say is ""so good it's bad"" may come off to others as just plain bad. However, everyone I have talked to who has seen this movie has agreed: Troll 2 is so horribly, shamelessly bad, that it is good.The writing for film is more than awkward (take the redundant ""Stonehenge Magic Stone""), and the character dialogue sounds so incredibly unnatural they might as well be robots. The reason for this is because the man who wrote the script and directed it, Claudio Fragasso, is a native speaker of Italian. He wrote the script in English when English was (barely) his second language. The acting is absolutely terrible, but who can blame them? This was most likely the first (and last) film any of these actors have been in.The costumes and special effects have that wonderful B-movie quality to them. While there are many blaringly obvious errors, I find that the smaller ones are actually funnier. Actors shaking when time is supposed to be ""frozen,"" or flies on their face during the climatic scenes. There are so many continuity mistakes that I sometimes found myself wondering if the director was putting them in on purpose. It was like every time the camera shot changed, the crew completely forgot how the previous shot was set up, and had the actors give their best guess on where they're supposed to be.I think everyone needs to see at least a few horrible movies in their lifetime. Troll 2 is entertaining and hilarious, especially when watched with friends. The plot is ludicrous, but at least you never know what's going to happen next. Many scenes seem completely unnecessary, and this film simply does not bother to justify any of the things that happen in it. The end result is a horror B-movie that ends up being so horrible that you can't help but laugh. The only question I find myself asking now is do I give it a ""1"" because it was so bad, or a ""10"" because it was so good?",do i give it 1 because it was so bad or 10 because it was so good,you often hear movies that are so bad that theyre good its hard point single movie that is like this though what some may say is so good its bad may come off others as just plain bad however everyone i have talked who has seen this movie has agreed troll 2 is so horribly shamelessly bad that it is good writing film is more than awkward take redundant stonehenge magic stone character dialogue sounds so incredibly unnatural they might as well be robots reason this is because man who wrote script directed it claudio fragasso is native speaker italian he wrote script english when english was barely his second language acting is absolutely terrible but who can blame them this was most likely first last film any these actors have been costumes special effects have that wonderful b movie quality them while there are many blaringly obvious errors i find that smaller ones are actually funnier actors shaking when time is supposed be frozen or flies their face during climatic scenes there are so many continuity mistakes that i sometimes found myself wondering if director was putting them purpose it was like every time camera shot changed crew completely forgot how previous shot was set up had actors give their best guess where theyre supposed be i think everyone needs see at least few horrible movies their lifetime troll 2 is entertaining hilarious especially when watched with friends plot is ludicrous but at least you never know whats going happen next many scenes seem completely unnecessary this film simply does not bother justify any things that happen it end result is horror b movie that ends up being so horrible that you cant help but laugh only question i find myself asking now is do i give it 1 because it was so bad or 10 because it was so good,0.521969696969697,0.009329004329004334,Positive,"{'Happy': 0.1, 'Angry': 0.07, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.37}"
1.0,"""There is no hospital in Nilbog"" but there is a looney bin","I collect crappy horror films, particularly the ""creature flicks"" and I have to confess that Troll 2 is my run-away all-time favorite. This movie has absolutely no redeeming qualities, none. Had the acting, story, effects, dialogue, any one of those not been as awful as they are in this film then Troll 2 simply would not be the same. It would have been forgotten long ago and not held as the utter piece of crap that it is. First, there is absolutely no connect with the first Troll movie. This is probably a good thing since the first movie wasn't even funny in an awful way, just horribly lame. There is not a single troll in Troll 2 anyway, since they're all ""goblins."" The premise entails a family (Mom, Dad, Joshua, Holly) in some sort of ""exchange program"" which puts them in a town called Nilbog (get it?). It turns out that the town is really goblins who try to feed humans neon green slop that turns them into part-vegetables. The goblins then eat them. The family is evidently comfortable eating food like corn-on-the-cob with neon green stuff on top and cakes with ""eat up"" written in green ""icing,"" except for Joshua who suspects trouble by virtue of the fact that the boy is in communion with his dead grandfather, a man who conveniently knows all about the goblins and how to conquer them. As if this premise weren't enough, the acting is horrible. Holly has a boyfriend who comes along and drags three of his own friends who each suffer a gruesome fate (turned into a tree, drowned in popcorn, etc). These dorks couldn't score with Nilbog girls if they paid them, but since there's a weird homo erotic feel to their interactions, it probably wouldn't come to that. Holly's BAD at delivering her lines - it reminds me of second grade and how we'd read the parts of a play out loud in class. It sounds prepackaged and faked, like reading off a teleprompter. The Mom is equally awful and has really strange bug eyes. You half expect her to turn into a goblin. Apparently ""row, row, row your boat"" is her favorite song and she makes her family sing it. Joshua looks like he's in constant pain and every whine of his makes you grit your teeth and beg for a chainsaw (Creedence has one!). Although far from being good, the Dad here delivers the best performance, but maybe that's because he reminded me of Craig T. Nelson, who can actually act. As far as costumes, they went crazy with the green dye. It's everywhere. There are only three goblin mask molds that they use on different midget or kid actors so that the goblins look inbred. There's a closeup where we see a goblin's mouth and the fakeness of the mask is revealed. The music is a keyboard synthesizer. The strangest thing about this movie may be the continual string of non-sequiturs. We see ""Nilbog milk"" but we never find out why it's there or what it's supposed to do (It presumably doesn't aid in the vegetable-morph process). We never learn about grandpa's powers, why he's unable to stop the family from eating bad food yet is able to hack a goblin with an axe through a mirror later and produce a Molotov cocktail to hurl at the Nilbog preacher. Why turn Arnold into a tree? Who was that girl randomly running through the forest and why doesn't Arnold seem surprised to see goblins? Just who is Creedence and what does her family being ""from Stonehenge"" have to do with anything? How does ""the power of goodness"" vanquish the goblins? I have to conclude that there's a satirical undercurrent to this film because it's just that random. This film is obviously a local product from somewhere in Utah. It changes your perception of that state. According to the cover, this movie is just over an hour and a half but I swear it feels like a three hour movie. I recommend watching Troll 2 if you like funny bad movies, but it's best watched with friends and intoxicating substances. ""They're eating her! And then they're going to eat me! Oh my gaaaaaaaaaaaaaaawd!""",there is no hospital nilbog but there is looney bin,i collect crappy horror films particularly creature flicks i have confess that troll 2 is my run away all time favorite this movie has absolutely no redeeming qualities none had acting story effects dialogue any one those not been as awful as they are this film then troll 2 simply would not be same it would have been forgotten long ago not held as utter piece crap that it is first there is absolutely no connect with first troll movie this is probably good thing since first movie wasnt even funny awful way just horribly lame there is not single troll troll 2 anyway since theyre all goblins premise entails family mom dad joshua holly some sort exchange program which puts them town called nilbog get it it turns out that town is really goblins who try feed humans neon green slop that turns them into part vegetables goblins then eat them family is evidently comfortable eating food like corn cob with neon green stuff top cakes with eat up written green icing except joshua who suspects trouble by virtue fact that boy is communion with his dead grandfather man who conveniently knows all about goblins how conquer them as if this premise werent enough acting is horrible holly has boyfriend who comes along drags three his own friends who each suffer gruesome fate turned into tree drowned popcorn etc these dorks couldnt score with nilbog girls if they paid them but since theres weird homo erotic feel their interactions it probably wouldnt come that hollys bad at delivering her lines it reminds me second grade how wed read parts play out loud class it sounds prepackaged faked like reading off teleprompter mom is equally awful has really strange bug eyes you half expect her turn into goblin apparently row row row your boat is her favorite song she makes her family sing it joshua looks like hes constant pain every whine his makes you grit your teeth beg chainsaw creedence has one although far being good dad here delivers best performance but maybe thats because he reminded me craig t nelson who can actually act as far as costumes they went crazy with green dye its everywhere there are only three goblin mask molds that they use different midget or kid actors so that goblins look inbred theres closeup where we see goblins mouth fakeness mask is revealed music is keyboard synthesizer strangest thing about this movie may be continual string non sequiturs we see nilbog milk but we never find out why its there or what its supposed do it presumably doesnt aid vegetable morph process we never learn about grandpas powers why hes unable stop family eating bad food yet is able hack goblin with axe through mirror later produce molotov cocktail hurl at nilbog preacher why turn arnold into tree who was that girl randomly running through forest why doesnt arnold seem surprised see goblins just who is creedence what does her family being stonehenge have do with anything how does power goodness vanquish goblins i have conclude that theres satirical undercurrent this film because its just that random this film is obviously local product somewhere utah it changes your perception that state according cover this movie is just over hour half but i swear it feels like three hour movie i recommend watching troll 2 if you like funny bad movies but its best watched with friends intoxicating substances theyre eating her then theyre going eat me oh my gaaaaaaaaaaaaaaawd,0.5472527472527473,-0.05970695970695972,Negative,"{'Happy': 0.1, 'Angry': 0.13, 'Surprise': 0.32, 'Sad': 0.18, 'Fear': 0.27}"
,Another reason to dislike vegetarianism,"Exactly what is that makes Troll 2 so bad? Could it be the atrocious acting? The cringeworthy dialogue? The costumes that look as though they came from the Halloween section at K-Mart? The bizarre yet unintentional homosexual subtext? The unexplained disappearance of certain characters? The fact that the monsters who terrorize the heroes in this movie are referred to as goblins not trolls? I could go on and on...I never saw the first Troll movie, but I'm told that you don't need to see it as the two films are connected in name only. Troll 2 is a rather simple story about the suburban Waits family who decide to exchange houses with a farm family in the town of Nilbog (I'm sure everyone knows the genius behind this name by now). How or why they made such an arrangement is, of course, not explained, as are many other things to come later this film. This also coincides with the youngest son, Joshua's, late-night talks with his deceased Grandpa, who tells him stories about goblins that seek to turn humans into plants and eat them. Once they arrive in Nilbog, Grandpa Seth continuously warns Joshua that the town is inhabited by those very same goblins and he must stop his family from eating anything the Nilbogians offer them. Yes, this really is the plot.Troll 2 was made by Italians with a limited knowledge of English. And it shows with every line of nonsense the characters spout. According to Italian logic, a kick to the groin can make you homosexual, it's healthy to completely forget about your loved ones once they pass on, ghosts can suffer from a bad sense of direction, tightening your belt can ease starvation, and the only song most people know or like is ""Row Row Row Your Boat."" Also, corn is apparently an aphrodisiac. I won't go in to the ridiculousness of the actual quotes; you can see most of them on this page.The nonsensical dialogue is naturally accompanied by nonsensical behavior. A man running from the goblins (culminating in the legendary ""They're eating her and then they're gonna eat me"" scene) seeks refuge in the creepiest house he can find. Joshua stops his family from eating poisoned food by peeing on it and throwing Molotov cocktails at them. Teenage boys have no qualms about sleeping together half-naked. The citizens of Nilbog don't even try not to act suspicious yet no one ever questions their motives. Everyone is perfectly willing to consume spoiled milk and food covered in green slime without a second thought. The characters were so unbelievably stupid and blind that I often wondered why Joshua didn't just throw in the towel and let the Nilbogians eat his idiot family.Well, you have bad dialogue and behavior that defies explanation. What's the next logical step? Get bad actors, of course! The actors in this film have admitted to how inexperienced they were and once again, it shows. The standouts in bad acting would have to be Mama Waits and sister Holly. The mother's bug-eyed expressions and flat line delivery makes her seem cold and distant and the actress portraying Holly wouldn't have gotten a part in one of my high school plays. On the other end of the spectrum you have the preacher, the shop owner, and of course, the deliciously hammy Creedence. These three, while by no means good actors, at least appear to be putting some effort into their performances. Creedence nearly steals every scene she's in, not that that's a difficult accomplishment. I wonder if she had fun making this movie because it sure looks like it.I could go on about more of the negatives of this film: the cheap goblin costumes, the bargain basement special effects (the recycled lightning bolt being the most glaring one), the cheap and out-of-place music score, the ridiculous plot developments (the goblins are repelled by a bologna sandwich, Grandpa Seth does more dead than most people do alive, the contradictory twist ending), but it would be like shooting fish in a barrel. That and I only have 1000 words.Overall, Troll 2 is one of the funnest, most inept horror films you'll ever see; so much so, that I'm sure somewhere the spirit of Ed Wood is looking down upon it and smiling. Maybe he can freeze time like Grandpa Seth so we can appreciate it that much longer.",another reason dislike vegetarianism,exactly what is that makes troll 2 so bad could it be atrocious acting cringeworthy dialogue costumes that look as though they came halloween section at k mart bizarre yet unintentional homosexual subtext unexplained disappearance certain characters fact that monsters who terrorize heroes this movie are referred as goblins not trolls i could go i never saw first troll movie but im told that you dont need see it as two films are connected name only troll 2 is rather simple story about suburban waits family who decide exchange houses with farm family town nilbog im sure everyone knows genius behind this name by now how or why they made such arrangement is course not explained as are many other things come later this film this also coincides with youngest son joshuas late night talks with his deceased grandpa who tells him stories about goblins that seek turn humans into plants eat them once they arrive nilbog grandpa seth continuously warns joshua that town is inhabited by those very same goblins he must stop his family eating anything nilbogians offer them yes this really is plot troll 2 was made by italians with limited knowledge english it shows with every line nonsense characters spout according italian logic kick groin can make you homosexual its healthy completely forget about your loved ones once they pass ghosts can suffer bad sense direction tightening your belt can ease starvation only song most people know or like is row row row your boat also corn is apparently aphrodisiac i wont go ridiculousness actual quotes you can see most them this page nonsensical dialogue is naturally accompanied by nonsensical behavior man running goblins culminating legendary theyre eating her then theyre gonna eat me scene seeks refuge creepiest house he can find joshua stops his family eating poisoned food by peeing it throwing molotov cocktails at them teenage boys have no qualms about sleeping together half naked citizens nilbog dont even try not act suspicious yet no one ever questions their motives everyone is perfectly willing consume spoiled milk food covered green slime without second thought characters were so unbelievably stupid blind that i often wondered why joshua didnt just throw towel let nilbogians eat his idiot family well you have bad dialogue behavior that defies explanation whats next logical step get bad actors course actors this film have admitted how inexperienced they were once again it shows standouts bad acting would have be mama waits sister holly mothers bug eyed expressions flat line delivery makes her seem cold distant actress portraying holly wouldnt have gotten part one my high school plays other end spectrum you have preacher shop owner course deliciously hammy creedence these three while by no means good actors at least appear be putting some effort into their performances creedence nearly steals every scene shes not that thats difficult accomplishment i wonder if she had fun making this movie because it sure looks like it i could go about more negatives this film cheap goblin costumes bargain basement special effects recycled lightning bolt being most glaring one cheap out place music score ridiculous plot developments goblins are repelled by bologna sandwich grandpa seth does more dead than most people do alive contradictory twist ending but it would be like shooting fish barrel that i only have 1000 words overall troll 2 is one funnest most inept horror films youll ever see so much so that im sure somewhere spirit ed wood is looking down upon it smiling maybe he can freeze time like grandpa seth so we can appreciate it that much longer,0.4775431987140848,0.04594233473980312,Positive,"{'Happy': 0.05, 'Angry': 0.09, 'Surprise': 0.23, 'Sad': 0.26, 'Fear': 0.37}"
1.0,Infectious Disease,"I'm ashamed to admit I've seen this. I don't know what's worst- the ""plot"" or the ""acting"" -I've never seen a more hideous and inept cast! And how about the ""special effects"" and lame 80's music? Not to mention the hair, clothes, the lack of continuity... and that dance sequence! Was that really necessary?The only positive thing I can say is that I laughed... but it's not supposed to be funny.And, huh, ""Nilbog?"" Who saw THAT coming?Horribly bad in an epic way. Torment friends, neighbors, love interests and total strangers with this, PLEASE!I Suffered through it! I inflict it on everyone I know, like the infectious disease it is. Give it a ""1"" but spread it around.",infectious disease,im ashamed admit ive seen this i dont know whats worst plot or acting ive never seen more hideous inept cast how about special effects lame 80s music not mention hair clothes lack continuity that dance sequence was that really necessary only positive thing i can say is that i laughed but its not supposed be funny huh nilbog who saw that coming horribly bad epic way torment friends neighbors love interests total strangers with this please i suffered through it i inflict it everyone i know like infectious disease it is give it 1 but spread it around,0.6416821273964131,0.031029684601113185,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.22, 'Fear': 0.26}"
4.0,Sure its bad but worst ever? nah,"Yes, the acting is bad, the costumes are cheap and the music is laughable. But worst movie of all time? definitely not. I don't have the energy to dissect the film scene by scene nor would anyone want that, but I actually did enjoy certain aspects of the film, what I enjoyed was its 'campy' improvised feel, and how it always manages to avoid cliché, and that even in the most unconventional ways. The film has the creators stamp all over it and when he encounters a snag or hiccup in the plot, be damned to those who disagree with how one should deal it, he plows through it and comes up with his own completely unique solution no matter how illogical it may be. This is film this is make believe, I don't care if it makes sense it is actually refreshing to see a little bit of 'weird' now and then. That is not to say that I wholly enjoyed the film, I found it to drag on and several times let myself be distracted by other things while the film played, it is no great film even in its badness, it is bad for sure, but there were more than a few entertaining moments. For instance, Troll 2 has nothing to do with trolls, it is a movie about goblins, but hey whatever just a technicality eh? lololol.",sure its bad but worst ever nah,yes acting is bad costumes are cheap music is laughable but worst movie all time definitely not i dont have energy dissect film scene by scene nor would anyone want that but i actually did enjoy certain aspects film what i enjoyed was its campy improvised feel how it always manages avoid clich that even most unconventional ways film has creators stamp all over it when he encounters snag or hiccup plot be damned those who disagree with how one should deal it he plows through it comes up with his own completely unique solution no matter how illogical it may be this is film this is make believe i dont care if it makes sense it is actually refreshing see little bit weird now then that is not say that i wholly enjoyed film i found it drag several times let myself be distracted by other things while film played it is no great film even its badness it is bad sure but there were more than few entertaining moments instance troll 2 has nothing do with trolls it is movie about goblins but hey whatever just technicality eh lololol,0.6081679894179893,-0.014107142857142837,Negative,"{'Happy': 0.11, 'Angry': 0.08, 'Surprise': 0.22, 'Sad': 0.3, 'Fear': 0.3}"
1.0,"If this movie passes for a horror flick, then so does Bambi","YIKES! I have not seen this movie recently, but I remember wanting to see it when I was very young, right when it had just came out. I believe I was 7 or 8, and I saw the movie in a blockbuster, read the back as best as I could, and said, ""That sounds funny"". I vaguely remember an opening scene where a man is being fed food by a girl, and he turns into a tree or dies or something, and immediately, I thought, ""What the hell is this crap?"". The movie progresses at an equally bad rate: A family comes to a town called Nilbog, and not a single one of them notices that Nilbog spelled backwards is Goblin, which makes no sense, because the title of the movie is, I believe, TROLL 2, not Goblin 2. Of course, the lead character, a small boy, happens to glance into a rear view mirror on his parents car, and see's that Nilbog backwards spells Goblin. Only one problem: Nilbog reflected in a rear view mirror spells qodliN, not gobliN. WHOOPS! Then there's this stupid chase scene through a forest, where Goblins keep on popping up from nowhere, and urging people to run towards them. Over all, this movie was pure junk. 1 star because I am in a good mood.",if this movie passes horror flick then so does bambi,yikes i have not seen this movie recently but i remember wanting see it when i was very young right when it had just came out i believe i was 7 or 8 i saw movie blockbuster read back as best as i could said that sounds funny i vaguely remember opening scene where man is being fed food by girl he turns into tree or dies or something immediately i thought what hell is this crap movie progresses at equally bad rate family comes town called nilbog not single one them notices that nilbog spelled backwards is goblin which makes no sense because title movie is i believe troll 2 not goblin 2 course lead character small boy happens glance into rear view mirror his parents car sees that nilbog backwards spells goblin only one problem nilbog reflected rear view mirror spells qodlin not goblin whoops then theres this stupid chase scene through forest where goblins keep popping up nowhere urging people run towards them over all this movie was pure junk 1 star because i am good mood,0.5524444444444445,-0.028952380952380945,Negative,"{'Happy': 0.07, 'Angry': 0.1, 'Surprise': 0.37, 'Sad': 0.17, 'Fear': 0.3}"
1.0,"Awful, but funniest thing ever.","Imagine....some really bored media students who have rented a motor-home and have loads of popcorn to be used. Then imagine a film where those are the most expensive things in it. This is that film. Troll 2 - yet has no troll. Just goblins. But hey. The first time I saw this, I wished I had been wearing a nappy or sitting on a very big sponge, it is that funny. Personally, I could not get up from rolling around on the floor, nor the people I was with, although they had it worse, as they kept falling off the bed. Unfortunately, it is funny without meaning to be, simply because it is that bad. It seems to just have people dragged in from the street in the leading roles, which could well be true. Maybe somebody was very drunk when they decided to make this film. Or when they made it. Or when they went ahead with all the stages of production. Just possibly. Anyway, it is hilarious. I got my DVD copy for £2. That says it all really I would say. Watch this film if you want to see: neon-coloured food, children in masks and dressed in sacks charging around a forest set to a dodgy 1990-theme, awful make up, worse acting, even worse dialogue, the funniest yokels ever (including Sheriff Freak - 'nuff said) and the mightiest weapon ever seen in any film ever. Go on, watch it. Best laugh of my life, could be yours too.",awful but funniest thing ever,imagine some really bored media students who have rented motor home have loads popcorn be used then imagine film where those are most expensive things it this is that film troll 2 yet has no troll just goblins but hey first time i saw this i wished i had been wearing nappy or sitting very big sponge it is that funny personally i could not get up rolling around floor nor people i was with although they had it worse as they kept falling off bed unfortunately it is funny without meaning be simply because it is that bad it seems just have people dragged street leading roles which could well be true maybe somebody was very drunk when they decided make this film or when they made it or when they went ahead with all stages production just possibly anyway it is hilarious i got my dvd copy 2 that says it all really i would say watch this film if you want see neon coloured food children masks dressed sacks charging around forest set dodgy 1990 theme awful make up worse acting even worse dialogue funniest yokels ever including sheriff freak nuff said mightiest weapon ever seen any film ever go watch it best laugh my life could be yours too,0.6103105590062111,-0.08478260869565213,Negative,"{'Happy': 0.04, 'Angry': 0.06, 'Surprise': 0.44, 'Sad': 0.29, 'Fear': 0.17}"
