Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,The greatest good surprise for me since a while...,"I'll be honest, I have never been courageous enough to Watch a movie from India, Bollywood. The only thinking to Watch one movie from here scared me to death. I won't explain why, you could misunderstand me. So, I first read the comments in magazines about this one, and made an attempt. At my own risks...And was amazingly surprised. A truly good surprise, a genuine film noir, real dark, whilst with comedy scenes, such as this one: with some of the guys Under custody explaining to the police officer how to use a cell phone as a camera...It could have been used in the new wave crime flicks from UK and USA, as we see since Quentin Tarantino arrival, two decades ago...An offbeat way of filming and especially story telling. No hero here, no good vs bad guys scheme. A depressing tale, if you analyse the tale in detail. With a downbeat and totally surprising end. This director deserves to be watched, although this kind of stuff is not for all audiences. Not for sissies or romantic addicts.",greatest good surprise me since while,ill be honest i have never been courageous enough watch movie india bollywood only thinking watch one movie here scared me death i wont explain why you could misunderstand me so i first read comments magazines about this one made attempt at my own risks was amazingly surprised truly good surprise genuine film noir real dark whilst with comedy scenes such as this one with some guys under custody explaining police officer how use cell phone as camera it could have been used new wave crime flicks uk usa as we see since quentin tarantino arrival two decades ago offbeat way filming especially story telling no hero here no good vs bad guys scheme depressing tale if you analyse tale detail with downbeat totally surprising end this director deserves be watched although this kind stuff is not all audiences not sissies or romantic addicts,0.7024793388429752,0.13233471074380165,Positive,"{'Happy': 0.16, 'Angry': 0.03, 'Surprise': 0.32, 'Sad': 0.32, 'Fear': 0.16}"
9.0,"Another engaging, dark thriller from AK.","I saw it at a local film festival last night and thought it was quite good. It is probably one of the darkest Bolly movie I've seen. This is the opposite of a family movie -- the plot is very dark, characters very gray, and language very adult. It has a very realistic feel to it. Other than Ronit Roy it was all new faces on the screen. There is no likable character in the movie, but there are a few scenes where you can't help but empathize with their situation and find justification for their actions. There is a little bit of dark humor sprinkled throughout. This is not a movie for general audience, but if you enjoy dark movies that are good character studies then I'd highly recommend checking this one out.",another engaging dark thriller ak,i saw it at local film festival last night thought it was quite good it is probably one darkest bolly movie ive seen this is opposite family movie plot is very dark characters very gray language very adult it has very realistic feel it other than ronit roy it was all new faces screen there is no likable character movie but there are few scenes where you cant help but empathize with their situation find justification their actions there is little bit dark humor sprinkled throughout this is not movie general audience but if you enjoy dark movies that are good character studies then id highly recommend checking this one out,0.39426406926406926,0.08026334776334776,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.18, 'Sad': 0.23, 'Fear': 0.36}"
10.0,Ugly - An ugly state of affairs in the lives of ordinary people,"Anurag Kashyap yet again proves that he is in a league by himself among accomplished Bollywood directors. Lately in Bollywood there has been a surge in talented writers/directors creating movies that steer away from typical Bollywood glitz, glamor and grandeur. These glamorous movies appeal to the delusions of most of the Indian audience. But audience who take movies as a form of art and source for inspiration can see through the bling and realize that the substance is utterly lacking. Writers/Directors like Kashyap do not have audience in their mind when they create movies, they cater their work for themselves, which in my opinion brings the best out of any creator of art.Ugly is a tale of ordinary lives involved in extraordinary circumstances. It starts out with a missing child followed by sequences that will make you utterly hate some characters initially. But as the movie unfolds and characters develop on screen, opinions on most of the characters will gradually change. This is a rarity in Bollywood movies, because many of them have characters that are purely good or evil. There is no middle ground, everything is looked as black or white and 30 minutes into the movie you can predict the plot by connecting dots between good and bad characters. But what if you start watching a movie where characters are constantly evolving on screen and every character has some evil and some nobility to him? That is when things become unpredictable and keep you on the edge of your seat if it is a thriller like this story is.Greed and desperation, combined with poverty has a way of bringing out monsters in people you would usually deem as normal. Let me go ahead and say that you will find no character likable in the movie. Correction, I liked all the characters, but I could not root for any of them. But if I had to make an exception I would say one character would come out in a positive light by the end of the movie, even if there is some evil to him/her.This movie is very condensed and concentrated with many raw, heavy hitting scenes that prompt vivid reactions from expressive audience. The plot is captivating and progresses linearly, with some retrospection in-between. Kashyap manages to have his audience on the edge of their seats 15 minutes into the movie. If you are a sucker for suspense thrillers like I am, you wont be leaning back for the rest of the movie. Kashyap also compels you to empathize and cringe at the plight and despair of characters, a lot of which is brought onto them by themselves. Kashyap is a master at writing characters and finding impeccable actors to bring them to life. The lack of make up combined with many improvised scenes give a ""real life"" rawness and experience you are not used to in Bollywood movies. The movie ""Apocalypse Now"" where the character played by Marlon Brando talks about ""the horror"" is a scene that resonates deeply with audience. That was an improvised scene played by Brando who hardly could remember the lines and thus improvised in front of cameras to give us arguably the greatest scene ever. Kashyap obviously understands the positives of improvisation and lets his extremely talented cast do their thing. I only hope these actors get the recognition they deserve.All in all, Ugly is the best Bollywood has to offer for the year 2014. I can confidently say that without even watching 99% of Hindi movies that came out in 2014. It is entertaining and inspiring. I wish I could meet Mr. Kashyap in person and thank him for all the wonderful creations. He is one of the very few reasons I still bother with Bollywood. I wish he managed to squeeze in Kay Kay Menon and Manoj Bajpai somewhere, that is the only (silly) complaint I have about this movie.",ugly ugly state affairs lives ordinary people,anurag kashyap yet again proves that he is league by himself among accomplished bollywood directors lately bollywood there has been surge talented writers directors creating movies that steer away typical bollywood glitz glamor grandeur these glamorous movies appeal delusions most indian audience but audience who take movies as form art source inspiration can see through bling realize that substance is utterly lacking writers directors like kashyap do not have audience their mind when they create movies they cater their work themselves which my opinion brings best out any creator art ugly is tale ordinary lives involved extraordinary circumstances it starts out with missing child followed by sequences that will make you utterly hate some characters initially but as movie unfolds characters develop screen opinions most characters will gradually change this is rarity bollywood movies because many them have characters that are purely good or evil there is no middle ground everything is looked as black or white 30 minutes into movie you can predict plot by connecting dots between good bad characters but what if you start watching movie where characters are constantly evolving screen every character has some evil some nobility him that is when things become unpredictable keep you edge your seat if it is thriller like this story is greed desperation combined with poverty has way bringing out monsters people you would usually deem as normal let me go ahead say that you will find no character likable movie correction i liked all characters but i could not root any them but if i had make exception i would say one character would come out positive light by end movie even if there is some evil him her this movie is very condensed concentrated with many raw heavy hitting scenes that prompt vivid reactions expressive audience plot is captivating progresses linearly with some retrospection between kashyap manages have his audience edge their seats 15 minutes into movie if you are sucker suspense thrillers like i am you wont be leaning back rest movie kashyap also compels you empathize cringe at plight despair characters lot which is brought onto them by themselves kashyap is master at writing characters finding impeccable actors bring them life lack make up combined with many improvised scenes give real life rawness experience you are not used bollywood movies movie apocalypse now where character played by marlon brando talks about horror is scene that resonates deeply with audience that was improvised scene played by brando who hardly could remember lines thus improvised front cameras give us arguably greatest scene ever kashyap obviously understands positives improvisation lets his extremely talented cast do their thing i only hope these actors get recognition they deserve all all ugly is best bollywood has offer year 2014 i can confidently say that without even watching 99 hindi movies that came out 2014 it is entertaining inspiring i wish i could meet mr kashyap person thank him all wonderful creations he is one very few reasons i still bother with bollywood i wish he managed squeeze kay kay menon manoj bajpai somewhere that is only silly complaint i have about this movie,0.6182863490675992,0.07739328379953381,Positive,"{'Happy': 0.06, 'Angry': 0.02, 'Surprise': 0.2, 'Sad': 0.32, 'Fear': 0.4}"
9.0,Kashyap's Darkest & Finest Hour!,"Anurag Kashyap delivers a disturbing & unsettling tale with 'Ugly', a film that's raw & realistic. Kashyap also aces with superb performances, led by Ronit Roy & Rahul Bhat. 'Ugly' Synopsis: A terrible tale of corruption, indifference, and systemic violence starts when 10 year old daughter of an aspiring actor disappears.Throughly engaging & interesting, Kashyap creates a world of deception & cruelty, with absolutely no inhibitions. 'Ugly' is entirely grim & bleak, a film that has an atmosphere of its own. The characters are Grey, while the narrative is blunt & on-your-face.Kashyap's Screenplay is excellent. Its entirely twisted & serious. I'd like to point out, the last scene of the film, it's haunting & the Screenplay peaks itself then. Kashyap's Direction is suitably creepy & eerie. Cinematography & Editing are perfect Performance-Wise: Ronit Roy is outstanding as the cop. Displaying anger & frustration, with zeal. Rahul Bhat is a revelation. His performance here, deserves distinction marks. Tejaswini Kolhapure is brilliantly restrained. Vineet Kumar Singh is fabulous, yet again. Girish Kulkarni is highly effective. Surveen Chawla is effective, in a brief role. Siddhanth Kapoor is impressive. Late Abir Goswami is decent. On the whole, 'Ugly' is a massive winner from Kashyap! He ends 2014, with a roar! Very Strongly Recommended!",kashyaps darkest finest hour,anurag kashyap delivers disturbing unsettling tale with ugly film thats raw realistic kashyap also aces with superb performances led by ronit roy rahul bhat ugly synopsis terrible tale corruption indifference systemic violence starts when 10 year old daughter aspiring actor disappears throughly engaging interesting kashyap creates world deception cruelty with absolutely no inhibitions ugly is entirely grim bleak film that has atmosphere its own characters are grey while narrative is blunt your face kashyaps screenplay is excellent its entirely twisted serious id like point out last scene film its haunting screenplay peaks itself then kashyaps direction is suitably creepy eerie cinematography editing are perfect performance wise ronit roy is outstanding as cop displaying anger frustration with zeal rahul bhat is revelation his performance here deserves distinction marks tejaswini kolhapure is brilliantly restrained vineet kumar singh is fabulous yet again girish kulkarni is highly effective surveen chawla is effective brief role siddhanth kapoor is impressive late abir goswami is decent whole ugly is massive winner kashyap he ends 2014 with roar very strongly recommended,0.7681163708086785,0.009809335963182123,Positive,"{'Happy': 0.21, 'Angry': 0.03, 'Surprise': 0.12, 'Sad': 0.36, 'Fear': 0.27}"
9.0,"Dark, Intense and Disturbing : A tale of wretched human motives","It is one of the best to have come out of the Kashyap factory in terms of script and characters. It is one taut, dark, intense and disturbing tale of wretched nature of the human motives and how the grand plan has it's own way of laughing at those.Interestingly Ugly through each of it's elements will take you back to Kashyap's previous works and remind you why he is truly the king. The brilliant script writing will remind you of Black Friday, Kashyap's first masterpiece. The excellent visual treatment, even though it's not a feature throughout the film is something without which any of AK's films is incomplete. The trippy background score by Brian Oncomber is the stand out feature in the second half of the film when the film begins to approach the tipping point.Without doubt, the hero of the film is it's characters. Rarely would you come across a film full of complex characters, where the motives of every action of those characters get automatically clear as the story progresses. You do not know what to appreciate more, the courage with which the director is bluntly showing the depraved complexion of human nature or the ease with which that has been knit in a story.The non linear nature of the storytelling in the first half brings the necessary variation which adds to the build up.Rahul Bhat who is seen on screen after a long gap tells you why there is no dearth of excellent character actors in the country, it's just that there are not enough roles for them. Vineet Singh, aka Danish Khan from GOW, will make you cringe and laugh with the expletive chain reaction. Ronit Roy, in his second powerhouse appearance in a Kashyap production, is perfectly cast. And one performance which is straight out of life is of Girish Kulkarni, as the police inspector. There is as much sincerity in his laugh as is in his sombre face. The one liners are so on mark that you would forget that there is a reel rolling.Surely, the film has some of it's elements similar to that of Fargo, the classic Hollywood dark comedy, but it never plays on your mind, so it wouldn't qualify as lifting. Kashyapwa has done it again. Can't believe what made them to hold the film for so long.Dear AK, you are the dark shining light of Bollywood. Keep'em coming",dark intense disturbing tale wretched human motives,it is one best have come out kashyap factory terms script characters it is one taut dark intense disturbing tale wretched nature human motives how grand plan has its own way laughing at those interestingly ugly through each its elements will take you back kashyaps previous works remind you why he is truly king brilliant script writing will remind you black friday kashyaps first masterpiece excellent visual treatment even though its not feature throughout film is something without which any aks films is incomplete trippy background score by brian oncomber is stand out feature second half film when film begins approach tipping point without doubt hero film is its characters rarely would you come across film full complex characters where motives every action those characters get automatically clear as story progresses you do not know what appreciate more courage with which director is bluntly showing depraved complexion human nature or ease with which that has been knit story non linear nature storytelling first half brings necessary variation which adds build up rahul bhat who is seen screen after long gap tells you why there is no dearth excellent character actors country its just that there are not enough roles them vineet singh aka danish khan gow will make you cringe laugh with expletive chain reaction ronit roy his second powerhouse appearance kashyap production is perfectly cast one performance which is straight out life is girish kulkarni as police inspector there is as much sincerity his laugh as is his sombre face one liners are so mark that you would forget that there is reel rolling surely film has some its elements similar that fargo classic hollywood dark comedy but it never plays your mind so it wouldnt qualify as lifting kashyapwa has done it again cant believe what made them hold film so long dear ak you are dark shining light bollywood keepem coming,0.4784869976359338,0.14787234042553193,Positive,"{'Happy': 0.07, 'Angry': 0.03, 'Surprise': 0.22, 'Sad': 0.28, 'Fear': 0.4}"
10.0,Ugly - The Requiem for the Dreams,"So what is UGLY? Is it something like SHAITAAN, everyone has a UGLY side ..blah blah?? Or is it like Black Friday, pure reality of the system?? The best Kashyap's movie??I would say it shows how great Anurag Kashyak is as a film maker. It is a cocktail of intensity and emotional finesse from the Korean Movies, the craziness from the Brazilian, the shock from the Italian and the Caos from Fincher.The movie is so real, for an Indian audience he would not be surprised with a lot of things as he/she know the system, but he would definitely be surprised to see the limit of it, and to see what could be wrong. The movie shows the limit of efforts one can put and how desperate one gets. The humans are shown as parasites surviving on others, and how UGLY can they get for their survival and dreams. And when these dreams don't fulfill as planned things get UGLYThe movie is a really well written mystery thriller, the screenplay is amazing, the characters are real, and the acting is wonderful. Amazing work at the casting and background score.There is no shaitaan side of people they are actually like that to the core -UGLY",ugly requiem dreams,so what is ugly is it something like shaitaan everyone has ugly side blah blah or is it like black friday pure reality system best kashyaps movie i would say it shows how great anurag kashyak is as film maker it is cocktail intensity emotional finesse korean movies craziness brazilian shock italian caos fincher movie is so real indian audience he would not be surprised with lot things as he she know system but he would definitely be surprised see limit it see what could be wrong movie shows limit efforts one can put how desperate one gets humans are shown as parasites surviving others how ugly can they get their survival dreams when these dreams dont fulfill as planned things get uglythe movie is really well written mystery thriller screenplay is amazing characters are real acting is wonderful amazing work at casting background score there is no shaitaan side people they are actually like that core ugly,0.6696969696969698,0.0021645021645022074,Positive,"{'Happy': 0.06, 'Angry': 0.03, 'Surprise': 0.4, 'Sad': 0.29, 'Fear': 0.23}"
10.0,"A brilliantly scripted, extraordinary directed & perfectly executed movie.","The year 2014 has its last release on its last Friday, named Ugly, a suspense thriller movie by Anurag Kashyap. He is known for his dramatic, unique, bold and dark flicks. I have mostly seen all his films, but, however this film is very different and so much dark. In trailer, we can conclude the storyline of Ugly. A girl is missing from the market, whose parents are not staying together. She lives with her mom and her step father. Everyone except this girl has dark sides, dark past. So when the girl got missing the girl's step father who is an IPS, starts finding her among her relatives. The story is very very fast, no one can move their eyes from the screen not a single second. Will the girl be found ? Who kidnapped her - her father, mother or anyone else? In the end, you will get the answer. & I'm sure, the answer will be so disturbing for all of you. As per my experience, you can not able to stand up instantly after the end. Ronit Roy as an IPS & as a step-father & as a woman's second husband - in all three shades, he is just outstanding. His expressions when he shows his anger are too good. Rahul Bhat is an impressive actor, he plays the lead role brilliantly. Dark shades under his eyes and beard face look describes the dedication from him towards his role. Tejaswini perfectly suits in her role. Vinit Singh is as usual fantastic. Surveen Chawala is good. Others are also good. I have to mention an actor, who plays the role of DCP Gupta, Abir Goswami. He is just fabulous in his role. The 4-5 minutes scene where Rahul and Vinit explain the incident in the police station, is just hilarious. I couldn't control myself & just laughing. OMG! What a scene! This scene deserves 5/5 from my side. Anurag Kashyap again proved that he is the king of making dark and period films. His direction as well as writing is very sharp. Screenplay, dialogues, background music - everything is extraordinary. Specially that music when the police is catching the man dancing in underwear. So, brilliantly scripted, extraordinary directed & perfectly executed film Ugly deserves 5*/5*. But, this film is not for family audiences or those who can't see Ugly things.",brilliantly scripted extraordinary directed perfectly executed movie,year 2014 has its last release its last friday named ugly suspense thriller movie by anurag kashyap he is known his dramatic unique bold dark flicks i have mostly seen all his films but however this film is very different so much dark trailer we can conclude storyline ugly girl is missing market whose parents are not staying together she lives with her mom her step father everyone except this girl has dark sides dark past so when girl got missing girls step father who is ips starts finding her among her relatives story is very very fast no one can move their eyes screen not single second will girl be found who kidnapped her her father mother or anyone else end you will get answer im sure answer will be so disturbing all you as per my experience you can not able stand up instantly after end ronit roy as ips as step father as womans second husband all three shades he is just outstanding his expressions when he shows his anger are too good rahul bhat is impressive actor he plays lead role brilliantly dark shades under his eyes beard face look describes dedication him towards his role tejaswini perfectly suits her role vinit singh is as usual fantastic surveen chawala is good others are also good i have mention actor who plays role dcp gupta abir goswami he is just fabulous his role 4 5 minutes scene where rahul vinit explain incident police station is just hilarious i couldnt control myself just laughing omg what scene this scene deserves 5 5 my side anurag kashyap again proved that he is king making dark period films his direction as well as writing is very sharp screenplay dialogues background music everything is extraordinary specially that music when police is catching man dancing underwear so brilliantly scripted extraordinary directed perfectly executed film ugly deserves 5 5 but this film is not family audiences or those who cant see ugly things,0.6505361192095886,0.14317055393586006,Positive,"{'Happy': 0.21, 'Angry': 0.06, 'Surprise': 0.17, 'Sad': 0.34, 'Fear': 0.23}"
10.0,Magic of Kashyap,This is one of the best multilayered dark thrillers I have seen in my life. In the limited budget they fabulously crafted this story. This film will keep you engaged throughout. And this film will haunt you for several days. This is one of the gem film of anurag kashyap.,magic kashyap,this is one best multilayered dark thrillers i have seen my life limited budget they fabulously crafted this story this film will keep you engaged throughout this film will haunt you several days this is one gem film anurag kashyap,0.47380952380952385,0.2797619047619048,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.29}"
4.0,Too Many Loose Ends and Unanswered Questions,"Typical AK movie focusing on the dark and the ugly in the world, yet gripping to watch. However, I was disappointed with a number of unanswered questions and illogical events. Spoilers Ahead*The mask seller who died had to be the prime suspect all along. Yet the police are so inept that they never mount a serious investigation into his and his aunt's antecedents till the end of the movie. The police even mount a nationwide hunt and recover many abducted children, yet they choose not to pursue the most logical line of investigation till the end. How convenient for the director! Rahul and Chaitanya commit several serious crimes such as armed robbery and assault and buying illegal arms. Yet they walk around free. The robbed jeweler presumably did not lodge any FIR, in order to not make things difficult for the director!It is not clear why Chaitanya had been such a help to Rahul earlier but now wants to help himself to ransom money? He is a prime suspect in the eyes of the police after his first ransom bid, yet the police allow him to walk away, and then make a second bid. The police does not put him under surveillance or confiscate his computer or search his office immediately after the second ransom bid, even though they know he had attempted this earlier. How convenient for the director!Shalini gives away the ransom money but makes no attempt to secure the child in exchange or even convince herself that the child is alive and she will be returned. Who behaves like that?Her father is shown to be well off and loving. She is herself educated and from a good family. Yet she endures ill-treatment from her husbands for herself and her child but does not seek her dad's help.Rahul kills Chaitanya in a rage supposedly because he realizes that Chaitanya has been lying to him about Bose abducting the child. Yet he does not ask himself why would Bose do this for ransom and assuming he did so, why would he release the child later, because his motive is supposedly to frame Rahul and not lay his hands on money.There are many other illogical details such as these. This is the main grouse I have with films and directors that purport to be realistic and intelligent, yet assume that their audience does not have a brain and will accept anything. And looking at the critics raving about this movie and its ratings, who would blame them?",too many loose ends unanswered questions,typical ak movie focusing dark ugly world yet gripping watch however i was disappointed with number unanswered questions illogical events spoilers ahead mask seller who died had be prime suspect all along yet police are so inept that they never mount serious investigation into his his aunts antecedents till end movie police even mount nationwide hunt recover many abducted children yet they choose not pursue most logical line investigation till end how convenient director rahul chaitanya commit several serious crimes such as armed robbery assault buying illegal arms yet they walk around free robbed jeweler presumably did not lodge any fir order not make things difficult director it is not clear why chaitanya had been such help rahul earlier but now wants help himself ransom money he is prime suspect eyes police after his first ransom bid yet police allow him walk away then make second bid police does not put him under surveillance or confiscate his computer or search his office immediately after second ransom bid even though they know he had attempted this earlier how convenient director shalini gives away ransom money but makes no attempt secure child exchange or even convince herself that child is alive she will be returned who behaves like that her father is shown be well off loving she is herself educated good family yet she endures ill treatment her husbands herself her child but does not seek her dads help rahul kills chaitanya rage supposedly because he realizes that chaitanya has been lying him about bose abducting child yet he does not ask himself why would bose do this ransom assuming he did so why would he release child later because his motive is supposedly frame rahul not lay his hands money there are many other illogical details such as these this is main grouse i have with films directors that purport be realistic intelligent yet assume that their audience does not have brain will accept anything looking at critics raving about this movie its ratings who would blame them,0.4874589086127547,0.055078895463510844,Positive,"{'Happy': 0.08, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.29}"
10.0,"Deeply moving film, Anurag kashyap's best till date...","Ugly, undoubtedly the best movie of Anurag kashyap till date, he manages to keep the suspense alive and bring across crucial twists. Ronit Roy steals the show with his best performance and all the cast especially, Rahul bhatt and Vineet kumar did great job. This is about how we tend to lose greater things in life because we are too stuck on our own perceptions. Directed in a very realistic way, I didn't find any flaws in this movie, everything is perfectly crafted in Kashyap style with no violence or gang-fights. I would recommend this movie to anyone who is a fan of dark thrillers, I am sure you wont get disappointed with Ugly though the movie is not at all ugly, in fact its a beautiful film with good message to society. I give it 10/10.",deeply moving film anurag kashyaps best till date,ugly undoubtedly best movie anurag kashyap till date he manages keep suspense alive bring across crucial twists ronit roy steals show with his best performance all cast especially rahul bhatt vineet kumar did great job this is about how we tend lose greater things life because we are too stuck our own perceptions directed very realistic way i didnt find any flaws this movie everything is perfectly crafted kashyap style with no violence or gang fights i would recommend this movie anyone who is fan dark thrillers i am sure you wont get disappointed with ugly though movie is not at all ugly fact its beautiful film with good message society i give it 10 10,0.7011111111111111,0.2633333333333333,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.39, 'Fear': 0.32}"
