Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Indian Godfather,"This movie has been in the making for a decade or more and its totally worth it and understandable! Every character, scene, dialogue means something and its so well etched that you have to accept it sets a benchmark for regional cinema. It is comparable to all the great gangster dramas that world has produced like the untouchables, godfather, and our own nayagan, satya and gangs of wasseypur. Amusing that directors find their best work in describing crime from its origin to effect.Yes, this movie describes a reluctant young man's journey through the slums surrounded by crooks eventually into a leader and ganglord and is inspired by all those movies listed above. What stood out were few things among many, how the director has given attention to detail right from cinematography to dialogue to time period it feels as if the tale is unscripted, the superb acting from all the cast led by Dhanush, the editing which deserves multiple awards for carrying out non linear story telling with aplomb, the music which is not jarring and giea with the flow and above all the direction which is a cut above the rest taking the best out if his crew Vetri maaran gives his best work here.Enjoy the intensity, political satire (for eg when a character asks if rajiv gandhi succeeded mgr as prime minister) the lawlessness, the dilemma of who or what is right and wrong, is it all by design or free will and many other uncomfortable questions.You will definitely root for the lead character and have many moments with tears in your eyes and lump in your throat!",indian godfather,this movie has been making decade or more its totally worth it understandable every character scene dialogue means something its so well etched that you have accept it sets benchmark regional cinema it is comparable all great gangster dramas that world has produced like untouchables godfather our own nayagan satya gangs wasseypur amusing that directors find their best work describing crime its origin effect yes this movie describes reluctant young mans journey through slums surrounded by crooks eventually into leader ganglord is inspired by all those movies listed above what stood out were few things among many how director has given attention detail right cinematography dialogue time period it feels as if tale is unscripted superb acting all cast led by dhanush editing which deserves multiple awards carrying out non linear story telling with aplomb music which is not jarring giea with flow above all direction which is cut above rest taking best out if his crew vetri maaran gives his best work here enjoy intensity political satire eg when character asks if rajiv gandhi succeeded mgr as prime minister lawlessness dilemma who or what is right wrong is it all by design or free will many other uncomfortable questions you will definitely root lead character have many moments with tears your eyes lump your throat,0.45701530612244895,0.3016581632653062,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.16, 'Fear': 0.45}"
10,Positive,movie is very interesting and very detailed,positive,movie is very interesting very detailed,0.7234848484848485,0.4657575757575758,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
10,Vada Chennai,Superb Movie. Everybody acted very well in the movie. Songs and BGM in the movie was also excellent. The story in the movie was so good. The movie was so interesting and thrilling. Every scenes are important in the movie. Fight scenes in the movie was also very good. One of the best movie of 2018. Waiting for Vada Chennai 2.,vada chennai,superb movie everybody acted very well movie songs bgm movie was also excellent story movie was so good movie was so interesting thrilling every scenes are important movie fight scenes movie was also very good one best movie 2018 waiting vada chennai 2,0.7200000000000001,0.6622222222222223,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.1, 'Fear': 0.0}"
9,"This film is a massive, beautiful complexity!!!","I'm really sleepy now but could not imagine going to sleep without writing a very brief review about ""Vada Chennai"" (North Chennai). The fourth film directed by Vetrimaaran. This year has been great for Tamil Cinema. Kolamaavu kokila, Chekka chivandha vaanam (okay type), '96, pariyerum perumaal, raatchasan and Vada Chennai.When I watched Prem Kumar's debut film '96 two weeks ago, I felt that it would definitely play the role of a ""reference film"" for future directors planning on making a romantic film. For future/budding directors planning to make a gangster film this MUST be your reference. We've seen various gangster films in Tamil, but Vada Chennai is a class apart. This is a pure EPIC. Such a complex script and screenplay but at the same time understandable. If you're planning to watch this film (which I highly recommend), I suggest that you first watch the previous works of Vetrimaaran. This movie has the essence of ""POLLADHAVAN"" - an innocent lower-middle class young adult fighting gangsters who stole his bike, ""AADUKALAM"" - politics/war with a game as the base (carrom board in this one and cock-fight in the former), ""VISAARANAI"" - prison scenes. The film has such strong female characters who are not the typical female leads you see in a South Indian cinema. (Sorry feminists)Songs were so apt and perfectly placed. Although Dhanush is an amazing dancer I was surprised that he did not dance in this film which he did in both the previous films of Vetrimaran. Dhanush really deserves appreciation for not wanting to add so much weight to the story (but of course that's what the script demanded). This movie's making has demanded a detailed research on the lives of people living in Northern Madras. Their culture, dialect (""Fowder"" for powder, ""flayer"" for player, ""ports"" for sports, ""tation"" for station etc) etc captured on-screen so perfectly. Incidents such as the death of Rajiv Gandhi, death of MGR etc simply flows with the story. The last North Madras based film I enjoyed was ""MADRAS"" which was a great attempt as well. Don't think even a film maker with a North Madras Origin could make a movie as good as ""Vada Chennai"".A particular scene reminded me of ""Pudhupettai"" as well which is one of my favorite Tamil gangster films. Some vintage scenes reminded me of ""Kammattipaadam"" with people in funny hairstyles and bell bottoms riding Yezdis. In this film Dhanush plays only ONE OF THE major parts. Samuthrakani, Ameer, Kishore, Andrea, Aishwarya Rajesh and Dhanush help Vetrimaaran hold this 2.45 hrs long film so brilliantly.The reason I was looking forward to this one is the Vetrimaaran-Dhanush combo. I wouldn't be surprised if Dhanush or for that matter any of the actors win a National award once again for a Vetrimaaran's film (the previous one being Dhanush winning National award for the best actor for Aadukalam).The film is rated ""A"" and of course I noticed that the families (husband, wife and teenage kids) dint enjoy as much as the bachelors. Who knows!!!Eagerly waiting for the sequel which should be out in 2019. In the end I kept wondering ""how daring Vetrimaaran is to even think of making a film as massive as Vada Chennai. Another Vetrimaaran brilliance!!!! Dude only gets better and better every time.",this film is massive beautiful complexity,im really sleepy now but could not imagine going sleep without writing very brief review about vada chennai north chennai fourth film directed by vetrimaaran this year has been great tamil cinema kolamaavu kokila chekka chivandha vaanam okay type 96 pariyerum perumaal raatchasan vada chennai when i watched prem kumars debut film 96 two weeks ago i felt that it would definitely play role reference film future directors planning making romantic film future budding directors planning make gangster film this must be your reference weve seen various gangster films tamil but vada chennai is class apart this is pure epic such complex script screenplay but at same time understandable if youre planning watch this film which i highly recommend i suggest that you first watch previous works vetrimaaran this movie has essence polladhavan innocent lower middle class young adult fighting gangsters who stole his bike aadukalam politics war with game as base carrom board this one cock fight former visaaranai prison scenes film has such strong female characters who are not typical female leads you see south indian cinema sorry feminists songs were so apt perfectly placed although dhanush is amazing dancer i was surprised that he did not dance this film which he did both previous films vetrimaran dhanush really deserves appreciation not wanting add so much weight story but course thats what script demanded this movies making has demanded detailed research lives people living northern madras their culture dialect fowder powder flayer player ports sports tation station etc etc captured screen so perfectly incidents such as death rajiv gandhi death mgr etc simply flows with story last north madras based film i enjoyed was madras which was great attempt as well dont think even film maker with north madras origin could make movie as good as vada chennai particular scene reminded me pudhupettai as well which is one my favorite tamil gangster films some vintage scenes reminded me kammattipaadam with people funny hairstyles bell bottoms riding yezdis this film dhanush plays only one major parts samuthrakani ameer kishore andrea aishwarya rajesh dhanush help vetrimaaran hold this 2 45 hrs long film so brilliantly reason i was looking forward this one is vetrimaaran dhanush combo i wouldnt be surprised if dhanush or that matter any actors win national award once again vetrimaarans film previous one being dhanush winning national award best actor aadukalam film is rated course i noticed that families husband wife teenage kids dint enjoy as much as bachelors who knows eagerly waiting sequel which should be out 2019 end i kept wondering how daring vetrimaaran is even think making film as massive as vada chennai another vetrimaaran brilliance dude only gets better better every time,0.5177275910364145,0.20323704481792718,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.21, 'Fear': 0.29}"
10,#VadaChennai At Its Best,Vetrimaaran And Dhanush Are best Combo. saNa BGM osm same fire as Kaala. Everyone has done their acting well. My Fav Us Anbu The Anchor,at its best,vetrimaaran dhanush are best combo sana bgm osm same fire as kaala everyone has done their acting well my fav us anbu anchor,0.18125,0.5,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10,Movie of the decade,Please don't wounder if this movie becomes a cult classic in next 10 years. The story has been crafted with attention to detail. Movies like this keeps the young generation directors motivated. Actors appearing in each and every frame has done their job with perfection. The craftsmanship of vettri maran has taken the movie to the next level. Please do watch the movie in theaters.,movie decade,please dont wounder if this movie becomes cult classic next 10 years story has been crafted with attention detail movies like this keeps young generation directors motivated actors appearing each every frame has done their job with perfection craftsmanship vettri maran has taken movie next level please do watch movie theaters,0.14166666666666666,0.06666666666666667,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.5, 'Fear': 0.12}"
10,The Indian Mafia saga to it's best.,The best thing about this movie is it is three hours movie and you don't want to blink for second because you don't want to miss something because their is always something happening. The movie it's perfect for gangster filmlover,indian mafia saga its best,best thing about this movie is it is three hours movie you dont want blink second because you dont want miss something because their is always something happening movie its perfect gangster filmlover,0.4,0.75,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.57, 'Sad': 0.43, 'Fear': 0.0}"
10,#TheBest #vadachennai #Localboy #Anbu vera level mass.,"Dhanush acting is awesome, everyone is done superb, fight scene, Mass bgm each and every seconds. Waiting for #vadachennai2",vera level mass,dhanush acting is awesome everyone is done superb fight scene mass bgm each every seconds waiting,0.6666666666666666,0.6666666666666666,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.0}"
8,One of the best tamil movies of the year.,This is a season of good Tamil movies. Vada Chennai also makes the list thanks to it's outstanding script and film making. All cast has done a very good job. Waiting for the next part.,one best tamil movies year,this is season good tamil movies vada chennai also makes list thanks its outstanding script film making all cast has done very good job waiting next part,0.4591666666666667,0.5516666666666666,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.12}"
9,Raw and Rusty epic that will be a cult classic,"There has been several movies about fishermen community, the slum area and the people whose lives dwell within them, the ganster and the associated politics. But what makes this movie so special is the writing - the grey shades of each and every character is highlighted at the right moment, their low and high points, intertwining plots which affects each other's lives, especially the lead character - Anbu. This qualifies the basic requirement to be an epic. VadaChennai is no less than an epic in making. While each and every person played their part well, it is quiet hard to single out one. But, to have a conclusion, the script is the king, the queen, the everything. No one outplayed their role and this gave the other characters the much needed space, in order to let their character root well into the plot. The screenplay make you feel like a salad stuffed inside a sandwich, but has enough spices that makes the outcome urging us to get one more. Santhosh Narayanan's background score, kept the mood of the film throughout the runtime. The long take shots, aerial view glide and the flight sequences were choreographed well and was captured excellently by Velraj. This epic will surely turn out to be a cult classic, just like Pudupettai and Thevar Magan. Vetrimaaran - Black pearl of Thamizh Cinema!",raw rusty epic that will be cult classic,there has been several movies about fishermen community slum area people whose lives dwell within them ganster associated politics but what makes this movie so special is writing grey shades each every character is highlighted at right moment their low high points intertwining plots which affects each others lives especially lead character anbu this qualifies basic requirement be epic vadachennai is no less than epic making while each every person played their part well it is quiet hard single out one but have conclusion script is king queen everything no one outplayed their role this gave other characters much needed space order let their character root well into plot screenplay make you feel like salad stuffed inside sandwich but has enough spices that makes outcome urging us get one more santhosh narayanans background score kept mood film throughout runtime long take shots aerial view glide flight sequences were choreographed well was captured excellently by velraj this epic will surely turn out be cult classic just like pudupettai thevar magan vetrimaaran black pearl thamizh cinema,0.4081551575996021,0.1049626916293583,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.09, 'Sad': 0.32, 'Fear': 0.41}"
