Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,One of the best all-round Telugu movies you would see,"In 2 months time, Allu Arjun gave one of the worst movies and one of the best movies of this decade in Tollywood.Vedam has 5 independent stories in it which are taking place parallelly, and the characters of all the stories converge at the big climax. In my limited memory, I can't remember such a movie being made prior in Tollywood. This could be a risky subject but director Krish (Gamyam fame) pulled it off with great aplomb. I won't brief about the 5 stories but they are very different from each other and there is believability to each one of them although in various degrees.If an award for the best performance by an ensemble cast in Tollywood is introduced next year, Vedam would be the leading contender. Nobody in the movie messed up there roles. Allu Arjun is an excellent fit in the role of Cable Raju. His performance & emotions at the end where he has a change of heart is the best that he had done until now. After the movie Arundhati, Anushka has become a clear crowd favourite. The whistles and shouts during her introduction scene were only matched by the entrance of Arjun. Anushka has nailed the role of Saroja going from funny to angry to angst with ease. She definitely is one of the best actresses in Tollywood right now. This is my first Manchu Manoj movie. He was an apt choice to play the music loving wannabe rock-star Vivek. Manoj is not only a better actor than his brother Vishnu but he is also choosing his scripts wisely. He created a good first impression on me. I haven't seen Manoj Bajpai fail as an actor and the same goes here. He gives good performance as the victimised Muslim Raheemuddin Qureishi. All the others in the movie performed really well. Deeksha Seth is used for her glamour.Since there are 5 stories, there are a lot of characters to be introduced. So in the first half, we are introduced to the characters and their motivations. With a conflict in each story, the first half ends. So it may appear to some people as if not much has happened as a whole in the first half but that is only an illusion because we are dealing with 5 stories here. The second half is absolutely gripping.Generally in our industry when you have a drama with superb performances, the technical aspects are grossly neglected. But Vedam is technically a very well made film. Right from your editing to cinematography to art work to sound effects, this is a wonderfully made film. Dialogues & direction by Krish are great. Krish proved that he is not a one film wonder. Let's hope that he is not a two film wonder. (Am I being greedy?)Background score by Keeravani is very good but I would have been more happy if every thing is original. Coming to the songs, the songs fit in the movie very well but I don't think they would work outside the movie. After the break, for a few minutes the movie tends to be slow. They could have cut a song there. Story & script wise, the tussle between Manoj & Sikh lorry driver was too superficial. To develop the conflict in Manoj's character, a more natural setup would have been very good. Another one is when Manoj Bajpai, who initially tries to escape without even warning the hundreds of people in the hospital about the impending danger, has a change of heart when he sees a pregnant lady. Agreed that he has some past scars regarding unborn babies but still it appeared a bit forced. One more thing is when some body dies at a huge explosion, I think that the faces should not be recognisable. But the above points are very minor, and by the end of the movie this is a very satisfying experience. http://amarsmoviejournal.blogspot.com All in all, this is a must watch. This is going to win a lot of awards next season. The general perception is that an award winning movie tends to be a boring art movie. This is true in many cases but once in a while there comes a really good drama without boring you and this is one of those. I was absolutely thrilled by the time the movie was over because of mainly 2 reasons. One reason was because the movie was very good & the second one was because I rarely see such well made movie in Telugu. So my humble request is don't miss this.Finally, a triple thumbs-up (if such a word is there) for the director Krish and the producers Devineni Prasad & Yarlagadda Shobhu. p.s I didn't understand the crediting of Manchu Manoj as Guest appearance because I felt his role was of a proper protagonist.",one best all round telugu movies you would see,2 months time allu arjun gave one worst movies one best movies this decade tollywood vedam has 5 independent stories it which are taking place parallelly characters all stories converge at big climax my limited memory i cant remember such movie being made prior tollywood this could be risky subject but director krish gamyam fame pulled it off with great aplomb i wont brief about 5 stories but they are very different each other there is believability each one them although various degrees if award best performance by ensemble cast tollywood is introduced next year vedam would be leading contender nobody movie messed up there roles allu arjun is excellent fit role cable raju his performance emotions at end where he has change heart is best that he had done until now after movie arundhati anushka has become clear crowd favourite whistles shouts during her introduction scene were only matched by entrance arjun anushka has nailed role saroja going funny angry angst with ease she definitely is one best actresses tollywood right now this is my first manchu manoj movie he was apt choice play music loving wannabe rock star vivek manoj is not only better actor than his brother vishnu but he is also choosing his scripts wisely he created good first impression me i havent seen manoj bajpai fail as actor same goes here he gives good performance as victimised muslim raheemuddin qureishi all others movie performed really well deeksha seth is used her glamour since there are 5 stories there are lot characters be introduced so first half we are introduced characters their motivations with conflict each story first half ends so it may appear some people as if not much has happened as whole first half but that is only illusion because we are dealing with 5 stories here second half is absolutely gripping generally our industry when you have drama with superb performances technical aspects are grossly neglected but vedam is technically very well made film right your editing cinematography art work sound effects this is wonderfully made film dialogues direction by krish are great krish proved that he is not one film wonder lets hope that he is not two film wonder am i being greedy background score by keeravani is very good but i would have been more happy if every thing is original coming songs songs fit movie very well but i dont think they would work outside movie after break few minutes movie tends be slow they could have cut song there story script wise tussle between manoj sikh lorry driver was too superficial develop conflict manojs character more natural setup would have been very good another one is when manoj bajpai who initially tries escape without even warning hundreds people hospital about impending danger has change heart when he sees pregnant lady agreed that he has some past scars regarding unborn babies but still it appeared bit forced one more thing is when some body dies at huge explosion i think that faces should not be recognisable but above points are very minor by end movie this is very satisfying experience all all this is must watch this is going win lot awards next season general perception is that award winning movie tends be boring art movie this is true many cases but once while there comes really good drama without boring you this is one those i was absolutely thrilled by time movie was over because mainly 2 reasons one reason was because movie was very good second one was because i rarely see such well made movie telugu so my humble request is dont miss this finally triple thumbs up if such word is there director krish producers devineni prasad yarlagadda shobhu p s i didnt understand crediting manchu manoj as guest appearance because i felt his role was proper protagonist,0.48956816059757235,0.22482026143790848,Positive,"{'Happy': 0.15, 'Angry': 0.06, 'Surprise': 0.27, 'Sad': 0.19, 'Fear': 0.33}"
10,regional cinema at its best!!!!,"wow!what an experience which compelled me into writing this..lets start from the beginning..when i was told that this was an experimental movie in telugu, i was really circumspect because let me tell u i've been watching telugu movies for many years now & whenever someone tries something ""different"" more often it turns out to be awful.but this one's one of those movies which stands for all the great things about this great medium.it shows,reflects,teaches & above all it inspires.hats off to the director for pulling this off with a difficult subject,ensemble cast & an amazing way of story telling.if u really are curious to know the story,it intertwines 4 stories which are very distinct on their own from the beginning to the end. just the characters meet very briefly & u keep wondering through the 1st half if there is any connection at all. and boy there is! its not just topical but a much deeper connection & the director keeps it ticking without a single dull moment with great élan.its the triumph of human spirit that touches u in the second half. the scene where allu arjun (yes the same guy who did the horrible varudu)returns the money or manoj(fully intense throughout)takes on goons who really are hooligans in the name of religion or the superbly crafted climax that takes ur breath away.this movie asserts everyone gets a second chance to redeem yourself no matter how terrible ur mistakes are.its just up to u to embrace it. it uses such dramatic situations to prove this that often makes u tearful and yet every character is so real that one can identify oneself in at least one of them.this is what makes this movie hit the jackpot.the acting is fine by all leading stars.after seeing this u keep wondering y Allu Arjun chooses some horrible movies.manoj bajpai shines in his role as Muslim fighting against the system but the guy who stand out with his intense role a wannabe rock star unwillingly ending up a patriot is Manoj.I know some of u may not like the ending but come-on aren't we tired of the same old stuff?this is contemporary movie making at its best & its prudent for us to embrace it & encourage such movie makers who make us proud to be Indians!!",regional cinema at its best,wow what experience which compelled me into writing this lets start beginning when i was told that this was experimental movie telugu i was really circumspect because let me tell u ive been watching telugu movies many years now whenever someone tries something different more often it turns out be awful but this ones one those movies which stands all great things about this great medium it shows reflects teaches above all it inspires hats off director pulling this off with difficult subject ensemble cast amazing way story telling if u really are curious know story it intertwines 4 stories which are very distinct their own beginning end just characters meet very briefly u keep wondering through 1st half if there is any connection at all boy there is its not just topical but much deeper connection director keeps it ticking without single dull moment with great lan its triumph human spirit that touches u second half scene where allu arjun yes same guy who did horrible varudu returns money or manoj fully intense throughout takes goons who really are hooligans name religion or superbly crafted climax that takes ur breath away this movie asserts everyone gets second chance redeem yourself no matter how terrible ur mistakes are its just up u embrace it it uses such dramatic situations prove this that often makes u tearful yet every character is so real that one can identify oneself at least one them this is what makes this movie hit jackpot acting is fine by all leading stars after seeing this u keep wondering y allu arjun chooses some horrible movies manoj bajpai shines his role as muslim fighting against system but guy who stand out with his intense role wannabe rock star unwillingly ending up patriot is manoj i know some u may not like ending but come arent we tired same old stuff this is contemporary movie making at its best its prudent us embrace it encourage such movie makers who make us proud be indians,0.5004108309990662,0.08582166199813261,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.27, 'Sad': 0.3, 'Fear': 0.26}"
8,Great! and a Classic to be added to your DVD Collection.,"The film initially begs for freshness but as it hits the second hour it touches you, draws you into their purgatory, their ups and downs. Wow!! Its a Very Good Movie and a Lot of new point of view. The Director is here to stay, he proved earlier in Gamyam itself and now he put a signature in the History of Telugu and Indian Film Industry. What a Movie!! Can be matched with any Great movies in India such as Maniratnam's or Sekhar Kummals or Adoor Gopalakrishnan etc.. Allu Arjun dominates the film with his flawless work. In the second part of the film, his expressions are splendid, especially when he tries to steal money at the hospital, while going to pay for the tickets and his scenes with a small child whose smile he chose to overlook in a hurry to fulfill his desire. Manoj Bajpai: Needless to say about him. Needless to talk about him, He always delivers what is expected. Anushka is simply natural and yes pretty too. and Manoj: Well Done, He can be proud enough to be a Part of such a Beautiful and Meaning full movie. Vedam – the format in which it has been told was never done before in Telugu cinema.Dialogues are the asset of this movie and Allu Arjun is the face and soul of this movie. The way his character develops is amazing. Career best performance.It is really a daring step by any producer or director to do such a film especially with a commercial hero like Arjun and glamorous star Anushka, besides Manchu Manoj.",great classic be added your dvd collection,film initially begs freshness but as it hits second hour it touches you draws you into their purgatory their ups downs wow its very good movie lot new point view director is here stay he proved earlier gamyam itself now he put signature history telugu indian film industry what movie can be matched with any great movies india such as maniratnams or sekhar kummals or adoor gopalakrishnan etc allu arjun dominates film with his flawless work second part film his expressions are splendid especially when he tries steal money at hospital while going pay tickets his scenes with small child whose smile he chose overlook hurry fulfill his desire manoj bajpai needless say about him needless talk about him he always delivers what is expected anushka is simply natural yes pretty too manoj well done he can be proud enough be part such beautiful meaning full movie vedam format which it has been told was never done before telugu cinema dialogues are asset this movie allu arjun is face soul this movie way his character develops is amazing career best performance it is really daring step by any producer or director do such film especially with commercial hero like arjun glamorous star anushka besides manchu manoj,0.5773094582185491,0.23473829201101926,Positive,"{'Happy': 0.22, 'Angry': 0.09, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.2}"
8,Nice movie,"The movie is good for Telugu industry definitely. The casting was good and a big experiment that gave some positive results.The first half of the movie doesn't have any story and tends to bore you. The script tried very hard to establish all the characters in the first half and doesn't concentrate on the story. But, the second half is power packed and gets the best of writing supported by performances. Nagayya as Ramulu is awesome. Arjun is his usual energetic. Anushka is sexy and innocent at the same time. Manchu Manoj is good for his role. Manoj Bajpai has done justice to his role.Overall, this movie has a potential to change the industry norms and standards if taken in right sense and elevate the movie making art. Full credit has to be given to Krish, the director.",nice movie,movie is good telugu industry definitely casting was good big experiment that gave some positive results first half movie doesnt have any story tends bore you script tried very hard establish all characters first half doesnt concentrate story but second half is power packed gets best writing supported by performances nagayya as ramulu is awesome arjun is his usual energetic anushka is sexy innocent at same time manchu manoj is good his role manoj bajpai has done justice his role overall this movie has potential change industry norms standards if taken right sense elevate movie making art full credit has be given krish director,0.4710800865800866,0.25735281385281383,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.17, 'Fear': 0.33}"
10,Powerful Cinema,A social experimental movie with certain characters of different classes of people and the life changing moment which is a beautiful writing from Krish Jagarlamudi,powerful cinema,social experimental movie with certain characters different classes people life changing moment which is beautiful writing krish jagarlamudi,0.6063492063492063,0.2496031746031746,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.0, 'Fear': 0.71}"
10,Social experimental movie from tollywood,Kudos to the director Krish and the artists mainly Anushka.. She us fabulous in her role and applause for her dareness to choose this role,social experimental movie tollywood,kudos director krish artists mainly anushka she us fabulous her role applause her dareness choose this role,0.45,0.175,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}"
10,First Telugu movie that moved me to tears,"Till 3:45pm on 5th June 2010 i used to say that i have never cried for a Telugu film, but krish(director) has come out with such an emotional movie which deals with humanity. The stars must be appreciated for choosing such a movie(non-formulaic). The director seamlessly interweaves the five stories which are held together by the meaningful music of M.M.Keeravani. This a movie where characters are seen, not stars. The end has the protagonists losing their lives, but, this is where they become real heroes. Proud to have such a movie made in Telugu. Hope this becomes a commercial success as that would propel more filmmakers to come up with new movies rather than churn out the same meaningless movies.",first telugu movie that moved me tears,till 3 45pm 5th june 2010 i used say that i have never cried telugu film but krish director has come out with such emotional movie which deals with humanity stars must be appreciated choosing such movie non formulaic director seamlessly interweaves five stories which are held together by meaningful music m m keeravani this movie where characters are seen not stars end has protagonists losing their lives but this is where they become real heroes proud have such movie made telugu hope this becomes commercial success as that would propel more filmmakers come up with new movies rather than churn out same meaningless movies,0.3860516934046346,0.1462566844919786,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.38, 'Fear': 0.25}"
10,Wisdom Substance,"From the director of 'Gamyam', comes another meaningful story 'Vedham'. Audience in search of wisdom, your ultimate stop is here. Readers, if this review goes a little long, it is only that appreciation to this movie has no bounds. Krish has done a flawless job that will make the audience sit at the edge of the seat for most of the time.With this movie, Tollywood goes to the next level. The level from commercial cinema to meaningful cinema! Krish has already announced his arrival with 'Gamyam' and now he has cemented his place with 'Vedam'.The Characters'Vedam' is the story of 6 people. All the people involved are introduced individually. First in the list is Manchu Manoj as Vivek Chakravarthy who's introduced with a title as 'Rocking Star'. He is a rock star in the movie and a song showing him as a rock star appears soon after the title of the movie. He along with his girl friend Lasya (Lekha Washington) and their gang set up a rock band in Bangalore. They go to Hyderbad for a performance.Next is Nagayya as Ramulu, an old man from Lingampally, is introduced along with his daughter in law Saranya. They are illiterates who face serious financial problems. They are in debt to Patel who has Saranya's son captive. Only upon paying the debt, the son would be set free. The only solution is to sell a kidney of Saranya that takes the old man and his daughter in law to Hyderbad.Next scene is a 'basthi' (slum) in Jubilee hills, Hyderbad. Allu Arjun as 'Cable Raju' is introduced. He's educated yet works as a cable boy who doesn't pay his boss. He fakes his life as a rich brat and makes his filthy rich girl friend believe the same. He needs money to impress his girl friend.In this list of 6 people, the fifth in the line is Manoj Bajpai as Rahim Qureshi. A bitter past in a Hindu Muslim fight, his pregnant wife loses the foetus before birth. A small misunderstanding with a cop has him in a black list. He is a good man and a beloved husband yet in the bad books of the police.The last in the list is Anushka who's Saroja, a prostitute. She knows no other way of living. She along with her friend, 'Karpooram', a eunuch, wants to get out of the prostitute house they work for. They want to set up on their own.The PlotThis is a classic movie that will go in to history no doubt! IndiaGlitz appreciates the director, Krish for making such a meaningful movie. Only a gist is given and nothing more. After the introduction of all characters, the plot takes place on 31st night. Every character is associated with Hyderbad. This one night is life changing for all the 6 persons and the people associated with them.Parallel to the lives of these 6 people, a gang of terrorists plot a plan to massacre innocent citizens in the name of 'Jihad'. How these people are related and how the others in the hospital, who are held as hostages by the terrorists, are saved, forms the terrific remainder of this paramount story.The hero of the movieThe screenplay and it is the hero! The introduction of all characters is done one by one. It is a simple yet powerful screenplay. The characterization of all characters is sketched carefully in such a way that the script is not dominated. Given the images of Allu Arjun and Manchu Manoj, the script emerges greater.'Vedam' Dialogues are exemplary and compliment the screenplay.The screenplay is crisp thanks to the editor Sravan. The way the story is narrated by Krish is just amazing and any word above that will go to him. No lag in script and that is one sign of a classy movie maker. Kudos to him and his editor!The next important technician is the cinematographer VS Gnana Sekhar. His camera has captured all those intense scenes excellently particularly a few scenes on the highway when Manoj and his band are on their way to Hyderbad from Bangalore.M M Keeravani's music and rerecording are remarkable. Looks like he saves his best for the best! Elegant work from the veteran, his music is definitely an asset.PerformancesStarting from the order of appearance in the movie- Manoj as an actor will cherish the character he has portrayed in 'Vedam' all through his career. He has been shown as an intelligent guy who has an ambition. Manoj has pulled of a decent job. Interestingly when his name appeared in the titles, his character was described as special appearance as subscript.Allu Arjun as a cable guy would equally feel happy to have bagged such a role. His screen presence is a little more than Manoj, his character demands it. Allu Arjun has evolved as an actor yet his expressions could be better. In fact Manchu Manoj and Allu Arjun come on the screen together only for a few seconds and that too in the climax.Manoj Bajpai has brought out a terrific performance and his performance is the pick of the lot. Anushka has done a decent job. All other actors have done a great job but a lame member of the audience would feel there were too many characters involved yet the script emerges winner.Reiterating the point that Krish has taken Tollywood to the next level, his 'Vedam' is a genesis that other film makers will start to contemplate about. He has touched every aspect of life be it religion or money and carefully conveyed a message about good living. This movie is a clear winner and any rating will only be too less. Hats off Radha Krishna!",wisdom substance,director gamyam comes another meaningful story vedham audience search wisdom your ultimate stop is here readers if this review goes little long it is only that appreciation this movie has no bounds krish has done flawless job that will make audience sit at edge seat most time with this movie tollywood goes next level level commercial cinema meaningful cinema krish has already announced his arrival with gamyam now he has cemented his place with vedam charactersvedam is story 6 people all people involved are introduced individually first list is manchu manoj as vivek chakravarthy whos introduced with title as rocking star he is rock star movie song showing him as rock star appears soon after title movie he along with his girl friend lasya lekha washington their gang set up rock band bangalore they go hyderbad performance next is nagayya as ramulu old man lingampally is introduced along with his daughter law saranya they are illiterates who face serious financial problems they are debt patel who has saranyas son captive only upon paying debt son would be set free only solution is sell kidney saranya that takes old man his daughter law hyderbad next scene is basthi slum jubilee hills hyderbad allu arjun as cable raju is introduced hes educated yet works as cable boy who doesnt pay his boss he fakes his life as rich brat makes his filthy rich girl friend believe same he needs money impress his girl friend this list 6 people fifth line is manoj bajpai as rahim qureshi bitter past hindu muslim fight his pregnant wife loses foetus before birth small misunderstanding with cop has him black list he is good man beloved husband yet bad books police last list is anushka whos saroja prostitute she knows no other way living she along with her friend karpooram eunuch wants get out prostitute house they work they want set up their own plotthis is classic movie that will go history no doubt indiaglitz appreciates director krish making such meaningful movie only gist is given nothing more after introduction all characters plot takes place 31st night every character is associated with hyderbad this one night is life changing all 6 persons people associated with them parallel lives these 6 people gang terrorists plot plan massacre innocent citizens name jihad how these people are related how others hospital who are held as hostages by terrorists are saved forms terrific remainder this paramount story hero movie screenplay it is hero introduction all characters is done one by one it is simple yet powerful screenplay characterization all characters is sketched carefully such way that script is not dominated given images allu arjun manchu manoj script emerges greater vedam dialogues are exemplary compliment screenplay screenplay is crisp thanks editor sravan way story is narrated by krish is just amazing any word above that will go him no lag script that is one sign classy movie maker kudos him his editor next important technician is cinematographer vs gnana sekhar his camera has captured all those intense scenes excellently particularly few scenes highway when manoj his band are their way hyderbad bangalore m m keeravanis music rerecording are remarkable looks like he saves his best best elegant work veteran his music is definitely asset performancesstarting order appearance movie manoj as actor will cherish character he has portrayed vedam all through his career he has been shown as intelligent guy who has ambition manoj has pulled decent job interestingly when his name appeared titles his character was described as special appearance as subscript allu arjun as cable guy would equally feel happy have bagged such role his screen presence is little more than manoj his character demands it allu arjun has evolved as actor yet his expressions could be better fact manchu manoj allu arjun come screen together only few seconds that too climax manoj bajpai has brought out terrific performance his performance is pick lot anushka has done decent job all other actors have done great job but lame member audience would feel there were too many characters involved yet script emerges winner reiterating point that krish has taken tollywood next level his vedam is genesis that other film makers will start contemplate about he has touched every aspect life be it religion or money carefully conveyed message about good living this movie is clear winner any rating will only be too less hats off radha krishna,0.5259549973835688,0.17045395081109369,Positive,"{'Happy': 0.14, 'Angry': 0.02, 'Surprise': 0.19, 'Sad': 0.17, 'Fear': 0.48}"
9,"VEDAM is one of the best movies I ever watched, which makes clear what LIFE is !!","I was really surprised to see the lead actors giving such a great performance. Hats off to them Arjun & Manoj. Both should be appreciated coming forward for such a fantastic film. Krish made a wonderful second flick after Gamyam. He dealt the subject very neatly and precisely. Nothing is more and nothing is less. After coming out of the theater I felt watching whole of the life in it. Thanks to Krish for presenting such a great film.If you want to watch a good film, Watch VEDAM. Feel the LIFE.Believe me you will miss something if you don't watch this movie!!My rating would be 9/10",vedam is one best movies i ever watched which makes clear what life is,i was really surprised see lead actors giving such great performance hats off them arjun manoj both should be appreciated coming forward such fantastic film krish made wonderful second flick after gamyam he dealt subject very neatly precisely nothing is more nothing is less after coming out theater i felt watching whole life it thanks krish presenting such great film if you want watch good film watch vedam feel life believe me you will miss something if you dont watch this movie my rating would be 9 10,0.48916666666666664,0.31333333333333335,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.41, 'Sad': 0.21, 'Fear': 0.21}"
10,"An intelligent, sensitive, sensible and moreover a wonderful soul stirring masterpiece.","I and many others would have never thought that there will be a movie like Vedam made in Telugu. This is definitely regional movie at its best.That is exactly what compelled me to write a review for the first time ever.The first thing that strikes to your mind when watching is this movie is that it could be a lift/inspiration from Crash/21 grams/Babel/Love Actually. Of course, it might have been but who cares. This is one of the best movies Telugu film industry ever produced.The screenplay is common in the above movies but what comes out at the end is what makes this movie a wonderful masterpiece.When you observe the movie then it actually makes more sense when you relate it back to back. The climax is where you understand why the five different stories were narrated and how they get to where they are.The best part is that there is a conclusion unlike Babel or any other movie with the same kind of screenplay.We see the climax of the movie where bad turns good or even ends (dies)good. And this is why the movie is sensible and intelligent.Every aspect of the story is carefully blended. This is a movie that you will remember.Mr. Krish, if you are reading this, make sure you acknowledge that we are really grateful to you. Woow...what a masterpiece. keep up your good work and we hope to see more of such wonderful movies from you.",intelligent sensitive sensible moreover wonderful soul stirring masterpiece,i many others would have never thought that there will be movie like vedam made telugu this is definitely regional movie at its best that is exactly what compelled me write review first time ever first thing that strikes your mind when watching is this movie is that it could be lift inspiration crash 21 grams babel love actually course it might have been but who cares this is one best movies telugu film industry ever produced screenplay is common above movies but what comes out at end is what makes this movie wonderful masterpiece when you observe movie then it actually makes more sense when you relate it back back climax is where you understand why five different stories were narrated how they get where they are best part is that there is conclusion unlike babel or any other movie with same kind screenplay we see climax movie where bad turns good or even ends dies good this is why movie is sensible intelligent every aspect story is carefully blended this is movie that you will remember mr krish if you are reading this make sure you acknowledge that we are really grateful you woow what masterpiece keep up your good work we hope see more such wonderful movies you,0.5134920634920634,0.3607142857142857,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.53, 'Sad': 0.17, 'Fear': 0.15}"
