Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,A 100% LOKESH MOVIE!,"This film will not disappoint you. What a comeback from Kamal.It's a sequel from 2019 Kaithi, every character was detailed properly.It's definitely not like Master! It's a Marana Lokesh padam.Vera level work by ANIRUDH!Family audience should realise this is the new commercial entertainer.The type of emotional mass masala movies should be dead! It's 2022 not 2005!Overall: a treat for cinema fans! 9/10This is the pride of Tamil cinema after multiple failures by big actors! (Not gonna mention who)",100 lokesh movie,this film will not disappoint you what comeback kamal its sequel 2019 kaithi every character was detailed properly its definitely not like master its marana lokesh padam vera level work by anirudh family audience should realise this is new commercial entertainer type emotional mass masala movies should be dead its 2022 not 2005 overall treat cinema fans 9 10this is pride tamil cinema after multiple failures by big actors not gonna mention who,0.29545454545454547,0.03363636363636364,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.25, 'Fear': 0.33}"
10,Kamal version of Kaithi...Highly recommended,"RATED 10/10 Language: Tamil Media Partner: Hotstar Source: NIL RECOMMENDEDKamal's most action packed film delivered without any lag from beginning to end. Even though we have bunch of stars in the cast, Vikram shines out everyone, at the same time everyone's space is kept well... Movie has lot of Easter eggs from the beginning to end. Lot of reference to Lokesh and Kamal movie references.The movie is surprise sequel to ""kaithi"".Lokesh compromised little bit in master, here its full and full Lokesh show with mass moments. First half Kamal is there in very few scenes only, but shown as much as possible shades of him. The first half belongs to Fahad and VS. The interval block with Vikram BGM ending is ultimate. The first half is kind of perfect version of ""valimai"".Second half is filed with action sequences. The Milk fight scene and climax Kaithi fights are top notch. Movie has more gore and violent graphics...Lokesh handled the second half brilliantly and balanced with all cast perfectly. Very big Kudos to Lokesh... Climax Surya's cameo and Other surprises are claps worthy.... Must watch for everyone and Repeat watch for Kamal/movie fans.Getting ready for the next show.",kamal version kaithi highly recommended,rated 10 10 language tamil media partner hotstar source nil recommendedkamals most action packed film delivered without any lag beginning end even though we have bunch stars cast vikram shines out everyone at same time everyones space is kept well movie has lot easter eggs beginning end lot reference lokesh kamal movie references movie is surprise sequel kaithi lokesh compromised little bit master here its full full lokesh show with mass moments first half kamal is there very few scenes only but shown as much as possible shades him first half belongs fahad vs interval block with vikram bgm ending is ultimate first half is kind perfect version valimai second half is filed with action sequences milk fight scene climax kaithi fights are top notch movie has more gore violent graphics lokesh handled second half brilliantly balanced with all cast perfectly very big kudos lokesh climax suryas cameo other surprises are claps worthy must watch everyone repeat watch kamal movie fans getting ready next show,0.44949494949494945,0.1253787878787879,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.25, 'Fear': 0.32}"
9,"Once upon a time, there lived a ghost!","Call it a magnum opus, or larger than life, but Vikram has been worth the wait. A Kamal Haasan film always brings innovation with it, and Vikram aces it in action. Mounted on superlative production values and a breathtaking pace, Vikram doesn't have one dull moment in its 146 minutes of running timeThe film starts with a series of murders, including that of Karan (Kamal Haasan) perpetrated by a team of vigilantes that claims to be cleaning up the system by waging a war against the system. Two of the three people murdered were policemen who had captured a large consignment of drugs and hidden the same in an unknown place, and Karan was the foster father of one of them. This is just the beginning. The Chennai Police Commissioner calls upon a crack team of sleuths led by Amar (Fahadh Faasil) to trace down the culprits as they are the best in the business. Amar and team go about systematically and conclude the case with a warning to the Commissioner himself - that Amar knew who murdered one of the two policemen, and that Vikram, the original leader of the Black Squad from the 1980s, taken for dead, is back to life and out on a mission to rid the nation of the drug menace.Vikram (Kamal Haasan) is in reality an undercover agent leading a team of vigilantes, cleaning up drug mercenaries knowing very well that their current crop of antagonists headed by a local drug lord Chandhan (Vijay Sethupati) are just small fish that must be dealt with. The real big fish Rolex is who their ultimate aim is.Vikram, helmed by Lokesh Kanagaraj is visually spectacular. A taut action adventure, it extracts Kamal Haasan to his fullest potential, but doesn't showcase him in every frame to make sufficient space for Fahadh Faasil and Vijay Sethupati too. In fact, the three men are the core of Vikram, in very different roles that make the movie immensely watchable with a mix of myriad emotions and action at its best. The climax is violent, with the use of an arsenal of firearms and hand to hand combat, setting up a finger licking wait for the potential sequel where Vikram will lock horns with Rolex (Suriya, playing a surprise cameo). Don't wait for Vikram to drop into OTT platforms, for a film like this must only be watched in the theatres.",once upon time there lived ghost,call it magnum opus or larger than life but vikram has been worth wait kamal haasan film always brings innovation with it vikram aces it action mounted superlative production values breathtaking pace vikram doesnt have one dull moment its 146 minutes running timethe film starts with series murders including that karan kamal haasan perpetrated by team vigilantes that claims be cleaning up system by waging war against system two three people murdered were policemen who had captured large consignment drugs hidden same unknown place karan was foster father one them this is just beginning chennai police commissioner calls upon crack team sleuths led by amar fahadh faasil trace down culprits as they are best business amar team go about systematically conclude case with warning commissioner himself that amar knew who murdered one two policemen that vikram original leader black squad 1980s taken dead is back life out mission rid nation drug menace vikram kamal haasan is reality undercover agent leading team vigilantes cleaning up drug mercenaries knowing very well that their current crop antagonists headed by local drug lord chandhan vijay sethupati are just small fish that must be dealt with real big fish rolex is who their ultimate aim is vikram helmed by lokesh kanagaraj is visually spectacular taut action adventure it extracts kamal haasan his fullest potential but doesnt showcase him every frame make sufficient space fahadh faasil vijay sethupati too fact three men are core vikram very different roles that make movie immensely watchable with mix myriad emotions action at its best climax is violent with use arsenal firearms hand hand combat setting up finger licking wait potential sequel where vikram will lock horns with rolex suriya playing surprise cameo dont wait vikram drop into ott platforms film like this must only be watched theatres,0.4931976446492576,0.09221710189452123,Positive,"{'Happy': 0.03, 'Angry': 0.03, 'Surprise': 0.26, 'Sad': 0.23, 'Fear': 0.46}"
9,Blockbuster,"#Vikram - Fire Fire Fire 🔥 🔥🔥🔥🔥🔥. Best cinematic experience l've ever had in recent times ,action packed second half deserves multiple watch! @ikamalhaasan , Fafa, @VijaySethuOffl& @Suriya_offl- what a treat to watch all these powerful performers in one film 🙏 @Dir_Lokesh.",blockbuster,fire fire fire best cinematic experience lve ever had recent times action packed second half deserves multiple watch fafa what treat watch all these powerful performers one film,0.2520833333333333,0.15416666666666667,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.83, 'Sad': 0.0, 'Fear': 0.17}"
9,A fanboy film that celebrates Kamal Hassan to the fullest extent!,"The buildup and marketing to Lokesh Kanagaraj's Kamal Hassan starrer ""Vikram"" has been nothing short of all-encompassing, driven primarily by the fact that the 36-year old young director is yet to direct a sub-par movie, with ""Maanagaram (2017)"", ""Kaithi (2019)"" and ""Master (2021)"", all having been well-received by audiences. And the precocious storyteller delivers, with a mazy yet continuously engaging crime saga with resounding mass elevation sequences and enough emotional hooks to keep the audience invested.3-time National Award winner for Best Actor Kamal Hassan stars as a grieving father heartbroken at the loss of his son, who was a policeman investigating the burgeoning drug mafia in Chennai and who had, before his mysterious murder, uncovered a staggering cache of illegal drugs the syndicate safeguarded . Enter Fahadh Faasil, a black ops specialist charged with unraveling the mystery around the carnage unleashed by the cartel as a result. Vijay Sethupathi stars as the head honcho of the vicious and vengeful mafia operation and is first shown to the audience in one of the most intricately weaved, deliciously bonkers intro sequences for an antagonist in recent memory.It is testament to Lokesh Kanagaraj's directorial genius that he manages to give his three lead actors enough room to develop their characters and build a connect with the viewers. If it is Sethupathi's quirky eccentricities that catch the eye, Fahadh's intensity weaves a subplot of its own while Kamal excels in the emotional sequences. Lokesh Kanagaraj had told us to rewatch his classic ""Kaithi (2019)"" before we went to theaters to watch ""Vikram"" and with good reason, with the two movies being intricately connected and seemingly leading up to an extensive LKU-A mouth-watering Lokesh Kanagaraj Universe! A fantastic cameo from superstar Suriya is the cherry on the cake, with the actor looking the most stylish and massy he has in years!The director's penchant for crime thrillers, retro music and biryani continues to hold good for ""Vikram"" with Anirudh Ravichander's music rendering a soaring sheen to the narrative being built. The callbacks and references to old Kamal classics blend smoothly with the storytelling and are never jarring or contrived. The actor's phenomenal voice modulation and expressive eyes elevate even simple sequences to another level, especially his interactions with his toddler grandson.Master stunt choreographer duo Anbariv continue the same rich vein of form they displayed in the KGF franchise, but this time sacrificing the larger canvas for more close-quarters, hand-to-hand combat in tight spaces. Girish Gangadharan's cinematographer is other-worldly as usual, soaking up the bone-crunching action in all its glory. Editor Philomin Raj also deserves praise for ensuring that a movie with a seemingly daunting 3 hour run-time is never boring at any stretch.While you might see many of the plot's twists coming, the visual grammar, treatment and picturization takes your breath away, nevertheless. ""Vikram"" is yet another endeavor from a superstar fanboy that pays rich dividends, along the lines of Prithviraj's Mohanlal tribute ""Lucifer (2019)"", Karthik Subbaraj's Rajnikanth-starrer ""Pettah (2019)"" as well as Amal Neerad's ode to Mammootty, ""Bheeshma Parvam (2022)"". Highly recommended! Long live the Lokesh Kanagaraj universe!",fanboy film that celebrates kamal hassan fullest extent,buildup marketing lokesh kanagarajs kamal hassan starrer vikram has been nothing short all encompassing driven primarily by fact that 36 year old young director is yet direct sub par movie with maanagaram 2017 kaithi 2019 master 2021 all having been well received by audiences precocious storyteller delivers with mazy yet continuously engaging crime saga with resounding mass elevation sequences enough emotional hooks keep audience invested 3 time national award winner best actor kamal hassan stars as grieving father heartbroken at loss his son who was policeman investigating burgeoning drug mafia chennai who had before his mysterious murder uncovered staggering cache illegal drugs syndicate safeguarded enter fahadh faasil black ops specialist charged with unraveling mystery around carnage unleashed by cartel as result vijay sethupathi stars as head honcho vicious vengeful mafia operation is first shown audience one most intricately weaved deliciously bonkers intro sequences antagonist recent memory it is testament lokesh kanagarajs directorial genius that he manages give his three lead actors enough room develop their characters build connect with viewers if it is sethupathis quirky eccentricities that catch eye fahadhs intensity weaves subplot its own while kamal excels emotional sequences lokesh kanagaraj had told us rewatch his classic kaithi 2019 before we went theaters watch vikram with good reason with two movies being intricately connected seemingly leading up extensive lku mouth watering lokesh kanagaraj universe fantastic cameo superstar suriya is cherry cake with actor looking most stylish massy he has years directors penchant crime thrillers retro music biryani continues hold good vikram with anirudh ravichanders music rendering soaring sheen narrative being built callbacks references old kamal classics blend smoothly with storytelling are never jarring or contrived actors phenomenal voice modulation expressive eyes elevate even simple sequences another level especially his interactions with his toddler grandson master stunt choreographer duo anbariv continue same rich vein form they displayed kgf franchise but this time sacrificing larger canvas more close quarters hand hand combat tight spaces girish gangadharans cinematographer is other worldly as usual soaking up bone crunching action all its glory editor philomin raj also deserves praise ensuring that movie with seemingly daunting 3 hour run time is never boring at any stretch while you might see many plots twists coming visual grammar treatment picturization takes your breath away nevertheless vikram is yet another endeavor superstar fanboy that pays rich dividends along lines prithvirajs mohanlal tribute lucifer 2019 karthik subbarajs rajnikanth starrer pettah 2019 as well as amal neerads ode mammootty bheeshma parvam 2022 highly recommended long live lokesh kanagaraj universe,0.5419904761904761,0.18185584415584416,Positive,"{'Happy': 0.1, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.19, 'Fear': 0.43}"
8,Loki universe!!,KH is back with a bang in this action movie. The action scenes are raw and chilling. Every character has brilliant characteristics and are used brilliantly to the screenplay. Fahad Fazil has a good emotional part. Do watch if you like raw action movies!!,loki universe,kh is back with bang this action movie action scenes are raw chilling every character has brilliant characteristics are used brilliantly screenplay fahad fazil has good emotional part do watch if you like raw action movies,0.4884615384615385,0.16713286713286712,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.22, 'Fear': 0.44}"
10,Bawaal Picture Hai Bhaisaab !!!,"I saw Hindi dubbed. LOVED IT. Only 3 Indian movies I saw this year, that were worth watching on Big Screen, The Kashmir Files, Attack: Part 1, and Vikram.No words. Just waiting for next part. What a thrill ride. Don't consider it usual, mass masala overacting type south movie. This is brilliant. Full of twist and superb action. All the actors have given their best. Bhai watch it Don't miss it. Forget KGF, this is the south movie, pride of South Indian cinema.",bawaal picture hai bhaisaab,i saw hindi dubbed loved it only 3 indian movies i saw this year that were worth watching big screen kashmir files attack part 1 vikram no words just waiting next part what thrill ride dont consider it usual mass masala overacting type south movie this is brilliant full twist superb action all actors have given their best bhai watch it dont miss it forget kgf this is south movie pride south indian cinema,0.47272727272727266,0.3727272727272727,Positive,"{'Happy': 0.24, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.24}"
10,Kamal is back! Time to show how's it done.,Very engaging screenplay and overall great performances by all stars. A lot of fan moments to enjoy. Looking forward to future installments of the Vikram series. Congratulations to Lokesh and team.,kamal is back time show hows it done,very engaging screenplay overall great performances by all stars lot fan moments enjoy looking forward future installments vikram series congratulations lokesh team,0.38083333333333336,0.2866666666666667,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.4}"
10,Must Watch One,"Not Kamal Haasan Not Fahad Fazil Not Vijay Sethupathi Not Surya Lokesh is the Real HeroUtilised the Cast perfectly ... BGM, Theatre Experience was lit 🔥",must watch one,not kamal haasan not fahad fazil not vijay sethupathi not surya lokesh is real heroutilised cast perfectly bgm theatre experience was lit,0.65,0.6,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
9,Performance,Great movie. Little bit lag of 1st half and engaging 2nd half. Performance of every characters brilliant especially kamal hassan screen presence and excellent cameo role of surya.overall it's a mass movie and worth watch.,performance,great movie little bit lag 1st half engaging 2nd half performance every characters brilliant especially kamal hassan screen presence excellent cameo role surya overall its mass movie worth watch,0.4893939393939393,0.2617424242424242,Positive,"{'Happy': 0.43, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.0, 'Fear': 0.43}"
