Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,Awesome !!!!,"Well frankly saying it is a ten year wait to watch a full length romantic movie after ALAIPAYUTHE being released. Great work Gautam,the movie is very close to heart with no added ingredients.The movie is pure and simple, and the narration is excellent. It may not be the usual stuff with comedy and fights, but still its worth a watch more than once. The lead pair is terrific, with Simbu in a new avatar, a territory which he has never charted. Trisha is amazing as Jessie, many will fall in love for her after this movie. Definitely, this move can be one of their best performance till date. ARR is amazing as usual, the BGM and the songs are awesome. At many part u would be dragged into the movie unknowingly.Of course the movie has other routine Gautam stuff. Though it may not be convincing to everyone, but still all those who watch the movie will have one moment in the movie which will be close to them, if that is so then, the mission of the director is achieved. I would recommend this movie for all you people who waited for a romantic piece. A final word, Gautam should we wait for another 10 years for another romantic movie?",awesome,well frankly saying it is ten year wait watch full length romantic movie after alaipayuthe being released great work gautam movie is very close heart with no added ingredients movie is pure simple narration is excellent it may not be usual stuff with comedy fights but still its worth watch more than once lead pair is terrific with simbu new avatar territory which he has never charted trisha is amazing as jessie many will fall love her after this movie definitely this move can be one their best performance till date arr is amazing as usual bgm songs are awesome at many part u would be dragged into movie unknowingly course movie has other routine gautam stuff though it may not be convincing everyone but still all those who watch movie will have one moment movie which will be close them if that is so then mission director is achieved i would recommend this movie all you people who waited romantic piece final word gautam should we wait another 10 years another romantic movie,0.5745245825602969,0.32413033395176255,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.35, 'Sad': 0.12, 'Fear': 0.25}"
8,An Unusual Romantic Masterpiece,"Vinnai Thaandi Varuvaayaa(shortly ""VTV"")created a big buzz before its release but once it was released some of the audiences were pretty much disappointed by it but certain audiences like me or in my age group(20-25) loved the movie so much. The fact that it was typically a Gautham Vasudev Menon film and so i went in to the theater not expecting a big ""Mass"" opening song and lengthy dialogues to boast the hero's image but a decent reality film with excellent cinematography(Hats off Manoj Paramahamsa) and beautiful songs(""Oscar Winner"" A.R.Rahman Rocks!). I wasn't disappointed at all and i had a pretty good time observing the chemistry between Karthik(A Good-Looking Smart Silambarasan worth his title of ""Young Superstar"")and Jesse(A Ravishing Trisha)and what are all the phases they go through throughout the entire movie till the climax. I was deeply moved by the situations that the lead are put to that tests their strength of love rather vaguely. Songs are the biggest plus for the movie and with A.R.R at the helm you can't expect anything less than a riveting music and an excellent BGM. A.R.R. shines in both these with his usual trademark. Whoever says whatever about the movie nobody can take back that VTV is indeed a different attempt in modern day Love stories. Want to know why? Just go for it! You'll enjoy the most if you see this with your lover by your side!",unusual romantic masterpiece,vinnai thaandi varuvaayaa shortly vtv created big buzz before its release but once it was released some audiences were pretty much disappointed by it but certain audiences like me or my age group 20 25 loved movie so much fact that it was typically gautham vasudev menon film so i went theater not expecting big mass opening song lengthy dialogues boast heros image but decent reality film with excellent cinematography hats off manoj paramahamsa beautiful songs oscar winner r rahman rocks i wasnt disappointed at all i had pretty good time observing chemistry between karthik good looking smart silambarasan worth his title young superstar jesse ravishing trisha what are all phases they go through throughout entire movie till climax i was deeply moved by situations that lead are put that tests their strength love rather vaguely songs are biggest plus movie with r r at helm you cant expect anything less than riveting music excellent bgm r r shines both these with his usual trademark whoever says whatever about movie nobody can take back that vtv is indeed different attempt modern day love stories want know why just go it youll enjoy most if you see this with your lover by your side,0.5577891156462585,0.19605442176870747,Positive,"{'Happy': 0.36, 'Angry': 0.08, 'Surprise': 0.18, 'Sad': 0.13, 'Fear': 0.26}"
10,Poignant Love Tale,"I can very well vouch that movie is one of such kind that will stay in one's heart forever... This is one such a simple/clean/decent love story that can happen in anyone's life... And that makes the movie stay close to one's heart... Gautham has splendidly done the screenplay... One can taste the sweetness/bitterness of love while ht movie flows...The actors, Simbu and Trisha.... My god, they haven't acted, but lived as Karthik, Jessie... Such a brilliant performance...The director concentrated more on the story, story and nothing but story... A simple, but a powerful one... Though there are very few locations, the camera man caught it well...On the whole, it's a nice movie to be enjoyed...",poignant love tale,i can very well vouch that movie is one such kind that will stay ones heart forever this is one such simple clean decent love story that can happen anyones life that makes movie stay close ones heart gautham has splendidly done screenplay one can taste sweetness bitterness love while ht movie flows actors simbu trisha my god they havent acted but lived as karthik jessie such brilliant performance director concentrated more story story nothing but story simple but powerful one though there are very few locations camera man caught it well whole its nice movie be enjoyed,0.610045351473923,0.30507936507936506,Positive,"{'Happy': 0.38, 'Angry': 0.08, 'Surprise': 0.12, 'Sad': 0.17, 'Fear': 0.25}"
10,a timeless classic,"Vinnaithandi Varuvaya, the much expected and much-hyped movie of Gautam Vasudev Menon with Simbhu & Trisha in the lead is a timeless classic in all aspects.The songs already hit the chart busters with A.R.Rahman's Magical Music which helped create anticipation for the movie.i had seen the movie 8 times and i am still counting. Even in action films like Kaakka Kaakka and Vettayadu Vilaiyadu and family drama like Vaaranam Aayiram, the romantic scenes are refreshing with cute & chirpy dialogs. Since it's a full-fledged romantic movie I never wanna miss this.i am an Oriya but i like to watch south movies with English subs.i am a great fan of Mani Ratnam and Gotham Menon and i just love to watch their movies.The movie is all about Karthik, an aspiring film maker and Jessi, a program Analyst working in Polaris. It starts in Jessi's wedding at a Church where Karthik narrates his flashback. We simply forget Simbhu and Tisha and can see only Karthik and Jessi romancing. He falls in Love with the ravishing Jessi at the first sight . She goes to Alleppy to spend a week vacation with her grandma. Soon Karthik follows her to Alleppy to say sorry to her. This time the director himself has added a dialog referring to VA. Seems Gautham is still in VA hangover. Meanwhile he befriends Ganesh, a cinematographer and tries to join as an assistant to director K.S.Ravikumar with his reference. Ganesh supports his love and accompanies him to Kerala. Karthik asks Jassi to forgive for his behavior and wants to be a friend with her. Jassi likes the way he proposed and also the way he said sorry. She likes his courage and befriends him like Meghna of VA. She starts loving him but denies to accept it since his parents are staunch Christians and will never allow to marry a Hindu guy. But she wants to be with him just as a friend. Their parents come to know about their affair and Jassi's parents arrange for her marriage while Karthik's parents shift their house to another area. Jassi leave for Kerala for her marriage. Karthik goes to Kerala with Ganesh and narrates the story to us till this part.The story has the twist in its 2nd half which is the highlight of the movie. Unlike other Gautam movies, the 2nd half is pretty interesting despite its slow pace. I don't want to disclose the twist. It has a very good feel of romance. I bet that it would rekindle your Love in the present and in the past and it would take a long time to come out of the impact.Both Simbu and Trisha have given their best performances till date. Both of them share a good chemistry. Trisha sheds her Glam doll role and steals our heart as Jassi. Simbhu sans his finger mannerisms, punch dialogs, double triple meaning sleazy dialogs makes a strong impression as Karthik. . He's simply mind blowing when he describes the girl in his heart. Apart from the lead couple it's Ganesh who comes throughout the movie without breaking the flow of the movie. Thanks to Mr.Menon for not casting a popular comedian for that role which would be a compromise for C Center audience. K.S.Ravikumar comes now and then as director and makes us laugh st times. Bob Anthony, the yesteryear villain does a neat job as Trisha's stubborn father. His brother looks like a puck rowdy with Gautham's rugged voice. We can't believe it's Trisha's brother. Very bad choice. Her mother- Ayyo Paavam!!! Kitty and Uma Padmanabhan are just okay as Simbhu's parents. Why they were not shown in the 2nd half? His sister doesn't make any mark. Simbhu's voice modulation could have been better.Music- The greatest asset of the movie right from the beginning till the end with excellent background score. I don't like all the songs since they are lyrically-challenged. I thought Thamarai had less job to do with 6-7 lines per song with repetitive verses. But it's so much related to the movie. Esp Kannukkul Kannai & Mannippaya. The bitter truth is the lyrics are dominated by Rahman's Music unlike Harris' who gives importance to lyrics in some songs. The Picturisation of Hosannah, Omana Penne and Kannukkul Kannai are visual delight but I didn't like my favorite Mannippaya on screen. It lacks the feel that Shreya Ghoshal has in her voice. It was pictured as a happy duet instead of the melancholic lyrics. It should have come after their separation. Similarly the Picturization of Aaromale is also not so apt as far as the lyrics are concerned.Manoj Paramahamsa is the eye of the director. The locales of Alappuzha, Malta Island, and Sinbhu-Trisha's house are treat to watch. We can feel the story is happening in our next home. He's done a fabulous job post Eeram.A special mention to singer Chinmayi who has done a wonderful job by lending her voice to Trisha with exact Tamil and Malayalam accents. The way she says Karthik is so lovely and romantic. Does she have a BF named Karthik? Great job Chins! Also to Nalini Sriram for giving decent and elegant costumes to Trisha and making her looking gorgeous. (Esp the first blue Saree till the red Saree in the climax). Simbhu too looks so smart with his casual shirts.On a whole, the movie is a must-watch. If you watch movies for time-pass and expect action, mas ala, item numbers, it's not your cup pa. It's not for those who see movies, it for those who feel movies. After Alaipayuthe, I loved this as a full and full romantic movie without any action, comedy sequences (almost after a decade). Don't miss it if u love LOVE! My Rating : 5/5",timeless classic,vinnaithandi varuvaya much expected much hyped movie gautam vasudev menon with simbhu trisha lead is timeless classic all aspects songs already hit chart busters with r rahmans magical music which helped create anticipation movie i had seen movie 8 times i am still counting even action films like kaakka kaakka vettayadu vilaiyadu family drama like vaaranam aayiram romantic scenes are refreshing with cute chirpy dialogs since its full fledged romantic movie i never wanna miss this i am oriya but i like watch south movies with english subs i am great fan mani ratnam gotham menon i just love watch their movies movie is all about karthik aspiring film maker jessi program analyst working polaris it starts jessis wedding at church where karthik narrates his flashback we simply forget simbhu tisha can see only karthik jessi romancing he falls love with ravishing jessi at first sight she goes alleppy spend week vacation with her grandma soon karthik follows her alleppy say sorry her this time director himself has added dialog referring va seems gautham is still va hangover meanwhile he befriends ganesh cinematographer tries join as assistant director k s ravikumar with his reference ganesh supports his love accompanies him kerala karthik asks jassi forgive his behavior wants be friend with her jassi likes way he proposed also way he said sorry she likes his courage befriends him like meghna va she starts loving him but denies accept it since his parents are staunch christians will never allow marry hindu guy but she wants be with him just as friend their parents come know about their affair jassis parents arrange her marriage while karthiks parents shift their house another area jassi leave kerala her marriage karthik goes kerala with ganesh narrates story us till this part story has twist its 2nd half which is highlight movie unlike other gautam movies 2nd half is pretty interesting despite its slow pace i dont want disclose twist it has very good feel romance i bet that it would rekindle your love present past it would take long time come out impact both simbu trisha have given their best performances till date both them share good chemistry trisha sheds her glam doll role steals our heart as jassi simbhu sans his finger mannerisms punch dialogs double triple meaning sleazy dialogs makes strong impression as karthik hes simply mind blowing when he describes girl his heart apart lead couple its ganesh who comes throughout movie without breaking flow movie thanks mr menon not casting popular comedian that role which would be compromise c center audience k s ravikumar comes now then as director makes us laugh st times bob anthony yesteryear villain does neat job as trishas stubborn father his brother looks like puck rowdy with gauthams rugged voice we cant believe its trishas brother very bad choice her mother ayyo paavam kitty uma padmanabhan are just okay as simbhus parents why they were not shown 2nd half his sister doesnt make any mark simbhus voice modulation could have been better music greatest asset movie right beginning till end with excellent background score i dont like all songs since they are lyrically challenged i thought thamarai had less job do with 6 7 lines per song with repetitive verses but its so much related movie esp kannukkul kannai mannippaya bitter truth is lyrics are dominated by rahmans music unlike harris who gives importance lyrics some songs picturisation hosannah omana penne kannukkul kannai are visual delight but i didnt like my favorite mannippaya screen it lacks feel that shreya ghoshal has her voice it was pictured as happy duet instead melancholic lyrics it should have come after their separation similarly picturization aaromale is also not so apt as far as lyrics are concerned manoj paramahamsa is eye director locales alappuzha malta island sinbhu trishas house are treat watch we can feel story is happening our next home hes done fabulous job post eeram special mention singer chinmayi who has done wonderful job by lending her voice trisha with exact tamil malayalam accents way she says karthik is so lovely romantic does she have bf named karthik great job chins also nalini sriram giving decent elegant costumes trisha making her looking gorgeous esp first blue saree till red saree climax simbhu too looks so smart with his casual shirts whole movie is must watch if you watch movies time pass expect action mas ala item numbers its not your cup pa its not those who see movies it those who feel movies after alaipayuthe i loved this as full full romantic movie without any action comedy sequences almost after decade dont miss it if u love love my rating 5 5,0.5002142857142856,0.22443121693121704,Positive,"{'Happy': 0.24, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.15, 'Fear': 0.3}"
9,Strongly Recommended,"This is my first review on IMDb.so you people can see that why I am writing this.I didn't have any much expectation from this movie. I didn't have any work so start this. After watching the movie I can say that it is one of the best romantic movie I have ever seen.I liked Gautham menon's others movies also but became fan of him after this movie.superb direction and screenplay.awesome dialogues and acting.Love the Dialogue ""Of all of the girls in the world why I fall in love with Jessie"" . I am also a engineering student and same kind of dream which the lead hero has. So story is close to my heart.One particular thing that I like about the movie is its climax.Again hats off to Gautham Menon.",strongly recommended,this is my first review imdb so you people can see that why i am writing this i didnt have any much expectation this movie i didnt have any work so start this after watching movie i can say that it is one best romantic movie i have ever seen i liked gautham menons others movies also but became fan him after this movie superb direction screenplay awesome dialogues acting love dialogue all girls world why i fall love with jessie i am also engineering student same kind dream which lead hero has so story is close my heart one particular thing that i like about movie is its climax again hats off gautham menon,0.5303571428571427,0.44642857142857145,Positive,"{'Happy': 0.32, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.11, 'Fear': 0.16}"
10,review....,"What a big expectation for this movie.......I think the BIGGEST for a romantic flick. 15 minutes in to the movie I thought this is the landmark one not only for the crew but also for the Tamil film industry. ohhh...is there any magic Gautham is spelling on his actresses? I promise by heart, I have never seen Trisha more beautiful than this.Let us get in to the first half... I can boldly say this is the best chemistry between the lead pair in the decade (not to forget alaipayudhe).What beautiful dialogues......same like Mani Ratnam...... And now I know why he chose Rahman for the music. It indeed forms the backbone of the movie. what a classical BG score..... Gautham is getting bigger with his movies.The main plus for his movies is that the critics have never been able to find out a point to make him down.And what a screenplay by this guy (though nobody is surprised here because even his Pachaikili Muthucharam which was less than impressive @ the BO,had a great screenplay)The second part of the movie now I don't think any different theme about love can be explored at this time as everything has already been made. So Gautham plays with the age old theme of boy meets girl of different religion andfalls in love and the girl fearing about their parents' acceptance. But of course he has put his midas touch at it. And it his hard at this stage of Tamil cinema to give out an out andout romantic flick and that too with the lead pair occupying around 90% of the screen space. The only flip for this movie is the slow pace at this part of the movie. The dialogues between the lead pair do tell me that he is the next one to take the mantle of Mani sir..... And all of us know that it is not only in romance he is good at but can do action flicks too like KK & VV.....Just the same way as Mani does.... But not a coincidence they both are at their best at romance....And finally the climax Any directors ability is fully answered only by the way he does his climax....and Gautham will get my maximum points for this climax...he does raise everybodys eyebrows after the climax...........Particularly this climax will stay in our minds for a long time to come..... this too comes the same way as Mani Ratnams",review,what big expectation this movie i think biggest romantic flick 15 minutes movie i thought this is landmark one not only crew but also tamil film industry ohhh is there any magic gautham is spelling his actresses i promise by heart i have never seen trisha more beautiful than this let us get first half i can boldly say this is best chemistry between lead pair decade not forget alaipayudhe what beautiful dialogues same like mani ratnam now i know why he chose rahman music it indeed forms backbone movie what classical bg score gautham is getting bigger with his movies main plus his movies is that critics have never been able find out point make him down what screenplay by this guy though nobody is surprised here because even his pachaikili muthucharam which was less than impressive bo had great screenplay second part movie now i dont think any different theme about love can be explored at this time as everything has already been made so gautham plays with age old theme boy meets girl different religion andfalls love girl fearing about their parents acceptance but course he has put his midas touch at it it his hard at this stage tamil cinema give out out andout romantic flick that too with lead pair occupying around 90 screen space only flip this movie is slow pace at this part movie dialogues between lead pair do tell me that he is next one take mantle mani sir all us know that it is not only romance he is good at but can do action flicks too like kk vv just same way as mani does but not coincidence they both are at their best at romance finally climax any directors ability is fully answered only by way he does his climax gautham will get my maximum points this climax he does raise everybodys eyebrows after climax particularly this climax will stay our minds long time come this too comes same way as mani ratnams,0.5042989417989417,0.20919312169312163,Positive,"{'Happy': 0.18, 'Angry': 0.11, 'Surprise': 0.32, 'Sad': 0.2, 'Fear': 0.2}"
10,wow...a Movie with a Heart,"After a long time,i have a seen a romantic movie with great music and excellent acting.10 years after Alaipayuthey,here comes a story which is not a love triangle and concentrates only between the 2 characters,Karthik played by Silambarasan and Jesse played by Trisha Krishnan15 minutes into the movie you get completely hooked as the movie has a great start with excellent background music by A.R.Rahman and you feel the same as the main protagonist Karthik feels for Jesse.all you want while watching, is the love story between karthik and Jesse to happen.The movie scores high on its screenplay and keeps you hooked scene by scene,the dialogues which is kept simple but still with a high feel.Superb cinematography,Kerala has never been so beautiful before.But finally the movie belongs to 4 very important people 1)T.R.Silambarasan as karthik who has enacted his part with great charm and his lover boy attitude is hard to ignore 2)Trisha as Jesse,a girl who u can really say as a girl next door with her sexy looks even in her Indian attire,which is hard to find in today's movies as most of the heroins concentrate on western looks.She plays her part well and forms a great pair with karthik. 3)a fantastic music by A.R rahman,his background score makes you feel and drives you into the movie and also some great songs like hosanna,Omanapenne,Mannipaya.You really have to watch this movie to believe why A.R. Rahman is considered the Best in the business 4)and finally,the director Gautham Menon,after a string of hits like Minnale,Kakha Kakha,Vettaiyadu Vilayadu,Vaaranam Aayiram and now Vinnaithandi Varuvaaya.,the direction by Gautham Menon is superb and effort can be seen during the climax when u get a huge surprisemy verdict..10 out of 10...watch it for its sincerity and for its feel",wow movie with heart,after long time i have seen romantic movie with great music excellent acting 10 years after alaipayuthey here comes story which is not love triangle concentrates only between 2 characters karthik played by silambarasan jesse played by trisha krishnan15 minutes into movie you get completely hooked as movie has great start with excellent background music by r rahman you feel same as main protagonist karthik feels jesse all you want while watching is love story between karthik jesse happen movie scores high its screenplay keeps you hooked scene by scene dialogues which is kept simple but still with high feel superb cinematography kerala has never been so beautiful before but finally movie belongs 4 very important people 1 t r silambarasan as karthik who has enacted his part with great charm his lover boy attitude is hard ignore 2 trisha as jesse girl who u can really say as girl next door with her sexy looks even her indian attire which is hard find todays movies as most heroins concentrate western looks she plays her part well forms great pair with karthik 3 fantastic music by r rahman his background score makes you feel drives you into movie also some great songs like hosanna omanapenne mannipaya you really have watch this movie believe why r rahman is considered best business 4 finally director gautham menon after string hits like minnale kakha kakha vettaiyadu vilayadu vaaranam aayiram now vinnaithandi varuvaaya direction by gautham menon is superb effort can be seen during climax when u get huge surprisemy verdict 10 out 10 watch it its sincerity its feel,0.6278056628056627,0.34792792792792787,Positive,"{'Happy': 0.31, 'Angry': 0.1, 'Surprise': 0.24, 'Sad': 0.08, 'Fear': 0.27}"
9,"Vinnaithaandi Varuvaayaa?? - "" the answer is NO""..","""Vinnaithaandi varuvaayaa"" is a feel good romantic movie by Gautham Vasudev Menon starring simbu and trisha After a successful Vaaranam Aayiram GVM ventures into his next project Vinnaithaandi Varuvaayaa, focusing entirely on the best emotion in the world, LOVE, a subject that the brilliant director is known to handle with style, finesse, panache and a lot of heart. Although, VTV could have been an apt Valentine’s Day presentation, it nevertheless does not cease to impress the target audience, the YOUTH.VTV is all about falling in love, the emotions, confusions and the innumerable roller-coaster sensations associated with it. Karthik (Silambarasan), a mechanical engineer is an aspiring film director. It is love at first sight for this young man with his landlords daughter Jessy (Trisha), a Malayalee Christian and a computer professional. Karthik expresses his love to her in a quite unexpected manner but she does not accept it citing practical reasons. Notwithstanding her absence even for a short while, Karthik reaches Kerala along with his cinematographer friend Ganesh.He finds Jessy in the pretext of apologizing to her for his behavior but earns her friendship. The ensuing train trip to Chennai from Allapuzha paves way for a deeper bond between the two. Meanwhile Karthik rubs Jessy’s brother on the wrong side which creates a wedge between the two families and Karthiks family is made to vacate the premises. This triggers the hasty fixing of marriage for Jessy in Kerala. Needless to say, Karthik reaches there and what happens thereafter form the crux of Vinnaithaandi Varuavaayaa. The answers to questions like whether Karthik and Jessy unite in marriage or go their individual ways are narrated with a trademark Gautham Menon’s style.This is the first time Gautham teams up with A R Rahman and his music has already scorched the charts and the songs are the strong pillars to the film.The movie is a visual treat and characters are so real to make people believe.On the flip side the narration is very slow and is not suitable for commercial audience.As for me i consider the movie as a emotional heartbreak and the best work by GVM ever. hats off!!!!9/10..",vinnaithaandi varuvaayaa answer is no,vinnaithaandi varuvaayaa is feel good romantic movie by gautham vasudev menon starring simbu trisha after successful vaaranam aayiram gvm ventures into his next project vinnaithaandi varuvaayaa focusing entirely best emotion world love subject that brilliant director is known handle with style finesse panache lot heart although vtv could have been apt valentine s day presentation it nevertheless does not cease impress target audience youth vtv is all about falling love emotions confusions innumerable roller coaster sensations associated with it karthik silambarasan mechanical engineer is aspiring film director it is love at first sight this young man with his landlords daughter jessy trisha malayalee christian computer professional karthik expresses his love her quite unexpected manner but she does not accept it citing practical reasons notwithstanding her absence even short while karthik reaches kerala along with his cinematographer friend ganesh he finds jessy pretext apologizing her his behavior but earns her friendship ensuing train trip chennai allapuzha paves way deeper bond between two meanwhile karthik rubs jessy s brother wrong side which creates wedge between two families karthiks family is made vacate premises this triggers hasty fixing marriage jessy kerala needless say karthik reaches there what happens thereafter form crux vinnaithaandi varuavaayaa answers questions like whether karthik jessy unite marriage or go their individual ways are narrated with trademark gautham menon s style this is first time gautham teams up with r rahman his music has already scorched charts songs are strong pillars film movie is visual treat characters are so real make people believe flip side narration is very slow is not suitable commercial audience as me i consider movie as emotional heartbreak best work by gvm ever hats off 9 10,0.4872043010752688,0.21094086021505373,Positive,"{'Happy': 0.21, 'Angry': 0.12, 'Surprise': 0.22, 'Sad': 0.26, 'Fear': 0.19}"
10,Disowning the initial draft of VTV..,"This is not a review for a person who haven't watched the movie yet. This post is a comment on the storyline of VTV for someone who have already loved the movie.. :)In an interview Gautam Menon gave to Baradwaj Rangan about the short film Karthik Dial Seytha Yenn (sequel to VTV), he spoke about the nuances of Jessie's characterization when he explained how they had shot few sequences of Jessie going in search of Karthik during his shoot days in Goa, and that in the final edit the sequence got cut for what ever reasons. And you wouldn't believe me - that what-ever-reason is what VTV is for the unadulterated me!She happened to go to Goa where she encountered a misunderstanding scene of Karthik having an affair with the heroine there, which kinda not just reinforced her religious-family's hatred for movies and its culture, but to reject her (what for me is the purest form of 'Love' in a movie around that time) love for him. Thank God those what-ever-reasons happened, and we have what we have in its form and kind! :)",disowning initial draft vtv,this is not review person who havent watched movie yet this post is comment storyline vtv someone who have already loved movie interview gautam menon gave baradwaj rangan about short film karthik dial seytha yenn sequel vtv he spoke about nuances jessies characterization when he explained how they had shot few sequences jessie going search karthik during his shoot days goa that final edit sequence got cut what ever reasons you wouldnt believe me that what ever reason is what vtv is unadulterated me she happened go goa where she encountered misunderstanding scene karthik having affair with heroine there which kinda not just reinforced her religious familys hatred movies its culture but reject her what me is purest form love movie around that time love him thank god those what ever reasons happened we have what we have its form kind,0.5250000000000001,0.25,Positive,"{'Happy': 0.25, 'Angry': 0.05, 'Surprise': 0.35, 'Sad': 0.15, 'Fear': 0.2}"
10,looks lika a real life love story,"i watched the movie five times it is really one of the best ever romantic movie ever made in Tamil.there are lot of scenes in which every one could relate to themselves. everything in the movie is best.story,screenplay are good,music excellent,cinematography good,acting is also good, so everything is done well in this movie,which makes the audience watch it again and again.the movie looks like as if it is based on a true storybut only the climax twist may be inspired from annie hall...trisha's characterization is brilliant....simbu gives his best till date..best work from gautham menon...",looks lika real life love story,i watched movie five times it is really one best ever romantic movie ever made tamil there are lot scenes which every one could relate themselves everything movie is best story screenplay are good music excellent cinematography good acting is also good so everything is done well this movie which makes audience watch it again again movie looks like as if it is based true storybut only climax twist may be inspired annie hall trishas characterization is brilliant simbu gives his best till date best work gautham menon,0.515625,0.578125,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.25, 'Fear': 0.14}"
