Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,The Most faulty comment on a Honest film,"Mr.Kumar.Y has mentioned things that are unfair and untrue to 'Virumandi'. Firstly, the 3 POV storytelling familiarized by Kurosowa, had been used in many films around the world and was used long back in Tamil cinema By Director S.Balachander in the Sivaji Ganesan starer 'Andha Naal'(1954). It was just a tool adapted by Kamal Hassan, to convey a story that is rustic & real.Its untrue to say Kurosawa's Roshomon had the same concept of that of Virumandi. Each had the story that was true and real to their soils and had just obvious similarities that can be between any two films.""Its a great movie but for the trumped up violence..."" ..and this too is unjust. No where is the violence been glorified or pushed in cheaply. Instead if observed in a right sense and taste all the gore is justified and raw truths.To make it straight, this one of the honest films made ever in Indian Cinema. A superior cinema that was well received with masses too.Hats off & 8.5/10",most faulty comment honest film,mr kumar y has mentioned things that are unfair untrue virumandi firstly 3 pov storytelling familiarized by kurosowa had been used many films around world was used long back tamil cinema by director s balachander sivaji ganesan starer andha naal 1954 it was just tool adapted by kamal hassan convey story that is rustic real its untrue say kurosawas roshomon had same concept that virumandi each had story that was true real their soils had just obvious similarities that can be between any two films its great movie but trumped up violence this too is unjust no where is violence been glorified or pushed cheaply instead if observed right sense taste all gore is justified raw truths make it straight this one honest films made ever indian cinema superior cinema that was well received with masses too hats off 8 5 10,0.5527793040293041,0.26024725274725274,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.35, 'Fear': 0.25}"
10.0,a masterpiece,"Virumandi is another masterpiece from genuis kamal.The way in which the story has been told is something amazing and very rarely you can see in Indian Cinema leave alone Tamil Cinema. I was very much depressed when films like Anbe Sivam and Hey Ram failed with people but hats off to kamal for his perseverance and hardwork and never giving up attitude to stage a great comeback in Virumandi and scripted a message in Film Industry that realistic and Quality films can also do well in box office. In my opinion currently Kamal is the best in Indian film Industry when it comes to making high quality films.Look at Virumandi - the way in which story being told with flawless screen play, powerful dialogues and aesthetic direction and utilising the technology to a fullest extent. I think his mentor Balachander should be proud of his student. As an actor he has already proved that he is No 1 in the country and from film Direction point of view he is the process of taking Tamil/Indian cinema to International arena. Probably in years going forward we can witness a range of International awards being confered on this great artist.",masterpiece,virumandi is another masterpiece genuis kamal way which story has been told is something amazing very rarely you can see indian cinema leave alone tamil cinema i was very much depressed when films like anbe sivam hey ram failed with people but hats off kamal his perseverance hardwork never giving up attitude stage great comeback virumandi scripted message film industry that realistic quality films can also do well box office my opinion currently kamal is best indian film industry when it comes making high quality films look at virumandi way which story being told with flawless screen play powerful dialogues aesthetic direction utilising technology fullest extent i think his mentor balachander should be proud his student as actor he has already proved that he is no 1 country film direction point view he is process taking tamil indian cinema international arena probably years going forward we can witness range international awards being confered this great artist,0.5688888888888889,0.38511111111111107,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.22, 'Fear': 0.3}"
8.0,Class Act,"At a time when cliched tamil/indian movies are being made, one could only Kamal Hassan to come up with something innovative and striking! What is most exciting is the narrative set-up from two angles, two very different versions of the same story, a crime committed, 24 murders in a village in Tamil Nadu (kamal hassan and pasupathy). The underlying tension throughout this morbid tale is effective. In fact very difficult to make out who is good and evil, till the very end. Fantastic Characterization's. Excellent photography, background score. Direction by Kamal is first rate, with an interesting screen play. Regarding performances, pasupathy steals the show, along with Rohini. Abhirami as the main female lead is impressive. Kamal, the actor is not at his best, but makes up enough with his direction. It falls short of a great movie on account of a poor climax and excessive violence. Not a great movie, but definitely a good one.",class act,at time when cliched tamil indian movies are being made one could only kamal hassan come up with something innovative striking what is most exciting is narrative set up two angles two very different versions same story crime committed 24 murders village tamil nadu kamal hassan pasupathy underlying tension throughout this morbid tale is effective fact very difficult make out who is good evil till very end fantastic characterizations excellent photography background score direction by kamal is first rate with interesting screen play regarding performances pasupathy steals show along with rohini abhirami as main female lead is impressive kamal actor is not at his best but makes up enough with his direction it falls short great movie account poor climax excessive violence not great movie but definitely good one,0.6643827160493829,0.2376543209876543,Positive,"{'Happy': 0.31, 'Angry': 0.07, 'Surprise': 0.17, 'Sad': 0.21, 'Fear': 0.24}"
10.0,Virumaandified,Superb movie. Kamalhaasan's another masterpiece movie virumandi. No doubt it is a blockbuster movie.,virumaandified,superb movie kamalhaasans another masterpiece movie virumandi no doubt it is blockbuster movie,1.0,1.0,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}"
10.0,Indian... Rashomon!!,"A typical combination of great story telling, a worthy message, remarkable acting, music, cast.. no wonder he's a legend in world cinema The first time i saw this movie, was a theater with no special sound effects. The entire picture was noisy and the dialogues were not clear. Real sounds were recorded in the shooting spot for this movie, which had made this impact.But then when i got to watch it for the second time in a good theatre.. i was awe struck by the minute details that were hidden within the scenes.Kudos to Kamal Haasan!! I'd invariably give a 10/10",indian rashomon,typical combination great story telling worthy message remarkable acting music cast no wonder hes legend world cinema first time i saw this movie was theater with no special sound effects entire picture was noisy dialogues were not clear real sounds were recorded shooting spot this movie which had made this impact but then when i got watch it second time good theatre i was awe struck by minute details that were hidden within scenes kudos kamal haasan id invariably give 10 10,0.46760204081632656,0.2051020408163266,Positive,"{'Happy': 0.15, 'Angry': 0.1, 'Surprise': 0.35, 'Sad': 0.2, 'Fear': 0.2}"
10.0,A LEGENDARY FILM,"A film from the inspiration of ""Akira Kurosawa's"" ROSHOMAN but it was fantastic than rishoman film looks intense,grippy,violentic,emotional,truth and humanity kamal hassan,s mind blowing performance makes the film more good writing and making was top notch finally a WORLD CLASS Tamil film is here.",legendary film,film inspiration akira kurosawas roshoman but it was fantastic than rishoman film looks intense grippy violentic emotional truth humanity kamal hassan s mind blowing performance makes film more good writing making was top notch finally world class tamil film is here,0.76875,0.4125,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.3, 'Fear': 0.1}"
10.0,Literally brilliant....,"The movie is too rooted in the culture of south Tamil Nadu for it to receive universal acclaim. Non-Tamil Speakers, Urban Tamil folks might have serious difficulty understanding the language and culture depicted in the film. The movie is about a brash, honest, foolish bumpkin who is caught up in the politics of two warring villages. The rivalry between castes, which is a highlight of South Indian politics, has been etched out neatly. The jail riot scenes remind you of Natural Born Killers vaguely but the jail set, actors and dialogues fit to the T. The capital punishment angle seems a tad bit forced into the movie as the movie doesn't really have anything to do with capital punishment apart from the cameo by a former Indian Judge. That apart, Virumaandi is one of the finest movies to have made it to Indian screens.The Pros: Brilliant acting, Clever dialogues, Interesting narration, Good Music The Cons: Made for a very niche audience",literally brilliant,movie is too rooted culture south tamil nadu it receive universal acclaim non tamil speakers urban tamil folks might have serious difficulty understanding language culture depicted film movie is about brash honest foolish bumpkin who is caught up politics two warring villages rivalry between castes which is highlight south indian politics has been etched out neatly jail riot scenes remind you natural born killers vaguely but jail set actors dialogues fit t capital punishment angle seems tad bit forced into movie as movie doesnt really have anything do with capital punishment apart cameo by former indian judge that apart virumaandi is one finest movies have made it indian screens pros brilliant acting clever dialogues interesting narration good music cons made very niche audience,0.42000000000000004,0.15666666666666668,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.13, 'Sad': 0.17, 'Fear': 0.43}"
10.0,The Best!,"This movie is the best one in Tamil.Virumandi shows how much effort had Kamal Haasan put in. Everything was perfect in the movie. Right from the casting to the directing ,everything was mindblowing. Especially the style of the movie was great-Depicted with two narrations this movie will just sweep you off your feet! I would say that Kamal Haasan is a better Director than even Maniratnam. The Bull fight sequence was equal to the making of Hollywood standards!Usually, I used to criticize most of the Tamil movies for it's screenplay,editing and the making but for this movie i just couldn't. Had given a good producer, Kamal would've taken Tamil filmdom to Hollywood! Guys,this movie is worth a million watch!!!",best,this movie is best one tamil virumandi shows how much effort had kamal haasan put everything was perfect movie right casting directing everything was mindblowing especially style movie was great depicted with two narrations this movie will just sweep you off your feet i would say that kamal haasan is better director than even maniratnam bull fight sequence was equal making hollywood standards usually i used criticize most tamil movies its screenplay editing making but this movie i just couldnt had given good producer kamal wouldve taken tamil filmdom hollywood guys this movie is worth million watch,0.48351648351648346,0.4642857142857143,Positive,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.32, 'Fear': 0.27}"
,the shot gun scene said it all man...,"I was watching this movie in Bombay on cable nearly 6 yrs after its release. I was blown to smithereens.Its so far ahead of its time. I kinda guessed this must have been directed by some genius( later i found out it was Kamal himself). Now, i'm a guy who watches very few Tamil movies ( cos they are very unrealistic, for my liking( i mean no offence) In my college days I watched Mahanadhi, what a classic that was. I bow to u Kamal sir, if u r reading this. I bow to the editor/ sync-sound /sound designers. Even though the use of violence is wrong , its completely justified in this movie.Very sleek,stylized.",shot gun scene said it all man,i was watching this movie bombay cable nearly 6 yrs after its release i was blown smithereens its so far ahead its time i kinda guessed this must have been directed by some genius later i found out it was kamal himself now im guy who watches very few tamil movies cos they are very unrealistic my liking i mean no offence my college days i watched mahanadhi what classic that was i bow u kamal sir if u r reading this i bow editor sync sound sound designers even though use violence is wrong its completely justified this movie very sleek stylized,0.5236805555555556,0.003680555555555562,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.54, 'Sad': 0.08, 'Fear': 0.31}"
9.0,"A masterful narration, amazing characterization, mind boggling direction.","Kamalahassan has proved a point with this village based script. Though his acting is not his magnum opus, his direction and screen play skills shines through out the movie.He has done meticulous work in sketching the plot and in small details of the village set. Pasupathy, napolean have done a commendable job. Songs and background score gel well with the story. Slightly inspired by the Hollywood movie ""Life of David Gale"", the movie stood out as unusual good movie among the clichéd kollywood movies. Abirami has done her role well, adding a pinch of romance to the movie. The gruesome fight scenes though realistic adds a negative attribute to the movie. All in all its an exceptional movie of its time.",masterful narration amazing characterization mind boggling direction,kamalahassan has proved point with this village based script though his acting is not his magnum opus his direction screen play skills shines through out movie he has done meticulous work sketching plot small details village set pasupathy napolean have done commendable job songs background score gel well with story slightly inspired by hollywood movie life david gale movie stood out as unusual good movie among clich d kollywood movies abirami has done her role well adding pinch romance movie gruesome fight scenes though realistic adds negative attribute movie all all its exceptional movie its time,0.6181818181818182,0.14696969696969694,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.14, 'Sad': 0.32, 'Fear': 0.36}"
