Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Impactful Masterpiece!,"I was eagerly waiting for this movie for ages and it has finally arrived after getting several laurels around the world. I won't reveal the story much but it is all about the scapegoat technique handled by the cops. Right from the start, the screenplay was very gripping and there was no clue about what is about to come next. The performance of the whole cast is very surprising as everyone acted to their core and brought the very best in them. Although the movie is very intense, there are some humor elements through some body languages and silly comments. It may take some sweat off our head but another scene will be right behind to take you to the edge of the seat.I haven't watched such an intense movie with so much quality content in it, delivered in a very grippy manner. Easily, this is the most impactful movie of this decade!I sincerely thank Vetrimaran for making such a masterpiece!!Cast-performance-BGM-screenplay-content = Visaranai.",impactful masterpiece,i was eagerly waiting this movie ages it has finally arrived after getting several laurels around world i wont reveal story much but it is all about scapegoat technique handled by cops right start screenplay was very gripping there was no clue about what is about come next performance whole cast is very surprising as everyone acted their core brought very best them although movie is very intense there are some humor elements through some body languages silly comments it may take some sweat off our head but another scene will be right behind take you edge seat i havent watched such intense movie with so much quality content it delivered very grippy manner easily this is most impactful movie this decade i sincerely thank vetrimaran making such masterpiece cast performance bgm screenplay content visaranai,0.5533219954648526,0.2345124716553288,Positive,"{'Happy': 0.03, 'Angry': 0.03, 'Surprise': 0.34, 'Sad': 0.14, 'Fear': 0.45}"
10.0,Visaranai - Pinnacle of filmmaking!,"There comes a movie like Whiplash once in a while where there is lot of action primarily due to intensity of performances and absorbing screenplay. Then there are movies like Haider where the movie atmosphere is dense and disturbing that you are left cold and horrified at the very end. Visaranai is a movie that has successfully blended both these aspects in order to present a practical, rational view of the system that is part of our livelihood. I cannot remember the last time I watched such an intense, nerve chilling, baffling movie in Thamizh.As I have now noticed, Vetrimaran's films have two different halves but which are part of the same story. In Polladhavan, we see the happy, everyday youth Dhanush living a jolly good life in the first half while in the second, things take a sudden turn and he gets exposed to a world of ruthless criminals. In Aadukalam, we see Dhanush's involvement in the rivalry between 2 rival gangs in the first half, while in the latter we turn audience to how one man's greed changes his surrounding people's lives. Similarly in Visaranai, as the title suggests we are presented with 2 separate interrogations with different scenarios in both halves of the movie. The movie attempts at one thing as beautifully explained by Kishore in one scene - The system is the boss and we are just pawns playing a game in it. The powerful always prey on the powerless and there is no way that one who has been nabbed in the web escape out from it. This is explained through layers of tightly scripted scenes with lots of crude violence, not to a forced extent of skipping the movie but watching it as if the horror where happening in front of your eyes. Few minutes into the movie the story starts unraveling and you start feeling a slight chilling fear which later keeps intensifying exponentially until the very end where you are left distraught. The range of emotions portrayed by the variety of villains torturing the innocents affect you up to a level that you start trembling as if watching a horror movie. Off late we have been seeing great improvements in movies like Thani Oruvan where a lone hero fights corrupt, antisocial elements in the society and this one breaks all those clichés to state a point that the system cannot be won over. I was particularly reminded of the Brazilian film duology 'Tropa De Elite' where the story ends with an unstated ""moral"" that criminals, politicians and police are of the same circle and you end up on the losing side if you mess with them.Performance wise, Dinesh continues with an impressive tough role which might prove as a highlight in his career. I somehow feel convinced that Samuthirakani must be considered the real protagonist as his role portrays how a honest person becomes prey to the system and is left torn without options at the crux. The music, camera and editing cuts add more intense chill to the atmosphere. Special mention to Dhanush for continuing to surprise us by producing such top class movies. It is highly unlikely that any other Thamizh movie can beat the class of this in 2016!Vetrimaran sir, you are not a director now but a visionary. This is not a movie but a well learned and constructed, flawless piece of art about the society. Feeling proud of you and the growth in your class of movies. Take some more national and international awards! I would have been glad if I could rate 12/10 for this movie!",visaranai pinnacle filmmaking,there comes movie like whiplash once while where there is lot action primarily due intensity performances absorbing screenplay then there are movies like haider where movie atmosphere is dense disturbing that you are left cold horrified at very end visaranai is movie that has successfully blended both these aspects order present practical rational view system that is part our livelihood i cannot remember last time i watched such intense nerve chilling baffling movie thamizh as i have now noticed vetrimarans films have two different halves but which are part same story polladhavan we see happy everyday youth dhanush living jolly good life first half while second things take sudden turn he gets exposed world ruthless criminals aadukalam we see dhanushs involvement rivalry between 2 rival gangs first half while latter we turn audience how one mans greed changes his surrounding peoples lives similarly visaranai as title suggests we are presented with 2 separate interrogations with different scenarios both halves movie movie attempts at one thing as beautifully explained by kishore one scene system is boss we are just pawns playing game it powerful always prey powerless there is no way that one who has been nabbed web escape out it this is explained through layers tightly scripted scenes with lots crude violence not forced extent skipping movie but watching it as if horror where happening front your eyes few minutes into movie story starts unraveling you start feeling slight chilling fear which later keeps intensifying exponentially until very end where you are left distraught range emotions portrayed by variety villains torturing innocents affect you up level that you start trembling as if watching horror movie off late we have been seeing great improvements movies like thani oruvan where lone hero fights corrupt antisocial elements society this one breaks all those clich s state point that system cannot be won over i was particularly reminded brazilian film duology tropa de elite where story ends with unstated moral that criminals politicians police are same circle you end up losing side if you mess with them performance wise dinesh continues with impressive tough role which might prove as highlight his career i somehow feel convinced that samuthirakani must be considered real protagonist as his role portrays how honest person becomes prey system is left torn without options at crux music camera editing cuts add more intense chill atmosphere special mention dhanush continuing surprise us by producing such top class movies it is highly unlikely that any other thamizh movie can beat class this 2016 vetrimaran sir you are not director now but visionary this is not movie but well learned constructed flawless piece art about society feeling proud you growth your class movies take some more national international awards i would have been glad if i could rate 12 10 this movie,0.5258528784648188,0.06390073442312248,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.26, 'Fear': 0.29}"
9.0,The dark side of the Indian police force.,"Another sensational movie from Dhanush K. Raja, the producer of 'The Crow's Egg' that I recently reviewed in this site. This time he joined the hands with the writer, director who bought him a best actor award at the Indian Academy Award for the movie 'Playground'. The film was based on the novel 'Lock Up' that loosely inspired by the experiences of the author who is an autorickshaw driver now.I already mentioned that Indian cinema is waking up, knocking the doors of the international film critics, films festivals and film buffs. Thanks to the young generation in the film industry, looking for the international market expansion. It's time for you to check it out some of the Indian parallel cinemas, not the masala films. If you think you're totally in an unfamiliar territory, then it will be good to you start with this one.India is like the European Union, where each nation speaks a different language and its own culture, likewise each Indian state has a different language and culture. That's why it might be called the Indian subcontinent. This story begins when three Tamil labourers who are illegally living in a city park to save rent money from the work in the neighbor state Andhra, will be taken to the police custody without letting know them the reason. The rest of the film exposes the law enforcement agency's brutality on these young innocent men to force to accept a crime that is not committed by them which is a violation of human rights.""The influence is more important than skill when it comes to promotions.""The film has two phases and they were not focused on any particular characters. It is a couple of different events based flick that connected to each other by the characters. But everything is about corruption in the police force and common people who affected by that. Kind of unpredictable scenes with the decent twists. The first half takes place in Andhra Pradesh with the backdrop of some robbery case and then in the next half it moves to Tamil Nadu with once again a cop tale, but different scenario.Welcome to the Indian police's torture chamber. The dark side of the Indian police force. Not all about the bad cops, but also involves those honest ones caught between dishonest ones from the higher power. There was a small romance plot in the opening, later it vanished when entire story focus shifted to police interrogation. The pace had many up and down, that helped to turn things around like transforming from one state of condition to another.This theme was exactly opposite to the old saying 'lightning never strikes the same place twice'. You can call it a bad luck, but for some people like the youngsters from this movie who came from the poor families from the rural without proper education, it is a matter of life and death and injustice. I won't be surprised if international remake are made. It won this year's Indian Academy Awards in the three categories including the supporting actor which was one of the important cop roles. So I won't be surprised either if it was picked to represent India for the 2017 Oscars.This is a Kollywood film, but watching it feels like a some dark tone Korean crime-drama- thriller. I have seen some of Indian cop films, but so far this one was the best when it comes to the realism yet not depicted them in a good way. I highly recommend it, but don't expect a genuine screenplay with a grand twist. It makes you feel how the innocence was taken away from the poor by the people with power, really heartbreaking.9/10",dark side indian police force,another sensational movie dhanush k raja producer crows egg that i recently reviewed this site this time he joined hands with writer director who bought him best actor award at indian academy award movie playground film was based novel lock up that loosely inspired by experiences author who is autorickshaw driver now i already mentioned that indian cinema is waking up knocking doors international film critics films festivals film buffs thanks young generation film industry looking international market expansion its time you check it out some indian parallel cinemas not masala films if you think youre totally unfamiliar territory then it will be good you start with this one india is like european union where each nation speaks different language its own culture likewise each indian state has different language culture thats why it might be called indian subcontinent this story begins when three tamil labourers who are illegally living city park save rent money work neighbor state andhra will be taken police custody without letting know them reason rest film exposes law enforcement agencys brutality these young innocent men force accept crime that is not committed by them which is violation human rights influence is more important than skill when it comes promotions film has two phases they were not focused any particular characters it is couple different events based flick that connected each other by characters but everything is about corruption police force common people who affected by that kind unpredictable scenes with decent twists first half takes place andhra pradesh with backdrop some robbery case then next half it moves tamil nadu with once again cop tale but different scenario welcome indian polices torture chamber dark side indian police force not all about bad cops but also involves those honest ones caught between dishonest ones higher power there was small romance plot opening later it vanished when entire story focus shifted police interrogation pace had many up down that helped turn things around like transforming one state condition another this theme was exactly opposite old saying lightning never strikes same place twice you can call it bad luck but some people like youngsters this movie who came poor families rural without proper education it is matter life death injustice i wont be surprised if international remake are made it won this years indian academy awards three categories including supporting actor which was one important cop roles so i wont be surprised either if it was picked represent india 2017 oscars this is kollywood film but watching it feels like some dark tone korean crime drama thriller i have seen some indian cop films but so far this one was best when it comes realism yet not depicted them good way i highly recommend it but dont expect genuine screenplay with grand twist it makes you feel how innocence was taken away poor by people with power really heartbreaking 9 10,0.4612088837088837,0.10988668738668736,Positive,"{'Happy': 0.11, 'Angry': 0.05, 'Surprise': 0.31, 'Sad': 0.23, 'Fear': 0.3}"
9.0,A Masterpiece Filmmaking!!!,"I m shivering as i am typing this......... Gut wrenching.....Ufff!! I m exhausted!!!! Truly sucked out every last bit of my soul!!!This is too realistic to be labeled as a film.....An extremely violent intense political conspiracy is the apt genre.... Really tests the audience mental strength!!! My heart was pounding during the entire 110 minutes of running time...... Gonna have hard time sleeping at least for a few days!!!This film will undergo some serious cuts before releasing in theater's, as the characters depicted and their language are too raw... Hope censor board takes it easy and release it with minor cuts.....Dinesh, U beauty.....Wat have u done!!!.....National Award is awaiting!!!Out of all the 100 films which i ve seen this year, this tops the list like a Boss.... Too good even for a WORLD cinema standards!!!! Take a bow, Vetrimaaran!!! A Masterpiece in filmmaking!!!!",masterpiece filmmaking,i m shivering as i am typing this gut wrenching ufff i m exhausted truly sucked out every last bit my soul this is too realistic be labeled as film extremely violent intense political conspiracy is apt genre really tests audience mental strength my heart was pounding during entire 110 minutes running time gonna have hard time sleeping at least few days this film will undergo some serious cuts before releasing theaters as characters depicted their language are too raw hope censor board takes it easy release it with minor cuts dinesh u beauty wat have u done national award is awaiting out all 100 films which i ve seen this year this tops list like boss too good even world cinema standards take bow vetrimaaran masterpiece filmmaking,0.5015669515669515,-0.02254273504273505,Negative,"{'Happy': 0.17, 'Angry': 0.04, 'Surprise': 0.35, 'Sad': 0.13, 'Fear': 0.3}"
9.0,Visaaranai (U/A) TAMIL ---- my Rating: ★★★★½ POWERFUL Interrogation,"New movie Reviews and lots more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewVisaaranai (U/A) TAMIL ---- my Rating: ★★★★½ POWERFUL InterrogationSTRENGTHS:- * Inspired by true events.... * Excellent performances by the cast, will deserve an national award. * GV's powerful background score..... * Perfectly chopped by Late editor Kishore.... * Story Screenplay Dialogues and Direction....WEAKNESSES:- * After interval it lags for few minutes.....FINAL VERDICT:- *Overall.. it is next level movie in tamil cinema showing some realistic events happened in southern part of India. I was really amazed with this script, In last 30 mins your heart will be pumping as you have gripped into the movie so deeply with some crisp screenplay. Sometimes movie gives a feel of myskin style. First half is based on real incidents, whereas the second half was well written by Vetrimaaran. A group of immigrants (Pandi, Murugan, Afsal and Kumar) are detained by the local state police, tortured and forced to admit to a crime they have no knowledge of. When all hope seems to be ... See full summary » Director: Vetrimaaran Writer: Vetrimaaran Stars: Dinesh, Samuthirakani, Anandhi | See full cast & crew »",visaaranai u tamil my rating powerful interrogation,new movie reviews lots more hot news like this page english hindi tamil telugu facebook movie review by yunus irshad u tamil my rating powerful interrogationstrengths inspired by true events excellent performances by cast will deserve national award gvs powerful background score perfectly chopped by late editor kishore story screenplay dialogues direction weaknesses after interval it lags few minutes final verdict overall it is next level movie tamil cinema showing some realistic events happened southern part india i was really amazed with this script last 30 mins your heart will be pumping as you have gripped into movie so deeply with some crisp screenplay sometimes movie gives feel myskin style first half is based real incidents whereas second half was well written by vetrimaaran group immigrants pandi murugan afsal kumar are detained by local state police tortured forced admit crime they have no knowledge when all hope seems be see full summary director vetrimaaran writer vetrimaaran stars dinesh samuthirakani anandhi see full cast crew,0.42792929292929294,0.15898989898989896,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.19, 'Sad': 0.44, 'Fear': 0.19}"
9.0,Brace for impact of reality!,"The movie revolves around four youths who went out of their homes to a foreign place for working, but what it takes in it's course of orbit is pretty heavy. It takes the entire system that's been there for decades in a country and more to it is there is no hiding from showing how flawed it is. Having such high intensity in subject, there is nothing less that you can expect visually! The core cast has defined nothing but the definition for reality on screen. Their hard work is visible in every frame. Introducing a pair and a love bud to the lead wasn't really needed, if it was for making the climax more powerful then I feel the effect was meager. The BGM by GV is very subtle to grasp during the watch(First time at least). But it helped in a great way to reduce the intensity, without which it could be intense a few folds more. This movie will stay with you! This movie will affect you! This movie will make you think about the entire system! This movie can make you get obsessed !So I would say to be prepared for all of it before you decide to watch it.",brace impact reality,movie revolves around four youths who went out their homes foreign place working but what it takes its course orbit is pretty heavy it takes entire system thats been there decades country more it is there is no hiding showing how flawed it is having such high intensity subject there is nothing less that you can expect visually core cast has defined nothing but definition reality screen their hard work is visible every frame introducing pair love bud lead wasnt really needed if it was making climax more powerful then i feel effect was meager bgm by gv is very subtle grasp during watch first time at least but it helped great way reduce intensity without which it could be intense few folds more this movie will stay with you this movie will affect you this movie will make you think about entire system this movie can make you get obsessed so i would say be prepared all it before you decide watch it,0.5342307692307693,0.02602564102564103,Positive,"{'Happy': 0.1, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.32}"
8.0,Harsh reality show casing the corrupt system that can change lives,"Visaranai (Interrogation) captures the harsh truth behind Police department corruption, thirst for Power, urge to close cases and how it affects the life of four runaway youngsters in a non-native state. It is just not that actually the plot traverses to the native state to show that no mercy is left in the department on handling the poor guys. It is based on true incidents which became a novel named ""Lock Up"" by M. Chandrakumar. Well that explains the crux of the tale but what makes it more solid and interesting is the chilling screen play and 100 % pure cinema type of handling where there was no absolute space for commercialism. Hats off to Director Vetrimaran who has dared to experiment this genre which reflects the ruthless, impolite, merciless, callous nature of some police officers. The plot gets enhanced by the performers like Dhinesh, Samuthirakani, Kishore, Adukalam Murugadoss and some more actors whom we hardly know by their names. The thrashes that these boys take up looks so vivid, raw, brutal, inhuman and clearly I understand this movie will be a hard to digest fact for soft or weak hearted audience. So people of this sort you are warned better try some comedy in the next screen. On the technical front the cinematography and BGM also shows the pain. This movie is a clear warning that there is a corrupt system out there waiting for innocent prey and if we are caught it is like the hell's hole and no escape. I didn't find anything as such which ruins the flow or script. So pure award category no scoring required. Verdict : ""Watch it if you can take it""-Sivakumar Balachandran",harsh reality show casing corrupt system that can change lives,visaranai interrogation captures harsh truth behind police department corruption thirst power urge close cases how it affects life four runaway youngsters non native state it is just not that actually plot traverses native state show that no mercy is left department handling poor guys it is based true incidents which became novel named lock up by m chandrakumar well that explains crux tale but what makes it more solid interesting is chilling screen play 100 pure cinema type handling where there was no absolute space commercialism hats off director vetrimaran who has dared experiment this genre which reflects ruthless impolite merciless callous nature some police officers plot gets enhanced by performers like dhinesh samuthirakani kishore adukalam murugadoss some more actors whom we hardly know by their names thrashes that these boys take up looks so vivid raw brutal inhuman clearly i understand this movie will be hard digest fact soft or weak hearted audience so people this sort you are warned better try some comedy next screen technical front cinematography bgm also shows pain this movie is clear warning that there is corrupt system out there waiting innocent prey if we are caught it is like hells hole no escape i didnt find anything as such which ruins flow or script so pure award category no scoring required verdict watch it if you can take it sivakumar balachandran,0.5396153846153845,-0.08887231815803243,Negative,"{'Happy': 0.08, 'Angry': 0.13, 'Surprise': 0.12, 'Sad': 0.31, 'Fear': 0.37}"
10.0,Should be made Oscar entry from India!,"Visaranai is a movie with the highest level of filmmaking (no songs, no heroism, no nonsense) coming out from Tamil cinema.. Director Vetrimaran of Aadukalam, has done brilliant depiction of novel 'Lock Up' based on a true story(great end credits).. He portrayed an hard- hitting screenplay to show the miserable plight of innocent immigrants being made scapegoats for the powerful system (call it brutal system).. From the very first scene he will arrest your attention and what follows, is a riveting narrative and gripping cinematic experience!! The casting is first class, Attakathi Dinesh and his 3 friends(Aadukalam Murugan), the supporting cast of Samuthirakani, Kishore and Policemen In the custody, given top notch performances.. Dinesh(one of the most underrated actor) another effortless, heart- wrenching performance while the terrific Samuthurakani finding himself stuck in between this brutal system but trying to act fair for god sake, he was excellent to describe!! The private interrogation part between Samuthurakani and Kishore one of the best part of the movie.. Vetrimaran made it a classic encounter against the painful, merciless lockup scenes.. And when you think things get better for Dinesh and friends, misfortune struck again, inevitably.. Move on from there, Afsal execution scenes will make you breaking inside.. Spell bounded!! The intense climax ended in the dark, intentionally he wants us to know nothing can be justified that ill-fated Dinesh character, very well crafted by Vetrimaran.. He is certainly, one of a kind filmmaker in the league of Bala and Myskkin!! This cinema is so world class!!",should be made oscar entry india,visaranai is movie with highest level filmmaking no songs no heroism no nonsense coming out tamil cinema director vetrimaran aadukalam has done brilliant depiction novel lock up based true story great end credits he portrayed hard hitting screenplay show miserable plight innocent immigrants being made scapegoats powerful system call it brutal system very first scene he will arrest your attention what follows is riveting narrative gripping cinematic experience casting is first class attakathi dinesh his 3 friends aadukalam murugan supporting cast samuthirakani kishore policemen custody given top notch performances dinesh one most underrated actor another effortless heart wrenching performance while terrific samuthurakani finding himself stuck between this brutal system but trying act fair god sake he was excellent describe private interrogation part between samuthurakani kishore one best part movie vetrimaran made it classic encounter against painful merciless lockup scenes when you think things get better dinesh friends misfortune struck again inevitably move there afsal execution scenes will make you breaking inside spell bounded intense climax ended dark intentionally he wants us know nothing can be justified that ill fated dinesh character very well crafted by vetrimaran he is certainly one kind filmmaker league bala myskkin this cinema is so world class,0.6714285714285714,0.15873015873015872,Positive,"{'Happy': 0.12, 'Angry': 0.08, 'Surprise': 0.33, 'Sad': 0.22, 'Fear': 0.24}"
9.0,The hurting truth for the best way of film making.Magnanimous!!!,"This movie shows the harsh reality faced by some in some parts of the world.I can call this a masterpiece in reality film making.I have not known much about Vetrimaaran,after watching this,I feel like knowing more about him.This is a very sensitive topic to see upon.Therefore,I have give my huge applause to director Vetrimaaran for the courage and braveness shown by him that many other director's have struggled to show over the years,be it in Indian cinema or abroad.Hats off.The sufferings of the innocent minds in reality were finally paid off through this film with the blessings of the Almighty.Performances by Samuthirakani and Dinesh Ravi has totally done justice to the characters they played.Supporting casts did excellent jobs as well.Everyone has lived their character in this film in a totally convincing manner.I hope they will deserve all their awards in the coming award ceremony regardless of the one they already have.The highlight of the film was the interrogation scenes between the police and the victims.The cruelty of the police officers towards these helpless people were shown without any distinction.The innocence shown by the actors were unseen and amazingly painful to watch.The beating shown on screen will definitely be felt by all experiencing this film.Some may even end up in tears.I would also give a huge thumbs up the make up artists of this film for giving such real wounds and bruises for the actors.Music was done well and really intense.There are many moments that will make you scared and shiver through your spine.Finally,I wish the whole team and producer Dhanush my heartfelt well wishes for presenting this magnanimously informative piece of art that has become an eye opener for many worldwide.Hands down,again.God bless those who were affected in real life.A better life is awaiting you.Thank you,for this painful and hard hitting piece of brilliance.",hurting truth best way film making magnanimous,this movie shows harsh reality faced by some some parts world i can call this masterpiece reality film making i have not known much about vetrimaaran after watching this i feel like knowing more about him this is very sensitive topic see upon therefore i have give my huge applause director vetrimaaran courage braveness shown by him that many other directors have struggled show over years be it indian cinema or abroad hats off sufferings innocent minds reality were finally paid off through this film with blessings almighty performances by samuthirakani dinesh ravi has totally done justice characters they played supporting casts did excellent jobs as well everyone has lived their character this film totally convincing manner i hope they will deserve all their awards coming award ceremony regardless one they already have highlight film was interrogation scenes between police victims cruelty police officers towards these helpless people were shown without any distinction innocence shown by actors were unseen amazingly painful watch beating shown screen will definitely be felt by all experiencing this film some may even end up tears i would also give huge thumbs up make up artists this film giving such real wounds bruises actors music was done well really intense there are many moments that will make you scared shiver through your spine finally i wish whole team producer dhanush my heartfelt well wishes presenting this magnanimously informative piece art that has become eye opener many worldwide hands down again god bless those who were affected real life better life is awaiting you thank you this painful hard hitting piece brilliance,0.6401851851851853,0.18359259259259259,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.22, 'Sad': 0.31, 'Fear': 0.37}"
,"Visaranai : A Visceral treatment on cops, the system and everybody else caught in between","The first few montages of the yet-to-dawn nocturnal life is enough to invite the film festival community to engage in the story. Visaranai is the big screen transformation of Chandra Kumar's documented novel Lock Up; a true story about how police brutality and inhuman interrogation techniques go into tormenting innocents to admit false crimes. A group of migrants from Tamil Nadu working in Andhra Pradesh are taken into illegal custody by local police . What follows is a gruesome police drill involving batons, boots and banana stems. All they want is a confession; a fake confession. 'Attakathi Dinesh' as Pandi is the stand-up guy unwilling to surrender fearing a larger force at play and more importantly, he wants to do a great many things in life. 'Aadukalam' Murugadoss as Murugan can be easily tricked, Afsal is innocent to the core and Kumar is severally battered at an early stage. The characters we meet on screen are controlled and manacled by the System in ways unprejudiced. Ajay Ghosh as the vicious Guntur chief Vishweshwar Rao is one such police officer with a disappointing career profile, a face like death and a body trained to beat the life out of others. But still, Attakathi Dinesh does a great many things as he aspires to do so when he is set free. There is a point of saturation in the film where even Vishweshwar Rao runs out of breath. If apathy, personal gain and atrocity ever had a threesome, mishaps like Ajay Ghosh tend to happen. The harsh acoustics of yelling can get on your nerves at some point. This was a necessity made by the film's structure to facilitate such relentless thrashing and torture. With so many battered souls locked up, it puts you in their place and raises questions. But Vetrimaran is not here to preach, his screenplay and dialogs stay direct, relaxed and procedural. Neither the water- boarding nor the vicious slow paced thrashing had any effect on Pandi, it was hope, his tenaciousness, his trickiness and a chance TN police intervention that puts an end to their misery. Played by the ever obstinate Samuthirakani, Murugavel is a TN police officer on a special mission to trap an elite white collar auditor. Pandi and his friends return a favor and help Murugavel. The second half travels to familiar grounds of Tamil Nadu. The rich and fraudulent auditor KK (Kishore) who spurts money philosophy is the victim of the another brutal interrogation. It is his adage on 'System' that links the background events. All this talk about the System being the Kingmaker and that 'your actions have set things in motion' establishes a thick premonition. Thankfully, this talk is kept to a minimum. Had it not, then a part of audience's imagination would have reached heights of hype expecting a Brobdingnagian revelation of some sort. There is calmness meandering in all scenes. The casual statement of the lawyer and the video logging of reconstruction scene shows the normalcy of situation and sheds light on how police practices defy law and makes you wonder on the number of cases solved by false/forced convictions. Taking a few incentives, Visaranai achieves a gritty cinematic leap. There is also a half baked romantic connection that is left to rot much like the irrelevant voiceless lives in jail. There is coherence of how the middle class working community from lower backgrounds are taken for granted. The abuse of Shanthi in the hands of her owner, the case of 4 street vagrants picked up from a Nellore park, the provision store owner who is blackmailed - a constant living in fear and hardship. 'Attakathi Dinesh' channels Pandi vehemently. He has the 'Andy Dufresse kinda' reluctance to give in. Pandi sure does suffer a hell lot in comparison. Both wrongly captured. One convicted and the other unwilling to get convicted. Maybe there can be more to say about these characters in contrast. That will be for another day. For a brief period in the last sequence of the first half, it felt like it was going to be a complete escape and survivalist episode.The movie is a genius thriller in the making. Although not as tension seeking as Michael Mann-esque film, we feel the trap Pandi, Murugan & Afsal walk into as they accept the shameless duty of domestic help. Secondary characters make a lasting impact especially the promotion ignored officer in TN station. Muthuvel is an upright police pushed by higher officials and disoriented by the System into pursuing Pandi. Personally, my fondness for cinematography has grown rather exceptionally over the past few years. A film devoid of creative and meaningful visual strategy doesn't excite me. There were a few; very few parts in the film that meant visually nothing but then, this emptiness perfectly defines realism - through the dingy corners of highways and the wandering nightlife patrols, the blurry hope of escapism emanates. The final moments are as tense and seems like a cliffhanger until the camera zooms out to the fullest. The sudden pull and push of camera; this shift in movement noticed at a pivotal stage grounds the approach in realism as the hand-held camera becomes a secret surveillance tool, an all seeing eye - the eye of the system. As it looks down upon Pandi and Murugavel standing through knee-deep murky water, it signifies the troubled position of two candidates with no evil tendencies irrelevantly chosen by the powerful. Visarani in its vagueness to expose a larger atmosphere for the Organism of System perfectly sums up the horrible dilemma of innocent fishes pushed into predatory waters that is timely polluted by forces unknown.",visaranai visceral treatment cops system everybody else caught between,first few montages yet dawn nocturnal life is enough invite film festival community engage story visaranai is big screen transformation chandra kumars documented novel lock up true story about how police brutality inhuman interrogation techniques go into tormenting innocents admit false crimes group migrants tamil nadu working andhra pradesh are taken into illegal custody by local police what follows is gruesome police drill involving batons boots banana stems all they want is confession fake confession attakathi dinesh as pandi is stand up guy unwilling surrender fearing larger force at play more importantly he wants do great many things life aadukalam murugadoss as murugan can be easily tricked afsal is innocent core kumar is severally battered at early stage characters we meet screen are controlled manacled by system ways unprejudiced ajay ghosh as vicious guntur chief vishweshwar rao is one such police officer with disappointing career profile face like death body trained beat life out others but still attakathi dinesh does great many things as he aspires do so when he is set free there is point saturation film where even vishweshwar rao runs out breath if apathy personal gain atrocity ever had threesome mishaps like ajay ghosh tend happen harsh acoustics yelling can get your nerves at some point this was necessity made by films structure facilitate such relentless thrashing torture with so many battered souls locked up it puts you their place raises questions but vetrimaran is not here preach his screenplay dialogs stay direct relaxed procedural neither water boarding nor vicious slow paced thrashing had any effect pandi it was hope his tenaciousness his trickiness chance tn police intervention that puts end their misery played by ever obstinate samuthirakani murugavel is tn police officer special mission trap elite white collar auditor pandi his friends return favor help murugavel second half travels familiar grounds tamil nadu rich fraudulent auditor kk kishore who spurts money philosophy is victim another brutal interrogation it is his adage system that links background events all this talk about system being kingmaker that your actions have set things motion establishes thick premonition thankfully this talk is kept minimum had it not then part audiences imagination would have reached heights hype expecting brobdingnagian revelation some sort there is calmness meandering all scenes casual statement lawyer video logging reconstruction scene shows normalcy situation sheds light how police practices defy law makes you wonder number cases solved by false forced convictions taking few incentives visaranai achieves gritty cinematic leap there is also half baked romantic connection that is left rot much like irrelevant voiceless lives jail there is coherence how middle class working community lower backgrounds are taken granted abuse shanthi hands her owner case 4 street vagrants picked up nellore park provision store owner who is blackmailed constant living fear hardship attakathi dinesh channels pandi vehemently he has andy dufresse kinda reluctance give pandi sure does suffer hell lot comparison both wrongly captured one convicted other unwilling get convicted maybe there can be more say about these characters contrast that will be another day brief period last sequence first half it felt like it was going be complete escape survivalist episode movie is genius thriller making although not as tension seeking as michael mann esque film we feel trap pandi murugan afsal walk into as they accept shameless duty domestic help secondary characters make lasting impact especially promotion ignored officer tn station muthuvel is upright police pushed by higher officials disoriented by system into pursuing pandi personally my fondness cinematography has grown rather exceptionally over past few years film devoid creative meaningful visual strategy doesnt excite me there were few very few parts film that meant visually nothing but then this emptiness perfectly defines realism through dingy corners highways wandering nightlife patrols blurry hope escapism emanates final moments are as tense seems like cliffhanger until camera zooms out fullest sudden pull push camera this shift movement noticed at pivotal stage grounds approach realism as hand held camera becomes secret surveillance tool all seeing eye eye system as it looks down upon pandi murugavel standing through knee deep murky water it signifies troubled position two candidates with no evil tendencies irrelevantly chosen by powerful visarani its vagueness expose larger atmosphere organism system perfectly sums up horrible dilemma innocent fishes pushed into predatory waters that is timely polluted by forces unknown,0.49570618723679966,0.0034005506964690617,Positive,"{'Happy': 0.07, 'Angry': 0.04, 'Surprise': 0.22, 'Sad': 0.24, 'Fear': 0.44}"
