Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7.0,Nervy take on a well-worn concept,"""Watcher"" follows Julia, an American who moves to Bucharest with her husband, Francis. While Francis is fluent in the language--his mother is Romanian--Julia is not, and struggles with the language barrier. Even worse, she also finds herself being watched by a man in the adjacent apartment building, and comes to believe that not only is he stalking her, but that he is a serial killer.It goes without saying that ""Watcher"" is playing with a familiar concept--this is a premise we have seen in a large number of films, most famously in Hitchcock's ""Rear Window,"" but ""Watcher"" also pays respects to Roman Polanski's ""apartment"" films, most notably (and effectively) ""The Tenant"" (the other two being ""Rosemary' Baby"" and ""Repulsion""). What makes it stand out, however, is that it is well-acted, visually elegant, and at times throttling in its suspense. There are a number of scenes in this film that (no pun intended) grab you by the throat.""Watcher"" is the breed of film that toes the line regarding whether or not the fears and paranoias of the protagonist are legitimate, or the product of something else, but director Chloe Okuno telegraphs it intelligently by positioning the audience in tandem with Julia--as we watch her sink into her isolation, we are isolated alongside her--and it is because of this that her fears play out as believable, despite her husband's skepticism. The writing here is both subtle and smart, and there are a few key moments that are as dislocating to the viewer as they are to the protagonist; the screenplay is multi-pronged in a way that makes the audience question not what they are seeing, but rather, what it is indicative of. Julia's disconnect from the language only helps to reinforce a sense of suffocation, and the gloomy, rain-soaked Art Deco architecture of the city only amplifies the sense of unease.Of course, none of this would work without a believable lead, and Maika Monroe plays this character very effectively. Burn Gorman is also extremely effective as the mysterious creep across the way. The film's finale, though tense, is still fairly downbeat (which is the status quo in this film), but it offers enough grand guignol to be memorable and shocking. In the end, while ""Watcher"" is not necessarily revelatory, it is a well-crafted, nervy take on a well-worn concept. There are some standout moments in this film that make it worth watching for any genre fan. 7/10.",nervy take well worn concept,watcher follows julia american who moves bucharest with her husband francis while francis is fluent language his mother is romanian julia is not struggles with language barrier even worse she also finds herself being watched by man adjacent apartment building comes believe that not only is he stalking her but that he is serial killer it goes without saying that watcher is playing with familiar concept this is premise we have seen large number films most famously hitchcocks rear window but watcher also pays respects roman polanskis apartment films most notably effectively tenant other two being rosemary baby repulsion what makes it stand out however is that it is well acted visually elegant at times throttling its suspense there are number scenes this film that no pun intended grab you by throat watcher is breed film that toes line regarding whether or not fears paranoias protagonist are legitimate or product something else but director chloe okuno telegraphs it intelligently by positioning audience tandem with julia as we watch her sink into her isolation we are isolated alongside her it is because this that her fears play out as believable despite her husbands skepticism writing here is both subtle smart there are few key moments that are as dislocating viewer as they are protagonist screenplay is multi pronged way that makes audience question not what they are seeing but rather what it is indicative julias disconnect language only helps reinforce sense suffocation gloomy rain soaked art deco architecture city only amplifies sense unease course none this would work without believable lead maika monroe plays this character very effectively burn gorman is also extremely effective as mysterious creep across way films finale though tense is still fairly downbeat which is status quo this film but it offers enough grand guignol be memorable shocking end while watcher is not necessarily revelatory it is well crafted nervy take well worn concept there are some standout moments this film that make it worth watching any genre fan 7 10,0.6764508928571429,0.19662202380952382,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.23, 'Fear': 0.4}"
6.0,Hints Of Rear Window,"I saw Watcher, starring Maika Monroe-Independence Day:Resurgence, It Follows; Karl Glusman-Nocturnal Animals, The Neon Demon and Burn Gorman-the Pacific Rim movies, Game of Thrones_tv.This is a thriller that has hints of Rear Window. Maika and Karl are a married couple that move to Bucharest-where Karl is from-for Karls' job. They get an apartment and while Karl is working all day, Maika spends time shopping or looking out her window. She notices Burn-across the street from their apartment-seems to be watching her. She goes to the movies or the grocery store and he follows her. He never makes contact with her but just follows her. Maika and Karl hear about a serial killer that is attacking women in the area-decapitating them-and Maika jumps to the conclusion that it is Burn. Is it him? Or is she just being paranoid or imagining it? That's what everyone keeps telling her. To be honest, she does do some dumb things, like following Burn-alone-into buildings instead of calling for someone to go with her. The ending is pretty predictable, too.It's rated R for bloody violence, language and sexual content-including nudity-and has a running time of 1 hour& 31 minutes.It's not one that I would buy on DVD but it would be alright as a rental.",hints rear window,i saw watcher starring maika monroe independence day resurgence it follows karl glusman nocturnal animals neon demon burn gorman pacific rim movies game thrones tv this is thriller that has hints rear window maika karl are married couple that move bucharest where karl is karls job they get apartment while karl is working all day maika spends time shopping or looking out her window she notices burn across street their apartment seems be watching her she goes movies or grocery store he follows her he never makes contact with her but just follows her maika karl hear about serial killer that is attacking women area decapitating them maika jumps conclusion that it is burn is it him or is she just being paranoid or imagining it thats what everyone keeps telling her be honest she does do some dumb things like following burn alone into buildings instead calling someone go with her ending is pretty predictable too its rated r bloody violence language sexual content including nudity has running time 1 hour 31 minutes its not one that i would buy dvd but it would be alright as rental,0.5981481481481481,-0.019444444444444448,Negative,"{'Happy': 0.1, 'Angry': 0.07, 'Surprise': 0.17, 'Sad': 0.3, 'Fear': 0.37}"
3.0,Ugh,"This movie starts off so slow, taking forever before anything interesting or intriguing happens. Then when it finally does, we get our first dose of many idiotic decisions that make it difficult to care for the character. We see more annoying tropes and very little payoff in this slog of a movie. (1 viewing, opening Thursday 6/2/2022)SPOILERSWas anyone else annoyed by the extensive amount of dialogue in Romanian without subtitles? I understand they are trying to make us feel as isolated as the character feels, but it's aggravating.When the first ""scary"" moment happens in the grocery store, I'm thinking she's perfectly safe here in the open with people around. But she decides to go into a poorly lit backroom with no one around. And even after knowing there is a serial killer on the loose, she repeatedly walks alone down a dark alley. I know they are trying to build tension, but you can't do that at the expense of the character's credibility.Then we get a HEAVY dose of one of the most annoying tropes in thrillers and especially in horror: the boyfriend/husband doesn't believe her. He starts off seeming very supportive, to the point where he suggests going to look at the footage from the grocery store. But he throws her under the bus and claims she's the one staring at him, when we haven't seen anything to warrant this conclusion.He spends the rest of the movie being the worst husband ever. By the time we reach the climax, I cared so little about the lead character (I can't even remember her name) and hated the husband so much that I really wanted her to die just so he feels like a piece of garbage. I don't think that was the intention of these filmmakers.The ending is laughable. I'm no doctor, but I'm pretty sure slicing the carotid artery doesn't prevent you from breathing or screaming. Then she crawls towards the gun and plays dead. Once he leaves she gets the gun and shoots him. But why would she play dead in the first place? She could have easily reached the gun before that. What if he stabbed her more or cut off her head?And apparently he didn't slice the carotid artery, otherwise she would be dead in minutes. Apparently he sliced a different artery that gushes large amounts of blood but doesn't kill you. Give me a break, movie.",ugh,this movie starts off so slow taking forever before anything interesting or intriguing happens then when it finally does we get our first dose many idiotic decisions that make it difficult care character we see more annoying tropes very little payoff this slog movie 1 viewing opening thursday 6 2 2022 spoilerswas anyone else annoyed by extensive amount dialogue romanian without subtitles i understand they are trying make us feel as isolated as character feels but its aggravating when first scary moment happens grocery store im thinking shes perfectly safe here open with people around but she decides go into poorly lit backroom with no one around even after knowing there is serial killer loose she repeatedly walks alone down dark alley i know they are trying build tension but you cant do that at expense characters credibility then we get heavy dose one most annoying tropes thrillers especially horror boyfriend husband doesnt believe her he starts off seeming very supportive point where he suggests going look at footage grocery store but he throws her under bus claims shes one staring at him when we havent seen anything warrant this conclusion he spends rest movie being worst husband ever by time we reach climax i cared so little about lead character i cant even remember her name hated husband so much that i really wanted her die just so he feels like piece garbage i dont think that was intention these filmmakers ending is laughable im no doctor but im pretty sure slicing carotid artery doesnt prevent you breathing or screaming then she crawls towards gun plays dead once he leaves she gets gun shoots him but why would she play dead first place she could have easily reached gun before that what if he stabbed her more or cut off her head apparently he didnt slice carotid artery otherwise she would be dead minutes apparently he sliced different artery that gushes large amounts blood but doesnt kill you give me break movie,0.591490453990454,-0.04051764208014207,Negative,"{'Happy': 0.03, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.25, 'Fear': 0.5}"
6.0,"A tense, slow burn","I found this thriller pretty enjoyable. The acting was phenomenal, particulacy from Maika, our lead. Some of these sequences were so anxiety-inducing, even when our lead is just walking down the street I couldn't help but tense up.My only main disappointment was the ending. While it was building towards a satisfying conclusion, it just ends abruptly. I wanted more from it. But maybe that just shows how well everything was before hand. Also some awkward dialogue but that's just me nitpicking, it's not that big of a deal.Overall, while I don't think I'll just check this one out again, I had a good time with it and I'm excited to see what else the director while be making next!",tense slow burn,i found this thriller pretty enjoyable acting was phenomenal particulacy maika our lead some these sequences were so anxiety inducing even when our lead is just walking down street i couldnt help but tense up my only main disappointment was ending while it was building towards satisfying conclusion it just ends abruptly i wanted more it but maybe that just shows how well everything was before hand also some awkward dialogue but thats just me nitpicking its not that big deal overall while i dont think ill just check this one out again i had good time with it im excited see what else director while be making next,0.5462962962962963,0.02592592592592593,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.36, 'Fear': 0.18}"
9.0,Incredible psychological thriller,"I'm blown away by the acting and the story in this film.Happy to have seen this during Sundance 2022.Just as you were pretty sure it might have been in her head, through extensive gaslighting of course, it twists. The narrative being completely from a women's perspective, through isolation and loneliness was further pushed by most of the Romanian being untranslated.You as the viewer were just as confused and driven into the dread and anxiety the the character itself feels.",incredible psychological thriller,im blown away by acting story this film happy have seen this during sundance 2022 just as you were pretty sure it might have been her head through extensive gaslighting course it twists narrative being completely womens perspective through isolation loneliness was further pushed by most romanian being untranslated you as viewer were just as confused driven into dread anxiety character itself feels,0.5747474747474748,0.24090909090909093,Positive,"{'Happy': 0.13, 'Angry': 0.13, 'Surprise': 0.13, 'Sad': 0.2, 'Fear': 0.4}"
3.0,A fine tv movie,It's a takeoff on a tired theme of the endangered woman no one believes with a couple of plot holes that you have to overlook to avoid giving yourself a dope slap. It would have made a decent Saturday night at home viewing with a pizza and beer.,fine tv movie,its takeoff tired theme endangered woman no one believes with couple plot holes that you have overlook avoid giving yourself dope slap it would have made decent saturday night at home viewing with pizza beer,0.6222222222222222,0.06111111111111111,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.33, 'Fear': 0.33}"
9.0,"Not flashy. Purely, and compellingly, psychological.","By merit of concept alone, there really isn't anything new here. It's the writing and character work that causes Watcher to soar above standard thriller genre fare.First-rate performances are given by the entire cast. They all embody their characters with humanity and make them instantly unique and often sympathetic.Julia is a woman who has moved with her husband to a country where she does not know the language and has no personal connections. Her sense of loneliness is made palpable very early on and it makes the unease she feels extremely understandable as she becomes more and more convinced that she has a stalker.This screenplay is astoundingly good. Each scene is written so carefully so as to ensure that both doubt and faith in Julia's perspective is built to equal degrees. The lack of clarity starts to drive a wedge through her marriage, and it's heartbreaking to watch. The writing makes for a thrilling, engaging watch, even in the slow-paced scenes.I always like a good thriller, and I always LOVE a good thriller that also has smart writing and emotionally resonant character work.This is one of those thrillers. It's not flashy. It's purely psychological, and I found it absolutely riveting from start to finish.",not flashy purely compellingly psychological,by merit concept alone there really isnt anything new here its writing character work that causes watcher soar above standard thriller genre fare first rate performances are given by entire cast they all embody their characters with humanity make them instantly unique often sympathetic julia is woman who has moved with her husband country where she does not know language has no personal connections her sense loneliness is made palpable very early it makes unease she feels extremely understandable as she becomes more more convinced that she has stalker this screenplay is astoundingly good each scene is written so carefully so as ensure that both doubt faith julias perspective is built equal degrees lack clarity starts drive wedge through her marriage its heartbreaking watch writing makes thrilling engaging watch even slow paced scenes i always like good thriller i always love good thriller that also has smart writing emotionally resonant character work this is one those thrillers its not flashy its purely psychological i found it absolutely riveting start finish,0.5381911976911976,0.21768831168831168,Positive,"{'Happy': 0.12, 'Angry': 0.03, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.35}"
8.0,Stranger In a Strange Land. What's Real and What Isn't?,"For a majority of this film's running time, it was cruising along at about a 6 rating for me, based on the fine performances by all, and the cool Romanian atmosphere. For me, also during this time, the film seemed more of a psychological drama than a thriller. It was not scary or even really suspenseful. It just gave more questions than answers during this time. What it lacks on the front end in chills, it makes up for in mood and beauty. The actresses are pretty here and the Bucharest setting provides its own unique attractiveness.Many might say this movie a slow burn. It is not. It plods along, but only somewhat, and not necessarily in a bad way.The ending. The last ten minutes or so. This is where the rating gets ratcheted up to an 8.You've been gently led along, and then, POW!! Here's the ending! The true finale. You've been thinking to yourself, so this is it, this is the way it's going to be, okay, I guess I can believe that, and the ending punches you right in the face. It holds you right up and delivers a devastating blow.The ending truly makes this movie. It doesn't disappoint. Enjoy the scenery until then.",stranger strange land whats real what isnt,majority this films running time it was cruising along at about 6 rating me based fine performances by all cool romanian atmosphere me also during this time film seemed more psychological drama than thriller it was not scary or even really suspenseful it just gave more questions than answers during this time what it lacks front end chills it makes up mood beauty actresses are pretty here bucharest setting provides its own unique attractiveness many might say this movie slow burn it is not it plods along but only somewhat not necessarily bad way ending last ten minutes or so this is where rating gets ratcheted up 8 youve been gently led along then pow heres ending true finale youve been thinking yourself so this is it this is way its going be okay i guess i can believe that ending punches you right face it holds you right up delivers devastating blow ending truly makes this movie it doesnt disappoint enjoy scenery until then,0.5941904761904763,0.19852380952380952,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.17, 'Sad': 0.31, 'Fear': 0.34}"
7.0,cat and mouse,"Greetings again from the darkness. It's tough being the new kid. Moving to a new city with no friends is always a challenge. That's especially true for a grown-up when the new city is in a country where you don't speak the language - and you gave up your career to support your spouse who got a promotion to his home country. The first feature film from writer-director Chloe Okuno and co-writer Zack Ford is a bit of a throwback thriller that reminded me of some of Brian DePalma's work in the 1970's and 1980's, while also recalling other genre films.Maika Monroe (IT FOLLOWS, 2014) stars as Julia, wife of Francis (Karl Glusman, LOVE, 2015). Their new apartment has a large picture window that overlooks the run-down tenement located across the street. Julia immediately notices the shadowed figure of a man who appears to be watching her. Yes, the set-up reminds us of Hitchcock's classic REAR WINDOW, though this one heads off in a different direction. The pressures of Francis' new job keep him working long hours, which means Julia is left alone a great deal of the time. As a former actor, now 're-evaluating' her career path, Julia spends the days walking the local streets and listening to language tapes. See, their new place is in Bucharest, Romania, and the language gap plays a huge role in casting her as an outsider in all social interactions.But wait, there's more! Local news reports detail a serial killer nicknamed ""Spider"" has been murdering and beheading women. So when Julia begins seeing that shadowy figure from the window everywhere she goes, she assumes he's following/stalking her. Is he the serial killer? Perhaps the question is, who is the cat and who is the mouse? While making the point that the film so desperately wants to make, it does so in the least believable manner. Husband Francis dismisses her paranoia as that of a lonely woman - a reaction that seems absurd given the presence of a serial killer (Grace Kelly believed Jimmy Stewart!). Fortunately, filmmaker Okuno and the performance of Ms. Monroe prevent this from becoming an eye-roller for viewers.As Julia and the ""watcher"" (played with a creepy stoicism by Burn Gorman, CRIMSON PEAK, 2015) continue to cross paths, Francis asks, ""Is he watching you, or is he watching the person who is watching him?"" It's this attitude that every woman will recognize ... being accused of having it be ""all in her head"", and having concerns minimized by men (spouses, cops, doctors, etc). Ms. Monroe gives a subdued, quiet performance that works terrifically in this setting. She kind of glows on screen and excels at conveying the feeling of isolation that Julia experiences, some of it enhanced by her husband's approach.There are a couple of terrific scenes featuring Julia and her neighbor Irina (Madalina Anea), a single woman who understands Julia's trepidation. Other excellent scenes include Julia going solo to the movie theater to watch CHARADE, a film from which Okuno obviously draws inspiration; and best of all, a scene on the train where Julia and the watcher come face to face and have one of the more uncomfortable conversations (with a wonderful prop) we'll likely ever see on screen. Both actors are superb here.The cinematography of Benjamin Kirk Nielsen and the score from Nathan Halpern perfectly correspond to the slow-burn pacing that lacks the typical 'jump-scares' that have become commonplace in thrillers. Despite some 'iffy' dialogue, the film is effective in isolating Julia and presenting the fear that women live with, while often having their feelings minimized. A strong ending sets up Chloe Okuno as a filmmaker to watch.In theaters June 3, 2022 and On Demand June 21, 2022.",cat mouse,greetings again darkness its tough being new kid moving new city with no friends is always challenge thats especially true grown up when new city is country where you dont speak language you gave up your career support your spouse who got promotion his home country first feature film writer director chloe okuno co writer zack ford is bit throwback thriller that reminded me some brian depalmas work 1970s 1980s while also recalling other genre films maika monroe it follows 2014 stars as julia wife francis karl glusman love 2015 their new apartment has large picture window that overlooks run down tenement located across street julia immediately notices shadowed figure man who appears be watching her yes set up reminds us hitchcocks classic rear window though this one heads off different direction pressures francis new job keep him working long hours which means julia is left alone great deal time as former actor now re evaluating her career path julia spends days walking local streets listening language tapes see their new place is bucharest romania language gap plays huge role casting her as outsider all social interactions but wait theres more local news reports detail serial killer nicknamed spider has been murdering beheading women so when julia begins seeing that shadowy figure window everywhere she goes she assumes hes following stalking her is he serial killer perhaps question is who is cat who is mouse while making point that film so desperately wants make it does so least believable manner husband francis dismisses her paranoia as that lonely woman reaction that seems absurd given presence serial killer grace kelly believed jimmy stewart fortunately filmmaker okuno performance ms monroe prevent this becoming eye roller viewers as julia watcher played with creepy stoicism by burn gorman crimson peak 2015 continue cross paths francis asks is he watching you or is he watching person who is watching him its this attitude that every woman will recognize being accused having it be all her head having concerns minimized by men spouses cops doctors etc ms monroe gives subdued quiet performance that works terrifically this setting she kind glows screen excels at conveying feeling isolation that julia experiences some it enhanced by her husbands approach there are couple terrific scenes featuring julia her neighbor irina madalina anea single woman who understands julias trepidation other excellent scenes include julia going solo movie theater watch charade film which okuno obviously draws inspiration best all scene train where julia watcher come face face have one more uncomfortable conversations with wonderful prop well likely ever see screen both actors are superb here cinematography benjamin kirk nielsen score nathan halpern perfectly correspond slow burn pacing that lacks typical jump scares that have become commonplace thrillers despite some iffy dialogue film is effective isolating julia presenting fear that women live with while often having their feelings minimized strong ending sets up chloe okuno as filmmaker watch theaters june 3 2022 demand june 21 2022,0.5353902910506684,0.1871627324457513,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.35}"
1.0,Just what to expect. A movie about a stalker.,"I thought there would be a twist! But no. Classic watcher movie. Exactly who you think is the killer, yup he's the killer. No twist. Boring. Waste of a movie ticket.",just what expect movie about stalker,i thought there would be twist but no classic watcher movie exactly who you think is killer yup hes killer no twist boring waste movie ticket,0.35416666666666663,-0.2583333333333333,Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.2}"
