Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1,Non-Stop Stupid and Awful,"Don't bother watching this because if you've seen the last ten movies in which Bruce Willis makes a cameo, this one is just more of the same. Gratuitous violence, tiresome, faux tough-guy dialogue, and mind-numbingly stupid gun-play don't make for much when it comes to entertainment, as if just throwing these elements into a pot will somehow produce anything fit for adult consumption.Does this film have a story? It's hard to say when they hurl an endless torrent of blood and bullets at the audience in an attempt to distract you from the fact that if there is a story, it's too unoriginal to even mention. I've never played a video game, but I would imagine that Grand Theft Auto has more of a plot than White Elephant.You can't even blame the actors in the movie. It's like pulling a bunch of garbage from the dumpster and expecting someone to cook a meal with it.A few things writers of action movies should already understand:Drywall will not stop a round from an assault rifle, neither will a car door. Some high-powered rounds can go through an entire house and still kill you.If you want to kill someone on the sly, don't use a gun as it's too messy, especially if you are then going to take the body somewhere else to disposed of it. Just take the live guy to the disposal area, then get rid of him. If the cops stop you on the way there, it's a lot easier to explain a guy in the back seat than a corpse in the trunk.Try reading books so that everything you write isn't exactly like the last twenty movies you streamed. I doubt Hollywood writers can be bothered to read books, this seems obvious from their output of puerile doggerel like this film.If you can't choreograph a decent gun battle, stop thinking that five more in the film will improve things.",non stop stupid awful,dont bother watching this because if youve seen last ten movies which bruce willis makes cameo this one is just more same gratuitous violence tiresome faux tough guy dialogue mind numbingly stupid gun play dont make much when it comes entertainment as if just throwing these elements into pot will somehow produce anything fit adult consumption does this film have story its hard say when they hurl endless torrent blood bullets at audience attempt distract you fact that if there is story its too unoriginal even mention ive never played video game but i would imagine that grand theft auto has more plot than white elephant you cant even blame actors movie its like pulling bunch garbage dumpster expecting someone cook meal with it few things writers action movies should already understand drywall will not stop round assault rifle neither will car door some high powered rounds can go through entire house still kill you if you want kill someone sly dont use gun as its too messy especially if you are then going take body somewhere else disposed it just take live guy disposal area then get rid him if cops stop you way there its lot easier explain guy back seat than corpse trunk try reading books so that everything you write isnt exactly like last twenty movies you streamed i doubt hollywood writers can be bothered read books this seems obvious their output puerile doggerel like this film if you cant choreograph decent gun battle stop thinking that five more film will improve things,0.4764215686274509,-0.06154486036838978,Negative,"{'Happy': 0.08, 'Angry': 0.06, 'Surprise': 0.36, 'Sad': 0.19, 'Fear': 0.31}"
6,"Solid B-movie, with great actors and attention for detail. They really tried to make something special. They failed at that though, but it is still worth a watch for the fans","This is not just another B-movie. And it aint another Bruce Willis flop either. Seriously. I have been watching ALL of Bruce Willis' movies lately and this one is actually not too bad. Not great either...but enjoyable enough for the Bruce Willis fans.Director Jesse V Johnson has proven to be able to make lots of solid, tough and enjoyable B-movies throughout the last years and this is another decent one.Excellent acting performance by Michael Rooker, who performs a leading role (baddie AND good guy in one), sharing a leading credit with Olga Kurlyenko, who is a highly skilled soldier.The story: Bruce Willis is a mobster boss who orders a cop (Olga Kurylenko) to be killed. All hell breaks loose after that, WITH LOTS AND LOTS OF SHOOTOUTS.This movie stands a bit out (in a good way) from other B-movies, because of the attention for detail, with good photography, a decent soundtrack and a story about family bonds.Any bad? It it a bit slow now and then. And there are some credibility issues in the story and direction. But I am nitpicking, because in the end this is simply a mindless action B-movie, with great actors starring in it. It'll do...At an important end note: This is one of Bruce Willis' LAST movies he will EVER make, because Bruce is retiring from acting, due to severe bad health, because he is suffering from a neurological disease which affects his speech and facial expressions. Really tragic!Let us not forget WHY we are watching Bruce Willis movies to begin with. We watch Bruce Willis movies because of DIE HARD (1988). THE ONE AND ONLY BIGGEST ACTION AMERICAN ACTION CLASSIC OF THE CENTURY.This classic is still standing strong after more than 30 years. Millions of people still REwatch it during every Christmas holiday. Recently a petition was launched to rename Nakatomi Plaza into DIE HARD plaza.A life time achievement award for Bruce Willis is in the making as well, so I have heard...DIE HARD (1988) NEVER DIES but is still ALIVE AND KICKING in 2022.Let's celebrate that...",solid b movie with great actors attention detail they really tried make something special they failed at that though but it is still worth watch fans,this is not just another b movie it aint another bruce willis flop either seriously i have been watching all bruce willis movies lately this one is actually not too bad not great either but enjoyable enough bruce willis fans director jesse v johnson has proven be able make lots solid tough enjoyable b movies throughout last years this is another decent one excellent acting performance by michael rooker who performs leading role baddie good guy one sharing leading credit with olga kurlyenko who is highly skilled soldier story bruce willis is mobster boss who orders cop olga kurylenko be killed all hell breaks loose after that with lots lots shootouts this movie stands bit out good way other b movies because attention detail with good photography decent soundtrack story about family bonds any bad it it bit slow now then there are some credibility issues story direction but i am nitpicking because end this is simply mindless action b movie with great actors starring it itll do at important end note this is one bruce willis last movies he will ever make because bruce is retiring acting due severe bad health because he is suffering neurological disease which affects his speech facial expressions really tragic let us not forget why we are watching bruce willis movies begin with we watch bruce willis movies because die hard 1988 one only biggest action american action classic century this classic is still standing strong after more than 30 years millions people still rewatch it during every christmas holiday recently petition was launched rename nakatomi plaza into die hard plaza life time achievement award bruce willis is making as well so i have heard die hard 1988 never dies but is still alive kicking 2022 lets celebrate that,0.4467406050739385,0.060796251074028876,Positive,"{'Happy': 0.18, 'Angry': 0.07, 'Surprise': 0.26, 'Sad': 0.26, 'Fear': 0.23}"
6,White Elephant (2022) is a Heartfelt Send Off For Bruce Willis,"White Elephant (2022) is a Heartfelt Send Off For Bruce Willis. After announcing earlier this year that Bruce Willis would be stepping away from acting, due to his Aphasia diagnosis, it is hard not the watch White Elephant with that in mind. However, White Elephant is much more than a swan song to this beloved action star, it is a very good action romp.The film is the long delayed brain child of former stunt man, writer, and Director Jesse V. Johnson. The plot is simple-""When two cops witness an assassination attempt, a ruthless crime boss orders Gabriel Tancredi, an ex-Marine turned mob enforcer, to eliminate any and all threats."" However, like many Johnson films the plot is just the pretext for showcasing the rich characters and launching point for great action and violence.Johnson has a penchant for broken characters with characteristics that make it hards not to look past their awful deeds, and be romanced by them in their quasi-redemption. This is true whether he is is the writer and Director of his own material like Savage Dog, Accident Man, or the brilliant Debt Collector films; or whether he is Directing someone else's story, like Nina Bergman in the masterful, Hell Hath No Fury. Michael Rooker has the distinction of filling these shoes in White Elephant as the nearly retired, mob enforcer faced with a dramatic choice to do what he was hired to do, or do what he believes is right. This is his best performance, by far. He is very memorable in this role.Olga Kuryenko is equally broken as the subject of the mob's pursuit, and she does a good job holding her own as the tough cop fighting to survive. While not a true buddy film, she is a good compliment to Rooker.The supporting characters are well supported by a strong cast, many that afficionados of Johnson's films might recognize. Vadhir Derbez is very watchable as the young upstart looking to make a name for himself in the mob world. I couldn't help being reminded of Ross McCall's performance as another Gabriel Tancredi in Johnson's The Beautiful Ones, a very underrated film. John Malkovich has a small role as a mob lawyer, but not one second he is on the screen is wasted-this is Malkovich in top form.As for Willis-you can not un-know what you know about his medical condition while making this film. I read a lot of speculation and commentary about his performance in light of it. As for me I will refer to a prior review of a ""B"" rated, straight to video performance by Willis; ""When Bruce Willis is in the movie you almost always know what you are going to get and even when the film is bad there is still Bruce Willis."" Nothing has changed my opinion in this good film about Willis's performance.The cinematography, action, and violence is at the level you can expect from a Jesse V. Johnson film. No modern filmmaker can do more with a modest film budget (reported at $15 million) than Johnson. His films are fun to watch and White Elephant is no exception. Violence, gun play, and bloodshed abound, and is well placed.While I have been fortunate enough to interview Johnson twice I am still amazed at how deep his appreciation and homage to good film runs. This film has homage to other great films, old and newer, classics, and even to Johnson's prior films. Derbez's character opines, late in the film, that it ""is like a f@cking Western."" Yes, I would agree, White Elephant (2022) is a modern western, or, at least, a tribute to Westerns.I love Johnson films. I recommend White Elephant.White Elephant premiered on AMC+ and is streaming on multiple PPV services.",white elephant 2022 is heartfelt send off bruce willis,white elephant 2022 is heartfelt send off bruce willis after announcing earlier this year that bruce willis would be stepping away acting due his aphasia diagnosis it is hard not watch white elephant with that mind however white elephant is much more than swan song this beloved action star it is very good action romp film is long delayed brain child former stunt man writer director jesse v johnson plot is simple when two cops witness assassination attempt ruthless crime boss orders gabriel tancredi ex marine turned mob enforcer eliminate any all threats however like many johnson films plot is just pretext showcasing rich characters launching point great action violence johnson has penchant broken characters with characteristics that make it hards not look past their awful deeds be romanced by them their quasi redemption this is true whether he is is writer director his own material like savage dog accident man or brilliant debt collector films or whether he is directing someone elses story like nina bergman masterful hell hath no fury michael rooker has distinction filling these shoes white elephant as nearly retired mob enforcer faced with dramatic choice do what he was hired do or do what he believes is right this is his best performance by far he is very memorable this role olga kuryenko is equally broken as subject mobs pursuit she does good job holding her own as tough cop fighting survive while not true buddy film she is good compliment rooker supporting characters are well supported by strong cast many that afficionados johnsons films might recognize vadhir derbez is very watchable as young upstart looking make name himself mob world i couldnt help being reminded ross mccalls performance as another gabriel tancredi johnsons beautiful ones very underrated film john malkovich has small role as mob lawyer but not one second he is screen is wasted this is malkovich top form as willis you can not un know what you know about his medical condition while making this film i read lot speculation commentary about his performance light it as me i will refer prior review b rated straight video performance by willis when bruce willis is movie you almost always know what you are going get even when film is bad there is still bruce willis nothing has changed my opinion this good film about williss performance cinematography action violence is at level you can expect jesse v johnson film no modern filmmaker can do more with modest film budget reported at 15 million than johnson his films are fun watch white elephant is no exception violence gun play bloodshed abound is well placed while i have been fortunate enough interview johnson twice i am still amazed at how deep his appreciation homage good film runs this film has homage other great films old newer classics even johnsons prior films derbezs character opines late film that it is like f western yes i would agree white elephant 2022 is modern western or at least tribute westerns i love johnson films i recommend white elephant white elephant premiered amc is streaming multiple ppv services,0.44095518207282913,0.14645284780578896,Positive,"{'Happy': 0.15, 'Angry': 0.1, 'Surprise': 0.16, 'Sad': 0.13, 'Fear': 0.44}"
7,Bruce Willis! John Malcovich! Michael Rooker!!,"Okay, Michael Rooker is a character actor who you know and love but for love nor money do you know his name.This is an odd film - if not for Willis and Malcovich, it would be a B movie, but it's a good one - IMHO.LOTS of bad guys! Tons of shoot 'em ups. No car chases.The elephant in the room is Bruce Willis. Yes, this isn't his best, but he's still Bruce freaking Willis! I'm betting John Malcovich came along for the ride to be with his buddy Bruce. That's what friends do.This is not Emmy or Globe material, but it's a fun movie to help pass a rainy afternoon or dull evening. Enjoy it for what it is.",bruce willis john malcovich michael rooker,okay michael rooker is character actor who you know love but love nor money do you know his name this is odd film if not willis malcovich it would be b movie but its good one imho lots bad guys tons shoot em ups no car chases elephant room is bruce willis yes this isnt his best but hes still bruce freaking willis im betting john malcovich came along ride be with his buddy bruce thats what friends do this is not emmy or globe material but its fun movie help pass rainy afternoon or dull evening enjoy it what it is,0.4716666666666667,0.27416666666666667,Positive,"{'Happy': 0.35, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.24, 'Fear': 0.24}"
5,Give Bruce a break,My guess is that some of these reviewers are not very informed movie people. I dont think they have heard the news regarding Bruce Willis health.(Quite a while ago) The announcement of his stepping away from acting due to health reasons (Aphasia) . Which directly affecting his ability to perform to his highest level. A lot of actors have contracts even before a movie is made. He stuck it through and fulfilled that. Thats honorable...give him a break a already & be informed before you judge.,give bruce break,my guess is that some these reviewers are not very informed movie people i dont think they have heard news regarding bruce willis health quite while ago announcement his stepping away acting due health reasons aphasia which directly affecting his ability perform his highest level lot actors have contracts even before movie is made he stuck it through fulfilled that thats honorable give him break already be informed before you judge,0.26875000000000004,-0.03125,Negative,"{'Happy': 0.13, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.27, 'Fear': 0.27}"
5,It's not bad but...,"Unfortunately, Bruce Willis' health problems are very prominent in his performance in this movie, which is a significant distraction and breaks the flow of the story. He obviously struggles to portray his character and deliver lines. Such a shame.Otherwise, the movie is an OK action movie. The performances are solid with believable characters portrayed well by the cast.The story is fairly standard for an action movie and there is nothing particularly memorable about it.If you are a Bruce Willis fan you may find this difficult to watch, so best give it a miss.",its not bad but,unfortunately bruce willis health problems are very prominent his performance this movie which is significant distraction breaks flow story he obviously struggles portray his character deliver lines such shame otherwise movie is ok action movie performances are solid with believable characters portrayed well by cast story is fairly standard action movie there is nothing particularly memorable about it if you are bruce willis fan you may find this difficult watch so best give it miss,0.5427777777777777,0.20500000000000002,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.19, 'Fear': 0.5}"
1,Sad to see Malkovich taking on such poor material,"It's a low budget payday for everyone involved, you can watch the movie simply by the poster.I'm not sure who is funding this stuff but they are definitely losing money.",sad see malkovich taking such poor material,its low budget payday everyone involved you can watch movie simply by poster im not sure who is funding this stuff but they are definitely losing money,0.5922902494331065,-0.16428571428571428,Negative,"{'Happy': 0.0, 'Angry': 0.1, 'Surprise': 0.2, 'Sad': 0.3, 'Fear': 0.4}"
2,I want my time back,"This was a raging pile of dung from the very start. The movie itself isn't so much telling a story as just having several events happen in succession, and there's no character development whatsoever.Even at the end of the film I couldn't root for any side or connect to any character at all because among all the bullets, shootouts, and deaths you never really ""meet"" anyone. The characters exist to shoot guns and nothing more, and when the subject of morality introduced it's a split second conversation before more shooting.In fact most of the conversation in this film is characters rehashing the events you just saw, which is almost insultingly silly because it's as though the writer assumes you've seen none of what happened and need it explained twice or even three times in forced cutouts.Can't even give it points for the shootout scenes either because the characters are presented as tactical and experienced yet don't cover exits, shoot at nothing to kill their element of surprise and tip off the target, and then act shocked when the one they're after escapes for the fifth time.",i want my time back,this was raging pile dung very start movie itself isnt so much telling story as just having several events happen succession theres no character development whatsoever even at end film i couldnt root any side or connect any character at all because among all bullets shootouts deaths you never really meet anyone characters exist shoot guns nothing more when subject morality introduced its split second conversation before more shooting fact most conversation this film is characters rehashing events you just saw which is almost insultingly silly because its as though writer assumes youve seen none what happened need it explained twice or even three times forced cutouts cant even give it points shootout scenes either because characters are presented as tactical experienced yet dont cover exits shoot at nothing kill their element surprise tip off target then act shocked when one theyre after escapes fifth time,0.3791666666666667,0.06666666666666667,Positive,"{'Happy': 0.0, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.12, 'Fear': 0.6}"
1,so bad,"Its just a steaming pile of dogs 💩, from start to finish.terrible plot.pathetic action sceens,crap acting boring predictable .just dont waste your time watching this.",so bad,its just steaming pile dogs start finish terrible plot pathetic action sceens crap acting boring predictable just dont waste your time watching this,0.5629629629629629,-0.5333333333333333,Negative,"{'Happy': 0.0, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.33, 'Fear': 0.33}"
2,Olga Kurylenko and John Malkovich's prank,"At first, I saw Bruce and I thought looks like another one of his movies these days he is making, then I saw John Malkovich then I got my hopes up and thought maybe Bruce is finally in a good movie after seeing Olga I got all pumped up. Then the first action scene came along, it was so lazy and the dialogues are so lame, within.20 minutes into the movie I knew I am pranked into watching this movie. I still watched it out of respect for John and Olga, but it was a drag. Are they not getting good movies or are they doing it as a favor for a friend or something like that?Movie not recommended, save you time.",olga kurylenko john malkovichs prank,at first i saw bruce i thought looks like another one his movies these days he is making then i saw john malkovich then i got my hopes up thought maybe bruce is finally good movie after seeing olga i got all pumped up then first action scene came along it was so lazy dialogues are so lame within 20 minutes into movie i knew i am pranked into watching this movie i still watched it out respect john olga but it was drag are they not getting good movies or are they doing it as favor friend or something like that movie not recommended save you time,0.4734375,0.14375,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.45, 'Sad': 0.15, 'Fear': 0.1}"
