Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,It burned my eyes,"yet again i wish IMDb had a 0/10 ranking. my little brother made the mistake of renting this title from a red-box using a promo code. i was upset realizing that although the rental was free, the amount of energy i spent walking with him to the store to rent it was about as much that was put into this movie. It was horrendous. This, along with epic movie, murder-cycle, and the ghoul school, are some of the only movies that actually made my eyes hurt. While the stupid humor (or lack there of) managed to keep our golden retrieve entertained, my brother (who enjoyed from Justin to Kelly) and i would have no part of it, turning it off before the ending, which i had no desire in seeing. i regret seeing this movie and feel empty realizing that watching this probably did more damage to my body than my smoking habit.",it burned my eyes,yet again i wish imdb had 0 10 ranking my little brother made mistake renting this title red box using promo code i was upset realizing that although rental was free amount energy i spent walking with him store rent it was about as much that was put into this movie it was horrendous this along with epic movie murder cycle ghoul school are some only movies that actually made my eyes hurt while stupid humor or lack there managed keep our golden retrieve entertained my brother who enjoyed justin kelly i would have no part it turning it off before ending which i had no desire seeing i regret seeing this movie feel empty realizing that watching this probably did more damage my body than my smoking habit,0.4846153846153846,0.0625,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.27, 'Sad': 0.27, 'Fear': 0.27}"
1.0,Worse than awful.,"This movie is one of a kind and even that is too big of a compliment for this seriously lackluster movie. It tries to be funny and thoughtful and ends up being incredibly and offensively stupid, racist, and trite.The comedy consistently misses the mark by a huge margin. This movie was intended to be a comedy although it's shockingly unfunny despite an almost foolproof set of comic circumstances and actors.Was it supposed to be a black Caddyshack or was it supposed to be a story of achievement? The movie's underlying message ends up being a thinly-veiled message of unfocused racist hate directed at white people which is actually not funny at all.Watching this film was an hour and a half of my life wasted. If you are considering watching or renting this movie please do yourself a favor and don't. Absolutely no redeeming value, even in it's terribleness. Consider yourself warned.",worse than awful,this movie is one kind even that is too big compliment this seriously lackluster movie it tries be funny thoughtful ends up being incredibly offensively stupid racist trite comedy consistently misses mark by huge margin this movie was intended be comedy although its shockingly unfunny despite almost foolproof set comic circumstances actors was it supposed be black caddyshack or was it supposed be story achievement movies underlying message ends up being thinly veiled message unfocused racist hate directed at white people which is actually not funny at all watching this film was hour half my life wasted if you are considering watching or renting this movie please do yourself favor dont absolutely no redeeming value even its terribleness consider yourself warned,0.6246376811594203,-0.13442028985507246,Negative,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.16, 'Sad': 0.26, 'Fear': 0.45}"
1.0,There Were No Jokes,"I saw this movie in theaters on its opening night because I thought the trailer made it look funny. When I sat down right before the previews started I thought about it and I had only seen the trailer for this movie twice. And no other marketing besides that; I now know why. The town I went to see this movie has a large African-American population so I thought it would be a treat and it would be a movie the audience would get behind and enjoy together. There were never more than six people in the theater at a time. Aside from my two friends and I a trio of black girls were there and left about 10 minutes into the movie, only to be replaced by a guy and his two kids, who I assume were his stepchildren that he hated because he had taken them to see this movie. To start off there were no jokes. The ""jokes"" were mostly Big Boi saying something, nothing special, like ""My daddy used to golf."" Then Faizon love(who I loved as Big Worm in Friday) would just repeat what he said in a higher voice and add the n-word. The editing made no sense and was choppy. Dialouge vital to the ""plot"" would be happening and in between the sentences there would be a cut of Faizon Love just dancing or something. To summarize buy this movie at the 3.99 Walmart bin if a friend you haven't seen in years invites you to his birthday party or something.",there were no jokes,i saw this movie theaters its opening night because i thought trailer made it look funny when i sat down right before previews started i thought about it i had only seen trailer this movie twice no other marketing besides that i now know why town i went see this movie has large african american population so i thought it would be treat it would be movie audience would get behind enjoy together there were never more than six people theater at time aside my two friends i trio black girls were there left about 10 minutes into movie only be replaced by guy his two kids who i assume were his stepchildren that he hated because he had taken them see this movie start off there were no jokes jokes were mostly big boi saying something nothing special like my daddy used golf then faizon love who i loved as big worm friday would just repeat what he said higher voice add n word editing made no sense was choppy dialouge vital plot would be happening between sentences there would be cut faizon love just dancing or something summarize buy this movie at 3 99 walmart bin if friend you havent seen years invites you his birthday party or something,0.4722056878306878,0.06447585978835979,Positive,"{'Happy': 0.24, 'Angry': 0.02, 'Surprise': 0.24, 'Sad': 0.15, 'Fear': 0.34}"
1.0,I hope it gets buried in the middle of nowhere,"This is Norbit, Soul Plane, and The Cookout in a bucket, thrown up on. There is no reason to make such a movie. It will win no awards and it's only purpose is to fill the 7 dollar DVD bin at Wal-Mart. Why not do something productive, like making good movies? I wonder when it will stop. I hope someday that the culture it represents will die out. Bring a bunch of black actors together with some musicians, embarrass them with demeaning dialog, and throw in some white actors to look awkward and poke fun at. It's a routine that needs to go away as soon as possible. There's no creativity, and some people will actually bother to complain that racism is the reason that it isn't award winning. OH NOES, GUESS IT WAS RACISM!",i hope it gets buried middle nowhere,this is norbit soul plane cookout bucket thrown up there is no reason make such movie it will win no awards its only purpose is fill 7 dollar dvd bin at wal mart why not do something productive like making good movies i wonder when it will stop i hope someday that culture it represents will die out bring bunch black actors together with some musicians embarrass them with demeaning dialog throw some white actors look awkward poke fun at its routine that needs go away as soon as possible theres no creativity some people will actually bother complain that racism is reason that it isnt award winning oh noes guess it was racism,0.4986111111111111,0.12777777777777777,Positive,"{'Happy': 0.1, 'Angry': 0.05, 'Surprise': 0.19, 'Sad': 0.43, 'Fear': 0.24}"
,"A childish, annoying film that claims to be a comedy","This film is about a young black golfer trying to win his fame in a white golf club for the sake of his family name.I watched ""Who's Your Caddy?"" to see how bad it is. And it exceeded all my expectations. The plot is contrived and unconvincing, and it makes Christopher's climb to the top look more like a spoiled kid refusing to lose. And that constant ranting by Lady G is so annoying that I wish somehow her character suddenly dropped dead from a heart attack. Take a look at one of her scenes: Christopher is awarded with membership of the club, and she spent at least 30 seconds making silly incomprehensible noises. It is seriously annoying, childish and not fun. I cannot comprehend why the filmmakers think viewers would be entertained by this, as if we were 5 year old children.The underlying message about a man of humble origin making his way to the top is positive, but the constant class struggle is tiring to say the least. The class struggle is done in such a silly and contrived, making no room for sympathy or thought provocation.I lost all interest in continuing the film half way through, but I watched it anyway. And it did not get any better.",childish annoying film that claims be comedy,this film is about young black golfer trying win his fame white golf club sake his family name i watched whos your caddy see how bad it is it exceeded all my expectations plot is contrived unconvincing it makes christophers climb top look more like spoiled kid refusing lose that constant ranting by lady g is so annoying that i wish somehow her character suddenly dropped dead heart attack take look at one her scenes christopher is awarded with membership club she spent at least 30 seconds making silly incomprehensible noises it is seriously annoying childish not fun i cannot comprehend why filmmakers think viewers would be entertained by this as if we were 5 year old children underlying message about man humble origin making his way top is positive but constant class struggle is tiring say least class struggle is done such silly contrived making no room sympathy or thought provocation i lost all interest continuing film half way through but i watched it anyway it did not get any better,0.5138318670576736,-0.12438905180840666,Negative,"{'Happy': 0.08, 'Angry': 0.05, 'Surprise': 0.31, 'Sad': 0.36, 'Fear': 0.21}"
1.0,A triple bogey,"My mother and my brother told me this film was funny. I have considered leaving my home because of their taste in movies. This movie is absolutely terrible. Well, I take that back. I believe there was a moment when I cracked a smile at a joke. But the jokes were almost all targeted towards a braindead audience with no sense of humor, whatsoever. The accusations of racism got old, and it was just a painful ride all-around. If anything more terrible than this film has been created by man, I would love to see it. My grades in school actually plummeted after seeing this film, from the loss of brain cells.",triple bogey,my mother my brother told me this film was funny i have considered leaving my home because their taste movies this movie is absolutely terrible well i take that back i believe there was moment when i cracked smile at joke but jokes were almost all targeted towards braindead audience with no sense humor whatsoever accusations racism got old it was just painful ride all around if anything more terrible than this film has been created by man i would love see it my grades school actually plummeted after seeing this film loss brain cells,0.5399999999999999,-0.10499999999999998,Negative,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.2, 'Fear': 0.4}"
1.0,Whos your caddy in my opinion ....,"Guys I saw the movie and I just didn't like it, it didn't have anything to do with the racism or the bad acting I just didn't like it, reason being is that the jokes were old and I already knew them all, nothing new was thrown in there that could make me laugh even once, it felt more awkward and embarrassing instead of funny. Instead of creating an original comedy that will forever be etched in peoples minds the makers of this movie copied other movies and threw their jokes in a big mix. Thats what I thought of it, this review is solely based on the funny factor of the movie which didn't make me laugh once and a comedy that doesn't make me laugh once can't get a good rating from me, thats all it is.",whos your caddy my opinion,guys i saw movie i just didnt like it it didnt have anything do with racism or bad acting i just didnt like it reason being is that jokes were old i already knew them all nothing new was thrown there that could make me laugh even once it felt more awkward embarrassing instead funny instead creating original comedy that will forever be etched peoples minds makers this movie copied other movies threw their jokes big mix thats what i thought it this review is solely based funny factor movie which didnt make me laugh once comedy that doesnt make me laugh once cant get good rating me thats all it is,0.46308080808080804,0.1190909090909091,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.42, 'Fear': 0.16}"
1.0,"Wow, what crap","I hope that the people of the world are tired of racist movies that serve no purpose whatsoever. This movie insults black people and actually makes white people look good ( I never thought I'd be saying that). But it does, it makes everyone think that all black people are mentally unable to handle even basic tasks. So it gets a 1 for being racists towards blacks. As far as the plot, if this was pre 1985 when the supreme court ruled that golf courses must be open to anyone who can afford them, it hasn't been an issue. So to assume that there is a golf course out there in a fantasy world where black people are not allowed in is the most ridiculous thing I can think off. The sad part is there were a couple of good actors in this movie, but when you are working with crap you can't fix it no matter who you put in the movie.",wow what crap,i hope that people world are tired racist movies that serve no purpose whatsoever this movie insults black people actually makes white people look good i never thought id be saying that but it does it makes everyone think that all black people are mentally unable handle even basic tasks so it gets 1 being racists towards blacks as far as plot if this was pre 1985 when supreme court ruled that golf courses must be open anyone who can afford them it hasnt been issue so assume that there is golf course out there fantasy world where black people are not allowed is most ridiculous thing i can think off sad part is there were couple good actors this movie but when you are working with crap you cant fix it no matter who you put movie,0.5847222222222223,-0.0962962962962963,Negative,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.19, 'Fear': 0.38}"
1.0,A shameful rip-off of Caddyshack.,"Cast your mind back to 1980, with a movie called Caddyshack. You might possibly have heard of this movie, as it's one of the best comedies of all time, backed with a stellar lineup (at the time) of top notch comedy actors.Now, 27 years later, we're seeing the movie again in the guise of Who's Your Caddy, Only this time, there are a few changes. White guys are replaced with black guys, and rap culture is fused into the plot, but aside from that it's a carbon copy. Even some of the jokes are lifted directly from the original.Absolute garbage. There is NO effort whatsoever to make Who's Your Caddy unique enough (or funny enough) to step away from Caddyshack's shadow. What was once fresh and unique, has become standard and staid, and as Who's Your Caddy copied a 27 year old movie wholesale, making the jokes so obvious you already know the punchline while the directors are in the setup. Who's Your Caddy has absolutely nothing recommendable in it's reels, even if you haven't seen the original.If you want to watch a funny golf movie, Watch Caddyshack, or if you're desperate, Caddyshack II. If you've seen them both before, then just fondly re-watch them, as your memories will be forever tainted if you what this shameful, shallow, remake.",shameful rip off caddyshack,cast your mind back 1980 with movie called caddyshack you might possibly have heard this movie as its one best comedies all time backed with stellar lineup at time top notch comedy actors now 27 years later were seeing movie again guise whos your caddy only this time there are few changes white guys are replaced with black guys rap culture is fused into plot but aside that its carbon copy even some jokes are lifted directly original absolute garbage there is no effort whatsoever make whos your caddy unique enough or funny enough step away caddyshacks shadow what was once fresh unique has become standard staid as whos your caddy copied 27 year old movie wholesale making jokes so obvious you already know punchline while directors are setup whos your caddy has absolutely nothing recommendable its reels even if you havent seen original if you want watch funny golf movie watch caddyshack or if youre desperate caddyshack ii if youve seen them both before then just fondly re watch them as your memories will be forever tainted if you what this shameful shallow remake,0.5608974358974359,0.125,Positive,"{'Happy': 0.12, 'Angry': 0.08, 'Surprise': 0.35, 'Sad': 0.19, 'Fear': 0.27}"
1.0,A great idea that is never lived up to,"I do love comedy, even starting to appreciate the less subtle blend, but Who's Your Caddy? just didn't work. I mean it did have a great idea with a relevant theme that a lot of people I think would identify with, but here's the problem, Who's Your Caddy? never lives up to it.The scenery is striking in a sense, but the editing in some scenes could've been tighter. The soundtrack was pleasant enough, but forgettable soon after.If there are any redeeming qualities it is the performances of James Avery and Terry Crews who put a lot of effort into their characters. By all means it was lovely to see Jeffrey Jones again but sadly he doesn't have much to work with.I don't mind in-your-face humour, but the in-your-face humour came so fast and was so outrageous a lot of the time. Also the racism jokes got too much after a while. Not to mention, I detected some sexism too, notably I agree with the film showing a woman's bum being slapped and actually encouraging it.The story is very predictable and unoriginal, if anything it often felt like it was ripping off Caddyshack, except Caddyshack's humour was much funnier, while the dialogue was weak and very demeaning. And did I mention that the film is riddled with stereotypes, I don't mind them when they are well incorporated but sadly they weren't here. I didn't care for any of the characters finding them either dull or annoying on the most part.I suppose though I would have cared for them more had the drama(a little too sappy for my tastes but a bit of a relief after a long time of forced and unfunny in-your-face humour) been introduced much earlier.All in all, a mess of a movie that doesn't make anything of its concept. 1/10 Bethany Cox",great idea that is never lived up,i do love comedy even starting appreciate less subtle blend but whos your caddy just didnt work i mean it did have great idea with relevant theme that lot people i think would identify with but heres problem whos your caddy never lives up it scenery is striking sense but editing some scenes couldve been tighter soundtrack was pleasant enough but forgettable soon after if there are any redeeming qualities it is performances james avery terry crews who put lot effort into their characters by all means it was lovely see jeffrey jones again but sadly he doesnt have much work with i dont mind your face humour but your face humour came so fast was so outrageous lot time also racism jokes got too much after while not mention i detected some sexism too notably i agree with film showing womans bum being slapped actually encouraging it story is very predictable unoriginal if anything it often felt like it was ripping off caddyshack except caddyshacks humour was much funnier while dialogue was weak very demeaning did i mention that film is riddled with stereotypes i dont mind them when they are well incorporated but sadly they werent here i didnt care any characters finding them either dull or annoying most part i suppose though i would have cared them more had drama little too sappy my tastes but bit relief after long time forced unfunny your face humour been introduced much earlier all all mess movie that doesnt make anything its concept 1 10 bethany cox,0.5339120370370369,0.03560185185185187,Positive,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.15, 'Sad': 0.36, 'Fear': 0.28}"
