Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,exceptionally well made,"Although I'm not the biggest Ingmar Bergman fan, I have really enjoyed some of his movies--especially the one that are not so pessimistic. Although the underlying theme of this movie is aging and impending death, the movie is NOT all pessimism. If it had been, it would have lost my interest early on. Instead, I really enjoyed the film--particularly the fine acting by Victor Sjöström as Professor Borg.The professor is well-respected for his work as a doctor. However, despite his success in his career, he is a failure in his personal relationships. His emotional baggage over the years has prevented him from allowing himself to be close to those he truly loves. This theme mirrors one of the subplots of Through a Glass Darkly, where a father is being destroyed inside by his daughter's mental illness but he CANNOT allow himself to show his anguish--choosing instead to hide in his room with his tears. It is interesting that the same man playing Borg's son (Gunnar Björnstrand) plays the father only a few years later in Through a Glass Darkly.Fortunately, unlike Through a Glass Darkly, there IS evidence that the professor is willing to change his persona, as he begins to open up more through the course of the movie. This appears to be assisted through extensive soul searching and dreams the professor has concerning his past and his own mortality--along with experiences he has during a long drive down the coast of Sweden. Because of this, even his extremely strained relationship with his son appears to hold some hope of improvement by the film's end. This hope for change lifts this movie above some Bergman films that only wallow in hopelessness.FYI--The Criterion version of this DVD is nice due to its running commentary as well as the accompanying documentary. Get this version if you have the chance.Also FYI--After watching many Bergman films and reading about his life, I detect quite a bit of autobiography in this film and his own stuggles with intimacy.",exceptionally well made,although im not biggest ingmar bergman fan i have really enjoyed some his movies especially one that are not so pessimistic although underlying theme this movie is aging impending death movie is not all pessimism if it had been it would have lost my interest early instead i really enjoyed film particularly fine acting by victor sj str m as professor borg professor is well respected his work as doctor however despite his success his career he is failure his personal relationships his emotional baggage over years has prevented him allowing himself be close those he truly loves this theme mirrors one subplots through glass darkly where father is being destroyed inside by his daughters mental illness but he cannot allow himself show his anguish choosing instead hide his room with his tears it is interesting that same man playing borgs son gunnar bj rnstrand plays father only few years later through glass darkly fortunately unlike through glass darkly there is evidence that professor is willing change his persona as he begins open up more through course movie this appears be assisted through extensive soul searching dreams professor has concerning his past his own mortality along with experiences he has during long drive down coast sweden because this even his extremely strained relationship with his son appears hold some hope improvement by films end this hope change lifts this movie above some bergman films that only wallow hopelessness fyi criterion version this dvd is nice due its running commentary as well as accompanying documentary get this version if you have chance also fyi after watching many bergman films reading about his life i detect quite bit autobiography this film his own stuggles with intimacy,0.4964506172839507,0.13364197530864194,Positive,"{'Happy': 0.21, 'Angry': 0.06, 'Surprise': 0.1, 'Sad': 0.27, 'Fear': 0.37}"
10.0,When film was an art form,"In this symbolic tale of an old man's journey from emotional isolation to a kind of personal renaissance, Ingmar Bergman explores in part his own past, and in doing so rewards us all with a tale of redemption and love.Victor Sjostrom, then 80 years old, stars as Professor Isak Borg whose self-indulgent cynicism has left him isolated from others. Sjostrom, whose work goes back to the very beginning of the Swedish cinema in the silent film era, both as an actor and as a director, gives a brilliant and compelling performance. All the action of the film takes place in a single day with flashbacks and dream sequences to Borg's past as Borg wakes and goes on a journey to receive a ""Jubilee Doctor"" degree from the University of Lund. Bergman wrote that the idea for the film came upon him when he asked the question, ""What if I could suddenly walk into my childhood?"" He then imagined a film ""about suddenly opening a door, emerging in reality, then turning a corner and entering another period of one's existence, and all the time the past is going on, alive.""Bibi Andersson plays both the Sara from Borg's childhood, the cousin he was to marry, and the hitchhiker Sara who with her two companions befriends him with warmth and affection. The key scene is when the ancient Borg in dreamscape comes upon the Sara of his childhood out gathering wild strawberries. Borg looks on (unnoticed of course) as his brother, the young Sigfrid, ravishes her with a kiss which she returns passionately; and, as the wild strawberries fall from her bowl onto her apron, staining it red, Borg experiences the pain of infidelity and heartbreak once again. Note that in English we speak of losing one's ""cherry""; here the strawberries symbolize emotionally much the same thing for Sara. Later on in the film as the redemption comes, the present day Sara calls out to Borg that it is he that she really loves, always and forever. Borg waves her away from the balcony, yet we are greatly moved by her love, and we know how touched he is.The two young men accompanying Sara can be seen as reincarnations of the serious and careful Isak Borg and the more carefree and daring Sigfrid. It is as though his life has returned to him as a theater in which the characters resemble those of his past; yet we are not clear in realizing whether the resemblance properly belongs in the old man's mind or is a synchronicity of time returned.Memorable is Ingrid Thulin who plays Mariana, the wife of Borg's son who accompanies him on the auto trip to Lund. She begins with frank bitterness toward the old man but ends with love for him; and again we are emotionally moved at the transformation. What Bergman does so very well in this film is to make us experience forgiveness and the transformation of the human spirit from the negative emotions of jealousy and a cold indifference that is close to hate, to the redemption that comes with love and a renewal of the human spirit. In quiet agreement with this, but with the edge of realism fully intact, is the scene near the end when Borg asks his long time housekeeper and cook if they might not call one another by their first names. She responses that even at her age, a woman has her reputation to consider. Such a gentle comeuppance meshes well with, and serves as a foil for, all that has gone on before on this magical day in an old man's life.See this for Bergman who was just then realizing his genius (The Seventh Seal was produced immediately before this film) and for Sjostrom who had the rare opportunity to return to film as an actor in a leading role many decades past him prime, and made the most of it with a flawless performance, his last major performance as he was to die three years later.(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon!)",when film was art form,this symbolic tale old mans journey emotional isolation kind personal renaissance ingmar bergman explores part his own past doing so rewards us all with tale redemption love victor sjostrom then 80 years old stars as professor isak borg whose self indulgent cynicism has left him isolated others sjostrom whose work goes back very beginning swedish cinema silent film era both as actor as director gives brilliant compelling performance all action film takes place single day with flashbacks dream sequences borgs past as borg wakes goes journey receive jubilee doctor degree university lund bergman wrote that idea film came upon him when he asked question what if i could suddenly walk into my childhood he then imagined film about suddenly opening door emerging reality then turning corner entering another period ones existence all time past is going alive bibi andersson plays both sara borgs childhood cousin he was marry hitchhiker sara who with her two companions befriends him with warmth affection key scene is when ancient borg dreamscape comes upon sara his childhood out gathering wild strawberries borg looks unnoticed course as his brother young sigfrid ravishes her with kiss which she returns passionately as wild strawberries fall her bowl onto her apron staining it red borg experiences pain infidelity heartbreak once again note that english we speak losing ones cherry here strawberries symbolize emotionally much same thing sara later film as redemption comes present day sara calls out borg that it is he that she really loves always forever borg waves her away balcony yet we are greatly moved by her love we know how touched he is two young men accompanying sara can be seen as reincarnations serious careful isak borg more carefree daring sigfrid it is as though his life has returned him as theater which characters resemble those his past yet we are not clear realizing whether resemblance properly belongs old mans mind or is synchronicity time returned memorable is ingrid thulin who plays mariana wife borgs son who accompanies him auto trip lund she begins with frank bitterness toward old man but ends with love him again we are emotionally moved at transformation what bergman does so very well this film is make us experience forgiveness transformation human spirit negative emotions jealousy cold indifference that is close hate redemption that comes with love renewal human spirit quiet agreement with this but with edge realism fully intact is scene near end when borg asks his long time housekeeper cook if they might not call one another by their first names she responses that even at her age woman has her reputation consider such gentle comeuppance meshes well with serves as foil all that has gone before this magical day old mans life see this bergman who was just then realizing his genius seventh seal was produced immediately before this film sjostrom who had rare opportunity return film as actor leading role many decades past him prime made most it with flawless performance his last major performance as he was die three years later note over 500 my movie reviews are now available my book cut chaise lounge or i cant believe i swallowed remote get it at amazon,0.42848759221998645,0.11067236753856471,Positive,"{'Happy': 0.17, 'Angry': 0.05, 'Surprise': 0.19, 'Sad': 0.26, 'Fear': 0.33}"
10.0,Stunning Bergman Masterpiece -- Maybe His Best?,"""Wild Strawberries"" profoundly moved me. The theme -- an old man coming up fast on death and wondering if his life has had any meaning -- is an old one for Bergman, and one which he explored ad nauseum throughout the subsequent decades. But here Bergman approaches the question with an uncharacteristic optimism and sense of hope. For once, he seems to come close to finding some peace with the unknowns of life that obviously preoccupied him as an artist, and the movie he gives us is sad but immensely warm; resigned but calm and reflective.An unequivocal masterpiece, and only one of a handful of Bergman films (""Persona"" and ""Cries and Whispers"" being two others) that don't drive me over the edge when I watch them now.Grade: A+",stunning bergman masterpiece maybe his best,wild strawberries profoundly moved me theme old man coming up fast death wondering if his life has had any meaning is old one bergman one which he explored ad nauseum throughout subsequent decades but here bergman approaches question with uncharacteristic optimism sense hope once he seems come close finding some peace with unknowns life that obviously preoccupied him as artist movie he gives us is sad but immensely warm resigned but calm reflective unequivocal masterpiece only one handful bergman films persona cries whispers being two others that dont drive me over edge when i watch them now grade,0.5846153846153845,0.19102564102564104,Positive,"{'Happy': 0.08, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.46}"
10.0,"One of Master's Most Optimistic, Profound, And Warmest Films.","I first saw ""Wild Strawberries"" many years ago at one of the special screenings in the small theater in Moscow. It was the first Bergman's film I ever saw. This picture is amazing in its emotional impact and in my opinion is one of Bergman's most optimistic, profound, and warm films.""Wild Strawberries"" provides sincere, intelligent, and emotional contemplations of life's disappointment, regrets, and losses. The main character, seventy-eight-year-old Professor Isak Borg is forced to see his life in a true and painful light, but he also would learn that there is hope.Sparkling cinematography by Gunnar Fisher and superb acting of Bergman's regulars  Ingrid Thulin, Bibi Anderson, Gunnar Bjornstrand, Max von Sydow and especially, the great silent film director, Victor Sjostrom as Professor Borg add to many delights of ""Wild Strawberries"" which also include Bergman's writing/directing with his famous mixing of conscious and unconscious, dreams and reality, the past and the present in the same scene.",one masters most optimistic profound warmest films,i first saw wild strawberries many years ago at one special screenings small theater moscow it was first bergmans film i ever saw this picture is amazing its emotional impact my opinion is one bergmans most optimistic profound warm films wild strawberries provides sincere intelligent emotional contemplations lifes disappointment regrets losses main character seventy eight year old professor isak borg is forced see his life true painful light but he also would learn that there is hope sparkling cinematography by gunnar fisher superb acting bergmans regulars ingrid thulin bibi anderson gunnar bjornstrand max von sydow especially great silent film director victor sjostrom as professor borg add many delights wild strawberries which also include bergmans writing directing with his famous mixing conscious unconscious dreams reality past present same scene,0.5165674603174603,0.20112433862433862,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.27, 'Sad': 0.23, 'Fear': 0.35}"
10.0,A cathartic viewing experience,"I'd seen ""Wild Strawberries"" as a college freshman when it was first released, and knew right away I'd be a Bergman fan from then on. I watched it again just last night, January 2004, at age 63, and needless to say got a whole different perspective on the film. Where the surrealist touches, moody photography, and incredibly smooth direction had made the big hit with me as a near boy, as an aging man I found myself--I hesitate to say painfully, but...well, closely--identifying with old Isak Borg in his strange pilgrimage, both interior and exterior, the day he receives his honorary degree at the cathedral in Lund.In the last twenty minutes or so of the movie, I found tears running down my face, not from any thrilling sentimental browbeating (I doubt if Mr. Bergman shot five seconds' worth of sentimentality in his whole long career!) but simply from the cumulative emotional impact of this simple, powerful story and its probing revelation of human character, desire, and chagrin. By the time the film ended, I felt wrung out, disoriented, happy and deeply sad at the same time: it's the experience the Greeks wanted their tragedies to convey to the spectator; they spoke of ""katharsis."" I experienced it firsthand when I had the great good fortune to see a production (in English) of ""Medea."" I walked away in tears and scarcely able to think straight for an hour or so. The same thing happened with ""Wild Strawberries."" This is one of the handful of films I unhesitatingly rate a ""ten.""A side note: I watched the Criterion Collection DVD. Before the film itself, I watched the hour-long interview conducted in 1998 by Jorn Donner included on the disc. It was remarkable to see how the film Bergman shot ca. 1957 contains many elements that were to be present in his later life--like a foreshadowing of his own old age.",cathartic viewing experience,id seen wild strawberries as college freshman when it was first released knew right away id be bergman fan then i watched it again just last night january 2004 at age 63 needless say got whole different perspective film where surrealist touches moody photography incredibly smooth direction had made big hit with me as near boy as aging man i found myself i hesitate say painfully but well closely identifying with old isak borg his strange pilgrimage both interior exterior day he receives his honorary degree at cathedral lund last twenty minutes or so movie i found tears running down my face not any thrilling sentimental browbeating i doubt if mr bergman shot five seconds worth sentimentality his whole long career but simply cumulative emotional impact this simple powerful story its probing revelation human character desire chagrin by time film ended i felt wrung out disoriented happy deeply sad at same time its experience greeks wanted their tragedies convey spectator they spoke katharsis i experienced it firsthand when i had great good fortune see production english medea i walked away tears scarcely able think straight hour or so same thing happened with wild strawberries this is one handful films i unhesitatingly rate ten side note i watched criterion collection dvd before film itself i watched hour long interview conducted 1998 by jorn donner included disc it was remarkable see how film bergman shot ca 1957 contains many elements that were be present his later life like foreshadowing his own old age,0.45956790123456787,0.137336860670194,Positive,"{'Happy': 0.12, 'Angry': 0.15, 'Surprise': 0.2, 'Sad': 0.27, 'Fear': 0.27}"
8.0,One last time around the strawberry patch.,"(Slight Spoilers) A man's life journey is all seen through a number of dreams and hallucinations on his trip, some 400 miles, to the town of Lund where he's to receive a lifetime achievement award for his 50 or so years of service to his fellow man as a doctor and a professor of medicine at his alma mater the Cathedral of Lund.Disturbed by a dream he had the night before Isak Borg decides to take a ride by car, not plane, to Lund for a ceremony thats to be in his honor for his work as a man of medicine. Isak's maid for some 40 years Agda is very upset with her boss' and good friends decision and decides to stay at home, she'll eventually show up at the ceremony, feeling that the old man has somehow lost control of his senses. It turns out that the long car trip together with his daughter-in-law Marianne was one of the best decision that he made in his long life, Isak is 78 years old. The trip that Isak takes will bring back past memories that he so desperately tried to hide from himself. That past will in effect make him not only a better person but bring back the feeling of humanity that he lost not only for himself over these long and empty years. Not only for Isak but for those close to him whom he more or less also lost contact with. Isak,in both his dreams and memories, is seen as a man who is unable to show any real feelings for those around and close to him in the fear of either being rejected as well as showing himself to be hurt by their negative responses.This defect in Isak personality has cost him the love of his life Sara when he was a young man who rejected him for his handsome and openly aggressive older brother Sigfried. We also see that Isak's marriage to his wife, who had long since passed away, Karin was anything but happy with her disgusted with his inability to show her any real feelings and emotions as a husband. Were also shown, in one of Isak's dreams, that she had an affair with another man Ake Fridell, who was anything but passive with her like her husband Isak was, some 40 years ago behind his back. That may have possibly resulted in the birth of his only child his son, who's also a doctor, Evald Marriane's husband.Seeing his 96 year-old mother on his way to Lund we see in her the same human defect that he has in that all of her ten children, who with the exception of Isak are now deceased, never bothered to visit her in her old age. The only time that they had anything to do with her was when they wanted money from the old lady. This coldness and inability to have any attachment to her children is shown not only in both Isak and his mother but in his son Evald who's so disgusted with life and what it had to offer him, like a beautiful and caring wife like Marianne. Evald threatened to walk out on Marianne when after he found out of her being pregnant, I guess by him, she refused his demand of her getting an abortion.Isak is helped on his long trip to Lund not only by Marianne but a number of people they meet and in some cases give a ride along the way. This included a young girl and two of her friend going on a trip to Italy ironically named Sara, a virtual twin of the Sara that he loved and lost as a young man. Later Sara together with Anders and Victor who later as a singing group serenade a surprised and grateful, to the point of tears, Isak after he received his award. Meeting among others along the way to far flung Lund a bickering couple Mr. & Mrs. Alman, who almost had Isak and his passengers killed in a head-on car crash. Isak also met a gas station attendant, Henrik, who was so impressed and grateful by what he did for him and his wife in the past , delivered their first child, that he refused to get paid for filling up Isak's gas-tank.By the time Isak got to Lund and received his lifetime achievement award to the attendance and cheering of the entire town he not only realized all the good that he did as a man of medicine all these years but also all the hurt that he gave to others, if unintentional. With the little time that he has left, Isak was to pass away three years later at the age of 81, Isak is determined to make up for it.Sweet touching yet simple little film about one man's journey back in time who sees how he missed out on the many wonderful things that life had to offer him by being blind to them. Now given a second chance Isak would try as best as he can to both re-live and at the same time correct his past mistakes.",one last time around strawberry patch,slight spoilers mans life journey is all seen through number dreams hallucinations his trip some 400 miles town lund where hes receive lifetime achievement award his 50 or so years service his fellow man as doctor professor medicine at his alma mater cathedral lund disturbed by dream he had night before isak borg decides take ride by car not plane lund ceremony thats be his honor his work as man medicine isaks maid some 40 years agda is very upset with her boss good friends decision decides stay at home shell eventually show up at ceremony feeling that old man has somehow lost control his senses it turns out that long car trip together with his daughter law marianne was one best decision that he made his long life isak is 78 years old trip that isak takes will bring back past memories that he so desperately tried hide himself that past will effect make him not only better person but bring back feeling humanity that he lost not only himself over these long empty years not only isak but those close him whom he more or less also lost contact with isak both his dreams memories is seen as man who is unable show any real feelings those around close him fear either being rejected as well as showing himself be hurt by their negative responses this defect isak personality has cost him love his life sara when he was young man who rejected him his handsome openly aggressive older brother sigfried we also see that isaks marriage his wife who had long since passed away karin was anything but happy with her disgusted with his inability show her any real feelings emotions as husband were also shown one isaks dreams that she had affair with another man ake fridell who was anything but passive with her like her husband isak was some 40 years ago behind his back that may have possibly resulted birth his only child his son whos also doctor evald marrianes husband seeing his 96 year old mother his way lund we see her same human defect that he has that all her ten children who with exception isak are now deceased never bothered visit her her old age only time that they had anything do with her was when they wanted money old lady this coldness inability have any attachment her children is shown not only both isak his mother but his son evald whos so disgusted with life what it had offer him like beautiful caring wife like marianne evald threatened walk out marianne when after he found out her being pregnant i guess by him she refused his demand her getting abortion isak is helped his long trip lund not only by marianne but number people they meet some cases give ride along way this included young girl two her friend going trip italy ironically named sara virtual twin sara that he loved lost as young man later sara together with anders victor who later as singing group serenade surprised grateful point tears isak after he received his award meeting among others along way far flung lund bickering couple mr mrs alman who almost had isak his passengers killed head car crash isak also met gas station attendant henrik who was so impressed grateful by what he did him his wife past delivered their first child that he refused get paid filling up isaks gas tank by time isak got lund received his lifetime achievement award attendance cheering entire town he not only realized all good that he did as man medicine all these years but also all hurt that he gave others if unintentional with little time that he has left isak was pass away three years later at age 81 isak is determined make up it sweet touching yet simple little film about one mans journey back time who sees how he missed out many wonderful things that life had offer him by being blind them now given second chance isak would try as best as he can both re live at same time correct his past mistakes,0.47335946573751436,0.08814671101256469,Positive,"{'Happy': 0.13, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.28, 'Fear': 0.31}"
10.0,The only reality,"A gorgeous movie about memory and hope. A trip and a form of catharsis. It is not a story of an old man who discovers images of his past, about a marital crisis or some teenagers. It is not a confession. It is a mirror. The same crisis is the ""gift"" of everybody. The same silence, fear and desire are the refuge of a man, a woman, a n American or Irakian. At a moment, at a single moment, you discover your past like only reality. Like your real skin, your only voice, your essential eye. It is not strange. We are the fruits of some experiences. Some books, some people, a family, a child or a wife are the Ganymedes of our hours, our evolution, our death. Our freedom, our gestures, our smile are the trees of their presence. Isak Borg is the image of a age. Our age who grow-up in the noise of every day. The isolation is only way to be yourself. The way to Lund, the relation with Agda, the empty attitude, the projection in Evald, the words are the symbols of a clock who is seed of our conscience. Childhood is only reality of our life.",only reality,gorgeous movie about memory hope trip form catharsis it is not story old man who discovers images his past about marital crisis or some teenagers it is not confession it is mirror same crisis is gift everybody same silence fear desire are refuge man woman n american or irakian at moment at single moment you discover your past like only reality like your real skin your only voice your essential eye it is not strange we are fruits some experiences some books some people family child or wife are ganymedes our hours our evolution our death our freedom our gestures our smile are trees their presence isak borg is image age our age who grow up noise every day isolation is only way be yourself way lund relation with agda empty attitude projection evald words are symbols clock who is seed our conscience childhood is only reality our life,0.46746031746031746,0.03630952380952381,Positive,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.14, 'Sad': 0.21, 'Fear': 0.43}"
,One of Bergman's greatest achievements,"Wild Strawberries can be praised for so many reasons, but chief among them in my own mind is the way in which the film so perfectly conveys its themes of self-examination and the contemplation of one's own mortality (particularly through its stunning use of flashbacks). Bergman's autobiographical story also benefits from the brilliant casting of Swedish film legend Victor Sjostrom as Isak Borg, whose towering performance is essential to the success of Wild Strawberries. I read that Bergman based the coffin dream sequence on a frequent nightmare that he had -- and it never ceases to amaze me just how effective it remains even after all these years. Wild Strawberries seems like a quiet, thoughtful, introsepective movie -- and it is; it is also one of world cinema's most impressive motion pictures.",one bergmans greatest achievements,wild strawberries can be praised so many reasons but chief among them my own mind is way which film so perfectly conveys its themes self examination contemplation ones own mortality particularly through its stunning use flashbacks bergmans autobiographical story also benefits brilliant casting swedish film legend victor sjostrom as isak borg whose towering performance is essential success wild strawberries i read that bergman based coffin dream sequence frequent nightmare that he had it never ceases amaze me just how effective it remains even after all these years wild strawberries seems like quiet thoughtful introsepective movie it is it is also one world cinemas most impressive motion pictures,0.5883333333333335,0.42333333333333323,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.18, 'Sad': 0.41, 'Fear': 0.24}"
8.0,Bergman knows how to make you think.,"Bergman has been seen by many as being a depressing film makes, who speaks above the heads of most people. Thank God someone does! In this piece of genius, we are asked to consider who God is; what makes a life worthwhile; and whether human nature alters through the generations, or is it just the costumes that change? As usual, the answers are to be provided by the audience. We must chose for ourselves what we think is 'right' or 'just'. Bergman uses the usual pattern for him - a man is on a journey (life) and meets people who are going along the same road (friends and family), and they all head toward the end of their trip (death). They stop in for obligatory visits with relatives and for food (as we all do), receive an honourary degree (fame & success?), and then send the children off to a party held in our honour that we do not attend (funeral). What happens along the way is important, but we always end up in the same place - the end. Wonderful editing techniques, good story, good images, fantastic acting, and more ideas and questions to ponder than one film can hold - or so you thought. It's only after the film ends that these ponderings come to you. During the film, you simply watch a man travel from his home to another city, but this is far from what the film is about. See this film once, think about the questions it poses, then rewind and see it again. You will be rewarded for doing so.",bergman knows how make you think,bergman has been seen by many as being depressing film makes who speaks above heads most people thank god someone does this piece genius we are asked consider who god is what makes life worthwhile whether human nature alters through generations or is it just costumes that change as usual answers are be provided by audience we must chose ourselves what we think is right or just bergman uses usual pattern him man is journey life meets people who are going along same road friends family they all head toward end their trip death they stop obligatory visits with relatives food as we all do receive honourary degree fame success then send children off party held our honour that we do not attend funeral what happens along way is important but we always end up same place end wonderful editing techniques good story good images fantastic acting more ideas questions ponder than one film can hold or so you thought its only after film ends that these ponderings come you during film you simply watch man travel his home another city but this is far what film is about see this film once think about questions it poses then rewind see it again you will be rewarded doing so,0.4928571428571429,0.21753246753246752,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.18, 'Fear': 0.45}"
9.0,A Magnificent Film,"There are moments in Ingmar Bergman's Wild Strawberries where you become so enthralled by an image that you want to dwell on it, until you realize that there are so many such moments that to do so would be to stop at practically every scene in the film. The sheer technical and visual skill that Bergman shows here is unsurprising, insofar as we ought to expect this from him, but it is dazzling, even when it is displayed in a film that, on the surface, has a rather tame premise. An old man, Professor Isak Borg (played to perfection by Victor Sjöström), is driving to Lund, where he is to be honoured. His son's wife, and three spirited young people, two men and a woman, accompany him. They also pick up an utterly depressed couple along the way, only to drop them off when they begin to fight. Interspersed with the present actions are the old man's dreams, and flashbacks to his youth.Out of this material, Bergman crafts a wonderful and touching film about redemption. There is always a tendency to marvel at how an atheist like Bergman can be so deeply involved with religious issues, but many atheists, of course, are atheists precisely as a result of such deep involvement. I don't know enough about Bergman's views on religion to comment on his attitude towards God and religion beyond the basics. What is important, at any rate, is that this film is one in which an old man is redeemed from a miserably lonely and empty existence through contact with others. This is a deeply humanistic view of redemption, and one which is firmly grounded in reality.The film begins with the professor telling us that he has distanced himself from others, because he has shunned human relationships. This has left him feeling empty and alone. The man we see seems nice enough, until we learn from his son's wife, who speaks frankly to him, how this self-imposed exilic state has rendered him selfish and aloof. Through flashbacks and the dream sequences, we learn enough about his life to chart his progress: when young, the girl he loved, Sara, chose his brother over him. The professor married, but the marriage was a bad one; his wife cheated on him, but it apparently did nothing for him. To her, as she states in one of the dream sequences, he was "" cold as ice"". The professor, therefore, is old, lonely, and has an empty existence.How does one find oneself out of that miserable situation? There are three means through which the old man is redeemed. Firstly, the dream sequences serve to warn him of death, which, considering that the man is 78, could come any day. The dream sequences also point out to him just how detached he is from other human beings. In a fantastic scene, he is given a test, which he fails. The point is clear enough: he might be a professor and doctor, but that is nothing if he does not have an understanding of human beings, their emotions and feelings. Secondly, the flashbacks serve to remind him of a time when he was connected with others, as well as of times when he was disconnected from his wife and others. The beautiful scenes of his childhood are marvelously retold, with everyone well dressed in white, and the entire family engaging with each other. Only he is absent, standing in the dark at the threshold, an old man staring at the happy ghosts of the past mingling before him. Lastly, the three young people the professor meets, especially the wonderful Sonia, connect with him on a deeply emotional and innocent level. The girl looks like, and has the same name as, the Sonia who rejected the professor in favour of his brother when he was young. You can interpret this in any way you like, but I think it's obvious that we see here a kind of second chance. In the car, the professor asks Sonia which of the two young men she likes the most. She does not answer firmly. At the end of the film, as the three bid him goodbye, she tells the professor that she loves him the most of all. He brushes it off, but once he gets in bed, there is a great smile on his face. The smile no doubt is a reaction to the whole day's events, but I'm certain that one big reason for his happiness at the end is that Sonia finally chose him, after having rejected him so long ago.What is the overall message of this film? As with all great films, there is no one right answer. What is certain, however, is that Bergman gives us a view of the world that is neither wholly pessimistic nor wholly optimistic, because it is so painfully real. The characters in this film have been bruised. They are broken, and seek a way out of their situation. There is no indication in the film that Bergman suggests that a solution will solve all the problems. Rather, any change for the better can only come once we engage with the past. Through an understanding of our past and our self, we can add a new sense of our self to what the past given. If we can achieve that, through whatever means necessary, then we can be redeemed. In fact, that understanding of ourselves is itself a kind of redemption. Bergman's world is one in which hope is always possible. It can happen to an unsuspecting 78 year old man, and it can happen to us. It is never too late. Every day in our life is a new chance to make something better of ourselves.A+",magnificent film,there are moments ingmar bergmans wild strawberries where you become so enthralled by image that you want dwell it until you realize that there are so many such moments that do so would be stop at practically every scene film sheer technical visual skill that bergman shows here is unsurprising insofar as we ought expect this him but it is dazzling even when it is displayed film that surface has rather tame premise old man professor isak borg played perfection by victor sj str m is driving lund where he is be honoured his sons wife three spirited young people two men woman accompany him they also pick up utterly depressed couple along way only drop them off when they begin fight interspersed with present actions are old mans dreams flashbacks his youth out this material bergman crafts wonderful touching film about redemption there is always tendency marvel at how atheist like bergman can be so deeply involved with religious issues but many atheists course are atheists precisely as result such deep involvement i dont know enough about bergmans views religion comment his attitude towards god religion beyond basics what is important at any rate is that this film is one which old man is redeemed miserably lonely empty existence through contact with others this is deeply humanistic view redemption one which is firmly grounded reality film begins with professor telling us that he has distanced himself others because he has shunned human relationships this has left him feeling empty alone man we see seems nice enough until we learn his sons wife who speaks frankly him how this self imposed exilic state has rendered him selfish aloof through flashbacks dream sequences we learn enough about his life chart his progress when young girl he loved sara chose his brother over him professor married but marriage was bad one his wife cheated him but it apparently did nothing him her as she states one dream sequences he was cold as ice professor therefore is old lonely has empty existence how does one find oneself out that miserable situation there are three means through which old man is redeemed firstly dream sequences serve warn him death which considering that man is 78 could come any day dream sequences also point out him just how detached he is other human beings fantastic scene he is given test which he fails point is clear enough he might be professor doctor but that is nothing if he does not have understanding human beings their emotions feelings secondly flashbacks serve remind him time when he was connected with others as well as times when he was disconnected his wife others beautiful scenes his childhood are marvelously retold with everyone well dressed white entire family engaging with each other only he is absent standing dark at threshold old man staring at happy ghosts past mingling before him lastly three young people professor meets especially wonderful sonia connect with him deeply emotional innocent level girl looks like has same name as sonia who rejected professor favour his brother when he was young you can interpret this any way you like but i think its obvious that we see here kind second chance car professor asks sonia which two young men she likes most she does not answer firmly at end film as three bid him goodbye she tells professor that she loves him most all he brushes it off but once he gets bed there is great smile his face smile no doubt is reaction whole days events but im certain that one big reason his happiness at end is that sonia finally chose him after having rejected him so long ago what is overall message this film as with all great films there is no one right answer what is certain however is that bergman gives us view world that is neither wholly pessimistic nor wholly optimistic because it is so painfully real characters this film have been bruised they are broken seek way out their situation there is no indication film that bergman suggests that solution will solve all problems rather any change better can only come once we engage with past through understanding our past our self we can add new sense our self what past given if we can achieve that through whatever means necessary then we can be redeemed fact that understanding ourselves is itself kind redemption bergmans world is one which hope is always possible it can happen unsuspecting 78 year old man it can happen us it is never too late every day our life is new chance make something better ourselves,0.5009399009399009,0.13216528216528214,Positive,"{'Happy': 0.15, 'Angry': 0.01, 'Surprise': 0.19, 'Sad': 0.29, 'Fear': 0.36}"
