Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,Nice old-fashioned horror-flick with some hefty gore.,"I liked it. It's a nice old-fashioned (flawlessly 70's styled) slasher horror-flick, with a fairly original premise. As in any comparable horror movie the motives for the killings are pretty farfetched, but who cares, when they are pictured so relentlessley gruesome, the gore here is definitely not for the tender-hearted. Another strong point is how the movie very gradually builds up the tension, this is a real slow burner, the apprehension of looming doom is palpable throughout the movie. This is helped by a strong direction, a very clever and inventive editing, and some great photography, see for instance the scene of one of the girls swimming in the lake, while... well, I won't give it away, but it's beautiful and hair-raisingly scary at the same time!Add to all this some very funny dialogues and goings-on at the start, and you're in for a well made, old-school horror flick, maybe not life-changing but absolutely entertaining for those who can apprciate this kind of movie (like me!).",nice old fashioned horror flick with some hefty gore,i liked it its nice old fashioned flawlessly 70s styled slasher horror flick with fairly original premise as any comparable horror movie motives killings are pretty farfetched but who cares when they are pictured so relentlessley gruesome gore here is definitely not tender hearted another strong point is how movie very gradually builds up tension this is real slow burner apprehension looming doom is palpable throughout movie this is helped by strong direction very clever inventive editing some great photography see instance scene one girls swimming lake while well i wont give it away but its beautiful hair raisingly scary at same time add all this some very funny dialogues goings at start youre well made old school horror flick maybe not life changing but absolutely entertaining those who can apprciate this kind movie like me,0.7196666666666666,0.26533333333333325,Positive,"{'Happy': 0.26, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.15, 'Fear': 0.24}"
,Ti West's exploitation mash-up,"Ti West's movie really should have been called ""E"" for elevated. It sets itself up as a smart take on the slasher films of the 70s and early 80s. As a bonus, the film within a film has the filmmakers making an 'elevated' porn flick (as a bonus, actor Owen Campbell who plays the ""Director"" even looks a bit like Director Tobe Hooper).Quite consciously taking it's set up from Tobe Hooper's 1974 TEXAS CHAINSAW MASSACRE, X has a group of randy pornographers renting a farmhouse from an elderly couple in the middle of nowhere in Texas (actually New Zealand). Writer-Director West's main idea here is to set up a contrast between the XXX filmmakers and the bible thumping civilians of the area. It's not an uninteresting idea, which, of course, plays off the the puritanical cliche in the slasher films of yore where the most sexually active characters are the most likely to g et killed off. In addition to MASSACRE, West includes nods to FRIDAY THE 13TH, Hooper's EATEN ALIVE and a very specific one to HALLOWEEN. X is set about 5 years after MASSACRE so that it can include a brief exchange about how home video will change the porno industry (adult films were already available on VHS for about 3 years).The movie is very well directed, with savvy use of cross-cutting between the porn film in the making and the terrors that await the group. Mia Goth (in a dual role; actually a triple if you stay after the credits) and Brittany Snow are the two pornstars to be and each dive in with relish. Kid Cudi is the cocky stud, while Martin Henderson is solid as the confidant Producer. Jenna Ortega is the ""crew"" all by her lonesome (she manages to keep her clothes on - must have a better agent). Stephen Ure is the ornery old man who rents out his guest house.As good as the filmmaking is, X ends up feeling too studied. The pacing is lugubrious even if it picks up towards the very end. Once the massacre begins (if not by power tools) it still ends up being fairly typical of the films it's commenting on, regardless of how well executed and 'elevated' it thinks it is. It's also too drawn out to satisfy some gore-hounds and once the blood starts flowing, probably too gross for the internet scribes dreaming of doing extended online essays dissecting it for it's elevated intellect. There are a couple of twists, but they aren't sufficient enough to compensate for the predictability.In the end, it's not as clever as West thinks it is, and despite some good Directing chops and acting, it's simply too self-conscious to be much of a fun thrill ride.",ti wests exploitation mash up,ti wests movie really should have been called e elevated it sets itself up as smart take slasher films 70s early 80s as bonus film within film has filmmakers making elevated porn flick as bonus actor owen campbell who plays director even looks bit like director tobe hooper quite consciously taking its set up tobe hoopers 1974 texas chainsaw massacre x has group randy pornographers renting farmhouse elderly couple middle nowhere texas actually new zealand writer director wests main idea here is set up contrast between xxx filmmakers bible thumping civilians area its not uninteresting idea which course plays off puritanical cliche slasher films yore where most sexually active characters are most likely g et killed off addition massacre west includes nods friday 13th hoopers eaten alive very specific one halloween x is set about 5 years after massacre so that it can include brief exchange about how home video will change porno industry adult films were already available vhs about 3 years movie is very well directed with savvy use cross cutting between porn film making terrors that await group mia goth dual role actually triple if you stay after credits brittany snow are two pornstars be each dive with relish kid cudi is cocky stud while martin henderson is solid as confidant producer jenna ortega is crew all by her lonesome she manages keep her clothes must have better agent stephen ure is ornery old man who rents out his guest house as good as filmmaking is x ends up feeling too studied pacing is lugubrious even if it picks up towards very end once massacre begins if not by power tools it still ends up being fairly typical films its commenting regardless how well executed elevated it thinks it is its also too drawn out satisfy some gore hounds once blood starts flowing probably too gross internet scribes dreaming doing extended online essays dissecting it its elevated intellect there are couple twists but they arent sufficient enough compensate predictability end its not as clever as west thinks it is despite some good directing chops acting its simply too self conscious be much fun thrill ride,0.3788390663390663,0.11308061308061311,Positive,"{'Happy': 0.1, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.16, 'Fear': 0.39}"
3.0,What a great disappointment ...,"My expectations were quite high for this film ... After watching it , I just don't understand what's all the hype is about ? To call it mediocre is to make a compliment ! Slow , predictable , not very clever horror , which is not even a horror , just an unrealistic portrayal of mayhem based on sex... Highly not recommended !",what great disappointment,my expectations were quite high this film after watching it i just dont understand whats all hype is about call it mediocre is make compliment slow predictable not very clever horror which is not even horror just unrealistic portrayal mayhem based sex highly not recommended,0.6412250712250711,-0.14267806267806268,Negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.22}"
5.0,Overhyped. Doesn't live up to A24 other films.,"While I knew this film was presented as a slasher film going in, I had better expectations given it was an A24 Studios film. Despite some of the famous names in the cast, I wouldn't consider it good. Probably my least favorite from the A24 films. The film is made in the cinematography style of classic 1970s slasher films, but it holds back on the brutality with the females. I really wished A24 was above PC culture.True 70s slasher/horror films were very brutal with both genders but not this one except perhaps with the old woman/zomb-et at the end.I was hoping at least a slightly smarter screenplay given it is A24, but disappointingly no. Mia Goth was probably the only likable character in the film. But I feel the special effects people overdid the prosthetics with the old couple. They resemble zombie monsters far more than the elderly. They could have placed a real elderly couple in there instead. Yes, the film does have some gore and blood but its predominately a very tame film. The worst of it all is a disembowel cow hit by a truck on the highway. It's not even part of the main story and we also see the aftermath of the accident.I don't feel the film deserves to be elevated because of the technical production. Authentic 1970s low budget B films were not technically sophisticated in camera work and lighting. The fancy lighting and best cinematographers of the time were reserved for mainstream big studio films and not low budget horror. With today's pre-fab software plugins templates for adobe software, copying the style wasn't an Einstein endeavor. Had this film been made by any other no name production studio, it would have been relegated into another Netflix Original category and not given accolades. The recent Netflix Texas Chainsaw original from 2022 is just as good a film as this one minus the famous actors.",overhyped doesnt live up a24 other films,while i knew this film was presented as slasher film going i had better expectations given it was a24 studios film despite some famous names cast i wouldnt consider it good probably my least favorite a24 films film is made cinematography style classic 1970s slasher films but it holds back brutality with females i really wished a24 was above pc culture true 70s slasher horror films were very brutal with both genders but not this one except perhaps with old woman zomb et at end i was hoping at least slightly smarter screenplay given it is a24 but disappointingly no mia goth was probably only likable character film but i feel special effects people overdid prosthetics with old couple they resemble zombie monsters far more than elderly they could have placed real elderly couple there instead yes film does have some gore blood but its predominately very tame film worst it all is disembowel cow hit by truck highway its not even part main story we also see aftermath accident i dont feel film deserves be elevated because technical production authentic 1970s low budget b films were not technically sophisticated camera work lighting fancy lighting best cinematographers time were reserved mainstream big studio films not low budget horror with todays pre fab software plugins templates adobe software copying style wasnt einstein endeavor had this film been made by any other no name production studio it would have been relegated into another netflix original category not given accolades recent netflix texas chainsaw original 2022 is just as good film as this one minus famous actors,0.4877721088435376,0.12012317048031336,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.21, 'Sad': 0.23, 'Fear': 0.37}"
5.0,X,"5/10 - while it was nice to see Brittany Snow on the big screen again after the Pitch Perfect movies and it continued Jenna Ortega's Hollywood takeover, this utterly bizarre, inconsistent, and incomplete attempt at a ""sexy slasher"" starts off strong but a few moments aside, becomes utterly laughable in the last 45 minutes.",x,5 10 while it was nice see brittany snow big screen again after pitch perfect movies it continued jenna ortegas hollywood takeover this utterly bizarre inconsistent incomplete attempt at sexy slasher starts off strong but few moments aside becomes utterly laughable last 45 minutes,0.6222222222222222,0.24814814814814812,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.4, 'Fear': 0.2}"
8.0,One F$#@^& Up Horror Movie,"I saw X, starring Mia Goth-Suspiria, Everest; Jenna Ortega-Scream_2022, Iron Man 3; Brittany Snow-the Pitch Perfect movies, John Tucker Must Die; Martin Henderson-Grey's Anatomy_tv, Everest and Kid Cudi-Don't Look Up, Need For Speed.This movie is-in the words of one of the characters-one F$#@^& up horror movie. I will say, it is original. It takes place in 1979 Texas-it was actually filmed in New Zealand-where a group of young filmmakers go to a rural farmhouse to make an adult movie. Martin is the producer that rents the farm location and Mia, Brittany and Kid are the films' stars-and yes, there is graphic nudity. Jenna is handling the equipment behind the camera. One of the first things you notice is that there is something odd about the old couple that own the farm, especially the old woman. Slowly, things become clear about the intentions of both of the farm owners and it gets bloody violent. FYI: Don't leave until after the end credits because there is a scene you do not want to miss and I read that the sequel-actually a prequel-will be out later this year.It's rated R for bloody violence and gore, drug use, language and sexual content-including nudity-and has a running time of 1 hour & 45 minutes.I loved this horror film and I would buy it on Blu_Ray.",one f up horror movie,i saw x starring mia goth suspiria everest jenna ortega scream 2022 iron man 3 brittany snow pitch perfect movies john tucker must die martin henderson greys anatomy tv everest kid cudi dont look up need speed this movie is words one characters one f up horror movie i will say it is original it takes place 1979 texas it was actually filmed new zealand where group young filmmakers go rural farmhouse make adult movie martin is producer that rents farm location mia brittany kid are films stars yes there is graphic nudity jenna is handling equipment behind camera one first things you notice is that there is something odd about old couple that own farm especially old woman slowly things become clear about intentions both farm owners it gets bloody violent fyi dont leave until after end credits because there is scene you do not want miss i read that sequel actually prequel will be out later this year its rated r bloody violence gore drug use language sexual content including nudity has running time 1 hour 45 minutes i loved this horror film i would buy it blu ray,0.5045454545454546,0.03889986824769433,Positive,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.22}"
7.0,Really strange horror film,"In 1979 a bunch of young filmmakers set out to rural Teaxas to film a porno film. They rent a cabin in the middle of nowhere from an old guy. They begin filming but the old guy and his wife have other plans. Soon the young people are fighting for their lives.This is a very odd film. It's a solid hour before any horror kicks in but when it does it's VERY bloody, gruesome and pretty sick. However it is well-done, the acting is good and there is plenty of female and male frontal nudity. Also I love how the opening and closing credits look like they came off an old porno flick! Worth a look but the buildup to the blood and guts is kind of slow.",really strange horror film,1979 bunch young filmmakers set out rural teaxas film porno film they rent cabin middle nowhere old guy they begin filming but old guy his wife have other plans soon young people are fighting their lives this is very odd film its solid hour before any horror kicks but when it does its very bloody gruesome pretty sick however it is well done acting is good there is plenty female male frontal nudity also i love how opening closing credits look like they came off old porno flick worth look but buildup blood guts is kind slow,0.39451345755693584,-0.024171842650103526,Negative,"{'Happy': 0.28, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.22}"
2.0,What a pile of Sxxx!,Boring. Pointless. Unrealistic (old people who can barely stand upright are somehow capable of killing a group of young adults!!!). Can't believe people are rating this movie so highly!!!,what pile sxxx,boring pointless unrealistic old people who can barely stand upright are somehow capable killing group young adults cant believe people are rating this movie so highly,0.5175,-0.1425,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.5}"
4.0,If Takashi Miike did Southern Hospitality...,"... there'd be plenty of flesh and gore and comical carnage to see, with disfigured torsos, extreme loss of blood flow, and attempts to escape but not being able to quite flee.... and it would be better than this.",if takashi miike did southern hospitality,thered be plenty flesh gore comical carnage see with disfigured torsos extreme loss blood flow attempts escape but not being able quite flee it would be better than this,0.625,0.275,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.0, 'Fear': 0.8}"
1.0,Another fake horror movie,"Instead of getting a horror movie of the 70's, you watch a group of junkies going to make a porn movie on a farm, which turns out to be nothing but a long drawn out build-up, before they get wiped out but one. Some people call it a slow burner, but they're wrong, it doesn't even get lit.",another fake horror movie,instead getting horror movie 70s you watch group junkies going make porn movie farm which turns out be nothing but long drawn out build up before they get wiped out but one some people call it slow burner but theyre wrong it doesnt even get lit,0.6749999999999999,-0.3375,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.15, 'Fear': 0.38}"
