Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Forget Disney! We have movies like Your Name.,"Your Name is just a good movie. This movie felt long, but not too long. All the way through, I was asking what would happen next. It was clever, emotional, and left me crying after the movie. The twist was done really well, and I almost wanted to pause the movie. Also, the animation is gorgeous. You get to see detailed images from many angles and perspectives, and there were hundreds of animators! The credits didn't start out with the cast like it usually would. The first thing you saw after a black screen was hundreds of names of animators and designers. I watched this movie again and I still felt my muscles ready to let tears out. I would not recommend this movie any less than the next guy, so what are you waiting for? Get a couple of friends and watch Your Name!",forget disney we have movies like your name,your name is just good movie this movie felt long but not too long all way through i was asking what would happen next it was clever emotional left me crying after movie twist was done really well i almost wanted pause movie also animation is gorgeous you get see detailed images many angles perspectives there were hundreds animators credits didnt start out with cast like it usually would first thing you saw after black screen was hundreds names animators designers i watched this movie again i still felt my muscles ready let tears out i would not recommend this movie any less than next guy so what are you waiting get couple friends watch your name,0.41203703703703703,0.12407407407407407,Positive,"{'Happy': 0.17, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.21, 'Fear': 0.29}"
10.0,could be the greatest love story of all time,"In truth, the most competitive area of fiction is not invasions from outer space or talking dogs or impossible missions but rather the most basic narrative of all, the love story.And this is also the most overcrowded field, and the most difficult to do right.This film, this story, is extraordinary. It reminds me of MY SASSY GIRL, a love story from Asia that captured the imagination of the world and has almost become a franchise, it's been copied so many times.It also brings to mind Richard Matheson's classic BID TIME RETURN, another love story for the ages that uses time juxtaposition. (Done as the movie SOMEWHERE IN TIME, 1980).I already gave this the highest rating on the IMDb.The animation is stunning and complimentary to this one-of-a-kind tale.All things considered, I would like to avoid the ongoing arguments about which Japanese animation studio is better, or worse, than the other. I prefer to simply be grateful that Japanese anime exists at all, because I cannot imagine any other country producing something this moving, this powerful, in graphic form.",could be greatest love story all time,truth most competitive area fiction is not invasions outer space or talking dogs or impossible missions but rather most basic narrative all love story this is also most overcrowded field most difficult do right this film this story is extraordinary it reminds me my sassy girl love story asia that captured imagination world has almost become franchise its been copied so many times it also brings mind richard mathesons classic bid time return another love story ages that uses time juxtaposition done as movie somewhere time 1980 i already gave this highest rating imdb animation is stunning complimentary this one kind tale all things considered i would like avoid ongoing arguments about which japanese animation studio is better or worse than other i prefer simply be grateful that japanese anime exists at all because i cannot imagine any other country producing something this moving this powerful graphic form,0.5619472789115646,0.23818027210884352,Positive,"{'Happy': 0.35, 'Angry': 0.04, 'Surprise': 0.23, 'Sad': 0.12, 'Fear': 0.27}"
10.0,"Once seen, never forgotten- truly magnificent","'Your Name' is not just one of the best animes in recent years (and there have been some very good ones), but one of the best animes ever from personal opinion.Will go even further, saying it's one of the best animated films in recent years, one of the best animated or otherwise films of the year and that it rivals the masterworks of Miyazaki. This is a huge compliment, for any anime, animated film or even any film, and a bold claim that still stands. Much of it is to do with how 'Your Name's' stayed with me and the impact it's had, a film once seen but never forgotten.The animation in 'Your Name' is stunning, so beautifully and intricately drawn with immaculate attention to detail in the backgrounds and a simply breath-taking array of ethereal but also atmospheric colours. The music fits the film's atmosphere with no problem at all and also works wonders as a soundtrack on its own, serving superbly as music on its own.Meanwhile, the script is thought-provoking and touching, with much to say and explored expertly and neatly with no heavy-handedness. The storytelling engages throughout, sucks one into its world and never lets go of the immersing and is enormously heartfelt, really investing in the characters' chemistry and their love for each other. Pacing is deliberate, but never drags due to the emotional impact and how well realised the characters are, even when noticeably slower in the second half.Characters, and the film's themes, are brilliantly written and developed, and the voice acting is emotive and fit the characters with no qualms.In summary, a truly magnificent film all round that will be remembered for years to come. Deserves all the raves it's gotten, and deserving of even more. 10/10 Bethany Cox",once seen never forgotten truly magnificent,your name is not just one best animes recent years there have been some very good ones but one best animes ever personal opinion will go even further saying its one best animated films recent years one best animated or otherwise films year that it rivals masterworks miyazaki this is huge compliment any anime animated film or even any film bold claim that still stands much it is do with how your names stayed with me impact its had film once seen but never forgotten animation your name is stunning so beautifully intricately drawn with immaculate attention detail backgrounds simply breath taking array ethereal but also atmospheric colours music fits films atmosphere with no problem at all also works wonders as soundtrack its own serving superbly as music its own meanwhile script is thought provoking touching with much say explored expertly neatly with no heavy handedness storytelling engages throughout sucks one into its world never lets go immersing is enormously heartfelt really investing characters chemistry their love each other pacing is deliberate but never drags due emotional impact how well realised characters are even when noticeably slower second half characters films themes are brilliantly written developed voice acting is emotive fit characters with no qualms summary truly magnificent film all round that will be remembered years come deserves all raves its gotten deserving even more 10 10 bethany cox,0.5167619047619048,0.3619166666666666,Positive,"{'Happy': 0.14, 'Angry': 0.14, 'Surprise': 0.31, 'Sad': 0.1, 'Fear': 0.31}"
,One of the greatest human stories ever...,"From an anime nonetheless.Much has been said about this great animation and most of it is true. It is beautiful, tender, modern (watch the film and you will understand) and makes human love interesting again.With that said, it is too bad that Hollywood has picked this up. Not that I will be watching that remake, but I cringe already at the thought of Hollywood hack and remake specialist giving this an American swirl. All the cliches of bad remaking and safe corporate changes will be applied. Aaaarrrggghh",one greatest human stories ever,anime nonetheless much has been said about this great animation most it is true it is beautiful tender modern watch film you will understand makes human love interesting again with that said it is too bad that hollywood has picked this up not that i will be watching that remake but i cringe already at thought hollywood hack remake specialist giving this american swirl all cliches bad remaking safe corporate changes will be applied aaaarrrggghh,0.47083333333333327,0.25,Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.06}"
9.0,Unforgettable,"May I ask you a favor?Please boycott the inevitable American remake. I know that Kimi No Na Wa made a lot of money so therefore I know automatically that the remake will come and it will be a Hollywood con job (think Ghost In The Shell SHUDDER).Kimi No Na Wa to me is an extremely well written and well thought story with amazing visuals. The bond between the characters, even in animation was something else. It was beautiful.The world does not need an American remake.",unforgettable,may i ask you favor please boycott inevitable american remake i know that kimi no na wa made lot money so therefore i know automatically that remake will come it will be hollywood con job think ghost shell shudder kimi no na wa me is extremely well written well thought story with amazing visuals bond between characters even animation was something else it was beautiful world does not need american remake,0.7000000000000001,0.30357142857142855,Positive,"{'Happy': 0.13, 'Angry': 0.07, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.4}"
,Worthy Of The Hype,"An orgasm for the mind and of course the eyes.This animation is an instant classic. I recommend watching it whether an adolescent or an adult...By the way, Hollywood has commissioned Mr. Rip Off Jar Jar Abrams to remake it. OH HELL NO!!! BOYCOTT THAT!!!!!!!!!!",worthy hype,orgasm mind course eyes this animation is instant classic i recommend watching it whether adolescent or adult by way hollywood has commissioned mr rip off jar jar abrams remake it oh hell no boycott that,0.5333333333333333,0.15,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.33}"
,The Japanese Sure Know How To Unleash,"Beauty, Mystery and Creativity, don't they?I am scared for the day Jar Jar Abrams and Kathleen Kennedy get hold of this and make the hero a Disney princess and bore all our pants off.before Disney gives Kimi No Na Wa the Ghost In The Shell treatment get hold of this original and beautiful film. I guarantee you the girl is not Melissa McCarthy and doesn't have body issues.",japanese sure know how unleash,beauty mystery creativity dont they i am scared day jar jar abrams kathleen kennedy get hold this make hero disney princess bore all our pants off before disney gives kimi no na wa ghost shell treatment get hold this original beautiful film i guarantee you girl is not melissa mccarthy doesnt have body issues,0.6597222222222222,0.43125,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.3, 'Fear': 0.2}"
,Oh No!,"This anime is just superb. It is one of those moments when a rare absorbing story, beautiful locale and art come together. It deserves all the praise it is receiving.With success comes cash hounds and mercenaries of course. Worst of them all is JJ Abrams from Hollywood. He has been given the task of remaking Kimi No Na Wa. OH NO! The feeling will disappear, the underlying sense of humanity will disappear, the story will be set in (I am guessing) Dallas Texas or some similar dump, the girl will be wearing long prairie skirt like a good Jewish girl and we will all ask why didn't Hollywood learn a lesson from the American remake of Ghost In The Shell which was a mess?Sigh. It makes me depressed that money is so important in this world.",oh no,this anime is just superb it is one those moments when rare absorbing story beautiful locale art come together it deserves all praise it is receiving with success comes cash hounds mercenaries course worst them all is jj abrams hollywood he has been given task remaking kimi no na wa oh no feeling will disappear underlying sense humanity will disappear story will be set i am guessing dallas texas or some similar dump girl will be wearing long prairie skirt like good jewish girl we will all ask why didnt hollywood learn lesson american remake ghost shell which was mess sigh it makes me depressed that money is so important this world,0.5711538461538461,0.19423076923076923,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.23, 'Fear': 0.27}"
,Spread The Word,1- This is a fun animation and has many pretty elements. I think more people should watch it.2- Hollywood hacks are remaking it US style to make money. No one should watch that copy.,spread word,1 this is fun animation has many pretty elements i think more people should watch it 2 hollywood hacks are remaking it us style make money no one should watch that copy,0.55,0.3875,Positive,"{'Happy': 0.22, 'Angry': 0.11, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.11}"
9.0,A Beautiful Heartwarming Story - With A Social Conscience,"In a world dominated by stupid sequels, prequels and remakes it is film/anime like this that restores hope in today's entertainment.Not only it is emotional and feels real, it delivers a relevant message. I love the imagination and palette but also appreciate that it aims to remind us of social issues that we should be paying attention to.The only reason I don't give our heroes and their story a 10/10 is that I still feel a couple of Miyazaki movies (like Kiki, Chihiro and the racoon dogs) were just that much better and showed a little more imagination.Whatever the case I live in fear of the Hollywood announced remake by Hollywood hack JJ Abrams who has never shown any talent or vision. As with others I will ignore and boycott that coming insult and always cherish kimi no na wa.",beautiful heartwarming story with social conscience,world dominated by stupid sequels prequels remakes it is film anime like this that restores hope todays entertainment not only it is emotional feels real it delivers relevant message i love imagination palette but also appreciate that it aims remind us social issues that we should be paying attention only reason i dont give our heroes their story 10 10 is that i still feel couple miyazaki movies like kiki chihiro racoon dogs were just that much better showed little more imagination whatever case i live fear hollywood announced remake by hollywood hack jj abrams who has never shown any talent or vision as with others i will ignore boycott that coming insult always cherish kimi no na wa,0.613095238095238,0.15468073593073592,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.29, 'Fear': 0.41}"
