Top,Movie Title,MovieID,Rating,Year,Languages,Genres,Plot,Directors,Actors,Subjectivity,Polarity,Common Sentiment,Emotion Scale
1,Disaster Movie,1213644,1.9,2008,English,"Comedy, Sci-Fi","Will, Lisa, and two of their friends attempt to flee man-made and natural disasters and encounter Batman, Hancock, The Hulk, Indiana Jones, Hannah Montana, Michael Jackson, Beowulf, the Love Guru, Iron Man, rabid chipmunks amongst others in their seemingly vain efforts to seek help and shelter from unknown threats.","Jason Friedberg, Aaron Seltzer","Matt Lanter, Vanessa Lachey, Gary 'G. Thang' Johnson, Nicole Parker, Crista Flanagan",0.5614678479296846,-0.0321168711641278,Negative,"{'Happy': 0.106, 'Angry': 0.0424, 'Surprise': 0.2628, 'Sad': 0.3028, 'Fear': 0.2868}"
2,Manos: The Hands of Fate,0060666,1.6,1966,English,Horror,"A family is driving across the country when they stumble across a mysterious house inhabited by the satyr-man Torgo. When the family decides to stay over at the house, mother Margaret is now the object of desire for Torgo and the owner of the house, The Master: a mysterious figure who dresses in a black robe decorated with red hands.",Harold P. Warren,"Tom Neyman, John Reynolds, Diane Adelson, Harold P. Warren, Stephanie Nielson",0.5751442519325338,-0.06525351070018154,Negative,"{'Happy': 0.0808, 'Angry': 0.056, 'Surprise': 0.2588, 'Sad': 0.3024, 'Fear': 0.3028}"
3,Superbabies: Baby Geniuses 2,0270846,1.5,2004,English,"Comedy, Family, Sci-Fi","Shortly after the funny adventure of Sly and Whit in Baby Geniuses (1999), a new batch of intellectual toddlers, Archie, and his friends, Finkleman, Alex, and Rosita, find themselves entangled in a nefarious scheme devised by the powerful media mogul, Bill Biscane. However, this time, the babies have an ally in their battle against evil: the ultra-cool super-hero spy, Kahuna. As he joins forces with the baby-team, a race against the clock begins, to stop villainous Biscane from using his state-of-the-art satellite system to control the minds of the kids all over the world. Can the team of super-baby geniuses save the day?",Bob Clark,"Jon Voight, Scott Baio, Vanessa Angel, Skyler Shaye, Justin Chatwin",0.5272975327474058,0.1802022742250211,Positive,"{'Happy': 0.2104, 'Angry': 0.028, 'Surprise': 0.3624, 'Sad': 0.1828, 'Fear': 0.2176}"
4,Birdemic: Shock and Terror,1316037,1.7,2010,English,"Horror, Thriller","In the town of Half Moon Bay, California, an epidemic is on the horizon: a Birdemic. All the birds are attacking humanity for the devastating damage that they are inflicting on the earth: they're going after gas stations and people's cars, and the birds have something the humans will never see coming: Bird-Acid.",James Nguyen,"Alan Bagh, Whitney Moore, Tippi Hedren, Janae Caster, Colton Osborne",0.5347461150145594,-0.02604459449319263,Negative,"{'Happy': 0.0968, 'Angry': 0.1032, 'Surprise': 0.2652, 'Sad': 0.2468, 'Fear': 0.288}"
5,The Hottie & the Nottie,0804492,1.9,2008,English,"Comedy, Romance","Nate moves to L.A. to track down Cristabel, the woman he's been in love with since childhood, only to discover that his plan to woo her only has one hurdle to overcome: what to do with June, Cristabel's ever-present, not-so-hot best friend? What's even more complicating is Nate's growing feelings for June, whose true beauty starts to emerge.",Tom Putnam,"Paris Hilton, Joel David Moore, Christine Lakin, Johann Urb, Adam Kulbersh",0.5715192053118119,-0.023301281798267695,Negative,"{'Happy': 0.1252, 'Angry': 0.0572, 'Surprise': 0.2488, 'Sad': 0.2724, 'Fear': 0.296}"
6,House of the Dead,0317676,2.1,2003,English,"Action, Adventure, Horror","This film is a prequel to all of the The House of the Dead video games. Set on an island off the coast, a techno rave party attracts a diverse group of college coeds and a Coast Guard officer. Soon, they discover that their X-laced escapades are to be interrupted by zombies and monsters that attack them on the ground, from the air, and in the sea, ruled by an evil entity in the House of the Dead...",Uwe Boll,"Jonathan Cherry, Tyron Leitso, Clint Howard, Ona Grauer, Ellie Cornell",0.5418641036157523,-0.056395890425501825,Negative,"{'Happy': 0.0875, 'Angry': 0.0454, 'Surprise': 0.2867, 'Sad': 0.2908, 'Fear': 0.2892}"
7,Son of the Mask,0362165,2.2,2005,English,"Comedy, Family, Fantasy",Tim Avery is a cartoonist who loves his dog Odis. Then one day Odis finds a strange green mask. Then Tim puts it on and has a baby with his wife with the mask on. The baby then gets ahold of powers of the mask. Meanwhile Loki (Alan Cumming) must find the mask before Odin gets mad,Lawrence Guterman,"Jamie Kennedy, Alan Cumming, Liam Falconer, Ryan Falconer, Traylor Howard",0.5721944562215232,0.0806036524446413,Positive,"{'Happy': 0.1096, 'Angry': 0.0436, 'Surprise': 0.2792, 'Sad': 0.3132, 'Fear': 0.254}"
8,Kirk Cameron's Saving Christmas,4009460,1.3,2014,English,"Comedy, Family","Kirk is enjoying the annual Christmas party extravaganza thrown by his sister until he realizes he needs to help out Christian, his brother-in-law, who has a bad case of the bah-humbugs. Kirk's fresh look at Christmas provides Christian the chance to see Christ is where He has always been: at the center of our Christmas celebrations and traditions. Can Kirk save his in-law's opinions on Christmas or will he have to celebrate the holiday without him?",Darren Doane,"Kirk Cameron, Darren Doane, Bridgette Cameron, Ben Kientz, David Shannon",0.5103435978383591,-0.02596912469550371,Negative,"{'Happy': 0.0764, 'Angry': 0.0636, 'Surprise': 0.2656, 'Sad': 0.2572, 'Fear': 0.3372}"
9,Epic Movie,0799949,2.4,2007,English,"Adventure, Comedy, Fantasy","Four troubled orphans from four separate movie scenarios who are bound together in a wacky chocolate factory after receiving golden tickets to go on an 'epic adventure.' After they escape from the clutches of a very scary Willy Wonka they discover the magical world of 'Gnarnia' through an enchanted wardrobe. There they must seek the help of a randy lion, a hoard of mutants from the x academy, students of witchcraft and wizardry, funky swash-buckling pirates and a mischievous beaver to defeat the evil white bitch!","Jason Friedberg, Aaron Seltzer","Kal Penn, Adam Campbell, Jennifer Coolidge, Jayma Mays, Faune Chambers Watkins",0.5227696174139094,-0.05642227373631911,Negative,"{'Happy': 0.1212, 'Angry': 0.0471, 'Surprise': 0.2863, 'Sad': 0.2662, 'Fear': 0.2796}"
10,Battlefield Earth,0185183,2.5,2000,English,"Action, Adventure, Sci-Fi","In the year 3000, humanity is no match for the Psychlos, a greedy, manipulative race on a quest for ultimate profit. Led by the seductive and powerful Terl, the Psychlos are stripping Earth of its resources, using the broken remnants of humanity as slaves. What is left of the human race has reverted to a primitive state, believing the invaders to be demons and technology to be evil. After humanity has all but given up any hope of freeing themselves from alien oppression, a young man named Tyler decides to leave his desolate home high in the Rocky Mountains to discover the truth, whereupon he is captured and enslaved. It is then that he decides to fight back, leading his fellow man in one final struggle for freedom.",Roger Christian,"John Travolta, Barry Pepper, Forest Whitaker, Kim Coates, Sabine Karsenti",0.5294307969834202,-0.0935218053617403,Negative,"{'Happy': 0.0638, 'Angry': 0.0525, 'Surprise': 0.2813, 'Sad': 0.2633, 'Fear': 0.3383}"
