Top,Movie Title,MovieID,Rating,Year,Languages,Genres,Plot,Directors,Actors,Subjectivity,Polarity,Common Sentiment,Emotion Scale
1,Jai Bhim,15097216,8.9,2021,"Tamil, Hindi, Telugu","Crime, Drama, Mystery",Rajakannu and his wife Sengeni belong to a lower cast and works as labors in the field to protect it from rats thou they live life of poverty but are happy with what they have. Rajakannu and Sengeni plan a second child and soon Sengeni gives the good news once Rajkannu is called to the house of a upper caste man as a snake has sneaked inside his house.The next day theft of jewelry is reported in the same house suspicious raising towards Rajkannu .The cops got to arrest Rajkannu but he leaves the town for work following which the cops detain a pregnant Sengani and rest of family members asking them details about the Rajkannu.The cops trace Rajkannu and torture him and his brothers in jail asking him to confess the crime they did not commit later Sengeni finds that Rajkannu and his brother have eloped from the prison to escape torture.Mythra who teaches tribal village comes across a lawyer Chandru who fights for tribal people and after hearing story of Senegeni files a Habeas corpus case in court.,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan, Prakash Raj",0.6000094731541936,0.3548095146777782,Positive,"{'Happy': 0.1852, 'Angry': 0.0916, 'Surprise': 0.3048, 'Sad': 0.1736, 'Fear': 0.2448}"
2,Anbe Sivam,0367495,8.7,2003,Tamil,"Adventure, Comedy, Drama","Evocative and provocative, this masterfully crafted relationship drama tells the story of a series of comic events that occur when Nalla Sivam (Kamal Haasan) a wise-cracking, handicapped communist and Anbarasu (R. Madhavan), an arrogant young advertisement filmmaker who favors capitalism meet. They get stuck with each other on their problem-filled trip from Bhubaneswar to Chennai, giving them a unique opportunity to explore each other's belief system. Themes such as globalization, financial disparity and compassion in present-day India are explored around the two protagonists, while they also find how deeply interconnected their lives are.",Sundar C.,"Kamal Haasan, Madhavan, Kiran Rathod, Nassar, Santhana Bharathi",0.4992686025136925,0.25162384120064013,Positive,"{'Happy': 0.1648, 'Angry': 0.0332, 'Surprise': 0.2752, 'Sad': 0.2312, 'Fear': 0.2544}"
3,Hanky Panky,0079221,8.5,1979,Hindi,"Comedy, Romance","Ramprasad is a recent college graduate who finds a job with a finicky man, Bhavani Shankar, who believes that a man without a mustache is a man without a character. Bhavani Shankar is also against any of his employees indulging in recreation of any kind. When Ramprasad's boss catches him at a hockey match, he invents a twin brother, the clean-shaven Laxman Prasad, to save his job. When Bhavani's daughter falls in love with the clean-shaven Laxman Prasad and insists on marrying him, and Bhavani insists she should marry Ramprasad, things take a wacky turn. A fake mother and a hilarious chase are other enjoyable features involved in this comedy.",Hrishikesh Mukherjee,"Amol Palekar, Bindiya Goswami, Deven Verma, Shobha Khote, Manju Singh",0.5601769511341184,0.299481733462199,Positive,"{'Happy': 0.2172, 'Angry': 0.0376, 'Surprise': 0.2332, 'Sad': 0.1976, 'Fear': 0.314}"
4,Nayakan,0093603,8.6,1987,"Hindi, Tamil","Crime, Drama","A small boy (Ratnavelu) from Tamilnadu sees his father, a labor leader, killed in cold blood by a policeman. He kills the policeman and runs away to the city of Bombay. From there, the story traces his ascent to become a mafia chief (Velu Naicker).",Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janakaraj, Karthika",0.5397754757055335,0.3215264985052437,Positive,"{'Happy': 0.1844, 'Angry': 0.0592, 'Surprise': 0.328, 'Sad': 0.1856, 'Fear': 0.2408}"
5,Pariyerum Perumal,8176054,8.7,2018,Tamil,Drama,,"Mari Selvaraj, Prabunath","Kathir, Anandhi, Yogi Babu, Lijeesh, Hari Krishnan",0.5264841996946434,0.2892145690859923,Positive,"{'Happy': 0.14, 'Angry': 0.046, 'Surprise': 0.328, 'Sad': 0.1912, 'Fear': 0.294}"
6,The World of Apu,0052572,8.5,1959,Bangla,Drama,"Liberated from any form of attachment that was holding him back from immersing himself into Kolkata's urban lifestyle after Sarbojaya's death in Aparajito (1956), Apu, now an optimistic, 23-year-old idealist and struggling author, has no other choice but to give up his degree for lack of financial resources. Being no longer accountable to anyone, Apu barely manages to scrape by, content with a meagre income and a humble roof over his head, until an unforeseen complication during the wedding of Aparna, the delicate sister of his university friend, Pulu, leads to an act of kindness and a wonderful, youthful romance. All his life, death, and the sense of loss, have been accompanying Apu in his perpetual odyssey of spirituality and knowledge, and now, a lifetime of joys, hopes, sadness, and tragedies culminate in the most momentous decision of his life. But, life's mysterious duality cannot be defined by tragedy. What more could one ask for than a child's charming, wide-eyed smile?",Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty, Swapan Mukherjee, Tushar Bandyopadhyay",0.5035637527839067,0.1948868237438831,Positive,"{'Happy': 0.1524, 'Angry': 0.046, 'Surprise': 0.2792, 'Sad': 0.2128, 'Fear': 0.3092}"
7,3 Idiots,1187043,8.4,2009,"Hindi, English","Comedy, Drama","Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.",Rajkumar Hirani,"Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor, Boman Irani",0.5227609516369981,0.19044661864124474,Positive,"{'Happy': 0.1576, 'Angry': 0.036, 'Surprise': 0.2536, 'Sad': 0.1872, 'Fear': 0.3656}"
8,Manichithrathazhu,0214915,8.7,1993,Malayalam,"Comedy, Horror, Music, Mystery, Thriller","Renowned Psychiatrist Dr. Sunny Joseph lives in America. He decides to travel to a town in India after he gets a distress call from his friend, who belongs to a very noble and wealthy family, to counsel and treat a female family member, who he suspects is responsible for a variety of incidents. Sunny accepts this assignment not realizing that there is another side to this tale, namely a vengeful spirit, who may not respond to his methods, and he may end up endangering everyone's lives.",Fazil,"Shobana, Suresh Gopi, Mohanlal, Vinaya Prasad, Nedumudi Venu",0.5616788898312156,0.3166194860850426,Positive,"{'Happy': 0.1672, 'Angry': 0.0196, 'Surprise': 0.3776, 'Sad': 0.186, 'Fear': 0.2496}"
9,Black Friday,0400234,8.4,2004,"Hindi, English","Action, Crime, Drama, History","A dramatic presentation of the bomb blasts that rocked Bombay on March 12, 1993, displays the police investigation, amidst allegations of human rights violations, led by DCP Rakesh Maria, in tracking down the suspects, especially Bashir Khan. Bashir managed to elude authorities by re-locating to Rajasthan, Uttar Pradesh, Delhi, and West Bengal, after finally being apprehended in Bombay. His confession and subsequent flashbacks showcases the apathy shown by authorities who refused to intervene during the destruction of the sacred Babri Masjid by Hindu Kar Sevaks, and the inability of the police to fulfill their mandate and protect the vulnerable, forcing many to flee to other locations. The subsequent aftermath that succeeded in irreversibly polarizing communities in Bombay; Pakistan's involvement in training and arms' supplies; the main alleged suspects, Dawood Ibrahim, and Mushtaq Memon, sought refuge in Dubai, United Arab Emirates, while Indian politicians made a cosmetic move to re-name Bombay; and of the little-known plot to assassinate right-winged politicians, Bal Thackeray and L.K. Advani.",Anurag Kashyap,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav, Dibyendu Bhattacharya, Kishore Kadam",0.5495839517106664,0.15393817062521029,Positive,"{'Happy': 0.1028, 'Angry': 0.042, 'Surprise': 0.2408, 'Sad': 0.2712, 'Fear': 0.3408}"
10,Kumbalangi Nights,8413338,8.5,2019,Malayalam,"Comedy, Drama, Romance","The film revolves around four brothers who share a love-hate relationship with each other. Franky's elder brothers, Saji, Bobby and Bony lead a messed up life with their downright arrogance, differences, and disagreements with each other. Each one deals with the struggle of his own. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love. Franky's wish for a beautiful home cuddles hope.",Madhu C. Narayanan,"Shane Nigam, Soubin Shahir, Fahadh Faasil, Sreenath Bhasi, Mathew Thomas",0.5243329531327259,0.2956122361984353,Positive,"{'Happy': 0.2208, 'Angry': 0.036, 'Surprise': 0.254, 'Sad': 0.2024, 'Fear': 0.2884}"
11,Vikram,9179430,8.9,2022,"Hindi, Kannada, Telugu, Malayalam, Tamil","Action, Thriller","Karnan an alcoholic enjoys a freak life but he gets brutally killed by a gang of masked men.Amar a black squad commando and is team is given the case.Amar sees that two other person were killed brutally in similar passion by the masked gang and they were government officials but is surprised why Karnan was killed as he was not connected to any government agencies.Amar's inquiry leads him to find that Karnan became an alcoholic,drug addict and womanizer after death of his son but also had another side of cold shoulder towards his grandson whose suffering from heart ailment and he lived for him.While investigating the case Amar comes across Santhanam a drug lord who has huge contacts and operates without fear on the other hand the mask gang continues to eliminate government officials.Amar finds who could be their next target and along with his team goes to save him whose under protection of Santhanam.But the mask gang over powers them, Amar manages to chase their leader leading to an unknown identity called Vikram.",Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain, Suriya",0.4772569360617934,0.24166372864681215,Positive,"{'Happy': 0.1652, 'Angry': 0.0352, 'Surprise': 0.33, 'Sad': 0.1548, 'Fear': 0.3152}"
12,Like Stars on Earth,0986264,8.3,2007,Hindi,"Drama, Family","Ishaan Awasthi is an eight-year-old child whose world is filled with wonders that no one else seems to appretiate are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find himself.","Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Sachet Engineer",0.549427352266584,0.23116749513535542,Positive,"{'Happy': 0.1576, 'Angry': 0.0456, 'Surprise': 0.2796, 'Sad': 0.2364, 'Fear': 0.2808}"
13,C/o Kancharapalem,7391996,8.9,2018,Telugu,Drama,,Venkatesh Maha,"Radha Bessy, Subba Rao Vepada, Praneeta Patnaik, Karthik Rathnam, Praveena Paruchuri",0.49767907751453544,0.29106550044515245,Positive,"{'Happy': 0.178, 'Angry': 0.0564, 'Surprise': 0.308, 'Sad': 0.1308, 'Fear': 0.3264}"
14,#Home,10534500,8.9,2021,Malayalam,Drama,,Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen, Kainakary Thankaraj",0.5936729108026476,0.32188130805395404,Positive,"{'Happy': 0.2136, 'Angry': 0.0216, 'Surprise': 0.3512, 'Sad': 0.2128, 'Fear': 0.2004}"
15,Soorarai Pottru,10189514,8.7,2020,"Tamil, Hindi",Drama,"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power.",Sudha Kongara,"Suriya, Paresh Rawal, Aparna Balamurali, Achyuth Kumar, Urvashi",0.5184328773078773,0.4041542411292411,Positive,"{'Happy': 0.2444, 'Angry': 0.0316, 'Surprise': 0.4492, 'Sad': 0.076, 'Fear': 0.1972}"
16,Kireedam,0237376,8.9,1989,Malayalam,"Action, Drama",,Sibi Malayil,"Mohanlal, Thilakan, Kaviyoor Ponnamma, Parvathi, Sankaradi",0.5284383164522187,0.2750665434828377,Positive,"{'Happy': 0.14, 'Angry': 0.0524, 'Surprise': 0.272, 'Sad': 0.2252, 'Fear': 0.27}"
17,Dangal,5074352,8.3,2016,"Hindi, English","Action, Biography, Drama, Sport","Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).",Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Sakshi Tanwar, Aparshakti Khurana",0.5648089060421627,0.29252975380749735,Positive,"{'Happy': 0.1756, 'Angry': 0.038, 'Surprise': 0.3256, 'Sad': 0.2152, 'Fear': 0.2448}"
18,Kaithi,9900782,8.5,2019,Tamil,"Action, Crime, Thriller","On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.",Lokesh Kanagaraj,"Karthi, Narain, Ramana, George Maryan, Harish Uthaman",0.5351863850040659,0.3272180140743538,Positive,"{'Happy': 0.2128, 'Angry': 0.0396, 'Surprise': 0.32, 'Sad': 0.1448, 'Fear': 0.2824}"
19,Jersey,8948790,8.5,2019,Telugu,"Drama, Sport","Luck hasn't always been in favour of Arjun, a gifted cricketer in his mid-thirties whose career has failed to take off. With everyone around him insisting that he should give up on his career, will Arjun have the courage of conviction to continue pursuing his dream?",Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj, Ronit Kamra, Harish Kalyan",0.5363572198693659,0.3528041374178102,Positive,"{'Happy': 0.2032, 'Angry': 0.0324, 'Surprise': 0.3324, 'Sad': 0.248, 'Fear': 0.1832}"
20,Pather Panchali,0048473,8.3,1955,Bangla,Drama,"The story of a young boy, Apu, and life in his small Indian village. His parents are quite poor - his father Harihar, a writer and poet, gave away the family's fruit orchard to settle his brother's debts. His sister Durga and an old aunt also still lives with them. His mother Sarbojaya bears the brunt of the family's situation. She scrapes by and sells her personal possessions to put food on the table and has to bear the taunts of her neighbors as Durga is always stealing fruit from their orchard. Things get worse when Harihar disappears for five months and Durga falls ill. Even after Harihar returns, the family is left with few alternatives.",Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Chunibala Devi, Uma Das Gupta, Subir Banerjee",0.4974939213360067,0.16534166004475137,Positive,"{'Happy': 0.1096, 'Angry': 0.0476, 'Surprise': 0.314, 'Sad': 0.2264, 'Fear': 0.3032}"
21,Thevar Magan,0105575,8.7,1992,Tamil,Drama,"Set against the backdrop of the feudal Madurai district, controlled by big landlords who employ their own gangs and often indulge in expensive feuds with their neighbours. The star explained that this environment was part of his childhood experience. He plays Shaktivelu, the modern son of Peria-thevar (Ganesan), who returns to his ancestral home to introduce his girlfriend (Gauthami) to his family. Unwittingly, he is forced to become involved in the bloody feuds between different members of the clan led by Mayathevar (Nasser), and when his father dies he assumes the godfather's mantle. The rival family is eventually annihilated in a gory ending. However, how will Shakti's love and personal life pan out?",Bharathan,"Kamal Haasan, Shivaji Ganesan, Nassar, Revathi, Gautami",0.49625356101085705,0.34247154034256644,Positive,"{'Happy': 0.199, 'Angry': 0.0357, 'Surprise': 0.3157, 'Sad': 0.2133, 'Fear': 0.2348}"
22,Asuran,9477520,8.5,2019,Tamil,"Action, Drama","Asuran is an action film directed by Vetrimaaran, with the story taken from the novel Vekkai written by Poomani, a famous Tamil novelist. Dhanush plays two roles in this film. Famous Malayalam actress Manju Warrier plays the female lead. Many people expecting this movie will be the benchmark for Tamil cinema in both critically and commercially. Trailer of this film was released on Dhanush's birthday and the film was released on 3 October 2019.",Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy, Pavan",0.48090305072114553,0.2668814454499271,Positive,"{'Happy': 0.1592, 'Angry': 0.0308, 'Surprise': 0.3804, 'Sad': 0.1488, 'Fear': 0.28}"
